,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,whu2011314,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A98,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,DLINK_D02A30,DLINK_D00EB8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526453003765,-41,-46,-39,-51,-49,-54,-56,-55,-65,-59,-59,-61,-64,-81,-63,-67,-70,-62,-67,-68,-80,-71,-80,-64,-80,-73,-75,-74,-77,-76,-81,-78,-72,-77,-75,-77,-78,-74,-79,-89,-75,-200,-74,-80,-89,-80,-74,-87,-87,-86,-83,-84,-86,-91,-200,-89,-200,-92,-88,-79,-200,-85,-91,-85,-88,-92,-84,-200,-200,-200,-95,-94,-200,-200,-81,-90,-200,-91,-94,-94,-73,-80,-95,-200,-200,-200,-75,-87,-89,-86,-88,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200
1526453006818,-36,-46,-39,-51,-52,-51,-56,-56,-63,-59,-61,-61,-64,-200,-64,-67,-67,-65,-69,-68,-78,-68,-78,-64,-72,-67,-77,-74,-76,-76,-83,-78,-76,-80,-72,-79,-79,-80,-80,-88,-75,-200,-85,-80,-89,-80,-200,-87,-89,-85,-83,-84,-89,-89,-200,-89,-200,-88,-88,-82,-200,-88,-91,-87,-87,-92,-200,-85,-200,-200,-200,-94,-200,-200,-83,-90,-91,-91,-94,-200,-77,-80,-91,-200,-200,-200,-81,-87,-200,-88,-88,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526453009869,-36,-46,-38,-51,-46,-55,-55,-56,-62,-59,-64,-62,-61,-200,-63,-69,-69,-62,-66,-69,-78,-66,-78,-67,-76,-69,-66,-74,-76,-75,-83,-81,-75,-79,-71,-80,-80,-72,-76,-89,-79,-200,-77,-80,-89,-79,-200,-87,-88,-86,-83,-85,-87,-88,-200,-200,-84,-88,-86,-81,-200,-88,-200,-87,-88,-93,-200,-85,-200,-200,-94,-94,-200,-200,-83,-90,-91,-200,-95,-200,-76,-80,-91,-200,-200,-200,-78,-200,-200,-88,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526453012925,-36,-46,-40,-51,-52,-56,-66,-58,-66,-61,-61,-60,-60,-200,-64,-64,-69,-69,-65,-72,-73,-70,-78,-70,-74,-63,-66,-75,-71,-75,-84,-81,-73,-76,-70,-77,-83,-79,-76,-89,-74,-90,-81,-80,-90,-82,-200,-87,-89,-86,-86,-85,-86,-83,-200,-200,-84,-87,-87,-81,-200,-88,-200,-86,-87,-95,-200,-85,-88,-200,-94,-94,-200,-200,-83,-90,-91,-200,-95,-95,-76,-80,-91,-200,-97,-200,-80,-87,-200,-93,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526453015979,-46,-46,-42,-50,-49,-59,-58,-52,-61,-64,-60,-57,-63,-200,-64,-63,-69,-72,-66,-67,-71,-67,-200,-66,-75,-65,-66,-88,-71,-74,-80,-81,-71,-83,-71,-77,-79,-79,-81,-87,-89,-90,-78,-81,-90,-86,-200,-87,-88,-87,-88,-90,-85,-78,-81,-200,-85,-89,-86,-85,-200,-89,-200,-86,-90,-95,-200,-200,-88,-200,-94,-94,-200,-200,-200,-93,-200,-200,-95,-93,-73,-81,-97,-200,-97,-200,-80,-87,-200,-93,-88,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453019027,-42,-49,-39,-50,-48,-51,-53,-50,-66,-63,-60,-58,-66,-200,-69,-69,-71,-70,-68,-67,-70,-66,-200,-66,-76,-67,-200,-86,-75,-74,-84,-200,-73,-77,-71,-75,-76,-79,-81,-94,-83,-90,-80,-80,-90,-85,-200,-200,-88,-85,-90,-83,-85,-78,-81,-91,-83,-84,-84,-83,-200,-88,-200,-85,-85,-95,-89,-200,-90,-200,-200,-200,-200,-200,-86,-94,-200,-200,-200,-93,-73,-80,-97,-200,-97,-200,-81,-87,-200,-90,-84,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453022075,-42,-50,-39,-52,-50,-57,-65,-55,-64,-61,-59,-57,-64,-200,-66,-66,-70,-69,-68,-71,-72,-63,-200,-64,-74,-65,-79,-86,-76,-76,-79,-200,-77,-77,-67,-79,-77,-200,-81,-94,-85,-200,-80,-81,-200,-83,-200,-200,-88,-87,-90,-83,-89,-80,-88,-91,-87,-86,-86,-83,-200,-89,-200,-84,-87,-92,-93,-200,-90,-200,-200,-200,-200,-200,-91,-93,-200,-96,-200,-93,-70,-85,-97,-200,-200,-96,-80,-200,-84,-89,-84,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453025125,-44,-47,-41,-50,-48,-60,-63,-51,-67,-62,-60,-59,-63,-200,-66,-64,-73,-67,-68,-70,-74,-72,-81,-72,-80,-66,-80,-88,-61,-77,-78,-200,-71,-73,-71,-78,-76,-78,-81,-89,-85,-200,-78,-78,-200,-83,-200,-200,-88,-87,-89,-83,-86,-78,-87,-89,-87,-85,-86,-85,-200,-89,-94,-82,-90,-92,-93,-200,-88,-200,-200,-200,-200,-200,-91,-92,-95,-96,-200,-78,-71,-78,-96,-200,-200,-96,-80,-88,-84,-73,-87,-200,-200,-200,-200,-94,-97,-200,-200,-200,-200,-200
1526453028178,-41,-47,-41,-52,-48,-60,-56,-55,-67,-62,-59,-56,-64,-200,-68,-71,-69,-70,-65,-76,-73,-65,-81,-69,-69,-65,-77,-87,-77,-77,-78,-200,-76,-75,-71,-80,-77,-78,-83,-88,-82,-200,-78,-82,-200,-84,-200,-200,-89,-86,-90,-200,-87,-80,-87,-91,-83,-87,-88,-85,-200,-89,-95,-76,-85,-93,-92,-200,-88,-200,-97,-200,-200,-200,-91,-91,-95,-96,-200,-94,-73,-78,-94,-200,-200,-96,-80,-88,-85,-89,-87,-88,-200,-200,-200,-94,-97,-200,-200,-200,-200,-200
1526453031230,-44,-49,-39,-50,-48,-53,-54,-55,-66,-61,-61,-55,-64,-200,-67,-73,-68,-70,-66,-72,-70,-62,-78,-64,-69,-72,-78,-89,-76,-74,-77,-72,-76,-76,-70,-75,-80,-78,-81,-85,-82,-200,-82,-82,-90,-88,-200,-200,-86,-84,-89,-92,-84,-78,-87,-91,-83,-89,-85,-80,-200,-88,-95,-85,-87,-93,-89,-200,-88,-200,-97,-200,-200,-200,-200,-92,-95,-95,-200,-94,-75,-82,-95,-200,-200,-200,-76,-92,-85,-91,-84,-95,-88,-200,-200,-94,-97,-96,-97,-200,-200,-200
1526453034284,-40,-50,-42,-51,-51,-56,-56,-56,-69,-64,-60,-57,-63,-83,-64,-72,-72,-68,-64,-70,-73,-64,-80,-63,-73,-65,-77,-89,-76,-76,-83,-72,-78,-79,-71,-74,-80,-200,-81,-93,-88,-200,-76,-77,-91,-82,-200,-88,-87,-85,-88,-90,-86,-80,-88,-200,-200,-89,-87,-86,-200,-89,-91,-84,-87,-91,-90,-200,-90,-200,-200,-200,-200,-200,-200,-92,-200,-95,-200,-94,-74,-77,-95,-200,-200,-200,-82,-92,-200,-91,-88,-96,-88,-200,-200,-200,-200,-91,-97,-95,-97,-200
1526453037337,-40,-49,-40,-52,-52,-62,-58,-56,-68,-64,-62,-59,-62,-83,-68,-69,-73,-68,-65,-69,-71,-66,-82,-65,-73,-68,-79,-90,-76,-76,-80,-78,-73,-76,-74,-78,-76,-79,-83,-93,-82,-200,-75,-86,-94,-82,-200,-88,-88,-85,-89,-90,-82,-79,-88,-200,-200,-88,-88,-84,-200,-89,-91,-84,-85,-92,-90,-200,-90,-200,-200,-200,-200,-200,-85,-91,-200,-95,-200,-94,-74,-77,-96,-200,-200,-200,-82,-90,-200,-90,-88,-96,-88,-200,-200,-200,-200,-91,-97,-95,-97,-99
