,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D013A8,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526452337411,-41,-41,-50,-47,-51,-51,-62,-63,-55,-69,-62,-60,-60,-87,-65,-56,-68,-63,-55,-60,-63,-65,-65,-60,-68,-57,-68,-77,-68,-70,-70,-81,-63,-72,-67,-81,-66,-80,-90,-80,-86,-79,-89,-200,-90,-87,-85,-72,-89,-200,-86,-82,-90,-87,-89,-85,-200,-86,-77,-200,-95,-87,-85,-86,-83,-88,-200,-85,-200,-200,-92,-91,-200,-93,-95,-200,-200,-94,-91,-200,-95,-97,-71,-94,-200,-84,-92,-200,-77,-200,-200,-93,-93,-87,-90,-94,-79,-78,-85,-200,-200,-200,-200,-200,-200,-200
1526452337798,-41,-41,-50,-47,-51,-51,-62,-63,-55,-69,-62,-60,-60,-87,-65,-56,-68,-63,-55,-60,-63,-65,-65,-60,-68,-57,-68,-77,-68,-70,-70,-81,-63,-72,-67,-81,-66,-80,-90,-80,-86,-79,-89,-200,-90,-87,-85,-72,-89,-200,-86,-82,-90,-87,-89,-85,-200,-86,-77,-200,-95,-87,-85,-86,-83,-88,-200,-85,-200,-200,-92,-91,-200,-93,-95,-200,-200,-94,-91,-200,-95,-97,-71,-94,-200,-84,-92,-200,-77,-200,-200,-93,-93,-87,-90,-94,-79,-78,-85,-200,-200,-200,-200,-200,-200,-200
1526452340460,-40,-43,-49,-48,-50,-53,-63,-62,-54,-66,-62,-61,-59,-87,-64,-60,-68,-65,-60,-57,-63,-63,-67,-62,-69,-60,-69,-76,-67,-73,-67,-81,-63,-200,-71,-78,-65,-79,-90,-83,-89,-79,-89,-200,-90,-86,-84,-75,-89,-79,-84,-86,-89,-86,-84,-82,-200,-88,-82,-79,-92,-87,-85,-86,-83,-83,-200,-86,-200,-89,-95,-91,-200,-93,-95,-200,-200,-95,-91,-200,-95,-97,-83,-200,-200,-84,-91,-200,-77,-200,-200,-93,-93,-200,-200,-94,-79,-81,-85,-82,-200,-200,-200,-200,-200,-200
1526452340847,-40,-43,-49,-48,-50,-53,-63,-62,-54,-66,-62,-61,-59,-87,-64,-60,-68,-65,-60,-57,-63,-63,-67,-62,-69,-60,-69,-76,-67,-73,-67,-81,-63,-200,-71,-78,-65,-79,-90,-83,-89,-79,-89,-200,-90,-86,-84,-75,-89,-79,-84,-86,-89,-86,-84,-82,-200,-88,-82,-79,-92,-87,-85,-86,-83,-83,-200,-86,-200,-89,-95,-91,-200,-93,-95,-200,-200,-95,-91,-200,-95,-97,-83,-200,-200,-84,-91,-200,-77,-200,-200,-93,-93,-200,-200,-94,-79,-81,-85,-82,-200,-200,-200,-200,-200,-200
1526452343515,-41,-42,-49,-52,-49,-52,-59,-62,-55,-68,-56,-60,-57,-88,-65,-60,-65,-55,-64,-60,-62,-63,-63,-63,-64,-74,-67,-76,-66,-75,-65,-80,-66,-200,-70,-78,-67,-76,-91,-80,-88,-81,-89,-200,-90,-87,-87,-73,-90,-78,-88,-85,-90,-85,-83,-82,-200,-85,-82,-79,-92,-87,-71,-86,-82,-83,-200,-87,-200,-89,-93,-91,-200,-200,-200,-200,-200,-96,-93,-200,-95,-97,-83,-200,-200,-84,-91,-200,-77,-200,-200,-93,-91,-200,-200,-200,-73,-81,-85,-82,-97,-200,-200,-200,-200,-200
1526452343900,-41,-42,-49,-52,-49,-52,-59,-62,-55,-68,-56,-60,-57,-88,-65,-60,-65,-55,-64,-60,-62,-63,-63,-63,-64,-74,-67,-76,-66,-75,-65,-80,-66,-200,-70,-78,-67,-76,-91,-80,-88,-81,-89,-200,-90,-87,-87,-73,-90,-78,-88,-85,-90,-85,-83,-82,-200,-85,-82,-79,-92,-87,-71,-86,-82,-83,-200,-87,-200,-89,-93,-91,-200,-200,-200,-200,-200,-96,-93,-200,-95,-97,-83,-200,-200,-84,-91,-200,-77,-200,-200,-93,-91,-200,-200,-200,-73,-81,-85,-82,-97,-200,-200,-200,-200,-200
1526452346565,-40,-42,-49,-52,-45,-51,-59,-63,-53,-67,-58,-66,-58,-87,-61,-59,-61,-65,-66,-54,-63,-61,-62,-62,-68,-56,-70,-77,-66,-69,-66,-81,-64,-200,-70,-200,-66,-80,-89,-81,-88,-81,-92,-200,-200,-85,-86,-72,-89,-77,-88,-86,-89,-84,-91,-87,-200,-85,-81,-81,-93,-87,-68,-200,-83,-83,-95,-83,-200,-93,-95,-200,-200,-200,-200,-200,-200,-93,-94,-94,-95,-97,-65,-200,-86,-200,-91,-200,-200,-81,-90,-91,-91,-83,-200,-200,-73,-82,-200,-200,-97,-97,-200,-200,-200,-200
1526452346955,-40,-42,-49,-52,-45,-51,-59,-63,-53,-67,-58,-66,-58,-87,-61,-59,-61,-65,-66,-54,-63,-61,-62,-62,-68,-56,-70,-77,-66,-69,-66,-81,-64,-200,-70,-200,-66,-80,-89,-81,-88,-81,-92,-200,-200,-85,-86,-72,-89,-77,-88,-86,-89,-84,-91,-87,-200,-85,-81,-81,-93,-87,-68,-200,-83,-83,-95,-83,-200,-93,-95,-200,-200,-200,-200,-200,-200,-93,-94,-94,-95,-97,-65,-200,-86,-200,-91,-200,-200,-81,-90,-91,-91,-83,-200,-200,-73,-82,-200,-200,-97,-97,-200,-200,-200,-200
1526452349619,-42,-44,-51,-49,-49,-51,-66,-63,-54,-66,-62,-61,-58,-88,-66,-60,-63,-61,-63,-57,-63,-66,-62,-62,-69,-73,-68,-76,-66,-72,-66,-79,-63,-200,-70,-81,-67,-80,-90,-80,-87,-79,-92,-200,-200,-86,-82,-69,-89,-77,-87,-86,-89,-84,-90,-86,-200,-91,-81,-81,-93,-87,-85,-200,-82,-200,-95,-83,-200,-88,-91,-200,-200,-200,-200,-200,-200,-93,-94,-94,-200,-93,-65,-200,-86,-200,-94,-200,-200,-76,-90,-91,-92,-83,-88,-200,-200,-81,-200,-200,-97,-97,-200,-200,-200,-200
1526452350002,-42,-44,-51,-49,-49,-51,-66,-63,-54,-66,-62,-61,-58,-88,-66,-60,-63,-61,-63,-57,-63,-66,-62,-62,-69,-73,-68,-76,-66,-72,-66,-79,-63,-200,-70,-81,-67,-80,-90,-80,-87,-79,-92,-200,-200,-86,-82,-69,-89,-77,-87,-86,-89,-84,-90,-86,-200,-91,-81,-81,-93,-87,-85,-200,-82,-200,-95,-83,-200,-88,-91,-200,-200,-200,-200,-200,-200,-93,-94,-94,-200,-93,-65,-200,-86,-200,-94,-200,-200,-76,-90,-91,-92,-83,-88,-200,-200,-81,-200,-200,-97,-97,-200,-200,-200,-200
1526452352668,-42,-43,-49,-52,-48,-52,-60,-63,-57,-68,-57,-61,-60,-88,-68,-60,-65,-64,-53,-58,-63,-63,-61,-63,-65,-55,-68,-77,-68,-71,-71,-77,-66,-200,-69,-82,-64,-82,-89,-80,-87,-80,-88,-200,-200,-71,-82,-69,-89,-78,-87,-87,-90,-82,-86,-85,-200,-77,-80,-79,-92,-89,-85,-200,-82,-200,-95,-83,-200,-88,-91,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-93,-79,-200,-86,-200,-91,-200,-73,-76,-90,-200,-92,-200,-88,-200,-200,-81,-200,-88,-98,-97,-200,-200,-200,-200
1526452353063,-42,-43,-49,-52,-48,-52,-60,-63,-57,-68,-57,-61,-60,-88,-68,-60,-65,-64,-53,-58,-63,-63,-61,-63,-65,-55,-68,-77,-68,-71,-71,-77,-66,-200,-69,-82,-64,-82,-89,-80,-87,-80,-88,-200,-200,-71,-82,-69,-89,-78,-87,-87,-90,-82,-86,-85,-200,-77,-80,-79,-92,-89,-85,-200,-82,-200,-95,-83,-200,-88,-91,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-93,-79,-200,-86,-200,-91,-200,-73,-76,-90,-200,-92,-200,-88,-200,-200,-81,-200,-88,-98,-97,-200,-200,-200,-200
1526452355719,-42,-43,-51,-48,-48,-52,-62,-63,-57,-65,-62,-61,-60,-88,-64,-65,-69,-64,-62,-59,-63,-66,-61,-62,-70,-57,-70,-77,-68,-76,-66,-78,-64,-200,-70,-82,-69,-82,-89,-80,-87,-80,-88,-200,-200,-71,-82,-72,-89,-78,-87,-86,-89,-84,-85,-82,-200,-85,-80,-83,-92,-89,-85,-200,-82,-200,-95,-84,-200,-88,-93,-200,-200,-200,-200,-200,-200,-93,-200,-93,-95,-95,-79,-200,-200,-200,-91,-81,-77,-76,-200,-200,-91,-88,-200,-200,-200,-81,-200,-80,-98,-200,-200,-200,-200,-200
1526452356138,-42,-43,-51,-48,-48,-52,-62,-63,-57,-65,-62,-61,-60,-88,-64,-65,-69,-64,-62,-59,-63,-66,-61,-62,-70,-57,-70,-77,-68,-76,-66,-78,-64,-200,-70,-82,-69,-82,-89,-80,-87,-80,-88,-200,-200,-71,-82,-72,-89,-78,-87,-86,-89,-84,-85,-82,-200,-85,-80,-83,-92,-89,-85,-200,-82,-200,-95,-84,-200,-88,-93,-200,-200,-200,-200,-200,-200,-93,-200,-93,-95,-95,-79,-200,-200,-200,-91,-81,-77,-76,-200,-200,-91,-88,-200,-200,-200,-81,-200,-80,-98,-200,-200,-200,-200,-200
1526452358773,-42,-42,-51,-48,-49,-52,-63,-62,-55,-65,-62,-66,-59,-88,-63,-64,-63,-64,-63,-59,-63,-65,-69,-61,-68,-76,-70,-77,-69,-77,-66,-78,-65,-85,-69,-80,-65,-80,-89,-91,-87,-80,-89,-200,-200,-87,-200,-72,-90,-77,-87,-86,-89,-84,-89,-85,-200,-86,-83,-83,-93,-86,-85,-200,-83,-81,-95,-83,-92,-91,-93,-93,-200,-92,-200,-200,-200,-93,-200,-93,-95,-95,-79,-200,-200,-200,-94,-81,-78,-86,-200,-200,-92,-88,-200,-200,-76,-80,-200,-82,-96,-200,-200,-200,-200,-200
1526452359188,-42,-42,-51,-48,-49,-52,-63,-62,-55,-65,-62,-66,-59,-88,-63,-64,-63,-64,-63,-59,-63,-65,-69,-61,-68,-76,-70,-77,-69,-77,-66,-78,-65,-85,-69,-80,-65,-80,-89,-91,-87,-80,-89,-200,-200,-87,-200,-72,-90,-77,-87,-86,-89,-84,-89,-85,-200,-86,-83,-83,-93,-86,-85,-200,-83,-81,-95,-83,-92,-91,-93,-93,-200,-92,-200,-200,-200,-93,-200,-93,-95,-95,-79,-200,-200,-200,-94,-81,-78,-86,-200,-200,-92,-88,-200,-200,-76,-80,-200,-82,-96,-200,-200,-200,-200,-200
1526452361827,-42,-43,-50,-48,-51,-51,-63,-63,-55,-67,-62,-66,-48,-87,-65,-61,-64,-66,-63,-59,-63,-61,-61,-61,-67,-56,-70,-76,-67,-67,-66,-80,-63,-85,-70,-80,-67,-80,-90,-85,-87,-80,-89,-200,-200,-88,-89,-71,-90,-78,-88,-86,-89,-84,-89,-88,-200,-86,-80,-82,-93,-88,-85,-200,-82,-82,-200,-93,-92,-91,-93,-93,-200,-92,-200,-200,-200,-93,-92,-200,-95,-98,-79,-200,-200,-200,-92,-200,-78,-85,-200,-92,-92,-88,-200,-200,-76,-80,-86,-82,-96,-200,-98,-200,-200,-200
1526452362241,-42,-43,-50,-48,-51,-51,-63,-63,-55,-67,-62,-66,-48,-87,-65,-61,-64,-66,-63,-59,-63,-61,-61,-61,-67,-56,-70,-76,-67,-67,-66,-80,-63,-85,-70,-80,-67,-80,-90,-85,-87,-80,-89,-200,-200,-88,-89,-71,-90,-78,-88,-86,-89,-84,-89,-88,-200,-86,-80,-82,-93,-88,-85,-200,-82,-82,-200,-93,-92,-91,-93,-93,-200,-92,-200,-200,-200,-93,-92,-200,-95,-98,-79,-200,-200,-200,-92,-200,-78,-85,-200,-92,-92,-88,-200,-200,-76,-80,-86,-82,-96,-200,-98,-200,-200,-200
1526452364872,-42,-43,-50,-48,-49,-52,-60,-63,-52,-68,-59,-65,-58,-87,-63,-64,-64,-65,-65,-58,-63,-65,-63,-63,-67,-56,-68,-77,-68,-72,-68,-76,-69,-85,-70,-200,-64,-80,-89,-80,-87,-81,-88,-200,-200,-87,-82,-75,-90,-78,-87,-85,-90,-84,-89,-82,-200,-89,-80,-82,-92,-86,-85,-200,-83,-82,-200,-84,-200,-200,-96,-200,-200,-200,-200,-200,-200,-93,-94,-200,-200,-94,-81,-200,-200,-200,-92,-200,-77,-76,-200,-92,-92,-88,-200,-94,-200,-80,-89,-84,-97,-200,-98,-93,-94,-200
1526452365292,-42,-43,-50,-48,-49,-52,-60,-63,-52,-68,-59,-65,-58,-87,-63,-64,-64,-65,-65,-58,-63,-65,-63,-63,-67,-56,-68,-77,-68,-72,-68,-76,-69,-85,-70,-200,-64,-80,-89,-80,-87,-81,-88,-200,-200,-87,-82,-75,-90,-78,-87,-85,-90,-84,-89,-82,-200,-89,-80,-82,-92,-86,-85,-200,-83,-82,-200,-84,-200,-200,-96,-200,-200,-200,-200,-200,-200,-93,-94,-200,-200,-94,-81,-200,-200,-200,-92,-200,-77,-76,-200,-92,-92,-88,-200,-94,-200,-80,-89,-84,-97,-200,-98,-93,-94,-200
1526452367922,-42,-43,-48,-51,-50,-51,-63,-63,-57,-69,-63,-61,-61,-87,-66,-60,-68,-65,-65,-59,-63,-64,-62,-61,-69,-75,-70,-76,-66,-72,-68,-76,-67,-200,-69,-200,-65,-81,-90,-80,-88,-80,-88,-200,-200,-86,-82,-71,-91,-78,-88,-85,-89,-84,-90,-82,-200,-84,-82,-82,-92,-89,-85,-200,-83,-82,-200,-84,-200,-200,-96,-200,-200,-200,-200,-200,-200,-92,-93,-200,-200,-97,-79,-200,-200,-200,-92,-200,-78,-85,-200,-92,-91,-88,-200,-94,-200,-80,-89,-84,-97,-200,-98,-93,-94,-200
