,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A68,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,DLINK_D00EC0,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526452279065,-37,-48,-51,-41,-73,-59,-64,-53,-48,-61,-50,-62,-62,-58,-63,-60,-67,-68,-76,-61,-63,-65,-78,-67,-68,-72,-74,-77,-65,-65,-200,-81,-61,-64,-80,-200,-71,-76,-200,-83,-200,-82,-69,-60,-81,-200,-95,-85,-63,-81,-80,-86,-85,-81,-80,-80,-200,-77,-81,-86,-82,-78,-200,-85,-200,-85,-85,-88,-89,-77,-74,-90,-90,-200,-90,-88,-200,-95,-83,-95,-200,-93,-200,-200,-200,-90,-93,-200,-86,-75,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-95,-96,-93,-200,-200,-200,-200
1526452282117,-37,-48,-49,-42,-71,-61,-59,-53,-48,-54,-51,-63,-60,-67,-65,-58,-67,-69,-76,-60,-63,-60,-77,-68,-65,-72,-72,-77,-64,-62,-200,-82,-61,-64,-80,-200,-70,-76,-200,-83,-200,-85,-69,-60,-81,-200,-93,-85,-66,-81,-80,-86,-88,-84,-80,-79,-200,-79,-83,-86,-82,-77,-200,-87,-200,-87,-85,-88,-200,-79,-76,-90,-87,-200,-90,-88,-200,-95,-83,-95,-200,-91,-200,-200,-200,-85,-93,-200,-86,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-96,-93,-200,-200,-200,-200
1526452285167,-36,-49,-53,-41,-72,-59,-61,-53,-48,-62,-51,-61,-60,-57,-62,-60,-63,-66,-76,-63,-63,-65,-78,-70,-64,-73,-72,-77,-64,-66,-73,-83,-68,-61,-78,-200,-70,-77,-200,-84,-91,-85,-69,-60,-84,-200,-91,-85,-61,-81,-200,-82,-87,-84,-83,-81,-200,-79,-83,-200,-200,-76,-200,-82,-200,-86,-85,-89,-200,-79,-76,-200,-87,-200,-87,-88,-200,-95,-83,-95,-200,-91,-200,-200,-200,-91,-93,-93,-86,-200,-83,-200,-200,-200,-200,-200,-200,-200,-97,-200,-95,-200,-200,-93,-200,-200,-200,-200
1526452288218,-36,-47,-53,-42,-72,-59,-61,-53,-49,-53,-50,-62,-58,-60,-64,-48,-67,-66,-68,-62,-68,-59,-78,-68,-65,-73,-72,-82,-65,-65,-73,-80,-68,-71,-78,-200,-70,-76,-73,-83,-91,-85,-69,-60,-84,-88,-91,-86,-66,-76,-200,-82,-86,-84,-83,-79,-200,-79,-82,-200,-200,-78,-200,-84,-200,-86,-85,-89,-200,-79,-76,-200,-87,-200,-87,-86,-200,-200,-83,-200,-200,-91,-200,-200,-200,-91,-93,-93,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526452291269,-43,-47,-51,-42,-72,-59,-61,-53,-50,-53,-50,-62,-58,-57,-62,-59,-67,-69,-70,-60,-63,-66,-78,-69,-64,-73,-73,-80,-65,-65,-73,-83,-70,-68,-80,-200,-71,-76,-74,-83,-91,-200,-69,-61,-82,-83,-91,-86,-62,-80,-200,-85,-89,-85,-83,-83,-200,-80,-82,-86,-80,-79,-200,-84,-200,-86,-85,-89,-91,-83,-74,-200,-91,-200,-87,-88,-200,-93,-83,-200,-93,-91,-200,-200,-200,-85,-94,-93,-86,-200,-84,-200,-200,-95,-200,-97,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452294323,-36,-49,-51,-41,-69,-58,-58,-55,-48,-60,-51,-64,-59,-57,-62,-57,-68,-70,-69,-63,-59,-62,-74,-69,-63,-74,-70,-76,-65,-68,-200,-84,-70,-71,-80,-200,-67,-76,-74,-85,-200,-82,-69,-60,-86,-83,-91,-86,-67,-80,-200,-85,-85,-81,-200,-80,-81,-80,-83,-86,-80,-78,-200,-84,-200,-86,-200,-89,-91,-85,-76,-89,-89,-200,-88,-85,-200,-93,-83,-200,-93,-91,-200,-200,-200,-85,-94,-96,-87,-200,-84,-200,-200,-95,-200,-97,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452297374,-44,-48,-53,-41,-72,-57,-58,-53,-49,-57,-50,-63,-59,-65,-62,-59,-68,-68,-73,-58,-61,-63,-75,-71,-61,-77,-72,-82,-62,-65,-75,-81,-71,-67,-80,-200,-67,-78,-74,-82,-200,-82,-70,-61,-85,-83,-95,-200,-68,-80,-200,-83,-86,-86,-200,-83,-80,-78,-85,-86,-80,-78,-200,-76,-200,-87,-200,-87,-91,-84,-75,-89,-93,-200,-88,-85,-200,-93,-83,-200,-93,-93,-200,-200,-200,-85,-94,-96,-87,-200,-84,-200,-200,-95,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200
1526452300426,-44,-49,-53,-42,-69,-59,-57,-54,-48,-57,-51,-63,-64,-57,-60,-60,-68,-67,-73,-59,-62,-65,-79,-69,-65,-75,-72,-75,-67,-69,-75,-82,-69,-68,-80,-200,-74,-81,-200,-82,-200,-82,-71,-61,-83,-200,-95,-87,-64,-80,-88,-85,-89,-86,-83,-82,-81,-76,-86,-86,-79,-78,-200,-82,-200,-85,-86,-84,-88,-83,-76,-87,-89,-200,-84,-85,-200,-200,-83,-200,-200,-91,-200,-200,-95,-91,-94,-96,-87,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-98,-95,-99,-200
1526452303486,-47,-51,-53,-41,-69,-58,-57,-54,-49,-58,-52,-63,-60,-63,-58,-61,-68,-64,-72,-58,-64,-64,-77,-68,-64,-70,-73,-75,-67,-67,-75,-82,-68,-69,-80,-200,-68,-81,-200,-83,-200,-88,-71,-61,-84,-200,-95,-87,-70,-82,-88,-84,-89,-86,-83,-80,-81,-77,-86,-200,-79,-79,-200,-82,-200,-85,-86,-84,-87,-83,-77,-85,-89,-200,-85,-200,-87,-200,-83,-200,-200,-91,-200,-200,-95,-91,-94,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-98,-95,-99,-200
1526452306538,-47,-50,-53,-42,-73,-57,-61,-53,-51,-58,-51,-62,-61,-66,-58,-60,-64,-65,-71,-60,-61,-62,-75,-68,-65,-75,-73,-75,-65,-67,-75,-82,-69,-68,-81,-200,-68,-81,-200,-83,-200,-88,-69,-61,-87,-200,-95,-87,-70,-82,-88,-84,-89,-86,-83,-83,-81,-77,-84,-200,-75,-78,-200,-83,-89,-87,-86,-84,-88,-83,-76,-85,-74,-200,-83,-90,-87,-84,-83,-200,-96,-91,-200,-200,-97,-91,-95,-95,-200,-200,-200,-200,-200,-98,-200,-96,-200,-200,-200,-200,-200,-95,-200,-200,-200,-95,-99,-200
1526452309590,-42,-50,-54,-42,-68,-56,-62,-53,-51,-56,-50,-61,-64,-65,-58,-63,-64,-63,-71,-53,-66,-64,-79,-71,-65,-77,-73,-76,-66,-68,-77,-83,-70,-63,-78,-200,-69,-200,-200,-83,-200,-89,-70,-61,-85,-200,-95,-87,-65,-81,-82,-86,-89,-83,-200,-83,-83,-78,-83,-200,-80,-78,-200,-83,-89,-84,-84,-85,-90,-84,-76,-91,-76,-200,-88,-90,-85,-97,-83,-200,-96,-200,-200,-200,-99,-200,-92,-97,-90,-200,-89,-200,-200,-98,-94,-93,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526452312639,-45,-52,-53,-42,-70,-56,-60,-53,-50,-57,-54,-62,-60,-64,-59,-57,-64,-63,-73,-60,-65,-64,-79,-68,-60,-77,-75,-78,-67,-65,-77,-82,-70,-63,-80,-85,-70,-81,-76,-84,-200,-89,-71,-61,-85,-200,-95,-200,-68,-81,-82,-86,-89,-83,-200,-79,-81,-77,-84,-200,-80,-78,-200,-83,-89,-85,-84,-85,-87,-83,-76,-91,-76,-200,-88,-90,-85,-97,-83,-200,-95,-200,-200,-200,-99,-84,-92,-97,-90,-200,-89,-200,-200,-98,-94,-93,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-89
