,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526450731686,-46,-57,-53,-60,-55,-54,-59,-54,-73,-68,-66,-59,-68,-70,-75,-73,-70,-73,-79,-78,-75,-84,-200,-79,-75,-82,-81,-200,-200,-81,-81,-200,-90,-80,-73,-84,-200,-200,-88,-200,-86,-88,-89,-200,-86,-200,-200,-90,-200,-200,-93,-58,-80,-200,-83,-79,-75,-200,-89,-88,-85,-88,-90,-80,-82,-200,-200,-200
1526450734754,-48,-55,-54,-61,-55,-55,-57,-54,-74,-63,-69,-59,-68,-70,-75,-74,-74,-75,-79,-81,-75,-84,-200,-79,-76,-83,-81,-200,-200,-81,-81,-75,-90,-80,-73,-86,-200,-200,-88,-88,-86,-86,-200,-200,-200,-200,-200,-90,-200,-200,-93,-65,-80,-200,-80,-79,-75,-200,-89,-200,-85,-88,-90,-80,-82,-88,-89,-200
1526450737796,-51,-53,-53,-60,-55,-53,-59,-54,-73,-76,-69,-62,-64,-69,-73,-74,-74,-75,-79,-81,-75,-84,-200,-79,-77,-83,-81,-82,-200,-81,-82,-75,-90,-200,-73,-86,-200,-200,-88,-88,-200,-86,-89,-200,-87,-200,-200,-90,-200,-200,-93,-64,-80,-200,-80,-79,-75,-200,-89,-200,-85,-88,-90,-80,-82,-88,-89,-200
1526450740851,-51,-53,-51,-57,-55,-52,-55,-65,-72,-76,-70,-65,-76,-67,-73,-74,-74,-74,-79,-81,-82,-84,-200,-79,-75,-83,-200,-82,-82,-80,-82,-75,-90,-200,-73,-86,-200,-200,-88,-88,-200,-86,-92,-200,-89,-200,-200,-90,-200,-200,-200,-64,-80,-200,-80,-87,-200,-200,-89,-200,-200,-200,-200,-80,-82,-88,-89,-200
1526450743897,-48,-53,-50,-58,-55,-54,-57,-65,-69,-66,-70,-65,-76,-69,-72,-74,-70,-74,-79,-81,-82,-84,-200,-81,-75,-83,-200,-82,-82,-80,-79,-75,-90,-200,-200,-85,-85,-200,-200,-86,-200,-86,-92,-200,-89,-200,-200,-90,-200,-200,-92,-64,-76,-200,-80,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-89,-200
1526450746961,-46,-53,-52,-58,-56,-54,-60,-64,-69,-62,-66,-65,-69,-69,-72,-74,-68,-74,-79,-79,-77,-81,-200,-85,-76,-85,-200,-79,-82,-80,-80,-75,-200,-200,-200,-85,-85,-200,-89,-86,-200,-86,-92,-200,-89,-200,-200,-88,-200,-200,-94,-64,-76,-200,-88,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-89,-200
1526450749991,-50,-53,-52,-57,-56,-54,-63,-62,-71,-63,-64,-61,-69,-67,-69,-73,-70,-73,-79,-79,-77,-81,-83,-85,-80,-79,-200,-79,-82,-82,-80,-75,-82,-200,-200,-85,-85,-200,-91,-86,-200,-200,-92,-200,-89,-200,-200,-88,-200,-200,-94,-64,-79,-200,-88,-80,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200
1526450753050,-49,-51,-50,-57,-58,-58,-57,-62,-72,-62,-64,-63,-69,-71,-69,-72,-74,-72,-79,-79,-77,-82,-83,-82,-76,-79,-200,-79,-82,-82,-80,-75,-82,-82,-200,-85,-85,-87,-91,-86,-200,-200,-90,-200,-89,-200,-200,-88,-200,-200,-94,-58,-79,-200,-88,-80,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-94
1526450756102,-46,-50,-50,-57,-58,-60,-57,-61,-68,-62,-64,-63,-65,-69,-69,-74,-72,-72,-79,-78,-77,-82,-83,-86,-76,-79,-200,-79,-200,-82,-80,-200,-82,-83,-77,-85,-85,-87,-91,-86,-200,-200,-90,-200,-200,-200,-200,-88,-200,-200,-94,-58,-76,-200,-88,-80,-81,-200,-200,-200,-200,-200,-200,-85,-200,-200,-89,-94
1526450759157,-46,-53,-50,-58,-55,-56,-68,-66,-68,-62,-62,-63,-68,-72,-70,-74,-83,-69,-200,-78,-77,-82,-80,-80,-76,-80,-200,-79,-200,-82,-80,-200,-82,-83,-77,-85,-200,-87,-91,-86,-200,-200,-90,-200,-200,-200,-200,-88,-200,-200,-94,-58,-76,-200,-88,-80,-81,-80,-200,-200,-200,-200,-200,-85,-200,-200,-89,-94
1526450762218,-50,-53,-54,-60,-56,-56,-62,-62,-70,-62,-63,-67,-68,-71,-70,-76,-71,-71,-200,-78,-74,-82,-80,-80,-76,-80,-200,-200,-200,-79,-82,-200,-82,-83,-77,-85,-200,-86,-91,-86,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-58,-80,-200,-76,-80,-86,-80,-200,-200,-200,-200,-200,-85,-200,-200,-89,-94
1526450765248,-49,-54,-54,-57,-56,-53,-66,-62,-70,-60,-63,-64,-68,-68,-71,-76,-73,-69,-200,-81,-74,-82,-80,-81,-75,-80,-200,-200,-200,-79,-85,-200,-200,-81,-77,-85,-200,-86,-200,-86,-200,-88,-90,-200,-200,-200,-89,-200,-200,-200,-200,-58,-80,-200,-76,-81,-77,-80,-87,-200,-200,-200,-200,-85,-200,-200,-200,-94
