,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A30,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526454077978,-27,-34,-40,-33,-47,-46,-52,-53,-53,-49,-54,-55,-56,-51,-57,-58,-62,-48,-58,-57,-64,-59,-61,-54,-69,-64,-64,-66,-67,-48,-57,-74,-79,-200,-72,-63,-72,-81,-74,-200,-76,-86,-200,-79,-83,-200,-200,-86,-200,-76,-85,-63,-69,-200,-84,-87,-200,-92,-79,-75,-200,-200,-66,-83,-200,-200,-200,-85,-85,-84,-80,-80,-84,-80,-89,-89,-200,-200,-200,-200,-200,-200,-200
1526454081053,-25,-34,-40,-36,-44,-46,-51,-49,-53,-49,-54,-47,-56,-53,-56,-57,-62,-55,-56,-56,-64,-59,-61,-58,-69,-63,-64,-65,-67,-48,-57,-73,-70,-200,-70,-63,-72,-81,-70,-200,-76,-86,-200,-77,-83,-200,-200,-86,-200,-75,-85,-63,-69,-200,-85,-87,-200,-200,-70,-75,-200,-83,-66,-83,-200,-200,-200,-84,-85,-84,-80,-80,-84,-80,-89,-89,-87,-200,-200,-200,-200,-200,-200
1526454084131,-22,-34,-40,-35,-44,-42,-50,-53,-52,-46,-58,-47,-200,-53,-56,-57,-69,-55,-59,-55,-64,-60,-60,-54,-69,-63,-66,-65,-71,-44,-57,-73,-70,-200,-70,-73,-72,-81,-71,-200,-76,-86,-200,-78,-79,-200,-200,-86,-200,-76,-85,-63,-69,-200,-85,-87,-200,-200,-70,-77,-200,-82,-200,-84,-200,-200,-200,-84,-85,-84,-80,-80,-84,-83,-89,-89,-87,-82,-200,-200,-200,-200,-200
1526454087194,-23,-35,-42,-35,-46,-42,-51,-53,-50,-46,-54,-59,-200,-53,-56,-57,-69,-51,-59,-56,-63,-59,-60,-60,-200,-63,-70,-66,-71,-45,-59,-75,-67,-75,-67,-66,-72,-83,-72,-200,-77,-84,-200,-78,-79,-200,-200,-86,-200,-76,-85,-63,-69,-200,-85,-87,-200,-90,-65,-77,-200,-82,-200,-84,-200,-200,-200,-84,-85,-84,-200,-200,-84,-83,-89,-89,-87,-82,-200,-200,-200,-200,-200
1526454090244,-29,-35,-42,-33,-46,-42,-52,-53,-50,-50,-55,-47,-200,-49,-56,-55,-64,-55,-58,-57,-62,-59,-60,-60,-200,-64,-66,-66,-69,-49,-58,-75,-77,-75,-67,-66,-72,-83,-72,-200,-77,-84,-200,-78,-79,-200,-200,-86,-200,-77,-200,-63,-74,-200,-85,-87,-200,-90,-74,-77,-200,-82,-200,-84,-83,-200,-68,-84,-84,-200,-86,-200,-84,-83,-89,-89,-87,-82,-200,-200,-200,-200,-200
1526454093313,-23,-34,-43,-35,-45,-40,-48,-53,-49,-47,-55,-47,-200,-51,-56,-57,-63,-55,-57,-57,-60,-59,-60,-59,-200,-64,-67,-66,-68,-46,-59,-73,-78,-79,-69,-73,-72,-83,-72,-200,-75,-84,-200,-78,-82,-200,-200,-86,-200,-77,-77,-200,-74,-200,-85,-200,-59,-90,-74,-77,-80,-82,-200,-84,-82,-200,-68,-84,-84,-200,-86,-200,-200,-83,-200,-200,-87,-82,-87,-200,-200,-200,-200
1526454096375,-21,-34,-44,-36,-49,-40,-48,-50,-49,-45,-55,-47,-200,-53,-56,-57,-62,-51,-57,-58,-60,-62,-61,-58,-200,-65,-65,-66,-66,-48,-59,-73,-70,-81,-69,-73,-72,-77,-72,-200,-74,-85,-88,-78,-82,-200,-200,-86,-200,-77,-74,-61,-71,-200,-200,-200,-59,-90,-69,-77,-80,-81,-200,-84,-82,-200,-62,-200,-84,-85,-86,-200,-200,-83,-200,-200,-200,-82,-87,-200,-200,-200,-200
1526454099441,-22,-34,-44,-36,-48,-40,-48,-53,-50,-50,-55,-47,-200,-49,-56,-56,-62,-51,-58,-58,-60,-60,-61,-56,-200,-65,-65,-67,-64,-50,-58,-73,-68,-81,-69,-73,-72,-81,-74,-200,-74,-85,-88,-78,-81,-200,-200,-86,-200,-77,-74,-65,-71,-200,-87,-200,-61,-88,-68,-200,-80,-81,-200,-200,-82,-200,-62,-200,-84,-85,-86,-200,-85,-200,-200,-200,-200,-200,-87,-85,-200,-200,-200
1526454102488,-26,-34,-44,-33,-48,-40,-48,-53,-50,-46,-55,-47,-200,-50,-56,-57,-62,-52,-58,-58,-60,-60,-62,-62,-200,-66,-69,-66,-72,-50,-59,-73,-76,-81,-69,-80,-72,-81,-74,-200,-78,-85,-88,-80,-81,-200,-200,-86,-200,-76,-74,-65,-71,-200,-85,-200,-61,-88,-69,-200,-80,-81,-200,-200,-82,-200,-62,-200,-84,-85,-86,-200,-85,-200,-200,-200,-200,-200,-87,-85,-200,-200,-200
1526454105540,-26,-33,-43,-34,-51,-41,-48,-53,-51,-46,-55,-52,-200,-49,-54,-57,-62,-55,-58,-58,-60,-59,-63,-62,-73,-68,-66,-72,-72,-47,-59,-73,-76,-81,-69,-80,-73,-81,-75,-82,-78,-85,-88,-79,-81,-200,-200,-89,-200,-76,-74,-63,-71,-200,-85,-200,-61,-88,-66,-71,-80,-81,-200,-82,-82,-200,-62,-90,-200,-85,-200,-200,-85,-200,-200,-200,-200,-200,-87,-85,-83,-200,-200
1526454108605,-29,-33,-41,-32,-55,-42,-49,-54,-51,-48,-60,-52,-200,-52,-56,-57,-62,-54,-59,-58,-60,-59,-63,-52,-81,-68,-63,-72,-65,-47,-61,-72,-69,-75,-200,-72,-73,-81,-73,-82,-78,-85,-88,-79,-81,-200,-200,-87,-200,-76,-84,-63,-71,-200,-82,-200,-62,-88,-66,-74,-200,-81,-200,-82,-79,-200,-66,-90,-84,-85,-200,-200,-85,-200,-200,-200,-200,-65,-200,-85,-73,-79,-92
1526454111647,-29,-33,-42,-34,-54,-42,-49,-54,-51,-44,-55,-50,-200,-50,-56,-58,-67,-55,-59,-59,-60,-59,-64,-56,-81,-68,-63,-66,-65,-48,-62,-73,-69,-75,-72,-71,-72,-81,-74,-82,-78,-85,-200,-79,-81,-200,-200,-87,-200,-76,-80,-62,-71,-200,-82,-200,-62,-88,-66,-74,-200,-200,-200,-82,-79,-200,-66,-90,-84,-82,-200,-200,-85,-200,-200,-200,-200,-75,-200,-85,-73,-79,-92
