,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011314,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro
1526464122263,-24,-26,-34,-32,-45,-41,-45,-43,-51,-38,-45,-44,-49,-56,-55,-57,-55,-57,-57,-49,-65,-200,-55,-62,-60,-57,-59,-56,-63,-60,-56,-61,-63,-63,-61,-69,-63,-60,-63,-68,-67,-200,-63,-200,-64,-68,-81,-74,-71,-73,-81,-73,-78,-72,-72,-73,-70,-200,-67,-75,-79,-78,-88,-76,-200,-73,-200,-200,-72,-200,-200,-200,-73,-61,-84,-200,-88,-84,-200,-90,-200,-200,-200,-200,-200,-81,-67,-79,-66,-72,-85,-92,-80,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464124978,-28,-25,-37,-32,-49,-43,-45,-43,-50,-38,-49,-44,-49,-56,-55,-58,-55,-57,-57,-51,-200,-55,-54,-62,-57,-57,-59,-58,-63,-62,-54,-61,-63,-63,-52,-69,-61,-60,-63,-68,-67,-67,-61,-200,-68,-69,-81,-74,-71,-73,-81,-73,-78,-72,-72,-73,-74,-200,-67,-76,-79,-79,-88,-76,-200,-200,-200,-81,-71,-200,-200,-200,-73,-61,-85,-200,-88,-84,-83,-90,-200,-200,-200,-200,-200,-200,-67,-79,-66,-83,-85,-92,-80,-90,-75,-88,-200,-200,-200,-200,-200,-200,-200
1526464125322,-28,-25,-37,-32,-49,-43,-45,-43,-50,-38,-49,-44,-49,-56,-55,-58,-55,-57,-57,-51,-200,-55,-54,-62,-57,-57,-59,-58,-63,-62,-54,-61,-63,-63,-52,-69,-61,-60,-63,-68,-67,-67,-61,-200,-68,-69,-81,-74,-71,-73,-81,-73,-78,-72,-72,-73,-74,-200,-67,-76,-79,-79,-88,-76,-200,-200,-200,-81,-71,-200,-200,-200,-73,-61,-85,-200,-88,-84,-83,-90,-200,-200,-200,-200,-200,-200,-67,-79,-66,-83,-85,-92,-80,-90,-75,-88,-200,-200,-200,-200,-200,-200,-200
1526464128044,-28,-26,-36,-32,-45,-40,-44,-44,-48,-38,-52,-52,-50,-55,-53,-58,-54,-57,-57,-55,-200,-55,-68,-200,-57,-59,-72,-54,-67,-62,-58,-61,-63,-63,-56,-65,-63,-60,-63,-70,-67,-65,-61,-200,-68,-69,-81,-74,-74,-73,-200,-77,-78,-72,-70,-74,-78,-200,-67,-76,-79,-79,-88,-76,-200,-200,-200,-81,-71,-200,-200,-200,-73,-61,-84,-200,-200,-86,-83,-90,-200,-200,-200,-200,-200,-200,-58,-200,-66,-83,-85,-92,-80,-90,-75,-88,-69,-71,-81,-83,-200,-200,-200
1526464128380,-28,-26,-36,-32,-45,-40,-44,-44,-48,-38,-52,-52,-50,-55,-53,-58,-54,-57,-57,-55,-200,-55,-68,-200,-57,-59,-72,-54,-67,-62,-58,-61,-63,-63,-56,-65,-63,-60,-63,-70,-67,-65,-61,-200,-68,-69,-81,-74,-74,-73,-200,-77,-78,-72,-70,-74,-78,-200,-67,-76,-79,-79,-88,-76,-200,-200,-200,-81,-71,-200,-200,-200,-73,-61,-84,-200,-200,-86,-83,-90,-200,-200,-200,-200,-200,-200,-58,-200,-66,-83,-85,-92,-80,-90,-75,-88,-69,-71,-81,-83,-200,-200,-200
1526464131102,-29,-26,-34,-31,-45,-44,-45,-44,-56,-43,-50,-56,-50,-55,-52,-58,-55,-57,-57,-54,-200,-55,-56,-200,-57,-59,-61,-63,-67,-61,-58,-63,-63,-63,-56,-65,-61,-60,-64,-70,-67,-65,-61,-200,-69,-70,-76,-74,-74,-73,-74,-77,-78,-72,-70,-73,-78,-200,-67,-75,-79,-78,-72,-76,-200,-200,-200,-81,-71,-200,-200,-200,-73,-61,-84,-200,-200,-86,-83,-90,-77,-200,-200,-200,-200,-200,-58,-200,-66,-83,-85,-92,-80,-90,-75,-88,-69,-71,-81,-83,-200,-200,-200
1526464131428,-29,-26,-34,-31,-45,-44,-45,-44,-56,-43,-50,-56,-50,-55,-52,-58,-55,-57,-57,-54,-200,-55,-56,-200,-57,-59,-61,-63,-67,-61,-58,-63,-63,-63,-56,-65,-61,-60,-64,-70,-67,-65,-61,-200,-69,-70,-76,-74,-74,-73,-74,-77,-78,-72,-70,-73,-78,-200,-67,-75,-79,-78,-72,-76,-200,-200,-200,-81,-71,-200,-200,-200,-73,-61,-84,-200,-200,-86,-83,-90,-77,-200,-200,-200,-200,-200,-58,-200,-66,-83,-85,-92,-80,-90,-75,-88,-69,-71,-81,-83,-200,-200,-200
1526464134156,-26,-25,-34,-32,-44,-43,-46,-44,-50,-52,-42,-48,-48,-56,-54,-58,-52,-57,-59,-54,-200,-55,-54,-63,-60,-59,-61,-56,-67,-62,-57,-63,-63,-63,-56,-65,-61,-60,-64,-70,-66,-65,-61,-200,-69,-72,-76,-200,-74,-73,-74,-77,-200,-200,-73,-74,-78,-200,-67,-76,-79,-80,-72,-76,-200,-78,-200,-81,-71,-86,-200,-200,-73,-200,-85,-200,-200,-86,-83,-200,-77,-200,-200,-200,-86,-200,-58,-65,-200,-83,-200,-200,-80,-90,-75,-88,-70,-71,-81,-84,-80,-200,-200
1526464134487,-26,-25,-34,-32,-44,-43,-46,-44,-50,-52,-42,-48,-48,-56,-54,-58,-52,-57,-59,-54,-200,-55,-54,-63,-60,-59,-61,-56,-67,-62,-57,-63,-63,-63,-56,-65,-61,-60,-64,-70,-66,-65,-61,-200,-69,-72,-76,-200,-74,-73,-74,-77,-200,-200,-73,-74,-78,-200,-67,-76,-79,-80,-72,-76,-200,-78,-200,-81,-71,-86,-200,-200,-73,-200,-85,-200,-200,-86,-83,-200,-77,-200,-200,-200,-86,-200,-58,-65,-200,-83,-200,-200,-80,-90,-75,-88,-70,-71,-81,-84,-80,-200,-200
1526464137226,-26,-26,-34,-32,-47,-40,-46,-44,-48,-46,-48,-48,-48,-56,-54,-59,-53,-56,-59,-53,-200,-64,-54,-63,-60,-59,-61,-56,-62,-61,-57,-63,-63,-64,-53,-65,-60,-60,-64,-70,-66,-65,-61,-200,-67,-71,-76,-200,-83,-78,-74,-75,-200,-200,-73,-72,-82,-200,-64,-76,-75,-78,-72,-200,-200,-78,-200,-81,-71,-86,-200,-200,-73,-200,-85,-200,-200,-86,-83,-200,-77,-200,-200,-200,-86,-200,-58,-65,-200,-83,-200,-200,-200,-200,-75,-88,-70,-71,-81,-84,-80,-69,-200
1526464137555,-26,-26,-34,-32,-47,-40,-46,-44,-48,-46,-48,-48,-48,-56,-54,-59,-53,-56,-59,-53,-200,-64,-54,-63,-60,-59,-61,-56,-62,-61,-57,-63,-63,-64,-53,-65,-60,-60,-64,-70,-66,-65,-61,-200,-67,-71,-76,-200,-83,-78,-74,-75,-200,-200,-73,-72,-82,-200,-64,-76,-75,-78,-72,-200,-200,-78,-200,-81,-71,-86,-200,-200,-73,-200,-85,-200,-200,-86,-83,-200,-77,-200,-200,-200,-86,-200,-58,-65,-200,-83,-200,-200,-200,-200,-75,-88,-70,-71,-81,-84,-80,-69,-200
1526464140292,-26,-26,-37,-36,-46,-39,-45,-44,-50,-43,-44,-53,-49,-54,-56,-59,-53,-56,-58,-53,-200,-59,-55,-63,-60,-61,-61,-55,-61,-61,-57,-62,-64,-64,-55,-66,-62,-60,-64,-70,-66,-65,-61,-200,-67,-71,-83,-200,-83,-70,-74,-75,-200,-200,-60,-72,-82,-82,-63,-76,-75,-78,-74,-200,-200,-78,-85,-200,-200,-86,-200,-200,-73,-200,-85,-200,-200,-86,-200,-200,-77,-200,-200,-200,-86,-200,-58,-65,-200,-200,-84,-200,-200,-200,-200,-200,-70,-71,-81,-84,-80,-69,-200
1526464140603,-26,-26,-37,-36,-46,-39,-45,-44,-50,-43,-44,-53,-49,-54,-56,-59,-53,-56,-58,-53,-200,-59,-55,-63,-60,-61,-61,-55,-61,-61,-57,-62,-64,-64,-55,-66,-62,-60,-64,-70,-66,-65,-61,-200,-67,-71,-83,-200,-83,-70,-74,-75,-200,-200,-60,-72,-82,-82,-63,-76,-75,-78,-74,-200,-200,-78,-85,-200,-200,-86,-200,-200,-73,-200,-85,-200,-200,-86,-200,-200,-77,-200,-200,-200,-86,-200,-58,-65,-200,-200,-84,-200,-200,-200,-200,-200,-70,-71,-81,-84,-80,-69,-200
1526464143367,-30,-26,-34,-35,-43,-39,-45,-45,-51,-45,-44,-44,-49,-55,-55,-57,-53,-56,-58,-53,-200,-59,-47,-58,-60,-62,-61,-64,-61,-61,-61,-62,-64,-66,-55,-66,-62,-59,-64,-70,-66,-65,-66,-200,-68,-69,-83,-200,-68,-70,-79,-75,-77,-200,-65,-72,-82,-82,-64,-76,-75,-78,-74,-82,-80,-78,-85,-200,-200,-86,-200,-200,-200,-200,-85,-200,-200,-86,-200,-200,-74,-200,-66,-75,-86,-200,-200,-66,-67,-200,-84,-200,-200,-200,-200,-200,-70,-200,-200,-84,-80,-69,-200
1526464143657,-30,-26,-34,-35,-43,-39,-45,-45,-51,-45,-44,-44,-49,-55,-55,-57,-53,-56,-58,-53,-200,-59,-47,-58,-60,-62,-61,-64,-61,-61,-61,-62,-64,-66,-55,-66,-62,-59,-64,-70,-66,-65,-66,-200,-68,-69,-83,-200,-68,-70,-79,-75,-77,-200,-65,-72,-82,-82,-64,-76,-75,-78,-74,-82,-80,-78,-85,-200,-200,-86,-200,-200,-200,-200,-85,-200,-200,-86,-200,-200,-74,-200,-66,-75,-86,-200,-200,-66,-67,-200,-84,-200,-200,-200,-200,-200,-70,-200,-200,-84,-80,-69,-200
