,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526456266050,-18,-49,-49,-40,-50,-49,-64,-85,-200,-51,-62,-62,-61,-49,-63,-82,-72,-48,-85,-74,-78,-48,-71,-58,-69,-200,-62,-63,-74,-69,-80,-200,-74,-66,-72,-66,-200,-76,-78,-69,-50,-200,-200,-200,-200,-200,-67,-87,-200,-200,-79,-200,-200,-200,-200,-200,-200,-77,-85,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-67,-200,-68,-200,-200,-200,-86,-200,-200,-200,-83,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456269055,-22,-44,-52,-40,-52,-51,-66,-200,-91,-56,-63,-65,-76,-50,-50,-53,-67,-50,-84,-73,-65,-49,-69,-58,-200,-200,-64,-69,-74,-69,-80,-72,-74,-66,-51,-67,-200,-75,-75,-68,-74,-200,-200,-200,-79,-87,-67,-87,-200,-200,-79,-200,-200,-200,-200,-200,-200,-77,-85,-200,-200,-200,-200,-200,-75,-200,-200,-81,-200,-65,-78,-65,-82,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456272059,-18,-32,-49,-39,-51,-52,-66,-200,-91,-53,-64,-65,-76,-51,-45,-61,-67,-47,-83,-74,-64,-50,-68,-61,-200,-66,-67,-69,-200,-200,-75,-72,-200,-200,-73,-74,-200,-77,-75,-67,-73,-200,-200,-200,-79,-87,-73,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-79,-61,-67,-78,-63,-82,-200,-200,-200,-200,-200,-200,-77,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526456275109,-18,-34,-47,-37,-54,-55,-72,-87,-62,-51,-59,-72,-64,-55,-58,-52,-60,-45,-82,-69,-67,-42,-66,-59,-71,-66,-64,-69,-65,-71,-75,-72,-200,-200,-68,-74,-200,-72,-80,-70,-72,-200,-200,-200,-79,-87,-65,-200,-200,-200,-79,-200,-77,-200,-200,-200,-200,-77,-200,-200,-76,-200,-200,-200,-76,-200,-200,-79,-61,-67,-78,-71,-82,-200,-200,-200,-200,-200,-200,-77,-200,-200,-70,-81,-200,-200,-200,-200,-200,-200,-200
1526456278119,-22,-32,-47,-36,-53,-63,-71,-86,-62,-52,-62,-65,-67,-54,-48,-52,-60,-47,-83,-73,-69,-51,-66,-57,-62,-65,-58,-200,-65,-71,-75,-200,-76,-66,-73,-74,-200,-77,-77,-70,-71,-200,-200,-200,-200,-200,-71,-200,-200,-200,-74,-200,-77,-200,-200,-200,-200,-76,-200,-200,-76,-200,-200,-200,-76,-200,-200,-79,-61,-65,-200,-71,-200,-200,-200,-86,-200,-200,-200,-77,-200,-200,-70,-81,-200,-200,-200,-200,-200,-200,-200
1526456281155,-18,-31,-43,-39,-51,-62,-71,-90,-59,-53,-59,-65,-73,-57,-52,-51,-59,-49,-80,-75,-69,-42,-64,-58,-62,-63,-57,-200,-70,-200,-200,-200,-76,-64,-62,-72,-200,-75,-78,-64,-73,-83,-200,-200,-200,-200,-65,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456284220,-19,-33,-43,-38,-49,-57,-64,-88,-59,-54,-59,-65,-65,-57,-47,-51,-59,-46,-81,-70,-200,-44,-65,-58,-69,-65,-60,-65,-70,-200,-200,-72,-75,-62,-69,-67,-76,-76,-76,-64,-71,-83,-200,-200,-200,-200,-65,-200,-200,-200,-76,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-77,-64,-200,-200,-65,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-86,-88,-200,-200,-200,-200
1526456287261,-19,-32,-44,-87,-50,-58,-62,-88,-59,-50,-63,-61,-67,-56,-45,-86,-200,-46,-81,-72,-200,-67,-62,-58,-69,-65,-60,-60,-76,-66,-200,-72,-75,-66,-73,-67,-76,-76,-76,-64,-71,-200,-200,-200,-79,-200,-71,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-69,-200,-200,-74,-64,-67,-200,-65,-200,-200,-88,-200,-80,-200,-200,-200,-200,-200,-200,-200,-83,-86,-88,-63,-200,-200,-200
1526456290311,-18,-33,-46,-39,-49,-58,-70,-89,-57,-52,-63,-61,-63,-53,-52,-58,-200,-46,-85,-49,-200,-45,-67,-58,-69,-64,-67,-59,-70,-66,-200,-75,-200,-66,-58,-200,-73,-75,-75,-64,-73,-90,-200,-200,-79,-200,-81,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-69,-200,-200,-74,-200,-67,-200,-67,-200,-200,-88,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-63,-81,-82,-200
1526456293375,-23,-31,-44,-38,-50,-57,-70,-89,-59,-50,-63,-68,-63,-53,-45,-76,-67,-47,-81,-75,-200,-44,-77,-58,-67,-68,-63,-66,-75,-66,-73,-75,-200,-70,-50,-200,-76,-79,-76,-67,-50,-90,-200,-200,-79,-200,-49,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-74,-200,-200,-74,-200,-63,-79,-83,-200,-200,-88,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-63,-81,-82,-92
1526456296444,-22,-36,-46,-39,-51,-58,-200,-89,-64,-55,-65,-67,-63,-53,-52,-76,-67,-46,-82,-76,-68,-49,-77,-58,-67,-68,-64,-66,-75,-200,-73,-200,-200,-67,-74,-67,-76,-75,-77,-68,-73,-200,-200,-200,-200,-200,-49,-200,-200,-86,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-74,-200,-200,-200,-63,-65,-79,-83,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-92
1526456299499,-20,-29,-52,-40,-52,-54,-200,-89,-59,-86,-65,-52,-59,-53,-46,-54,-56,-51,-55,-74,-68,-51,-77,-58,-66,-63,-62,-67,-69,-200,-73,-200,-200,-67,-55,-67,-76,-73,-74,-68,-72,-83,-80,-200,-200,-200,-64,-200,-200,-86,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-74,-200,-86,-200,-63,-57,-79,-83,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-85,-88,-92
