,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526452100871,-66,-79,-200,-87,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-88,-200
1526452105577,-77,-200,-200,-200,-80,-61,-81,-200,-200,-200,-200,-200,-200,-200,-85,-92
1526452105664,-76,-200,-200,-85,-79,-200,-200,-90,-200,-200,-200,-200,-200,-83,-85,-200
1526452105776,-200,-70,-68,-85,-80,-61,-80,-90,-88,-200,-77,-200,-200,-200,-85,-200
1526452105885,-200,-75,-68,-200,-79,-61,-200,-90,-200,-200,-75,-200,-200,-200,-89,-91
1526452110693,-66,-200,-200,-200,-200,-74,-200,-87,-200,-200,-76,-200,-88,-200,-88,-200
1526452110781,-66,-76,-81,-87,-200,-74,-200,-89,-89,-200,-76,-200,-200,-90,-89,-200
1526452110912,-66,-200,-82,-200,-200,-74,-200,-200,-200,-82,-76,-100,-88,-200,-89,-200
1526452111002,-66,-79,-200,-200,-84,-74,-200,-88,-200,-82,-200,-200,-200,-200,-89,-200
1526452111109,-64,-76,-200,-200,-200,-75,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452115606,-200,-200,-200,-200,-82,-62,-200,-200,-200,-200,-200,-200,-200,-84,-84,-200
1526452115725,-64,-200,-69,-200,-200,-62,-80,-200,-86,-200,-78,-200,-200,-82,-84,-200
1526452115826,-65,-200,-69,-200,-82,-62,-80,-200,-86,-200,-77,-200,-200,-200,-84,-200
1526452115927,-200,-200,-69,-200,-81,-70,-81,-200,-200,-200,-78,-200,-200,-200,-83,-200
1526452120692,-77,-74,-68,-200,-81,-63,-81,-200,-200,-200,-77,-200,-200,-200,-84,-94
1526452121219,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452121324,-63,-200,-68,-200,-81,-63,-81,-200,-85,-200,-200,-200,-200,-81,-200,-91
1526452121427,-64,-200,-69,-200,-81,-63,-81,-200,-85,-200,-74,-200,-200,-81,-200,-200
1526452125562,-200,-200,-200,-200,-200,-64,-200,-84,-86,-200,-200,-200,-200,-200,-86,-200
1526452125658,-65,-200,-200,-200,-200,-65,-79,-200,-85,-98,-200,-200,-87,-82,-85,-200
1526452125777,-66,-80,-200,-200,-200,-65,-80,-200,-200,-96,-200,-200,-86,-82,-200,-200
1526452125996,-67,-200,-81,-83,-88,-76,-80,-91,-89,-83,-200,-200,-200,-81,-85,-200
1526452130605,-68,-80,-81,-200,-200,-75,-88,-200,-200,-83,-200,-200,-88,-200,-84,-200
1526452130725,-68,-79,-81,-200,-200,-200,-200,-200,-89,-84,-200,-200,-87,-200,-200,-200
1526452130845,-67,-80,-81,-200,-200,-74,-200,-200,-88,-84,-77,-99,-200,-86,-200,-200
1526452130948,-64,-80,-200,-200,-82,-64,-200,-200,-86,-84,-69,-200,-200,-84,-200,-92
1526452135779,-200,-77,-70,-200,-84,-64,-200,-200,-86,-200,-200,-200,-200,-200,-85,-92
1526452135929,-200,-200,-70,-200,-200,-200,-82,-200,-88,-96,-200,-200,-200,-82,-85,-200
1526452140574,-65,-200,-81,-200,-200,-66,-200,-200,-200,-96,-80,-200,-84,-200,-200,-200
1526452140670,-200,-200,-81,-200,-200,-66,-81,-83,-200,-96,-80,-200,-200,-200,-200,-200
1526452140772,-64,-200,-81,-200,-92,-66,-200,-82,-200,-95,-80,-200,-85,-200,-200,-200
1526452140881,-200,-200,-81,-200,-200,-66,-200,-83,-200,-91,-80,-200,-85,-200,-200,-200
1526452145630,-70,-76,-88,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-86,-86,-200
1526452145751,-200,-75,-200,-200,-200,-68,-85,-200,-200,-90,-200,-200,-200,-86,-86,-200
1526452145890,-200,-200,-200,-200,-90,-68,-85,-200,-200,-93,-200,-200,-200,-200,-85,-200
1526452146024,-200,-200,-200,-200,-89,-67,-86,-200,-200,-200,-200,-98,-200,-200,-200,-200
