,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309
1526440906243,-39,-38,-34,-26,-58,-36,-45,-57,-50,-46,-56,-55,-49,-55,-57,-67,-71,-70,-60,-63,-64,-200,-71,-200,-55,-74,-65,-54,-74,-62,-61,-67,-72,-71,-80,-200,-200,-73,-81,-80,-80,-68,-200,-78,-77,-87,-75,-80,-200,-81,-200,-200,-200,-200,-200,-85,-200,-200,-67,-85,-77,-88,-82,-200,-82,-200,-200,-200,-200,-200
1526440909298,-36,-36,-34,-30,-52,-32,-44,-56,-54,-47,-56,-55,-51,-54,-67,-67,-73,-72,-60,-69,-63,-62,-70,-200,-59,-71,-63,-56,-80,-59,-65,-67,-72,-71,-80,-200,-82,-72,-82,-80,-80,-66,-78,-78,-77,-87,-75,-79,-200,-69,-200,-200,-200,-200,-200,-85,-200,-200,-67,-85,-77,-88,-82,-200,-82,-94,-200,-200,-200,-200
1526440912376,-38,-36,-34,-27,-52,-36,-46,-55,-55,-47,-53,-59,-49,-54,-61,-66,-72,-72,-60,-65,-63,-62,-67,-200,-63,-67,-63,-56,-80,-62,-56,-67,-200,-70,-73,-200,-82,-72,-82,-80,-80,-68,-78,-78,-77,-200,-64,-79,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-67,-85,-75,-88,-200,-75,-82,-94,-200,-200,-200,-200
1526440915429,-35,-37,-37,-27,-54,-32,-44,-55,-55,-47,-53,-56,-52,-54,-54,-67,-72,-72,-61,-65,-63,-62,-67,-200,-59,-66,-62,-52,-79,-64,-59,-67,-200,-70,-73,-200,-82,-72,-80,-80,-80,-64,-78,-78,-77,-87,-70,-79,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200,-75,-88,-83,-75,-200,-94,-200,-200,-200,-200
1526440918494,-36,-37,-39,-26,-57,-35,-45,-56,-52,-46,-58,-55,-55,-56,-61,-66,-72,-71,-62,-64,-68,-62,-70,-200,-59,-66,-62,-53,-72,-64,-60,-65,-200,-70,-73,-200,-82,-72,-80,-80,-80,-66,-78,-79,-77,-87,-70,-79,-200,-71,-200,-200,-200,-200,-200,-88,-200,-200,-67,-200,-76,-200,-83,-75,-200,-94,-86,-200,-200,-200
1526440921548,-36,-37,-36,-25,-53,-35,-47,-56,-52,-45,-58,-53,-49,-56,-56,-66,-72,-71,-60,-64,-65,-62,-70,-69,-54,-66,-62,-52,-72,-58,-59,-65,-73,-69,-80,-200,-82,-72,-80,-80,-80,-69,-78,-77,-77,-88,-70,-80,-200,-71,-200,-200,-200,-200,-200,-88,-200,-200,-71,-200,-76,-200,-83,-75,-200,-94,-86,-86,-200,-200
1526440924606,-40,-37,-35,-28,-57,-35,-47,-54,-48,-46,-57,-52,-56,-56,-57,-64,-71,-71,-60,-64,-66,-62,-69,-69,-56,-68,-63,-53,-72,-65,-63,-65,-73,-69,-80,-200,-200,-73,-80,-80,-200,-69,-200,-77,-200,-88,-70,-84,-200,-68,-200,-200,-200,-200,-200,-85,-200,-200,-71,-200,-76,-200,-81,-74,-200,-200,-86,-86,-88,-200
1526440927654,-39,-39,-36,-28,-57,-38,-47,-55,-52,-48,-57,-53,-56,-55,-60,-64,-71,-71,-60,-57,-65,-62,-69,-71,-62,-66,-63,-53,-68,-68,-63,-65,-73,-70,-80,-200,-200,-73,-80,-80,-200,-70,-86,-76,-78,-88,-70,-83,-200,-68,-200,-200,-200,-200,-200,-85,-200,-200,-71,-200,-80,-200,-81,-74,-200,-200,-86,-86,-88,-200
1526440930708,-43,-38,-34,-28,-60,-40,-47,-55,-49,-48,-60,-54,-52,-78,-59,-62,-74,-64,-59,-64,-63,-62,-69,-71,-61,-66,-63,-58,-68,-59,-63,-65,-73,-69,-80,-200,-84,-73,-200,-80,-200,-73,-86,-76,-78,-88,-71,-82,-200,-76,-200,-200,-200,-200,-200,-85,-200,-200,-71,-200,-80,-89,-81,-74,-200,-200,-86,-86,-88,-200
1526440933776,-43,-39,-37,-23,-60,-45,-47,-55,-51,-46,-59,-54,-51,-62,-57,-65,-74,-64,-57,-64,-66,-200,-70,-71,-61,-66,-63,-58,-68,-63,-59,-65,-73,-71,-77,-200,-82,-73,-200,-80,-200,-69,-86,-77,-78,-88,-74,-84,-200,-76,-200,-200,-200,-200,-200,-85,-200,-200,-71,-80,-80,-89,-75,-74,-200,-200,-200,-86,-88,-200
1526440936837,-43,-38,-40,-23,-61,-37,-47,-55,-51,-46,-58,-54,-51,-57,-54,-65,-73,-67,-57,-64,-65,-200,-69,-71,-62,-66,-65,-58,-70,-57,-59,-65,-200,-71,-73,-200,-82,-74,-200,-80,-200,-69,-76,-79,-78,-88,-74,-85,-200,-76,-200,-200,-200,-200,-200,-85,-200,-200,-200,-80,-80,-89,-75,-74,-200,-200,-200,-200,-88,-91
1526440939877,-43,-35,-37,-25,-58,-39,-48,-55,-51,-45,-57,-54,-53,-57,-58,-62,-72,-67,-56,-64,-65,-66,-69,-74,-62,-66,-66,-59,-70,-72,-62,-64,-77,-70,-73,-200,-82,-72,-200,-80,-200,-69,-76,-79,-78,-200,-74,-83,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-78,-89,-75,-75,-200,-200,-200,-200,-200,-91
