,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro
1526460339817,-35,-37,-46,-42,-44,-47,-54,-54,-51,-57,-55,-200,-55,-54,-51,-42,-50,-67,-71,-62,-68,-69,-67,-77,-200,-200,-72,-58,-71,-200,-200,-200,-200,-76,-71,-78,-200,-200,-200,-77,-85,-75,-200,-81,-77,-200,-84,-200,-200,-76,-82,-200,-86,-200,-84,-200,-200,-90,-88,-87,-67,-53,-77,-73,-83,-200,-200,-200,-200,-200,-77,-87,-200,-77,-200,-200,-200,-200,-200,-82,-84,-89,-91,-79,-78,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460342830,-40,-36,-46,-42,-41,-52,-52,-57,-50,-59,-67,-200,-56,-54,-60,-46,-53,-50,-71,-63,-80,-70,-72,-81,-82,-200,-75,-58,-73,-70,-200,-78,-200,-76,-77,-80,-200,-200,-200,-65,-83,-200,-200,-82,-76,-86,-81,-200,-200,-200,-82,-200,-200,-200,-84,-200,-200,-90,-200,-87,-67,-200,-200,-200,-77,-200,-200,-200,-88,-200,-78,-87,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-78,-90,-73,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460345878,-42,-40,-52,-44,-44,-51,-50,-57,-50,-56,-56,-62,-56,-55,-66,-47,-53,-59,-59,-64,-70,-69,-70,-79,-82,-200,-44,-61,-73,-70,-200,-74,-76,-200,-77,-79,-200,-200,-78,-64,-83,-200,-71,-79,-78,-86,-83,-200,-84,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-83,-67,-62,-200,-80,-77,-200,-200,-200,-88,-200,-78,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-79,-200,-200,-73,-90,-81,-88,-200,-200,-200,-200,-200,-200,-200
1526460348885,-36,-36,-45,-42,-41,-52,-51,-47,-50,-53,-55,-62,-56,-56,-66,-40,-53,-57,-70,-56,-72,-69,-70,-74,-200,-200,-73,-62,-72,-62,-200,-73,-76,-200,-200,-77,-200,-200,-78,-64,-200,-200,-71,-81,-77,-200,-40,-79,-84,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-82,-200,-64,-200,-75,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-79,-74,-200,-200,-200,-81,-88,-200,-200,-200,-200,-200,-200,-200
1526460351928,-32,-35,-51,-41,-45,-52,-53,-54,-200,-53,-65,-69,-54,-57,-66,-38,-50,-57,-67,-64,-72,-67,-64,-80,-70,-200,-76,-63,-75,-70,-200,-73,-200,-83,-200,-80,-200,-200,-200,-200,-82,-72,-200,-76,-75,-200,-82,-79,-200,-79,-86,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-71,-200,-78,-200,-200,-200,-200,-200,-87,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460354985,-34,-36,-45,-78,-44,-54,-50,-44,-46,-53,-59,-57,-51,-53,-63,-40,-53,-57,-59,-63,-68,-63,-67,-70,-76,-78,-74,-61,-75,-70,-200,-73,-200,-83,-75,-80,-200,-200,-200,-200,-82,-72,-200,-79,-79,-200,-82,-79,-86,-74,-86,-200,-74,-200,-79,-200,-200,-200,-200,-82,-200,-71,-200,-78,-200,-200,-200,-200,-73,-87,-77,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-81,-74,-200,-200,-200,-200,-200,-76,-89,-200,-200,-200,-200,-200
1526460358040,-37,-35,-45,-41,-47,-52,-51,-51,-51,-200,-56,-54,-52,-52,-62,-40,-53,-51,-68,-63,-68,-62,-67,-75,-76,-78,-74,-61,-75,-69,-72,-200,-74,-200,-75,-78,-200,-200,-200,-64,-84,-200,-200,-81,-79,-200,-80,-200,-86,-74,-200,-200,-77,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-76,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-89,-86,-88,-200,-200,-200
1526460361105,-33,-37,-44,-40,-47,-50,-51,-49,-51,-55,-63,-57,-57,-50,-60,-40,-54,-74,-63,-63,-68,-64,-66,-77,-76,-78,-74,-66,-78,-70,-72,-200,-73,-200,-75,-79,-69,-80,-200,-58,-86,-75,-200,-82,-52,-200,-80,-73,-86,-74,-200,-200,-77,-200,-78,-200,-200,-200,-200,-82,-200,-200,-200,-74,-200,-200,-200,-200,-73,-200,-200,-85,-77,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-89,-86,-88,-87,-200,-200
1526460364118,-35,-35,-46,-41,-51,-47,-51,-50,-49,-54,-58,-57,-52,-58,-52,-46,-51,-52,-59,-57,-69,-55,-64,-75,-72,-80,-73,-66,-76,-70,-72,-200,-70,-200,-75,-82,-69,-80,-200,-71,-83,-75,-200,-71,-80,-200,-79,-75,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-82,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-75,-85,-79,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-87,-82,-200
1526460367169,-35,-35,-46,-41,-48,-50,-53,-47,-49,-54,-61,-57,-56,-53,-58,-40,-51,-50,-61,-52,-69,-55,-66,-80,-72,-79,-74,-64,-78,-200,-72,-69,-70,-200,-200,-81,-73,-200,-78,-71,-83,-200,-200,-82,-81,-200,-78,-79,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-80,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-82,-90
1526460370214,-36,-34,-41,-41,-48,-50,-52,-43,-52,-200,-58,-54,-67,-53,-56,-39,-200,-52,-61,-69,-200,-62,-68,-80,-72,-79,-75,-64,-76,-200,-200,-62,-200,-200,-200,-81,-70,-76,-75,-71,-200,-200,-73,-83,-81,-200,-82,-79,-200,-200,-86,-200,-200,-200,-77,-200,-200,-200,-200,-80,-67,-200,-77,-74,-200,-200,-200,-200,-200,-200,-80,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-90
1526460373266,-34,-33,-44,-40,-50,-49,-51,-41,-48,-54,-58,-68,-56,-56,-57,-44,-200,-58,-200,-73,-69,-60,-66,-78,-72,-200,-78,-64,-74,-78,-200,-58,-200,-200,-200,-200,-70,-76,-75,-65,-88,-63,-75,-79,-81,-81,-78,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-80,-67,-200,-77,-78,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
