,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526463121416,-36,-31,-56,-35,-46,-57,-49,-49,-58,-52,-72,-54,-51,-55,-56,-62,-60,-52,-54,-64,-200,-57,-200,-57,-84,-57,-76,-66,-200,-63,-200,-200,-200,-200,-70,-200,-200,-74,-83,-68,-200,-64,-69,-200,-73,-68,-200,-82,-65,-71,-200,-70,-71,-200,-82,-200,-200,-200,-200,-90,-200,-200,-69,-78,-200,-200,-71,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463124459,-36,-31,-57,-34,-46,-57,-54,-52,-59,-52,-74,-52,-44,-56,-54,-62,-54,-84,-55,-64,-200,-58,-200,-56,-84,-57,-76,-66,-73,-62,-200,-68,-200,-200,-70,-200,-200,-74,-83,-68,-200,-64,-69,-200,-72,-92,-200,-74,-65,-70,-200,-70,-71,-200,-83,-200,-200,-200,-200,-90,-200,-80,-69,-78,-77,-200,-65,-200,-77,-69,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463127515,-35,-31,-57,-34,-47,-58,-49,-46,-58,-52,-73,-51,-50,-55,-54,-59,-62,-84,-56,-200,-200,-57,-200,-57,-58,-200,-200,-66,-73,-60,-200,-68,-200,-200,-70,-68,-68,-200,-83,-68,-200,-57,-69,-200,-72,-70,-200,-74,-200,-71,-200,-65,-72,-200,-81,-200,-200,-87,-200,-200,-200,-80,-200,-200,-77,-200,-63,-81,-77,-79,-200,-200,-75,-200,-200,-87,-78,-91,-200,-200,-200,-200,-200,-79,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463130570,-35,-25,-57,-34,-47,-58,-46,-47,-56,-53,-72,-51,-51,-55,-64,-62,-57,-49,-50,-69,-65,-58,-200,-58,-57,-200,-73,-66,-73,-63,-200,-68,-200,-200,-69,-72,-68,-200,-83,-65,-200,-67,-69,-200,-71,-70,-200,-80,-200,-71,-200,-65,-72,-200,-58,-200,-200,-87,-200,-88,-200,-80,-200,-200,-77,-200,-64,-84,-77,-79,-200,-200,-75,-200,-200,-87,-78,-91,-200,-200,-200,-200,-200,-79,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463133607,-34,-28,-57,-38,-46,-60,-46,-47,-60,-59,-74,-54,-48,-67,-56,-62,-57,-58,-53,-69,-65,-56,-200,-59,-57,-54,-73,-66,-71,-63,-67,-200,-66,-200,-70,-71,-200,-200,-200,-69,-200,-81,-200,-200,-70,-200,-71,-80,-200,-66,-200,-200,-72,-200,-84,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-62,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463136638,-37,-64,-54,-50,-47,-58,-55,-47,-59,-52,-75,-51,-48,-67,-55,-66,-64,-52,-50,-69,-63,-56,-69,-57,-57,-58,-75,-67,-71,-63,-67,-200,-66,-200,-70,-71,-200,-200,-200,-68,-200,-68,-200,-200,-73,-200,-76,-80,-200,-71,-200,-67,-72,-200,-83,-200,-200,-200,-200,-89,-200,-200,-68,-200,-78,-200,-62,-73,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-77,-84,-200,-200,-200,-200,-200,-200,-200
1526463139697,-33,-24,-57,-34,-46,-55,-55,-47,-57,-51,-74,-49,-50,-56,-53,-59,-53,-52,-53,-200,-67,-56,-64,-57,-57,-58,-75,-66,-71,-200,-67,-200,-66,-200,-69,-71,-200,-200,-200,-65,-76,-66,-69,-200,-72,-200,-76,-200,-200,-48,-84,-66,-200,-200,-81,-200,-200,-200,-200,-89,-200,-200,-68,-200,-78,-87,-63,-73,-83,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-77,-84,-90,-200,-200,-200,-200,-200,-200
1526463142748,-36,-25,-52,-36,-46,-55,-48,-50,-59,-51,-73,-52,-53,-57,-54,-59,-82,-54,-56,-70,-66,-55,-64,-57,-58,-56,-200,-66,-68,-62,-200,-200,-72,-200,-70,-82,-69,-200,-200,-48,-76,-66,-69,-200,-72,-200,-200,-200,-200,-71,-84,-66,-200,-200,-83,-200,-200,-200,-84,-90,-200,-200,-200,-200,-200,-87,-63,-200,-200,-200,-200,-88,-69,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-84,-200,-200,-90,-83,-88,-200,-200,-200,-200
1526463145756,-35,-25,-59,-37,-46,-200,-49,-46,-59,-68,-74,-52,-51,-57,-61,-61,-52,-74,-53,-71,-66,-58,-66,-57,-58,-61,-79,-66,-68,-63,-200,-68,-72,-200,-69,-71,-69,-200,-200,-67,-200,-82,-60,-200,-72,-65,-200,-200,-69,-72,-82,-67,-200,-200,-74,-86,-200,-200,-84,-90,-200,-80,-71,-200,-200,-200,-58,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-84,-200,-200,-200,-83,-85,-200,-200,-200,-200
1526463148761,-38,-24,-59,-33,-46,-57,-49,-46,-57,-58,-74,-50,-50,-200,-55,-63,-55,-54,-50,-200,-68,-57,-64,-52,-72,-50,-200,-66,-71,-63,-200,-72,-200,-200,-69,-70,-69,-71,-84,-68,-76,-64,-72,-200,-68,-68,-73,-200,-200,-71,-200,-200,-71,-200,-74,-200,-200,-85,-200,-200,-200,-200,-65,-200,-200,-200,-64,-83,-82,-78,-200,-200,-200,-90,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-81,-83,-92,-200,-200,-200,-84,-86,-88,-200
1526463151812,-36,-24,-56,-33,-46,-57,-49,-46,-58,-50,-73,-50,-50,-56,-57,-61,-55,-54,-55,-200,-68,-55,-64,-57,-72,-59,-76,-66,-71,-72,-67,-69,-200,-200,-69,-71,-68,-71,-84,-68,-76,-64,-69,-200,-72,-68,-73,-200,-70,-66,-200,-200,-71,-200,-83,-200,-200,-85,-200,-89,-200,-200,-65,-200,-200,-200,-72,-83,-82,-78,-200,-200,-200,-90,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-81,-83,-92,-200,-82,-200,-84,-86,-88,-200
1526463154885,-32,-25,-55,-35,-47,-59,-50,-47,-59,-50,-73,-52,-44,-56,-53,-59,-52,-53,-53,-68,-68,-57,-64,-62,-72,-58,-76,-66,-71,-72,-66,-81,-200,-200,-70,-71,-68,-72,-84,-69,-76,-65,-74,-200,-72,-68,-73,-80,-70,-71,-81,-200,-71,-200,-83,-200,-200,-85,-200,-89,-200,-200,-65,-200,-200,-200,-72,-83,-82,-78,-200,-200,-69,-90,-200,-200,-79,-90,-200,-200,-200,-200,-200,-200,-81,-83,-92,-200,-82,-200,-84,-86,-88,-84
