,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98
1526452880834,-41,-30,-46,-40,-49,-65,-44,-38,-56,-40,-45,-51,-55,-61,-50,-50,-67,-63,-60,-62,-63,-66,-47,-64,-63,-71,-69,-68,-72,-80,-62,-68,-67,-69,-55,-200,-74,-87,-79,-80,-200,-84,-79,-200,-200,-200,-81,-70,-67,-200,-83,-200,-82,-93,-87,-200,-200,-200,-79,-85,-92,-200,-88,-87,-80,-200,-88,-200,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452883889,-39,-30,-47,-38,-49,-62,-43,-46,-57,-40,-45,-51,-55,-61,-50,-51,-68,-63,-49,-61,-60,-66,-47,-72,-62,-75,-73,-68,-72,-80,-63,-68,-64,-67,-57,-200,-73,-86,-79,-80,-200,-73,-79,-200,-200,-200,-200,-70,-78,-77,-83,-200,-82,-93,-87,-200,-83,-200,-79,-85,-200,-77,-88,-87,-80,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452886930,-41,-30,-46,-37,-48,-62,-46,-35,-58,-40,-49,-51,-57,-59,-46,-51,-68,-62,-49,-61,-60,-66,-49,-72,-62,-75,-77,-67,-72,-80,-62,-68,-64,-67,-57,-200,-74,-86,-79,-79,-200,-73,-79,-200,-200,-200,-200,-70,-68,-77,-83,-200,-81,-93,-87,-200,-83,-200,-79,-200,-200,-77,-88,-200,-80,-200,-200,-69,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452889982,-38,-30,-45,-37,-49,-58,-46,-39,-57,-39,-51,-50,-54,-59,-49,-48,-71,-62,-49,-61,-60,-67,-46,-72,-61,-75,-78,-69,-70,-88,-63,-59,-64,-67,-63,-200,-74,-86,-79,-79,-200,-73,-80,-80,-200,-200,-80,-70,-70,-77,-83,-200,-80,-200,-200,-200,-83,-200,-79,-200,-200,-77,-200,-82,-80,-200,-200,-64,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526452893040,-33,-30,-43,-39,-49,-57,-48,-37,-57,-38,-47,-54,-53,-64,-51,-48,-69,-59,-45,-61,-63,-67,-47,-72,-62,-71,-74,-67,-70,-88,-64,-67,-64,-66,-56,-200,-77,-86,-200,-78,-200,-72,-80,-80,-200,-200,-80,-69,-68,-77,-83,-200,-81,-200,-200,-200,-83,-200,-85,-83,-200,-77,-200,-82,-80,-200,-200,-64,-200,-200,-91,-90,-200,-200,-200,-200,-200,-200,-200
1526452896100,-37,-32,-42,-40,-49,-57,-57,-34,-61,-38,-47,-52,-55,-61,-51,-48,-66,-54,-53,-64,-63,-69,-47,-72,-60,-71,-72,-67,-70,-77,-65,-71,-64,-62,-59,-77,-77,-86,-200,-78,-200,-72,-80,-83,-200,-200,-80,-72,-67,-88,-200,-200,-81,-200,-200,-200,-83,-200,-85,-85,-200,-77,-200,-82,-200,-200,-200,-64,-200,-200,-91,-90,-83,-85,-89,-200,-200,-200,-200
1526452899125,-37,-32,-42,-41,-49,-61,-47,-37,-58,-38,-45,-53,-53,-65,-51,-45,-67,-54,-53,-64,-63,-67,-48,-66,-64,-71,-74,-79,-73,-77,-66,-71,-68,-66,-60,-77,-77,-86,-200,-78,-200,-79,-78,-83,-200,-200,-80,-73,-75,-81,-200,-200,-81,-200,-200,-200,-200,-200,-85,-85,-93,-200,-200,-82,-200,-200,-200,-64,-200,-200,-91,-90,-83,-85,-89,-87,-200,-200,-200
1526452902161,-38,-32,-44,-43,-49,-61,-46,-39,-56,-38,-44,-57,-55,-57,-51,-45,-66,-54,-62,-64,-62,-69,-48,-66,-69,-71,-73,-71,-73,-77,-68,-58,-64,-66,-55,-77,-77,-86,-200,-81,-200,-79,-78,-83,-200,-200,-80,-72,-71,-81,-200,-200,-82,-200,-200,-200,-200,-200,-85,-85,-93,-200,-200,-82,-200,-200,-200,-64,-200,-200,-91,-90,-83,-86,-89,-87,-74,-200,-200
1526452905229,-35,-29,-42,-41,-53,-63,-43,-35,-55,-38,-44,-53,-52,-57,-51,-46,-65,-54,-53,-64,-62,-69,-46,-66,-67,-71,-72,-73,-73,-77,-66,-58,-64,-66,-55,-77,-77,-200,-200,-81,-83,-70,-78,-83,-200,-200,-200,-71,-71,-77,-200,-200,-82,-200,-200,-200,-200,-200,-77,-85,-93,-200,-75,-200,-200,-200,-200,-200,-200,-91,-200,-90,-83,-86,-89,-87,-74,-200,-200
1526452908280,-35,-28,-44,-40,-53,-59,-43,-31,-54,-35,-46,-53,-52,-57,-48,-45,-68,-61,-51,-64,-61,-69,-46,-65,-68,-76,-74,-74,-71,-82,-66,-58,-64,-66,-55,-77,-79,-200,-82,-81,-83,-77,-77,-83,-200,-79,-200,-80,-71,-77,-200,-200,-82,-200,-200,-200,-200,-200,-77,-84,-93,-200,-75,-200,-200,-200,-200,-200,-200,-91,-200,-200,-83,-86,-89,-87,-74,-80,-90
1526452911317,-33,-29,-43,-36,-53,-55,-44,-33,-55,-36,-44,-53,-52,-56,-43,-46,-66,-64,-49,-200,-62,-70,-46,-75,-69,-76,-74,-74,-69,-82,-65,-60,-64,-66,-57,-77,-80,-200,-82,-79,-82,-70,-77,-200,-200,-79,-200,-73,-77,-75,-200,-200,-82,-200,-200,-200,-200,-200,-77,-84,-93,-81,-75,-200,-200,-200,-200,-69,-200,-91,-200,-200,-200,-86,-200,-87,-74,-80,-90
1526452914353,-31,-28,-42,-36,-52,-55,-47,-40,-57,-36,-48,-54,-51,-65,-43,-49,-66,-64,-49,-200,-62,-70,-52,-68,-67,-76,-77,-70,-69,-82,-64,-68,-62,-66,-57,-77,-80,-200,-82,-78,-82,-70,-77,-200,-87,-79,-200,-73,-77,-75,-200,-200,-82,-200,-91,-200,-200,-200,-78,-84,-200,-81,-75,-200,-200,-200,-200,-69,-200,-91,-200,-200,-200,-85,-200,-200,-74,-80,-90
