,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0121.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1
1526457227119,-67,-83,-200,-200,-200,-200,-83,-81,-200,-200,-92,-92,-200,-70,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457227228,-200,-82,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457227333,-67,-83,-200,-79,-82,-200,-84,-82,-84,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457227434,-66,-82,-200,-79,-83,-200,-84,-81,-84,-200,-200,-91,-200,-70,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457227533,-67,-83,-200,-78,-83,-92,-83,-82,-200,-200,-92,-200,-200,-70,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457227627,-200,-200,-200,-200,-83,-200,-200,-81,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457232036,-66,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-91,-200,-200,-200,-200,-96,-200
1526457232149,-200,-78,-200,-200,-82,-200,-200,-76,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526457232253,-65,-200,-93,-77,-83,-91,-200,-200,-200,-200,-200,-87,-200,-67,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457232349,-65,-78,-200,-78,-200,-200,-200,-200,-200,-200,-200,-87,-200,-67,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457232460,-66,-78,-200,-77,-82,-90,-200,-76,-200,-200,-86,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457232572,-66,-200,-200,-200,-200,-200,-200,-76,-200,-200,-91,-86,-200,-200,-200,-90,-200,-200,-200,-200,-200,-97,-200,-200,-200
1526457236999,-200,-81,-200,-91,-82,-93,-200,-85,-200,-200,-87,-97,-200,-74,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-100
1526457237139,-69,-81,-200,-91,-81,-200,-200,-84,-87,-200,-87,-200,-200,-76,-200,-91,-200,-200,-95,-200,-95,-200,-200,-200,-200
1526457237254,-69,-81,-200,-90,-81,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526457237374,-200,-81,-200,-90,-82,-93,-81,-84,-200,-200,-88,-98,-200,-76,-74,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457237462,-70,-200,-200,-90,-200,-200,-200,-84,-86,-200,-87,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457237612,-68,-200,-200,-91,-200,-200,-82,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457242015,-67,-83,-200,-79,-83,-94,-84,-81,-85,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457242133,-67,-83,-200,-200,-82,-200,-84,-80,-200,-200,-92,-89,-200,-69,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457242235,-66,-84,-200,-78,-83,-93,-83,-81,-200,-200,-92,-200,-200,-200,-72,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457242363,-200,-82,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-70,-72,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457242506,-67,-83,-200,-78,-200,-200,-84,-200,-86,-200,-90,-200,-200,-70,-72,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457242616,-200,-200,-200,-78,-200,-200,-83,-200,-200,-200,-200,-200,-200,-69,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457247039,-66,-78,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-67,-73,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457247144,-66,-78,-200,-78,-200,-200,-200,-76,-77,-200,-200,-200,-200,-67,-73,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457247248,-200,-78,-200,-78,-200,-200,-200,-76,-76,-200,-88,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457247351,-200,-78,-93,-77,-83,-91,-200,-76,-77,-200,-89,-200,-200,-66,-73,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526457247453,-66,-78,-93,-200,-200,-89,-200,-76,-76,-200,-89,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457247590,-66,-78,-200,-200,-83,-200,-200,-76,-200,-200,-200,-200,-200,-67,-73,-91,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526457252010,-70,-81,-200,-200,-82,-92,-80,-85,-200,-200,-86,-200,-200,-200,-73,-90,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526457252160,-68,-81,-200,-200,-200,-96,-200,-200,-86,-200,-85,-200,-200,-200,-75,-91,-200,-200,-200,-200,-96,-97,-200,-200,-200
1526457252225,-69,-81,-200,-90,-82,-93,-80,-84,-86,-200,-200,-96,-200,-75,-75,-90,-200,-200,-200,-200,-96,-99,-200,-200,-200
1526457252337,-69,-80,-200,-200,-82,-200,-200,-85,-200,-200,-200,-95,-200,-75,-200,-90,-200,-200,-200,-200,-96,-96,-200,-200,-200
1526457252473,-69,-81,-200,-200,-200,-200,-81,-84,-86,-98,-84,-200,-200,-75,-200,-90,-200,-200,-200,-200,-200,-200,-100,-200,-200
1526457252634,-68,-200,-200,-200,-81,-200,-200,-200,-200,-200,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457257021,-67,-82,-200,-78,-83,-200,-200,-200,-85,-94,-92,-200,-95,-69,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457257133,-67,-200,-200,-200,-84,-92,-83,-200,-85,-92,-200,-92,-200,-70,-72,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457257239,-67,-83,-200,-78,-200,-92,-200,-200,-85,-92,-92,-200,-200,-70,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457257344,-67,-84,-200,-78,-82,-93,-83,-81,-85,-92,-200,-200,-200,-200,-72,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457257438,-200,-83,-200,-200,-82,-200,-200,-80,-84,-93,-200,-200,-200,-69,-71,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457257557,-67,-200,-200,-200,-83,-200,-200,-81,-84,-91,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
