,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0120.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0125.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,null,011a.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526451307447,-200,-85,-200,-200,-200,-75,-200,-200,-200,-200,-200,-93,-200,-200,-200,-82,-200,-200,-89,-200,-85,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-93,-200,-200
1526451308542,-87,-76,-88,-200,-83,-75,-64,-87,-90,-200,-200,-79,-200,-200,-200,-200,-75,-81,-82,-200,-200,-91,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526451309753,-86,-89,-85,-200,-84,-200,-63,-200,-92,-200,-200,-80,-95,-85,-200,-85,-76,-200,-88,-200,-200,-200,-87,-200,-89,-200,-89,-200,-200,-93,-92,-89,-92,-92,-94,-200
1526451312989,-200,-200,-88,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-83,-200,-200,-75,-82,-83,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451314046,-200,-89,-90,-200,-78,-72,-200,-200,-200,-88,-200,-77,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-92,-96,-200,-200,-200,-200,-200,-200,-200
1526451315166,-86,-78,-200,-94,-200,-72,-66,-200,-200,-88,-200,-86,-200,-88,-78,-200,-77,-77,-200,-89,-82,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-95,-200
1526451316365,-82,-200,-200,-200,-83,-200,-68,-200,-200,-79,-200,-79,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526451317470,-88,-200,-200,-96,-200,-200,-63,-200,-200,-200,-92,-80,-200,-84,-84,-90,-200,-200,-200,-200,-82,-91,-200,-200,-200,-200,-95,-98,-200,-200,-200,-200,-200,-200,-200,-200
1526451318544,-78,-200,-200,-200,-80,-200,-200,-88,-200,-93,-91,-84,-200,-200,-200,-200,-200,-79,-87,-200,-79,-94,-86,-87,-200,-200,-97,-89,-200,-93,-200,-87,-200,-200,-200,-200
1526451319748,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-77,-88,-200,-200,-200,-200,-200,-200,-92,-93,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526451320802,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451321878,-200,-90,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-79,-76,-200,-75,-200,-200,-200,-200,-87,-200,-200,-200,-200,-94,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526451322935,-200,-200,-200,-200,-200,-76,-72,-86,-200,-83,-200,-200,-200,-200,-200,-83,-200,-200,-89,-200,-200,-200,-200,-86,-95,-200,-200,-200,-95,-92,-200,-200,-200,-92,-200,-95
1526451324101,-200,-81,-77,-200,-200,-76,-200,-200,-200,-200,-200,-76,-200,-87,-200,-200,-200,-200,-83,-200,-200,-89,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451325248,-200,-200,-200,-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-70,-200,-90,-84,-200,-200,-200,-200,-200,-94,-200,-93,-200,-96,-200,-87,-200,-200,-200
1526451326344,-200,-200,-200,-200,-200,-78,-62,-200,-200,-82,-200,-200,-200,-200,-77,-200,-76,-76,-200,-200,-86,-200,-88,-82,-90,-93,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451327533,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-84,-200,-200,-200,-79,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451328581,-82,-76,-200,-200,-80,-73,-61,-90,-94,-89,-200,-76,-200,-200,-200,-200,-200,-75,-90,-90,-82,-96,-86,-200,-88,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451330782,-200,-200,-200,-200,-200,-70,-200,-200,-200,-78,-200,-77,-200,-88,-200,-200,-75,-79,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451331851,-200,-200,-90,-200,-200,-200,-65,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
