,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526457689467,-52,-41,-45,-56,-51,-65,-59,-66,-68,-67,-72,-63,-69,-64,-67,-73,-72,-87,-75,-200,-78,-78,-79,-72,-200,-78,-79,-81,-78,-81,-86,-82,-73,-75,-81,-83,-88,-83,-83,-84,-85,-85,-89,-77,-200,-86,-86,-87,-200,-89,-84,-200,-92,-200,-88,-90,-200,-89,-200,-88,-92,-93,-200,-86,-92,-86,-89,-91,-89,-200,-74,-91,-91,-90,-82,-200,-91,-86,-90,-91,-200,-200
1526457692477,-43,-33,-43,-60,-55,-56,-57,-64,-68,-68,-71,-62,-68,-74,-67,-80,-75,-81,-77,-200,-82,-79,-78,-72,-200,-79,-82,-81,-79,-77,-80,-85,-82,-76,-81,-78,-80,-83,-83,-84,-85,-88,-89,-83,-89,-86,-86,-87,-200,-90,-84,-200,-90,-93,-88,-90,-200,-91,-90,-88,-200,-91,-94,-89,-92,-86,-89,-200,-89,-90,-74,-91,-91,-90,-90,-200,-91,-86,-90,-91,-200,-200
1526457695518,-44,-43,-42,-66,-65,-56,-59,-76,-72,-69,-71,-73,-71,-84,-74,-80,-70,-86,-77,-200,-76,-79,-75,-76,-200,-80,-80,-81,-78,-77,-81,-85,-88,-77,-79,-78,-84,-83,-89,-84,-85,-88,-81,-80,-89,-89,-86,-79,-200,-90,-84,-200,-90,-93,-87,-200,-200,-91,-90,-88,-91,-91,-88,-79,-92,-89,-89,-200,-89,-90,-81,-91,-91,-90,-90,-91,-91,-86,-90,-91,-200,-200
1526457698556,-38,-36,-44,-60,-57,-55,-59,-71,-68,-68,-68,-67,-67,-84,-69,-80,-76,-86,-79,-69,-83,-80,-77,-74,-200,-81,-81,-83,-77,-75,-80,-85,-81,-77,-75,-83,-85,-83,-87,-84,-85,-86,-81,-80,-90,-89,-86,-84,-200,-90,-88,-200,-90,-93,-88,-200,-200,-91,-89,-88,-91,-91,-88,-86,-92,-89,-200,-200,-200,-90,-81,-200,-200,-200,-90,-91,-200,-200,-92,-200,-200,-200
1526457701595,-38,-36,-43,-62,-54,-56,-66,-75,-68,-68,-71,-65,-73,-78,-71,-77,-77,-86,-76,-86,-77,-80,-76,-77,-200,-81,-81,-83,-78,-75,-80,-83,-82,-76,-75,-82,-85,-83,-87,-200,-85,-86,-86,-83,-90,-91,-86,-86,-200,-89,-92,-200,-90,-93,-88,-200,-200,-91,-89,-95,-91,-91,-88,-86,-200,-92,-200,-200,-200,-90,-81,-200,-200,-200,-90,-91,-200,-200,-92,-87,-94,-200
1526457704620,-42,-35,-43,-59,-63,-54,-67,-72,-68,-70,-70,-65,-67,-79,-81,-82,-77,-83,-78,-86,-85,-80,-77,-80,-200,-86,-81,-83,-76,-86,-82,-83,-90,-84,-74,-82,-87,-85,-89,-89,-84,-91,-84,-81,-89,-85,-84,-86,-200,-88,-92,-93,-93,-90,-89,-200,-200,-91,-91,-95,-87,-200,-200,-86,-200,-88,-92,-90,-200,-79,-200,-200,-200,-200,-92,-200,-91,-200,-82,-86,-94,-200
1526457707655,-40,-35,-43,-62,-55,-56,-55,-73,-67,-69,-69,-65,-67,-79,-66,-74,-74,-84,-76,-86,-77,-80,-76,-80,-200,-86,-80,-83,-76,-77,-80,-83,-80,-75,-76,-80,-88,-83,-86,-89,-84,-87,-84,-84,-89,-85,-84,-85,-200,-88,-92,-93,-92,-90,-89,-89,-200,-92,-91,-80,-87,-200,-200,-86,-200,-88,-91,-90,-200,-79,-200,-200,-200,-200,-92,-93,-90,-200,-91,-91,-94,-200
1526457710685,-38,-35,-43,-62,-56,-54,-58,-82,-65,-72,-68,-63,-64,-78,-65,-73,-78,-83,-77,-72,-78,-80,-77,-73,-200,-78,-81,-84,-78,-78,-80,-200,-82,-76,-76,-80,-88,-83,-85,-89,-84,-85,-84,-84,-89,-85,-84,-87,-200,-88,-88,-93,-92,-90,-89,-89,-200,-92,-89,-88,-88,-91,-200,-83,-200,-88,-91,-90,-200,-79,-200,-93,-200,-200,-92,-92,-90,-200,-90,-91,-200,-200
1526457713730,-38,-38,-42,-59,-53,-57,-58,-79,-71,-79,-70,-65,-66,-78,-67,-80,-75,-84,-78,-72,-81,-79,-76,-43,-200,-78,-81,-84,-76,-78,-86,-200,-82,-76,-76,-83,-88,-83,-85,-200,-84,-85,-84,-82,-89,-86,-85,-86,-200,-89,-88,-93,-92,-90,-89,-89,-200,-91,-89,-88,-88,-92,-200,-83,-200,-87,-92,-90,-200,-200,-200,-92,-200,-200,-92,-92,-92,-200,-90,-91,-200,-200
1526457716759,-38,-37,-42,-61,-56,-60,-53,-74,-73,-71,-71,-65,-66,-81,-70,-72,-76,-83,-77,-75,-83,-79,-75,-43,-200,-78,-82,-84,-76,-78,-80,-200,-80,-76,-78,-81,-88,-84,-89,-89,-84,-86,-84,-82,-88,-86,-85,-86,-200,-89,-88,-200,-90,-200,-86,-89,-200,-91,-89,-88,-89,-92,-200,-83,-200,-87,-92,-200,-200,-200,-200,-92,-200,-92,-88,-92,-89,-88,-90,-91,-200,-200
1526457719801,-38,-36,-42,-58,-55,-57,-58,-70,-73,-73,-72,-61,-67,-80,-65,-72,-77,-83,-78,-88,-88,-78,-75,-83,-200,-80,-80,-84,-80,-79,-80,-84,-88,-85,-75,-81,-200,-84,-87,-89,-84,-86,-83,-85,-88,-86,-85,-85,-200,-89,-88,-200,-90,-200,-86,-92,-200,-91,-89,-88,-89,-92,-91,-84,-200,-87,-92,-88,-200,-200,-200,-92,-200,-92,-88,-92,-89,-88,-84,-91,-200,-200
1526457722844,-38,-35,-42,-59,-55,-59,-58,-70,-70,-71,-72,-63,-66,-80,-72,-72,-67,-82,-76,-88,-79,-80,-76,-80,-200,-80,-77,-83,-80,-79,-85,-82,-81,-81,-79,-83,-87,-82,-85,-89,-85,-87,-83,-84,-91,-90,-83,-83,-200,-90,-88,-200,-90,-200,-88,-92,-200,-89,-92,-87,-89,-92,-90,-83,-200,-87,-92,-90,-200,-200,-200,-92,-200,-92,-88,-200,-90,-88,-84,-90,-200,-92
