,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526449111908,-40,-52,-54,-54,-42,-48,-44,-48,-35,-41,-51,-47,-65,-32,-52,-200,-49,-47,-36,-47,-58,-54,-54,-47,-200,-65,-47,-200,-68,-70,-200,-66,-76,-63,-73,-63,-63,-200,-64,-200,-70,-52,-66,-64,-66,-79,-66,-200,-77,-69,-85,-91,-87,-71,-200,-89,-85,-200,-87,-58,-51,-65,-62,-91,-70,-67,-80,-200,-200,-200,-200
1526449114938,-40,-45,-54,-50,-42,-51,-44,-48,-36,-41,-52,-50,-65,-32,-51,-200,-56,-47,-35,-47,-58,-56,-56,-46,-200,-65,-50,-200,-71,-68,-200,-64,-76,-69,-72,-64,-63,-61,-64,-200,-70,-53,-66,-64,-66,-81,-66,-200,-77,-69,-83,-90,-87,-72,-200,-89,-83,-200,-91,-59,-53,-65,-62,-91,-70,-67,-80,-82,-200,-200,-200
1526449117970,-40,-45,-50,-48,-41,-48,-44,-50,-35,-41,-48,-51,-65,-32,-51,-200,-53,-48,-36,-50,-57,-56,-56,-45,-200,-65,-50,-63,-71,-68,-200,-64,-76,-69,-72,-64,-67,-61,-64,-200,-70,-53,-67,-64,-65,-80,-66,-200,-200,-69,-83,-90,-87,-72,-200,-92,-83,-200,-89,-58,-51,-65,-62,-200,-70,-68,-80,-82,-66,-88,-200
1526449120990,-40,-45,-49,-48,-43,-51,-44,-51,-35,-41,-48,-53,-65,-33,-49,-55,-57,-49,-35,-47,-55,-58,-56,-44,-200,-65,-50,-63,-71,-68,-200,-64,-72,-70,-75,-64,-67,-61,-64,-200,-70,-64,-67,-64,-65,-78,-66,-200,-200,-72,-83,-90,-87,-71,-200,-90,-87,-200,-89,-58,-51,-65,-200,-200,-70,-68,-80,-82,-66,-88,-75
1526449124020,-40,-48,-48,-53,-43,-62,-44,-39,-34,-41,-52,-51,-65,-32,-49,-55,-50,-47,-35,-51,-58,-54,-55,-45,-200,-65,-52,-63,-71,-67,-200,-64,-72,-65,-74,-64,-67,-59,-64,-200,-71,-64,-68,-200,-65,-82,-66,-200,-200,-72,-84,-89,-87,-66,-200,-90,-87,-200,-89,-58,-52,-68,-200,-200,-68,-67,-80,-82,-66,-88,-75
1526449127054,-40,-48,-48,-52,-43,-50,-44,-42,-34,-37,-54,-53,-65,-33,-55,-55,-53,-43,-36,-49,-57,-51,-55,-45,-200,-65,-52,-63,-71,-66,-200,-65,-72,-64,-70,-64,-67,-59,-64,-200,-75,-64,-68,-200,-65,-86,-62,-200,-200,-72,-84,-89,-88,-68,-200,-90,-87,-200,-89,-58,-50,-68,-68,-200,-68,-71,-80,-82,-66,-88,-75
1526449130088,-39,-48,-46,-52,-43,-50,-44,-42,-34,-37,-54,-53,-65,-31,-55,-58,-49,-45,-36,-49,-57,-49,-54,-47,-200,-65,-52,-63,-71,-66,-200,-66,-72,-64,-73,-64,-67,-59,-64,-200,-75,-64,-71,-200,-68,-82,-62,-200,-200,-72,-85,-89,-85,-67,-200,-90,-87,-200,-89,-58,-50,-68,-68,-200,-68,-71,-80,-82,-66,-88,-75
1526449133107,-39,-48,-46,-55,-45,-51,-45,-41,-32,-38,-52,-53,-200,-32,-58,-58,-52,-43,-35,-49,-58,-51,-54,-47,-200,-65,-51,-63,-72,-69,-200,-63,-72,-63,-74,-64,-65,-59,-64,-200,-75,-56,-70,-60,-66,-86,-62,-200,-200,-72,-83,-89,-85,-68,-200,-91,-87,-200,-89,-58,-51,-68,-68,-200,-68,-73,-200,-82,-66,-88,-75
1526449136139,-39,-52,-46,-51,-45,-51,-46,-39,-29,-38,-52,-49,-200,-33,-53,-57,-52,-43,-35,-49,-58,-51,-54,-47,-200,-65,-47,-65,-72,-66,-200,-65,-72,-67,-71,-64,-61,-56,-64,-200,-68,-56,-68,-60,-64,-80,-62,-200,-200,-72,-82,-88,-88,-69,-85,-91,-87,-200,-89,-58,-58,-68,-64,-200,-67,-73,-200,-200,-66,-88,-75
1526449139170,-42,-52,-50,-54,-45,-51,-45,-38,-29,-38,-54,-49,-55,-26,-53,-58,-52,-43,-35,-49,-58,-55,-54,-47,-200,-65,-47,-65,-72,-65,-200,-61,-72,-65,-70,-64,-61,-56,-64,-200,-67,-53,-68,-60,-68,-84,-62,-200,-200,-66,-77,-88,-86,-70,-88,-91,-87,-200,-85,-200,-55,-60,-64,-91,-67,-73,-200,-200,-200,-200,-75
1526449142210,-40,-45,-47,-54,-43,-47,-45,-37,-26,-38,-54,-54,-57,-30,-54,-53,-57,-47,-35,-45,-58,-51,-51,-49,-200,-200,-44,-65,-72,-62,-200,-61,-200,-65,-71,-200,-61,-56,-200,-200,-68,-52,-64,-60,-68,-80,-62,-200,-200,-66,-77,-84,-87,-70,-88,-89,-200,-200,-85,-55,-53,-60,-64,-91,-67,-73,-200,-200,-200,-200,-200
1526449145226,-38,-49,-45,-57,-46,-46,-47,-37,-31,-54,-54,-54,-57,-30,-50,-53,-60,-47,-36,-49,-58,-47,-49,-49,-200,-200,-44,-65,-72,-65,-200,-63,-200,-69,-69,-200,-61,-55,-200,-200,-67,-56,-65,-60,-69,-76,-62,-200,-200,-66,-74,-83,-87,-67,-88,-89,-89,-200,-87,-55,-53,-66,-64,-91,-67,-73,-200,-78,-200,-200,-200
