,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526447410280,-42,-42,-36,-38,-44,-45,-41,-200,-52,-43,-42,-40,-46,-47,-45,-47,-48,-63,-49,-56,-50,-48,-51,-50,-59,-200,-48,-200,-57,-66,-65,-200,-55,-61,-52,-56,-60,-200,-55,-200,-73,-79,-71,-69,-67,-79,-75,-200,-75,-71,-84,-83,-89,-200,-84,-84,-200,-57,-200,-200,-200,-88,-54,-68,-64,-87,-61,-81,-200,-200,-200,-200
1526447413310,-39,-42,-39,-35,-46,-37,-40,-200,-48,-42,-45,-40,-46,-47,-45,-50,-48,-63,-51,-56,-53,-52,-55,-50,-58,-200,-50,-200,-48,-66,-65,-200,-55,-63,-52,-58,-60,-200,-59,-200,-70,-75,-68,-68,-67,-79,-74,-200,-77,-73,-85,-82,-89,-200,-84,-84,-200,-57,-200,-200,-200,-86,-54,-68,-200,-87,-61,-81,-200,-200,-200,-200
1526447416338,-40,-42,-39,-35,-46,-37,-39,-200,-48,-43,-40,-40,-46,-47,-43,-50,-50,-63,-51,-56,-53,-51,-55,-50,-57,-200,-50,-200,-49,-64,-65,-200,-55,-67,-54,-60,-60,-200,-59,-200,-68,-75,-67,-66,-67,-79,-75,-200,-78,-73,-86,-82,-89,-200,-84,-84,-200,-57,-200,-200,-200,-86,-54,-66,-200,-87,-61,-81,-92,-200,-200,-200
1526447419369,-37,-42,-36,-35,-45,-36,-35,-50,-48,-43,-40,-40,-46,-47,-46,-50,-50,-65,-51,-55,-53,-56,-55,-49,-53,-200,-50,-200,-49,-64,-65,-200,-55,-67,-54,-60,-64,-200,-59,-200,-68,-75,-66,-66,-64,-79,-75,-80,-78,-70,-86,-86,-89,-200,-84,-85,-200,-57,-200,-200,-200,-86,-200,-66,-200,-89,-61,-81,-92,-80,-200,-200
1526447422387,-39,-43,-37,-35,-46,-35,-35,-49,-48,-43,-40,-40,-46,-47,-48,-52,-56,-62,-51,-55,-53,-56,-51,-46,-55,-59,-48,-200,-53,-64,-67,-200,-58,-67,-54,-61,-65,-200,-55,-200,-71,-76,-69,-66,-65,-77,-75,-80,-76,-73,-88,-86,-89,-200,-84,-85,-200,-57,-69,-200,-200,-87,-200,-66,-200,-85,-61,-81,-92,-80,-200,-200
1526447425422,-40,-43,-37,-35,-43,-35,-39,-49,-46,-43,-41,-40,-46,-50,-48,-49,-56,-62,-50,-55,-53,-56,-51,-50,-55,-59,-49,-200,-50,-64,-67,-200,-58,-67,-52,-61,-65,-200,-55,-200,-74,-78,-70,-68,-66,-77,-76,-80,-76,-72,-88,-85,-89,-200,-84,-85,-200,-57,-69,-200,-200,-87,-200,-66,-200,-85,-61,-81,-92,-80,-64,-200
1526447428452,-40,-43,-37,-35,-43,-37,-40,-49,-50,-44,-43,-16,-45,-50,-40,-49,-56,-62,-50,-58,-53,-53,-49,-51,-51,-59,-49,-200,-50,-68,-67,-200,-62,-67,-53,-63,-60,-200,-55,-200,-72,-80,-69,-65,-66,-77,-71,-80,-78,-73,-88,-85,-88,-200,-200,-85,-200,-200,-69,-200,-73,-87,-200,-66,-200,-85,-60,-200,-92,-80,-64,-73
1526447431481,-41,-43,-34,-34,-45,-36,-40,-49,-50,-44,-43,-35,-46,-52,-41,-50,-56,-62,-50,-58,-51,-52,-49,-51,-55,-59,-53,-200,-50,-64,-67,-200,-59,-61,-52,-59,-60,-200,-55,-200,-70,-72,-69,-69,-66,-77,-77,-80,-76,-71,-89,-85,-88,-200,-200,-85,-200,-200,-69,-200,-73,-87,-200,-66,-200,-86,-60,-200,-91,-77,-64,-73
1526447434494,-37,-45,-37,-34,-48,-36,-36,-49,-50,-44,-41,-40,-46,-50,-46,-50,-48,-62,-50,-57,-50,-58,-50,-51,-55,-59,-53,-200,-49,-64,-67,-200,-57,-61,-50,-59,-60,-200,-55,-68,-70,-70,-68,-68,-66,-77,-74,-80,-76,-73,-89,-85,-88,-200,-200,-84,-200,-200,-69,-200,-73,-87,-200,-66,-200,-89,-61,-200,-91,-77,-64,-73
1526447437508,-38,-48,-37,-33,-48,-40,-38,-49,-50,-43,-44,-45,-46,-58,-55,-52,-48,-62,-50,-57,-50,-55,-50,-51,-54,-59,-53,-200,-52,-64,-67,-200,-57,-61,-53,-60,-60,-200,-55,-68,-70,-70,-71,-64,-64,-77,-78,-80,-81,-71,-89,-85,-89,-200,-200,-87,-200,-200,-69,-200,-73,-87,-200,-200,-200,-89,-62,-200,-91,-77,-64,-73
1526447440518,-42,-48,-37,-37,-44,-40,-43,-49,-50,-47,-44,-47,-52,-58,-49,-52,-47,-62,-49,-57,-50,-54,-56,-46,-50,-59,-49,-200,-52,-64,-67,-200,-60,-61,-53,-62,-64,-200,-57,-68,-73,-70,-71,-71,-64,-77,-79,-200,-84,-76,-89,-84,-89,-200,-200,-88,-200,-200,-69,-200,-73,-88,-200,-200,-200,-89,-62,-200,-91,-77,-64,-73
1526447443530,-42,-48,-40,-38,-44,-43,-43,-200,-48,-43,-43,-43,-47,-53,-53,-52,-49,-200,-48,-53,-50,-54,-56,-50,-51,-200,-46,-62,-47,-68,-67,-65,-59,-61,-57,-60,-64,-200,-57,-68,-71,-70,-68,-67,-65,-200,-73,-200,-80,-72,-89,-81,-86,-91,-88,-85,-200,-200,-200,-200,-73,-88,-200,-200,-200,-89,-62,-200,-91,-77,-64,-73
