,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D00EC0,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
1526465295224,-39,-53,-52,-41,-53,-53,-54,-53,-54,-55,-52,-65,-57,-74,-63,-65,-68,-72,-61,-59,-69,-200,-70,-62,-85,-89,-69,-83,-68,-84,-79,-73,-200,-73,-69,-65,-80,-81,-200,-71,-80,-200,-78,-78,-74,-82,-92,-82,-73,-79,-86,-79,-89,-89,-85,-82,-91,-92,-92,-96,-200,-95,-95,-56,-67,-73,-80,-80,-73,-80,-75,-84,-97,-86,-200,-89,-90,-88,-92,-94,-87,-200,-200,-200,-200,-83,-88,-78,-88,-200,-94,-66,-83,-200,-88,-95,-96,-93,-95,-200,-200,-200,-200,-200,-200,-200
1526465298277,-40,-54,-47,-44,-54,-51,-59,-52,-51,-59,-53,-62,-56,-71,-64,-71,-67,-69,-63,-59,-68,-200,-72,-60,-78,-200,-73,-74,-64,-84,-71,-66,-81,-73,-70,-72,-78,-80,-200,-71,-82,-59,-80,-75,-74,-80,-91,-82,-73,-79,-200,-78,-89,-87,-200,-84,-89,-91,-92,-200,-200,-95,-200,-54,-68,-77,-80,-80,-65,-80,-72,-84,-97,-200,-200,-89,-85,-88,-93,-94,-88,-200,-95,-92,-200,-83,-87,-78,-89,-200,-95,-66,-200,-200,-200,-200,-96,-93,-95,-200,-200,-200,-200,-200,-200,-200
1526465301330,-43,-56,-52,-47,-54,-51,-58,-50,-47,-58,-53,-61,-57,-73,-59,-72,-69,-61,-67,-63,-69,-200,-66,-61,-79,-200,-81,-80,-71,-80,-75,-64,-71,-71,-70,-68,-79,-78,-200,-71,-84,-61,-79,-75,-200,-87,-93,-81,-200,-72,-87,-77,-200,-90,-86,-84,-90,-92,-92,-96,-200,-200,-200,-56,-71,-78,-78,-200,-76,-84,-71,-85,-200,-200,-88,-90,-87,-88,-93,-94,-87,-200,-95,-92,-200,-200,-87,-200,-89,-200,-95,-200,-84,-200,-200,-93,-200,-200,-94,-91,-95,-200,-200,-200,-200,-200
1526465304381,-42,-52,-52,-46,-52,-50,-57,-52,-48,-56,-55,-67,-54,-75,-61,-75,-65,-62,-62,-60,-69,-200,-72,-57,-80,-200,-77,-77,-59,-84,-74,-66,-71,-72,-71,-74,-78,-79,-200,-72,-82,-61,-79,-75,-200,-78,-93,-81,-87,-72,-87,-75,-200,-91,-88,-84,-90,-92,-92,-96,-200,-200,-94,-52,-70,-78,-78,-75,-74,-84,-71,-85,-200,-200,-88,-90,-86,-88,-93,-94,-85,-200,-95,-92,-97,-200,-87,-200,-89,-200,-95,-67,-84,-200,-200,-93,-200,-200,-95,-91,-95,-96,-200,-200,-200,-200
1526465307442,-44,-54,-50,-44,-55,-51,-58,-48,-52,-60,-53,-69,-55,-74,-62,-70,-67,-69,-62,-61,-66,-79,-73,-59,-79,-200,-78,-78,-72,-83,-75,-65,-77,-71,-72,-74,-77,-77,-200,-74,-83,-58,-78,-71,-200,-81,-91,-84,-81,-72,-87,-79,-200,-91,-88,-82,-90,-90,-90,-96,-200,-200,-94,-55,-78,-76,-78,-76,-71,-84,-73,-85,-200,-200,-88,-90,-89,-87,-93,-95,-85,-200,-200,-200,-97,-80,-200,-200,-89,-200,-200,-82,-84,-200,-200,-93,-200,-200,-93,-95,-95,-96,-94,-200,-200,-200
1526465310490,-42,-50,-47,-45,-51,-52,-59,-52,-51,-61,-47,-66,-60,-75,-61,-72,-67,-69,-66,-61,-68,-79,-73,-60,-79,-200,-78,-77,-61,-82,-75,-64,-72,-63,-72,-70,-81,-77,-200,-74,-85,-58,-78,-71,-200,-81,-92,-84,-85,-200,-86,-79,-200,-90,-88,-83,-90,-91,-90,-200,-200,-200,-94,-55,-78,-78,-78,-76,-71,-200,-72,-200,-200,-200,-200,-88,-89,-87,-93,-92,-89,-200,-200,-200,-97,-80,-93,-200,-89,-200,-200,-82,-200,-200,-200,-200,-95,-200,-96,-95,-200,-96,-94,-86,-200,-200
1526465313541,-42,-54,-47,-43,-55,-50,-60,-54,-51,-59,-54,-68,-57,-76,-64,-67,-67,-69,-62,-62,-68,-79,-74,-58,-81,-200,-78,-79,-71,-81,-71,-65,-73,-70,-74,-69,-82,-78,-200,-75,-82,-58,-74,-69,-82,-80,-91,-84,-85,-79,-86,-76,-200,-91,-200,-83,-88,-92,-94,-200,-200,-200,-200,-56,-69,-78,-78,-76,-71,-200,-71,-85,-200,-200,-200,-89,-89,-87,-96,-93,-87,-200,-200,-200,-200,-80,-93,-66,-200,-93,-200,-82,-200,-200,-200,-200,-94,-94,-97,-95,-200,-200,-94,-89,-200,-200
1526465316596,-44,-52,-51,-44,-52,-52,-61,-52,-48,-52,-54,-63,-57,-75,-60,-66,-65,-62,-67,-59,-69,-79,-61,-60,-80,-200,-77,-80,-61,-81,-72,-64,-71,-72,-69,-69,-76,-77,-200,-71,-87,-60,-80,-69,-69,-80,-91,-200,-85,-82,-89,-77,-200,-91,-82,-81,-88,-92,-94,-200,-200,-200,-200,-52,-69,-78,-78,-77,-72,-200,-71,-85,-200,-200,-83,-88,-89,-200,-96,-93,-86,-200,-200,-92,-200,-80,-93,-81,-200,-93,-200,-84,-200,-200,-200,-200,-94,-92,-97,-200,-200,-200,-200,-89,-200,-200
1526465319644,-42,-50,-50,-43,-53,-57,-60,-51,-49,-62,-55,-63,-60,-74,-57,-66,-69,-62,-61,-59,-69,-79,-64,-59,-79,-84,-75,-77,-62,-81,-72,-64,-75,-72,-74,-72,-80,-76,-200,-69,-85,-60,-80,-69,-69,-80,-91,-200,-200,-82,-89,-77,-200,-92,-82,-81,-88,-91,-94,-200,-200,-200,-200,-60,-72,-78,-78,-75,-71,-200,-71,-85,-200,-200,-83,-90,-89,-200,-96,-92,-88,-200,-200,-92,-200,-80,-200,-81,-90,-93,-200,-82,-200,-200,-200,-200,-94,-95,-94,-200,-200,-200,-200,-81,-85,-200
1526465322694,-41,-50,-49,-44,-50,-52,-60,-52,-49,-58,-54,-66,-55,-75,-61,-67,-70,-66,-61,-62,-69,-79,-71,-62,-81,-84,-78,-78,-62,-81,-72,-66,-66,-72,-76,-73,-80,-77,-200,-69,-81,-62,-80,-71,-85,-80,-91,-200,-200,-83,-88,-77,-90,-92,-88,-81,-90,-92,-95,-200,-200,-200,-200,-55,-72,-78,-78,-77,-68,-200,-70,-200,-200,-200,-86,-90,-90,-200,-200,-95,-88,-200,-200,-92,-200,-79,-200,-81,-90,-200,-200,-83,-82,-200,-200,-200,-200,-95,-94,-200,-200,-200,-200,-81,-85,-200
1526465325752,-46,-56,-51,-42,-55,-57,-61,-48,-47,-61,-52,-66,-61,-77,-62,-64,-67,-65,-60,-59,-68,-79,-71,-59,-81,-86,-78,-79,-60,-81,-73,-67,-71,-72,-75,-73,-79,-77,-200,-74,-84,-64,-80,-71,-85,-74,-91,-89,-200,-82,-88,-77,-90,-90,-88,-82,-90,-92,-95,-200,-200,-96,-97,-58,-72,-76,-200,-77,-70,-200,-70,-200,-200,-200,-86,-88,-90,-87,-94,-95,-87,-98,-200,-92,-200,-80,-200,-80,-90,-200,-200,-83,-80,-200,-200,-200,-96,-95,-96,-200,-200,-96,-200,-81,-85,-200
1526465328806,-46,-57,-52,-43,-48,-52,-60,-52,-47,-59,-56,-65,-61,-77,-61,-64,-67,-63,-62,-58,-68,-79,-71,-58,-78,-86,-81,-80,-63,-80,-72,-65,-69,-72,-77,-73,-81,-79,-86,-72,-77,-61,-77,-76,-85,-79,-94,-80,-200,-81,-88,-78,-88,-90,-88,-84,-92,-91,-95,-200,-200,-96,-97,-56,-69,-77,-80,-77,-68,-200,-71,-200,-200,-200,-86,-88,-90,-88,-94,-92,-88,-98,-200,-92,-200,-80,-200,-81,-200,-200,-200,-83,-80,-200,-200,-200,-96,-200,-96,-93,-200,-96,-200,-200,-200,-93
