,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A28,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526465441729,-39,-43,-42,-53,-52,-54,-36,-55,-42,-47,-67,-74,-54,-64,-58,-76,-74,-63,-61,-64,-200,-62,-61,-54,-32,-63,-61,-54,-73,-79,-64,-60,-72,-72,-78,-64,-65,-72,-76,-73,-75,-78,-78,-81,-200,-200,-77,-86,-82,-83,-88,-79,-78,-200,-78,-84,-75,-70,-88,-94,-200,-81,-85,-80,-87,-74,-85,-88,-89,-83,-92,-200,-94,-200,-84,-200,-94,-94,-200,-200,-200,-92,-200,-200,-70,-80,-72,-80,-83,-92,-200,-94,-96,-77,-80,-200,-200,-94,-97,-97,-200,-87,-95,-200,-200,-61,-75,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465444803,-43,-51,-43,-53,-50,-48,-40,-53,-47,-50,-63,-74,-54,-63,-56,-76,-74,-63,-63,-62,-200,-63,-61,-56,-36,-63,-62,-54,-71,-78,-64,-55,-66,-74,-78,-65,-64,-72,-73,-77,-74,-78,-78,-85,-200,-200,-78,-86,-82,-83,-88,-78,-80,-81,-77,-84,-77,-72,-88,-94,-200,-81,-89,-78,-87,-73,-88,-89,-85,-84,-92,-200,-94,-200,-83,-200,-92,-94,-200,-200,-200,-91,-200,-200,-70,-80,-78,-79,-200,-92,-94,-93,-96,-77,-80,-200,-200,-93,-97,-97,-200,-87,-95,-95,-200,-61,-79,-200,-96,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526465447861,-42,-45,-47,-58,-49,-51,-37,-51,-43,-47,-63,-74,-60,-63,-59,-74,-71,-58,-67,-69,-200,-50,-64,-48,-35,-62,-58,-52,-72,-80,-64,-63,-64,-74,-200,-66,-64,-72,-73,-72,-70,-77,-76,-85,-200,-200,-78,-200,-82,-80,-91,-78,-80,-81,-79,-84,-77,-71,-87,-94,-200,-82,-89,-78,-87,-73,-84,-89,-89,-83,-200,-200,-94,-200,-82,-200,-87,-94,-200,-200,-200,-91,-200,-200,-72,-84,-72,-79,-78,-87,-93,-93,-200,-200,-78,-200,-200,-93,-97,-200,-200,-87,-95,-95,-84,-75,-75,-200,-96,-87,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526465450919,-42,-43,-48,-56,-52,-49,-39,-53,-42,-46,-65,-70,-51,-60,-52,-79,-71,-60,-65,-63,-77,-62,-54,-59,-36,-59,-58,-55,-72,-74,-58,-60,-63,-73,-200,-64,-64,-67,-73,-80,-69,-77,-76,-85,-200,-200,-85,-200,-82,-79,-91,-76,-78,-82,-80,-200,-78,-71,-90,-87,-200,-84,-89,-78,-87,-73,-83,-90,-85,-83,-94,-96,-200,-83,-85,-200,-94,-94,-200,-200,-200,-91,-95,-200,-72,-84,-72,-79,-86,-95,-93,-93,-95,-75,-79,-200,-200,-93,-200,-200,-200,-200,-200,-95,-84,-75,-75,-200,-200,-87,-87,-86,-200,-200,-200,-200,-200,-200,-200
1526465453979,-42,-53,-43,-53,-50,-47,-36,-52,-43,-48,-63,-76,-53,-61,-57,-75,-77,-64,-61,-62,-77,-61,-63,-49,-37,-59,-61,-53,-73,-79,-65,-61,-62,-69,-77,-64,-62,-73,-75,-76,-65,-81,-78,-87,-200,-200,-82,-200,-78,-75,-87,-80,-77,-82,-75,-200,-75,-71,-87,-89,-200,-81,-89,-78,-87,-78,-86,-90,-89,-84,-94,-96,-200,-93,-83,-200,-86,-200,-200,-200,-200,-200,-95,-200,-72,-74,-74,-79,-86,-91,-93,-200,-95,-88,-79,-200,-200,-89,-200,-200,-72,-200,-200,-200,-84,-75,-74,-200,-200,-200,-87,-86,-61,-200,-200,-200,-200,-200,-200
1526465457031,-42,-40,-46,-65,-52,-49,-45,-53,-43,-47,-65,-76,-51,-65,-59,-74,-69,-63,-72,-65,-80,-56,-66,-52,-35,-63,-64,-57,-71,-79,-60,-63,-62,-73,-77,-64,-62,-73,-75,-83,-68,-72,-78,-90,-200,-200,-78,-82,-80,-75,-87,-79,-77,-84,-78,-200,-75,-71,-88,-87,-200,-81,-89,-78,-87,-73,-87,-91,-87,-84,-94,-96,-92,-84,-84,-200,-87,-200,-200,-200,-200,-92,-95,-200,-72,-65,-74,-79,-86,-86,-90,-200,-95,-77,-78,-200,-200,-90,-94,-200,-72,-200,-200,-200,-200,-200,-74,-96,-200,-200,-87,-86,-61,-200,-200,-200,-200,-200,-200
1526465460084,-45,-38,-45,-59,-52,-51,-39,-55,-47,-46,-68,-76,-50,-66,-59,-74,-67,-58,-70,-61,-80,-65,-66,-52,-39,-64,-64,-53,-71,-81,-62,-66,-63,-66,-77,-67,-63,-72,-71,-77,-69,-74,-78,-90,-200,-200,-76,-82,-74,-75,-89,-76,-77,-84,-74,-200,-79,-78,-84,-87,-74,-82,-88,-78,-200,-73,-87,-88,-83,-83,-94,-95,-92,-92,-83,-200,-89,-96,-200,-200,-200,-93,-200,-200,-72,-65,-74,-200,-200,-90,-93,-200,-200,-84,-76,-200,-200,-93,-94,-200,-69,-200,-200,-95,-200,-200,-74,-96,-200,-200,-200,-84,-61,-200,-200,-200,-200,-200,-200
1526465463139,-44,-36,-43,-59,-52,-49,-37,-56,-46,-48,-64,-74,-58,-62,-55,-74,-69,-52,-70,-60,-80,-66,-63,-52,-37,-62,-72,-56,-72,-75,-61,-67,-62,-68,-200,-64,-61,-71,-73,-78,-68,-75,-77,-89,-200,-200,-77,-82,-73,-79,-89,-76,-79,-84,-72,-200,-73,-78,-82,-87,-77,-81,-88,-200,-200,-72,-86,-89,-81,-83,-200,-95,-93,-92,-85,-200,-89,-96,-200,-200,-200,-93,-95,-200,-70,-78,-200,-79,-200,-88,-93,-200,-200,-84,-73,-200,-200,-92,-94,-96,-65,-200,-200,-95,-200,-200,-82,-96,-200,-200,-200,-84,-73,-200,-200,-200,-200,-200,-200
1526465466194,-46,-36,-44,-56,-52,-49,-40,-55,-46,-44,-68,-74,-50,-62,-62,-74,-70,-60,-70,-60,-200,-67,-65,-52,-39,-63,-70,-61,-67,-77,-61,-63,-65,-66,-200,-63,-61,-71,-73,-80,-66,-74,-77,-86,-200,-200,-76,-78,-78,-79,-89,-76,-77,-200,-74,-200,-74,-78,-81,-200,-77,-83,-87,-200,-200,-74,-86,-89,-82,-86,-200,-95,-93,-92,-83,-200,-92,-96,-200,-200,-200,-93,-95,-200,-70,-78,-77,-79,-200,-87,-93,-200,-200,-84,-78,-200,-200,-93,-200,-96,-66,-89,-200,-95,-200,-200,-64,-200,-200,-200,-200,-84,-74,-90,-94,-200,-200,-200,-200
1526465469248,-44,-40,-44,-60,-50,-49,-38,-55,-45,-49,-59,-75,-51,-63,-61,-75,-72,-63,-70,-59,-200,-63,-65,-56,-37,-65,-70,-53,-70,-80,-60,-61,-62,-71,-200,-64,-62,-71,-77,-80,-68,-76,-77,-90,-200,-200,-75,-81,-78,-82,-90,-76,-77,-200,-73,-200,-74,-76,-85,-88,-77,-82,-87,-200,-200,-73,-88,-90,-81,-86,-200,-93,-93,-89,-81,-200,-91,-95,-88,-200,-200,-94,-95,-200,-72,-78,-82,-81,-200,-91,-200,-200,-200,-80,-77,-200,-200,-93,-200,-96,-66,-89,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-74,-90,-94,-96,-200,-200,-200
1526465472304,-46,-37,-41,-65,-51,-45,-37,-53,-48,-45,-63,-75,-51,-63,-58,-72,-73,-64,-71,-62,-200,-62,-56,-53,-39,-65,-65,-52,-69,-77,-60,-65,-63,-65,-200,-64,-62,-200,-73,-79,-72,-76,-200,-90,-200,-200,-76,-81,-77,-81,-91,-77,-76,-200,-75,-200,-74,-76,-85,-89,-200,-84,-87,-200,-87,-74,-88,-91,-82,-86,-200,-93,-93,-85,-82,-85,-87,-95,-86,-200,-200,-94,-200,-200,-71,-77,-74,-81,-200,-86,-89,-200,-200,-83,-80,-200,-200,-93,-200,-200,-66,-89,-200,-200,-200,-81,-75,-200,-200,-200,-200,-200,-74,-90,-94,-96,-94,-200,-200
1526465475366,-45,-40,-43,-62,-56,-49,-38,-54,-43,-46,-66,-75,-59,-63,-56,-74,-72,-56,-70,-60,-200,-64,-66,-53,-35,-64,-65,-46,-68,-79,-60,-64,-62,-65,-76,-64,-65,-70,-71,-79,-73,-74,-200,-93,-85,-200,-75,-81,-77,-81,-91,-76,-76,-200,-75,-200,-78,-76,-80,-89,-76,-82,-86,-200,-87,-73,-88,-90,-82,-85,-200,-93,-93,-85,-81,-85,-89,-92,-86,-200,-200,-93,-200,-200,-71,-74,-74,-81,-200,-86,-89,-200,-200,-78,-81,-200,-200,-91,-200,-200,-67,-200,-200,-200,-200,-81,-73,-200,-200,-76,-200,-200,-200,-200,-200,-96,-94,-89,-95
