,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526460939213,-30,-33,-41,-49,-41,-47,-37,-54,-56,-70,-62,-56,-56,-52,-53,-49,-56,-64,-63,-63,-57,-62,-63,-66,-68,-66,-69,-53,-77,-70,-69,-52,-64,-200,-76,-64,-74,-200,-81,-72,-80,-76,-62,-200,-82,-200,-200,-76,-200,-82,-200,-74,-200,-200,-200,-80,-200,-200,-200,-200,-77,-200,-200,-200,-76,-200,-200,-200,-88,-200,-200,-80,-200,-200,-90,-70,-200,-200,-200,-86,-88,-89,-66,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460942220,-30,-35,-41,-47,-41,-52,-39,-48,-56,-56,-62,-55,-76,-71,-55,-48,-57,-64,-63,-64,-59,-63,-62,-200,-62,-63,-69,-52,-72,-70,-67,-51,-67,-71,-72,-65,-73,-200,-60,-72,-79,-77,-91,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-76,-76,-200,-200,-200,-88,-200,-200,-80,-200,-81,-90,-70,-200,-200,-84,-200,-200,-200,-65,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460945269,-30,-34,-40,-49,-45,-51,-42,-76,-200,-56,-57,-57,-56,-58,-54,-48,-55,-65,-200,-63,-65,-56,-64,-85,-62,-66,-68,-42,-66,-200,-68,-52,-67,-69,-77,-64,-73,-200,-60,-200,-80,-78,-91,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-87,-200,-86,-200,-84,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526460948291,-31,-50,-42,-59,-38,-51,-38,-71,-54,-70,-59,-55,-71,-72,-55,-48,-55,-63,-200,-63,-66,-64,-64,-69,-70,-65,-67,-77,-81,-71,-76,-53,-69,-69,-76,-64,-73,-200,-59,-81,-80,-78,-91,-90,-76,-200,-200,-87,-200,-200,-200,-200,-92,-200,-200,-91,-200,-200,-200,-200,-90,-200,-200,-87,-200,-200,-82,-85,-88,-200,-200,-200,-200,-81,-200,-71,-200,-200,-87,-200,-86,-200,-84,-200,-86,-82,-200,-200,-200,-200,-200,-200,-200
1526460951336,-31,-35,-41,-47,-44,-92,-56,-49,-54,-55,-57,-56,-57,-72,-55,-48,-55,-63,-62,-59,-66,-59,-78,-69,-69,-67,-68,-77,-81,-83,-76,-52,-64,-200,-75,-71,-63,-200,-59,-81,-80,-78,-200,-90,-83,-82,-200,-87,-200,-200,-200,-200,-92,-200,-200,-91,-200,-200,-200,-200,-90,-200,-200,-87,-200,-200,-82,-85,-88,-200,-200,-200,-200,-200,-200,-71,-200,-200,-87,-200,-200,-200,-200,-200,-87,-82,-200,-200,-200,-200,-200,-200,-200
1526460954395,-30,-38,-41,-45,-41,-49,-38,-48,-54,-55,-57,-56,-59,-61,-54,-49,-55,-63,-63,-52,-61,-53,-63,-67,-69,-67,-65,-53,-81,-68,-76,-50,-67,-69,-76,-64,-73,-200,-59,-81,-80,-78,-63,-90,-81,-82,-200,-84,-200,-200,-200,-200,-92,-200,-200,-91,-200,-200,-200,-200,-90,-200,-200,-87,-200,-200,-82,-85,-88,-200,-200,-200,-200,-200,-200,-71,-200,-200,-87,-200,-200,-200,-200,-200,-87,-82,-82,-200,-200,-200,-200,-200,-200
1526460957439,-31,-35,-42,-46,-42,-47,-52,-50,-200,-50,-60,-56,-59,-61,-54,-47,-56,-67,-60,-62,-59,-59,-64,-69,-69,-68,-69,-50,-200,-69,-69,-50,-73,-70,-76,-64,-73,-200,-200,-200,-79,-77,-63,-79,-81,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-89,-200,-200,-200,-76,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526460960449,-35,-34,-41,-55,-46,-46,-42,-50,-56,-50,-61,-58,-57,-57,-54,-50,-56,-65,-60,-61,-57,-59,-64,-69,-69,-68,-67,-53,-75,-73,-78,-53,-67,-81,-73,-65,-200,-200,-64,-200,-78,-77,-63,-79,-75,-200,-79,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-86,-200,-200,-200,-76,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526460963515,-14,-32,-44,-52,-43,-47,-41,-68,-56,-55,-58,-56,-60,-57,-57,-48,-57,-78,-57,-64,-66,-200,-65,-68,-71,-67,-67,-43,-75,-75,-75,-53,-67,-81,-73,-65,-83,-200,-64,-76,-77,-78,-63,-200,-84,-200,-79,-200,-87,-81,-200,-200,-200,-88,-75,-79,-200,-88,-200,-200,-200,-200,-74,-200,-79,-76,-79,-84,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-86,-200,-200,-200,-66,-200,-83,-200,-77,-81,-79,-85,-88,-89,-200
1526460966573,-30,-34,-42,-44,-44,-45,-39,-57,-200,-56,-58,-55,-58,-56,-58,-46,-57,-80,-57,-66,-66,-67,-79,-68,-68,-65,-69,-43,-67,-72,-80,-200,-61,-200,-72,-73,-83,-200,-200,-76,-57,-79,-200,-200,-84,-200,-79,-200,-200,-78,-200,-200,-200,-88,-75,-77,-200,-86,-200,-200,-75,-200,-74,-80,-77,-81,-79,-84,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-85,-200,-200,-200,-76,-200,-83,-200,-81,-200,-79,-85,-88,-89,-200
1526460969627,-27,-38,-42,-44,-52,-46,-37,-49,-56,-55,-56,-55,-63,-56,-54,-56,-60,-80,-58,-65,-62,-63,-66,-66,-68,-65,-75,-63,-67,-72,-82,-89,-60,-73,-73,-73,-71,-84,-200,-77,-56,-75,-62,-200,-82,-200,-79,-200,-200,-78,-74,-200,-200,-88,-75,-77,-200,-86,-200,-200,-75,-200,-74,-80,-79,-81,-80,-84,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-83,-200,-200,-200,-72,-88,-83,-200,-76,-200,-79,-85,-88,-89,-200
1526460972686,-31,-34,-45,-45,-49,-44,-39,-49,-56,-55,-56,-55,-63,-200,-62,-62,-54,-62,-61,-65,-62,-58,-63,-70,-69,-69,-69,-52,-79,-69,-75,-89,-57,-76,-73,-74,-76,-84,-200,-81,-73,-75,-62,-200,-83,-200,-79,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-79,-83,-80,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-67,-88,-89,-200,-76,-200,-200,-200,-200,-200,-86
