,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526452772742,-91,-200,-78,-200,-200,-72,-89,-87,-200,-90,-200,-90,-85,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452772841,-200,-93,-79,-78,-73,-73,-200,-200,-200,-89,-200,-200,-89,-86,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452772982,-200,-200,-78,-78,-73,-73,-200,-200,-200,-89,-81,-91,-89,-200,-200,-96,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526452773079,-200,-200,-79,-78,-73,-200,-200,-86,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452777402,-200,-200,-74,-84,-72,-200,-83,-200,-80,-82,-68,-92,-80,-82,-79,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526452777531,-200,-200,-73,-85,-73,-63,-83,-200,-80,-200,-68,-200,-79,-200,-200,-200,-200,-91,-200,-200,-89,-200,-200,-200,-200
1526452777639,-81,-200,-76,-200,-72,-200,-83,-200,-200,-200,-68,-93,-200,-200,-200,-200,-200,-90,-93,-200,-90,-200,-200,-200,-200
1526452777740,-200,-200,-200,-85,-72,-63,-82,-82,-200,-200,-68,-93,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452777875,-82,-200,-74,-84,-200,-63,-200,-200,-200,-82,-68,-200,-200,-83,-79,-200,-200,-90,-93,-200,-90,-200,-200,-200,-200
1526452777971,-82,-200,-74,-84,-72,-200,-200,-82,-200,-82,-200,-93,-78,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452782393,-200,-200,-200,-77,-65,-200,-83,-72,-90,-83,-200,-200,-79,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526452782532,-200,-200,-72,-200,-200,-200,-200,-72,-200,-83,-75,-98,-200,-200,-82,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526452782639,-86,-87,-72,-200,-200,-62,-200,-200,-90,-83,-200,-200,-200,-200,-82,-200,-93,-82,-200,-200,-200,-200,-200,-200,-200
1526452782738,-200,-200,-72,-77,-200,-63,-200,-72,-91,-83,-200,-200,-79,-200,-200,-200,-91,-82,-200,-200,-200,-200,-200,-200,-200
1526452782843,-84,-200,-200,-200,-200,-63,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526452782956,-85,-86,-78,-200,-65,-200,-83,-89,-86,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-100,-200,-200
1526452787428,-89,-93,-79,-78,-73,-73,-200,-89,-200,-88,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452787543,-90,-200,-78,-78,-73,-200,-200,-88,-85,-88,-81,-200,-89,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452787648,-90,-92,-200,-78,-200,-73,-85,-87,-87,-200,-200,-92,-89,-86,-92,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526452787773,-200,-92,-78,-200,-200,-73,-85,-200,-88,-200,-80,-92,-200,-200,-91,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526452787885,-200,-200,-200,-200,-73,-72,-200,-87,-87,-200,-80,-92,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452787998,-200,-200,-78,-200,-72,-73,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526452792440,-82,-200,-74,-85,-200,-63,-200,-200,-200,-82,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452792546,-200,-200,-200,-85,-72,-64,-82,-81,-80,-200,-200,-92,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452792650,-81,-200,-200,-83,-72,-63,-200,-82,-80,-81,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452792764,-81,-200,-74,-200,-73,-63,-83,-200,-200,-82,-67,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526452792887,-81,-200,-74,-84,-200,-200,-83,-82,-80,-81,-68,-200,-79,-82,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452792972,-82,-87,-75,-200,-200,-63,-84,-71,-90,-81,-75,-200,-200,-200,-82,-200,-200,-82,-200,-200,-92,-200,-200,-200,-200
1526452797493,-200,-200,-72,-77,-65,-62,-200,-72,-91,-86,-75,-200,-79,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526452797675,-84,-200,-72,-77,-65,-63,-82,-72,-200,-200,-76,-200,-79,-200,-82,-200,-200,-82,-200,-200,-200,-200,-200,-200,-97
1526452797826,-200,-200,-200,-200,-200,-63,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526452797916,-84,-200,-200,-76,-200,-63,-200,-200,-200,-200,-76,-200,-79,-200,-83,-200,-200,-82,-200,-200,-92,-200,-200,-200,-200
1526452798023,-200,-200,-200,-200,-72,-62,-84,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452802438,-200,-92,-200,-77,-200,-72,-200,-200,-200,-86,-80,-91,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452802541,-90,-91,-78,-77,-72,-200,-83,-200,-86,-200,-80,-93,-88,-85,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452802629,-90,-200,-200,-78,-72,-200,-200,-200,-86,-200,-80,-200,-200,-85,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526452802732,-90,-200,-78,-77,-72,-200,-84,-87,-87,-200,-80,-200,-88,-85,-92,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526452802854,-91,-200,-78,-200,-73,-72,-84,-87,-86,-87,-79,-92,-200,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452802976,-90,-91,-78,-200,-200,-72,-200,-200,-200,-86,-79,-200,-200,-85,-200,-96,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526452803087,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
