,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526461058507,-27,-48,-60,-45,-79,-57,-68,-66,-58,-61,-70,-77,-77,-63,-78,-84,-86,-79,-85,-200,-83,-87,-84,-84,-78,-91,-72,-73,-80,-87,-84,-200,-91,-81,-90,-83,-200,-200,-92,-200,-90,-92,-89,-88,-200,-87,-91,-200,-200,-86,-200,-90,-200,-200,-86,-200,-83,-200,-86,-90,-92,-200
1526461061538,-33,-48,-60,-50,-78,-67,-68,-75,-59,-69,-79,-77,-77,-64,-69,-84,-92,-79,-85,-200,-83,-86,-84,-82,-83,-85,-72,-79,-80,-87,-89,-200,-89,-81,-200,-79,-200,-200,-92,-200,-90,-92,-200,-88,-200,-87,-91,-200,-200,-86,-200,-91,-200,-200,-86,-200,-83,-200,-86,-90,-92,-200
1526461064570,-29,-45,-60,-49,-80,-62,-67,-67,-59,-63,-66,-77,-76,-64,-77,-85,-86,-79,-85,-200,-83,-89,-85,-86,-76,-85,-72,-73,-80,-88,-84,-200,-89,-81,-200,-83,-200,-91,-89,-200,-90,-92,-200,-92,-200,-87,-91,-200,-200,-86,-200,-90,-200,-200,-86,-200,-83,-200,-88,-92,-88,-200
1526461067581,-28,-47,-60,-47,-79,-58,-67,-62,-60,-57,-74,-77,-80,-64,-81,-83,-87,-80,-84,-200,-200,-88,-85,-84,-77,-86,-75,-70,-81,-88,-83,-200,-88,-86,-200,-78,-200,-91,-87,-200,-200,-89,-88,-91,-200,-88,-200,-200,-200,-89,-200,-91,-200,-200,-86,-200,-89,-200,-88,-92,-88,-89
1526461070614,-29,-49,-59,-46,-79,-58,-67,-62,-58,-62,-72,-78,-78,-71,-78,-85,-87,-81,-85,-200,-200,-88,-86,-77,-85,-85,-73,-71,-80,-88,-77,-200,-89,-88,-95,-78,-200,-93,-87,-200,-200,-92,-88,-90,-200,-87,-200,-200,-200,-89,-200,-92,-200,-200,-86,-200,-89,-200,-88,-92,-88,-89
1526461073645,-28,-46,-62,-48,-79,-56,-67,-67,-59,-62,-72,-72,-78,-63,-81,-79,-87,-81,-85,-200,-81,-86,-85,-78,-78,-86,-73,-71,-80,-87,-83,-200,-88,-88,-95,-85,-89,-90,-87,-200,-200,-90,-88,-90,-91,-86,-200,-200,-200,-87,-200,-91,-200,-200,-85,-200,-84,-200,-200,-89,-200,-89
1526461076675,-29,-47,-61,-48,-77,-56,-68,-65,-60,-61,-74,-76,-78,-65,-81,-84,-88,-81,-84,-200,-83,-86,-85,-79,-77,-86,-73,-71,-81,-87,-78,-200,-89,-83,-95,-79,-89,-90,-200,-200,-200,-91,-88,-90,-91,-85,-200,-200,-200,-88,-200,-91,-200,-200,-87,-200,-83,-200,-87,-89,-89,-200
1526461079709,-14,-45,-61,-48,-77,-57,-67,-65,-61,-61,-74,-75,-79,-64,-88,-91,-88,-81,-83,-200,-80,-87,-85,-90,-78,-86,-77,-72,-83,-90,-74,-200,-95,-82,-95,-90,-89,-92,-90,-200,-90,-91,-200,-91,-91,-85,-200,-200,-200,-88,-200,-93,-200,-200,-87,-200,-83,-200,-87,-89,-89,-200
1526461082740,-28,-47,-61,-47,-76,-57,-68,-67,-62,-65,-70,-77,-79,-64,-82,-84,-88,-82,-83,-200,-80,-89,-80,-82,-73,-87,-74,-72,-81,-89,-82,-91,-87,-81,-89,-76,-89,-92,-86,-200,-91,-91,-200,-91,-91,-88,-200,-200,-200,-87,-200,-93,-200,-200,-86,-200,-83,-200,-87,-89,-89,-200
1526461085779,-28,-46,-61,-47,-62,-58,-69,-63,-60,-57,-73,-77,-79,-66,-81,-85,-87,-82,-84,-200,-80,-89,-85,-83,-78,-81,-72,-72,-81,-89,-83,-91,-87,-81,-89,-83,-91,-92,-86,-200,-91,-91,-87,-89,-200,-85,-200,-200,-200,-87,-200,-91,-200,-200,-86,-200,-83,-200,-87,-200,-88,-90
1526461088811,-32,-47,-61,-49,-62,-57,-68,-63,-58,-65,-70,-77,-80,-65,-82,-83,-86,-77,-84,-200,-80,-89,-85,-77,-77,-88,-76,-71,-80,-89,-82,-91,-87,-82,-89,-84,-91,-89,-89,-200,-91,-92,-87,-91,-92,-85,-200,-200,-200,-74,-200,-91,-200,-200,-86,-200,-83,-200,-88,-200,-91,-90
1526461091843,-27,-47,-60,-47,-78,-63,-68,-74,-56,-65,-69,-76,-79,-63,-77,-84,-86,-81,-85,-200,-80,-89,-84,-84,-71,-84,-72,-72,-82,-89,-76,-91,-92,-83,-89,-77,-91,-89,-87,-200,-90,-92,-87,-91,-92,-85,-200,-200,-200,-74,-200,-91,-200,-200,-85,-200,-83,-200,-86,-93,-91,-90
