,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526456486574,-34,-32,-38,-60,-50,-44,-70,-64,-38,-55,-55,-200,-47,-52,-58,-63,-65,-62,-70,-66,-72,-65,-80,-49,-68,-62,-69,-200,-67,-71,-74,-200,-72,-74,-83,-90,-72,-78,-200,-83,-200,-83,-200,-200,-60,-200,-65,-200,-76,-200,-200,-87,-200,-81,-200,-75,-62,-200,-75,-67,-200,-200,-74,-200,-200,-71,-200,-200,-200,-82,-84,-88,-89,-200,-200,-200,-89,-92,-200,-200,-200,-200,-200,-200,-200
1526456489621,-30,-31,-35,-51,-52,-44,-58,-62,-44,-60,-52,-200,-47,-68,-70,-70,-62,-56,-63,-66,-76,-66,-65,-59,-63,-67,-69,-67,-62,-71,-59,-84,-74,-72,-83,-73,-72,-78,-200,-83,-200,-83,-200,-200,-61,-200,-65,-200,-76,-200,-200,-87,-200,-84,-200,-75,-66,-200,-75,-67,-200,-200,-74,-200,-200,-71,-77,-200,-200,-82,-84,-88,-89,-78,-200,-200,-89,-92,-82,-200,-200,-200,-200,-200,-200
1526456492679,-66,-37,-31,-60,-52,-55,-50,-63,-41,-62,-52,-200,-47,-73,-62,-71,-62,-61,-63,-66,-76,-66,-65,-59,-63,-67,-67,-67,-65,-71,-65,-54,-74,-72,-87,-73,-69,-79,-77,-83,-87,-83,-200,-200,-61,-200,-63,-200,-76,-200,-200,-200,-200,-83,-200,-66,-66,-200,-75,-67,-200,-200,-74,-200,-200,-68,-77,-200,-200,-82,-200,-84,-89,-75,-200,-80,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526456495711,-34,-32,-35,-49,-45,-43,-51,-70,-47,-59,-58,-200,-50,-52,-62,-68,-66,-65,-60,-83,-200,-66,-200,-52,-200,-200,-67,-200,-67,-200,-68,-82,-200,-74,-83,-200,-64,-79,-77,-200,-87,-200,-200,-200,-66,-200,-63,-200,-200,-200,-200,-200,-200,-83,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-81,-200,-200,-200,-200,-84,-200,-73,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456498728,-78,-32,-38,-52,-49,-48,-54,-64,-38,-56,-49,-67,-44,-57,-84,-77,-67,-63,-59,-83,-200,-63,-63,-52,-200,-200,-69,-200,-69,-200,-70,-88,-64,-75,-83,-200,-58,-200,-200,-200,-200,-200,-200,-200,-75,-200,-66,-200,-200,-200,-200,-200,-200,-85,-200,-75,-200,-200,-200,-67,-200,-200,-200,-200,-200,-76,-81,-200,-200,-84,-200,-200,-200,-73,-200,-200,-200,-200,-200,-90,-92,-200,-200,-200,-200
1526456501742,-32,-49,-38,-50,-51,-62,-48,-57,-41,-59,-50,-67,-45,-56,-84,-69,-59,-56,-62,-200,-200,-67,-63,-55,-200,-68,-65,-73,-74,-69,-50,-88,-66,-73,-83,-200,-66,-200,-73,-200,-200,-73,-200,-200,-75,-200,-66,-200,-200,-200,-200,-200,-87,-85,-200,-56,-200,-200,-200,-72,-200,-200,-200,-200,-200,-76,-200,-200,-200,-84,-200,-200,-90,-76,-200,-200,-200,-200,-200,-90,-92,-76,-200,-200,-200
1526456504750,-35,-35,-44,-43,-55,-49,-53,-53,-43,-54,-52,-67,-45,-57,-84,-59,-62,-58,-58,-200,-200,-64,-66,-57,-67,-68,-65,-73,-67,-69,-72,-88,-66,-73,-81,-200,-63,-200,-73,-200,-200,-73,-200,-200,-74,-200,-66,-200,-200,-200,-200,-200,-87,-85,-200,-68,-200,-200,-200,-72,-70,-200,-200,-200,-200,-62,-200,-200,-200,-84,-200,-80,-90,-76,-200,-86,-200,-200,-200,-90,-92,-76,-200,-200,-200
1526456507810,-35,-33,-38,-46,-55,-50,-52,-53,-37,-51,-50,-63,-41,-59,-200,-65,-69,-59,-64,-200,-75,-64,-66,-57,-68,-200,-200,-200,-72,-200,-69,-81,-61,-74,-81,-79,-65,-200,-200,-200,-200,-85,-200,-200,-64,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-58,-70,-200,-73,-200,-200,-68,-200,-200,-200,-200,-89,-74,-87,-200,-87,-86,-200,-200,-200,-75,-200,-200,-81,-87,-200
1526456510870,-33,-33,-37,-48,-54,-44,-50,-58,-37,-55,-53,-65,-45,-62,-62,-67,-69,-60,-56,-77,-75,-64,-66,-62,-68,-90,-79,-200,-69,-64,-70,-81,-62,-73,-79,-67,-66,-200,-200,-200,-86,-85,-200,-200,-65,-200,-63,-200,-200,-200,-200,-200,-200,-86,-200,-68,-72,-200,-200,-58,-70,-200,-73,-200,-200,-74,-200,-200,-75,-200,-89,-85,-87,-200,-87,-86,-200,-200,-200,-75,-200,-200,-81,-87,-200
1526456513926,-31,-32,-52,-49,-53,-43,-62,-62,-47,-52,-56,-63,-58,-57,-64,-81,-65,-63,-55,-73,-89,-64,-200,-62,-200,-90,-79,-200,-67,-64,-72,-79,-62,-77,-81,-65,-68,-200,-70,-83,-86,-72,-200,-200,-65,-200,-63,-200,-200,-200,-200,-200,-200,-83,-200,-67,-72,-200,-200,-200,-68,-200,-200,-200,-200,-74,-200,-200,-75,-87,-200,-89,-87,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456516970,-31,-33,-37,-50,-47,-44,-45,-62,-47,-54,-56,-64,-47,-61,-63,-69,-65,-65,-56,-73,-89,-69,-200,-58,-200,-66,-63,-200,-71,-200,-72,-77,-69,-76,-80,-65,-65,-200,-74,-83,-200,-72,-200,-200,-65,-200,-69,-200,-200,-200,-200,-200,-200,-83,-200,-71,-71,-200,-200,-200,-73,-200,-72,-200,-74,-200,-200,-200,-79,-73,-200,-89,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88
1526456520046,-29,-33,-43,-54,-46,-47,-48,-60,-47,-74,-55,-67,-47,-59,-56,-69,-64,-57,-61,-68,-89,-81,-200,-61,-200,-64,-73,-200,-65,-67,-68,-77,-70,-73,-80,-65,-81,-200,-74,-84,-200,-75,-200,-200,-65,-200,-69,-80,-200,-200,-200,-200,-200,-86,-200,-71,-71,-200,-74,-200,-73,-200,-72,-200,-74,-200,-200,-200,-79,-73,-200,-80,-89,-71,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-88
