,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526456038607,-44,-47,-44,-19,-41,-48,-57,-44,-54,-49,-58,-43,-67,-53,-49,-52,-57,-62,-58,-59,-59,-56,-59,-62,-76,-64,-200,-61,-48,-76,-62,-74,-68,-82,-56,-71,-68,-72,-70,-73,-80,-66,-85,-200,-80,-74,-85,-80,-200,-87,-81,-200,-90,-200,-77,-72,-70,-64,-200,-81,-72,-200,-84,-80,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-79,-89,-71,-85,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456041648,-40,-34,-43,-38,-49,-42,-55,-45,-50,-49,-90,-47,-67,-55,-55,-42,-54,-60,-200,-58,-59,-57,-61,-62,-76,-64,-200,-62,-51,-200,-60,-74,-68,-200,-72,-71,-65,-69,-200,-69,-77,-65,-85,-200,-76,-74,-86,-200,-200,-200,-84,-200,-90,-200,-77,-200,-70,-64,-200,-81,-75,-200,-84,-80,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-88,-83,-85,-200,-200,-200,-200,-200,-200,-200
1526456044714,-39,-32,-37,-37,-37,-45,-59,-48,-51,-44,-65,-46,-64,-49,-52,-54,-61,-62,-200,-55,-87,-57,-61,-62,-76,-64,-200,-63,-56,-200,-57,-73,-68,-200,-78,-59,-65,-67,-71,-68,-80,-68,-85,-200,-84,-74,-84,-200,-200,-200,-81,-200,-90,-200,-77,-65,-70,-63,-74,-81,-75,-200,-84,-80,-57,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-88,-83,-85,-87,-200,-200,-200,-200,-200,-200
1526456047758,-37,-32,-41,-37,-45,-43,-53,-41,-49,-44,-65,-48,-64,-49,-54,-53,-61,-65,-200,-61,-71,-52,-63,-63,-64,-200,-200,-66,-71,-200,-57,-43,-200,-200,-74,-60,-76,-76,-71,-71,-53,-68,-200,-200,-71,-200,-84,-84,-200,-200,-81,-200,-200,-200,-200,-74,-200,-65,-74,-200,-75,-200,-200,-200,-55,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-83,-85,-87,-200,-200,-200,-200,-200,-200
1526456050817,-37,-33,-41,-40,-45,-45,-52,-38,-52,-200,-200,-45,-200,-63,-63,-45,-64,-63,-52,-61,-65,-53,-63,-62,-78,-200,-79,-61,-57,-78,-200,-77,-200,-200,-73,-60,-76,-72,-78,-69,-76,-200,-75,-200,-82,-200,-84,-83,-200,-200,-87,-200,-200,-200,-200,-74,-74,-65,-83,-200,-200,-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456053829,-37,-31,-46,-44,-44,-45,-47,-45,-55,-61,-200,-50,-62,-49,-55,-55,-64,-65,-59,-59,-65,-55,-59,-62,-78,-200,-79,-66,-53,-78,-200,-76,-200,-79,-74,-58,-82,-72,-78,-74,-76,-200,-75,-200,-79,-73,-86,-83,-200,-200,-87,-200,-200,-200,-200,-74,-74,-65,-83,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-73,-90,-200,-200,-200,-200
1526456056888,-40,-28,-45,-36,-43,-48,-59,-42,-59,-48,-52,-46,-58,-50,-49,-50,-59,-52,-57,-57,-66,-52,-56,-200,-200,-72,-200,-62,-53,-200,-72,-72,-200,-80,-70,-59,-67,-200,-200,-81,-78,-200,-200,-200,-80,-73,-86,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-83,-200,-82,-200,-200,-89,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-73,-90,-200,-200,-200,-200
1526456059904,-40,-32,-48,-34,-42,-44,-57,-40,-50,-49,-52,-46,-70,-51,-49,-60,-57,-53,-50,-60,-66,-49,-64,-200,-200,-62,-200,-62,-54,-200,-72,-74,-71,-80,-70,-59,-66,-66,-73,-78,-76,-65,-200,-200,-81,-73,-82,-81,-200,-200,-82,-200,-88,-200,-200,-63,-200,-64,-76,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-83,-200,-82,-200,-200,-89,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-73,-90,-200,-200,-200,-200
1526456062917,-38,-34,-46,-34,-42,-42,-53,-43,-52,-49,-200,-44,-70,-48,-54,-42,-54,-57,-50,-57,-200,-57,-58,-200,-200,-62,-200,-62,-51,-200,-200,-75,-71,-200,-72,-58,-66,-66,-71,-74,-80,-65,-200,-200,-77,-200,-58,-78,-200,-200,-78,-200,-88,-200,-200,-62,-200,-64,-76,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-71,-200,-68,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200
1526456065933,-42,-35,-41,-34,-43,-48,-66,-42,-50,-55,-47,-45,-61,-58,-56,-53,-60,-55,-56,-61,-63,-53,-57,-200,-78,-73,-68,-69,-72,-200,-66,-53,-200,-77,-74,-62,-70,-70,-71,-81,-76,-200,-88,-76,-83,-200,-62,-78,-200,-200,-88,-200,-200,-200,-200,-74,-200,-80,-74,-83,-71,-200,-79,-200,-67,-200,-80,-200,-200,-200,-200,-200,-73,-74,-80,-200,-200,-200,-200,-200,-200,-71,-200,-73,-200,-200,-200,-84,-200,-200,-79,-200,-89,-200,-200,-200
1526456068941,-40,-31,-44,-37,-46,-43,-56,-40,-56,-53,-47,-47,-60,-58,-51,-54,-60,-79,-44,-66,-77,-50,-80,-200,-78,-73,-86,-61,-54,-200,-63,-76,-200,-77,-73,-62,-70,-72,-71,-74,-78,-71,-82,-76,-79,-200,-66,-78,-200,-91,-83,-200,-200,-200,-200,-74,-200,-62,-74,-83,-71,-200,-79,-200,-76,-200,-80,-200,-200,-200,-200,-200,-83,-74,-80,-200,-200,-200,-200,-200,-200,-71,-200,-86,-200,-200,-200,-84,-200,-200,-88,-200,-89,-88,-200,-200
1526456071957,-40,-33,-43,-39,-47,-47,-56,-41,-53,-55,-200,-46,-59,-56,-54,-53,-61,-79,-55,-60,-77,-53,-64,-68,-200,-70,-86,-61,-58,-200,-63,-75,-200,-200,-61,-59,-70,-69,-71,-75,-78,-71,-82,-200,-79,-200,-86,-200,-200,-91,-83,-200,-200,-200,-200,-200,-200,-62,-200,-200,-72,-200,-200,-200,-55,-200,-200,-200,-200,-200,-200,-200,-83,-74,-78,-200,-200,-200,-200,-79,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-75,-200,-200,-88,-80,-83
