,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D02A48,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20
1526448785779,-41,-40,-32,-38,-37,-51,-50,-58,-53,-62,-52,-52,-63,-69,-63,-66,-64,-64,-50,-62,-67,-63,-61,-68,-64,-73,-72,-77,-60,-65,-71,-74,-72,-67,-69,-77,-65,-78,-53,-83,-63,-71,-84,-200,-74,-83,-78,-78,-55,-67,-86,-85,-200,-83,-71,-82,-76,-78,-73,-200,-79,-200,-80,-79,-82,-86,-85,-200,-76,-90,-81,-200,-200,-86,-200,-90,-87,-200,-78,-81,-83,-200,-200,-71,-70,-76,-79,-80,-81,-89,-85,-89,-89,-89,-86,-88,-87,-74,-87,-81,-200,-200,-200,-89,-81,-200,-200,-200,-200,-200,-200
1526448788816,-34,-41,-32,-38,-40,-49,-50,-57,-51,-62,-49,-51,-61,-69,-62,-69,-67,-63,-57,-61,-69,-55,-61,-69,-64,-74,-72,-77,-57,-65,-72,-75,-73,-63,-69,-77,-65,-78,-46,-82,-71,-72,-84,-200,-74,-83,-78,-78,-59,-68,-86,-85,-200,-83,-73,-80,-76,-78,-73,-200,-79,-82,-80,-79,-82,-86,-83,-200,-73,-200,-81,-200,-200,-87,-200,-200,-87,-200,-78,-81,-82,-200,-200,-71,-68,-76,-78,-80,-81,-89,-85,-90,-89,-89,-85,-88,-87,-74,-87,-81,-200,-200,-200,-200,-81,-87,-200,-200,-200,-200,-200
1526448791829,-35,-39,-32,-43,-43,-49,-50,-54,-57,-62,-47,-46,-65,-69,-62,-65,-66,-63,-47,-57,-67,-54,-68,-68,-48,-73,-72,-76,-60,-69,-68,-75,-73,-60,-69,-75,-65,-77,-48,-82,-69,-72,-84,-200,-74,-83,-76,-78,-58,-68,-86,-85,-200,-83,-70,-80,-75,-78,-71,-200,-80,-84,-80,-79,-81,-87,-84,-200,-77,-200,-80,-89,-200,-86,-200,-90,-87,-200,-78,-83,-82,-200,-200,-69,-68,-76,-78,-80,-81,-89,-83,-89,-89,-89,-85,-88,-87,-72,-87,-81,-200,-200,-200,-200,-88,-87,-90,-200,-200,-200,-200
1526448794870,-37,-41,-39,-39,-49,-49,-50,-57,-53,-63,-51,-56,-64,-69,-62,-67,-69,-64,-57,-63,-68,-54,-69,-69,-67,-74,-77,-77,-59,-67,-68,-74,-73,-60,-69,-75,-65,-79,-44,-83,-66,-79,-86,-200,-76,-83,-76,-77,-58,-70,-89,-84,-74,-83,-78,-80,-75,-78,-71,-200,-80,-84,-80,-79,-81,-87,-83,-200,-77,-200,-81,-90,-88,-89,-200,-90,-87,-200,-78,-83,-83,-200,-200,-69,-68,-76,-78,-80,-200,-200,-83,-90,-89,-89,-85,-88,-87,-72,-87,-200,-200,-200,-200,-200,-88,-87,-90,-89,-200,-200,-200
1526448797905,-33,-41,-33,-41,-43,-50,-50,-56,-51,-61,-52,-47,-61,-69,-62,-66,-65,-62,-51,-60,-67,-53,-75,-68,-69,-72,-72,-77,-59,-72,-72,-75,-73,-67,-71,-75,-65,-78,-44,-83,-60,-79,-85,-200,-76,-200,-79,-76,-58,-63,-86,-85,-74,-85,-71,-80,-75,-200,-73,-200,-79,-84,-80,-80,-81,-87,-83,-200,-77,-200,-77,-91,-88,-87,-200,-89,-200,-200,-78,-81,-83,-200,-200,-71,-69,-76,-78,-84,-200,-88,-83,-88,-88,-200,-85,-88,-87,-72,-87,-200,-200,-200,-200,-200,-88,-87,-90,-89,-81,-200,-200
1526448800944,-35,-40,-39,-38,-38,-51,-50,-54,-52,-59,-51,-51,-63,-70,-61,-65,-63,-62,-50,-58,-63,-52,-68,-69,-67,-72,-72,-77,-54,-67,-72,-74,-72,-71,-71,-75,-66,-78,-63,-84,-63,-71,-85,-74,-75,-200,-79,-76,-55,-63,-86,-84,-73,-85,-70,-81,-75,-76,-73,-200,-79,-84,-80,-80,-81,-89,-83,-200,-74,-200,-81,-91,-88,-87,-200,-89,-200,-200,-78,-81,-83,-200,-200,-69,-68,-77,-200,-84,-200,-88,-83,-88,-88,-90,-87,-84,-87,-72,-200,-83,-200,-91,-200,-200,-88,-200,-90,-89,-81,-200,-200
1526448803996,-34,-39,-33,-43,-42,-51,-50,-55,-52,-62,-49,-46,-65,-69,-61,-63,-69,-63,-50,-57,-67,-53,-64,-69,-64,-73,-74,-77,-58,-63,-69,-74,-72,-71,-71,-78,-66,-79,-45,-82,-71,-70,-84,-73,-75,-200,-77,-76,-55,-67,-87,-85,-73,-85,-73,-81,-200,-76,-73,-200,-80,-83,-80,-80,-80,-89,-87,-200,-78,-200,-81,-91,-88,-86,-200,-89,-88,-200,-77,-81,-88,-90,-200,-69,-53,-76,-80,-79,-200,-84,-85,-91,-88,-90,-86,-84,-87,-72,-200,-83,-200,-90,-200,-200,-87,-200,-200,-89,-81,-91,-200
1526448807045,-35,-38,-33,-38,-41,-48,-50,-56,-52,-60,-51,-60,-65,-70,-61,-66,-67,-64,-56,-59,-65,-53,-64,-69,-65,-74,-72,-200,-55,-71,-69,-75,-73,-61,-71,-77,-66,-79,-44,-83,-62,-70,-84,-73,-76,-82,-78,-76,-55,-67,-87,-86,-77,-83,-70,-84,-200,-76,-73,-200,-79,-83,-80,-80,-81,-89,-83,-200,-75,-200,-82,-91,-200,-86,-200,-89,-88,-200,-77,-73,-88,-90,-200,-69,-71,-79,-80,-79,-200,-84,-85,-91,-89,-90,-86,-84,-87,-72,-87,-83,-200,-90,-200,-200,-87,-200,-92,-200,-81,-91,-200
1526448810088,-35,-40,-34,-39,-42,-48,-50,-56,-53,-63,-53,-47,-64,-69,-60,-66,-65,-64,-52,-59,-66,-54,-61,-69,-65,-73,-73,-77,-58,-66,-73,-75,-73,-71,-68,-75,-65,-77,-44,-83,-62,-70,-84,-73,-74,-81,-79,-66,-59,-68,-86,-84,-77,-83,-73,-84,-75,-76,-73,-200,-80,-81,-80,-80,-81,-89,-83,-200,-74,-89,-82,-200,-200,-86,-200,-89,-88,-200,-80,-73,-83,-87,-200,-70,-69,-77,-79,-79,-200,-84,-85,-92,-89,-91,-86,-84,-200,-72,-88,-80,-200,-90,-93,-94,-87,-200,-92,-200,-200,-91,-91
1526448813139,-35,-39,-34,-40,-38,-49,-50,-56,-52,-62,-54,-50,-65,-69,-66,-46,-62,-64,-50,-60,-66,-50,-61,-69,-58,-74,-74,-76,-57,-65,-74,-74,-73,-71,-68,-75,-65,-77,-44,-89,-67,-73,-84,-73,-74,-81,-78,-66,-50,-69,-88,-87,-77,-83,-70,-84,-75,-200,-70,-200,-79,-83,-80,-80,-81,-89,-84,-200,-74,-90,-76,-200,-200,-86,-200,-89,-88,-200,-78,-80,-83,-87,-200,-72,-70,-76,-75,-79,-79,-84,-85,-92,-89,-89,-86,-86,-88,-72,-86,-80,-200,-90,-93,-91,-78,-200,-92,-200,-200,-91,-91
1526448816153,-33,-43,-34,-40,-42,-48,-50,-56,-52,-64,-44,-50,-63,-68,-62,-65,-68,-66,-53,-59,-67,-54,-61,-69,-66,-78,-72,-76,-57,-61,-71,-75,-73,-69,-68,-79,-62,-78,-44,-89,-63,-71,-85,-200,-75,-81,-82,-83,-57,-68,-87,-85,-200,-85,-67,-82,-75,-77,-71,-200,-79,-83,-75,-80,-80,-82,-84,-200,-73,-91,-82,-88,-200,-87,-200,-89,-200,-200,-78,-79,-88,-87,-200,-69,-69,-76,-80,-79,-79,-200,-84,-89,-88,-90,-87,-86,-89,-73,-86,-65,-200,-200,-93,-92,-89,-200,-200,-200,-200,-200,-91
1526448819187,-33,-40,-33,-40,-53,-50,-50,-57,-52,-63,-52,-51,-64,-69,-62,-65,-67,-63,-56,-61,-68,-53,-61,-69,-65,-74,-72,-77,-58,-65,-72,-75,-73,-62,-200,-79,-62,-78,-49,-83,-63,-71,-85,-83,-75,-200,-76,-83,-61,-68,-89,-85,-200,-85,-75,-84,-72,-77,-71,-200,-79,-83,-75,-80,-81,-88,-85,-200,-75,-91,-82,-88,-200,-87,-200,-89,-90,-200,-78,-81,-83,-200,-200,-69,-70,-76,-79,-79,-78,-90,-83,-90,-90,-90,-87,-89,-89,-72,-86,-65,-200,-200,-200,-92,-89,-200,-200,-200,-200,-200,-200
