,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D00ED8,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526449729087,-27,-38,-48,-49,-42,-53,-63,-66,-44,-36,-51,-71,-56,-66,-66,-61,-77,-50,-62,-70,-64,-79,-66,-74,-60,-70,-71,-60,-70,-77,-75,-77,-79,-67,-75,-82,-90,-82,-80,-75,-81,-79,-200,-73,-200,-76,-84,-80,-82,-78,-70,-71,-82,-82,-73,-71,-79,-200,-77,-83,-85,-78,-200,-83,-200,-85,-90,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-70,-72,-86,-94,-200,-72,-73,-83,-85,-88,-200,-200,-200,-86,-200,-90,-89,-87,-87,-89,-84,-89,-200,-200,-200,-200,-200,-200
1526449732100,-24,-21,-43,-50,-42,-53,-63,-65,-53,-16,-52,-70,-58,-66,-66,-61,-77,-56,-64,-67,-57,-79,-70,-74,-61,-72,-68,-61,-70,-77,-75,-77,-79,-67,-75,-82,-85,-82,-80,-81,-78,-82,-200,-73,-200,-74,-77,-80,-85,-83,-73,-74,-82,-82,-71,-73,-78,-200,-80,-83,-85,-86,-200,-83,-200,-84,-90,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-70,-72,-86,-94,-200,-67,-73,-88,-85,-88,-200,-200,-200,-86,-200,-90,-200,-87,-87,-89,-84,-89,-86,-91,-200,-200,-200,-200
1526449735140,-16,-47,-46,-60,-41,-51,-71,-66,-48,-43,-50,-74,-58,-71,-68,-61,-77,-53,-60,-68,-60,-82,-66,-80,-59,-72,-65,-59,-68,-79,-76,-79,-81,-68,-75,-81,-85,-83,-68,-92,-81,-75,-200,-74,-200,-75,-77,-80,-83,-81,-71,-74,-82,-83,-73,-70,-79,-200,-80,-86,-86,-85,-200,-83,-200,-84,-90,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-73,-72,-86,-93,-200,-81,-81,-92,-200,-88,-200,-200,-91,-85,-200,-89,-200,-200,-200,-200,-84,-89,-86,-91,-89,-91,-200,-200
1526449738173,-25,-37,-44,-52,-42,-53,-57,-64,-43,-36,-53,-67,-56,-68,-68,-54,-75,-53,-68,-67,-60,-82,-63,-80,-62,-72,-65,-61,-67,-79,-70,-79,-81,-67,-75,-81,-85,-83,-68,-92,-79,-81,-200,-73,-200,-73,-78,-80,-82,-82,-71,-72,-81,-83,-71,-75,-79,-200,-80,-85,-87,-85,-200,-83,-200,-87,-90,-200,-91,-86,-200,-200,-200,-200,-200,-200,-200,-73,-200,-86,-93,-200,-81,-72,-92,-87,-200,-200,-200,-90,-85,-200,-92,-200,-200,-200,-200,-200,-89,-86,-91,-89,-91,-78,-200
1526449741210,-25,-36,-43,-52,-44,-54,-59,-66,-39,-35,-53,-71,-59,-67,-66,-58,-76,-57,-61,-72,-47,-74,-64,-73,-62,-67,-67,-58,-50,-75,-77,-78,-80,-67,-73,-81,-83,-83,-79,-76,-78,-80,-200,-74,-200,-73,-78,-80,-82,-81,-70,-73,-85,-82,-71,-77,-78,-200,-78,-84,-88,-85,-200,-83,-200,-84,-200,-200,-91,-86,-200,-200,-200,-200,-200,-200,-200,-71,-200,-84,-93,-200,-68,-72,-92,-85,-200,-200,-200,-90,-87,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-89,-89,-78,-79
1526449744244,-34,-38,-49,-53,-51,-52,-57,-66,-41,-36,-54,-71,-57,-67,-67,-61,-77,-49,-69,-74,-56,-74,-68,-73,-75,-73,-67,-67,-72,-75,-75,-78,-77,-68,-75,-81,-83,-77,-81,-76,-78,-82,-200,-74,-200,-73,-78,-81,-82,-83,-71,-73,-73,-82,-71,-72,-78,-90,-78,-82,-88,-91,-200,-83,-200,-85,-86,-200,-91,-91,-200,-200,-200,-200,-200,-200,-200,-71,-81,-85,-200,-200,-73,-69,-87,-85,-200,-200,-200,-90,-87,-200,-91,-200,-200,-200,-200,-200,-200,-83,-200,-200,-89,-78,-93
1526449747273,-24,-38,-44,-51,-42,-55,-57,-62,-47,-36,-61,-71,-57,-67,-72,-62,-76,-52,-60,-75,-62,-74,-69,-74,-63,-69,-67,-60,-69,-75,-75,-78,-82,-68,-74,-200,-84,-81,-68,-72,-80,-78,-200,-74,-200,-70,-78,-79,-82,-82,-75,-73,-82,-82,-72,-75,-78,-90,-77,-83,-86,-85,-200,-79,-200,-86,-89,-200,-91,-91,-200,-200,-200,-200,-200,-200,-200,-74,-81,-86,-200,-200,-74,-72,-87,-86,-200,-200,-200,-90,-87,-200,-91,-200,-200,-200,-200,-200,-200,-83,-200,-200,-89,-76,-93
1526449750306,-25,-47,-50,-53,-42,-53,-57,-62,-47,-23,-61,-67,-56,-78,-79,-61,-75,-55,-60,-75,-66,-74,-64,-81,-63,-70,-68,-59,-69,-83,-74,-79,-81,-68,-74,-200,-82,-82,-66,-72,-79,-79,-200,-74,-200,-70,-200,-78,-79,-83,-80,-76,-84,-84,-72,-75,-78,-90,-79,-86,-95,-85,-200,-79,-200,-86,-92,-200,-91,-88,-200,-200,-200,-200,-200,-200,-200,-74,-85,-85,-200,-200,-74,-72,-87,-86,-200,-89,-200,-200,-87,-200,-87,-200,-200,-200,-200,-200,-200,-83,-200,-200,-89,-76,-93
1526449753350,-33,-38,-42,-51,-44,-53,-61,-63,-44,-36,-57,-66,-57,-68,-72,-61,-74,-52,-62,-74,-57,-78,-65,-81,-61,-70,-67,-59,-67,-83,-77,-79,-80,-67,-74,-200,-85,-79,-67,-72,-80,-76,-90,-74,-83,-74,-200,-78,-76,-82,-72,-76,-83,-83,-72,-75,-78,-90,-79,-85,-95,-84,-200,-79,-200,-86,-92,-200,-91,-88,-88,-200,-200,-200,-200,-200,-200,-73,-85,-84,-200,-200,-74,-71,-87,-87,-200,-89,-200,-200,-87,-200,-90,-200,-200,-200,-200,-200,-93,-86,-90,-200,-200,-76,-93
1526449756383,-25,-37,-47,-52,-42,-54,-63,-66,-43,-33,-51,-70,-57,-64,-72,-65,-77,-53,-60,-66,-56,-80,-66,-73,-60,-70,-67,-61,-70,-80,-73,-77,-79,-67,-72,-200,-85,-79,-83,-72,-77,-77,-90,-69,-83,-78,-81,-80,-81,-81,-71,-74,-83,-81,-74,-79,-79,-200,-76,-85,-95,-88,-200,-79,-200,-85,-92,-200,-200,-88,-88,-200,-200,-200,-200,-200,-200,-72,-85,-84,-200,-200,-68,-74,-87,-87,-200,-89,-200,-200,-89,-200,-90,-200,-200,-200,-200,-200,-93,-86,-90,-200,-200,-76,-200
1526449759423,-31,-36,-55,-52,-43,-54,-57,-62,-42,-35,-52,-68,-55,-62,-70,-65,-58,-51,-60,-72,-57,-78,-65,-72,-100,-71,-68,-79,-72,-76,-75,-77,-81,-67,-73,-200,-85,-79,-67,-200,-79,-75,-82,-72,-83,-78,-81,-81,-81,-80,-80,-76,-82,-79,-71,-79,-78,-200,-76,-85,-95,-88,-200,-81,-200,-88,-89,-200,-200,-89,-87,-200,-200,-200,-200,-200,-200,-71,-75,-84,-200,-200,-72,-73,-87,-86,-200,-89,-200,-200,-89,-200,-90,-200,-200,-200,-200,-200,-93,-86,-90,-200,-200,-78,-200
1526449762457,-24,-35,-47,-52,-42,-53,-59,-63,-43,-31,-46,-71,-58,-62,-68,-65,-75,-52,-63,-70,-60,-79,-71,-72,-61,-70,-69,-60,-68,-76,-75,-80,-80,-67,-73,-200,-83,-84,-67,-74,-80,-75,-82,-73,-83,-78,-83,-81,-79,-80,-72,-76,-81,-80,-74,-77,-79,-200,-76,-85,-200,-88,-200,-81,-200,-88,-84,-200,-200,-89,-87,-200,-200,-200,-200,-200,-200,-72,-75,-83,-200,-200,-70,-73,-89,-86,-91,-200,-200,-200,-89,-200,-88,-200,-200,-200,-84,-200,-93,-86,-90,-200,-200,-78,-200
