,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018
1526458475164,-25,-32,-37,-47,-76,-50,-54,-58,-50,-51,-64,-79,-59,-75,-53,-60,-58,-71,-69,-65,-200,-38,-200,-73,-68,-200,-200,-200,-68,-58,-76,-73,-76,-200,-69,-79,-78,-83,-200,-200,-82,-71,-84,-82,-200,-200,-200,-84,-200,-85,-200,-68,-75,-78,-200,-81,-85,-200,-200,-80,-200,-77,-200,-200,-200,-74,-81,-91,-79,-70,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458478222,-25,-31,-38,-47,-78,-51,-46,-58,-50,-51,-61,-50,-58,-78,-55,-60,-59,-71,-69,-65,-200,-42,-200,-73,-70,-200,-200,-200,-69,-59,-200,-73,-70,-200,-69,-79,-78,-65,-200,-80,-84,-71,-84,-85,-200,-200,-200,-81,-200,-84,-200,-68,-75,-78,-200,-81,-85,-200,-200,-79,-200,-77,-200,-200,-200,-200,-81,-200,-79,-70,-87,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526458481283,-25,-30,-38,-47,-81,-50,-53,-200,-59,-50,-58,-50,-60,-78,-53,-62,-57,-63,-200,-67,-200,-42,-200,-200,-70,-200,-200,-200,-67,-57,-200,-74,-66,-200,-72,-200,-78,-67,-200,-80,-84,-71,-84,-83,-200,-200,-200,-81,-200,-84,-71,-200,-76,-200,-200,-200,-200,-200,-200,-79,-200,-77,-200,-200,-200,-200,-81,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526458484295,-26,-31,-39,-47,-76,-49,-45,-58,-61,-37,-58,-50,-58,-74,-56,-62,-55,-68,-200,-65,-76,-41,-200,-70,-200,-200,-200,-200,-45,-57,-200,-74,-66,-200,-72,-200,-78,-64,-200,-200,-82,-72,-83,-83,-200,-200,-200,-200,-200,-86,-68,-71,-77,-200,-82,-83,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-75,-200,-200,-83,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526458487343,-23,-31,-50,-47,-71,-50,-52,-55,-66,-51,-200,-50,-60,-74,-52,-65,-61,-68,-69,-64,-76,-37,-200,-70,-69,-200,-200,-200,-68,-57,-200,-73,-66,-200,-71,-82,-79,-79,-200,-200,-82,-71,-83,-200,-200,-200,-200,-200,-200,-86,-68,-71,-76,-200,-82,-83,-47,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-83,-200,-200,-80,-81,-88,-200,-200,-200,-200,-200
1526458490396,-27,-32,-38,-47,-77,-51,-52,-56,-63,-50,-58,-53,-60,-74,-53,-62,-60,-200,-68,-64,-72,-42,-200,-68,-68,-200,-200,-200,-68,-56,-200,-73,-66,-200,-70,-82,-68,-65,-200,-78,-83,-70,-200,-82,-200,-200,-200,-200,-200,-200,-200,-68,-76,-200,-200,-200,-47,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-81,-88,-83,-86,-90,-200,-200
1526458493462,-27,-30,-49,-48,-80,-51,-55,-66,-54,-55,-62,-57,-59,-73,-57,-56,-63,-200,-66,-59,-72,-41,-200,-68,-68,-200,-200,-200,-69,-59,-89,-71,-66,-200,-64,-82,-79,-65,-200,-78,-81,-70,-83,-85,-200,-200,-200,-78,-200,-200,-84,-68,-76,-200,-200,-200,-47,-200,-200,-200,-200,-200,-89,-78,-200,-200,-82,-200,-200,-200,-200,-200,-200,-90,-88,-83,-86,-88,-85,-200
1526458496514,-26,-33,-38,-45,-82,-50,-46,-59,-56,-50,-62,-57,-63,-73,-56,-64,-65,-62,-70,-68,-80,-42,-200,-200,-200,-200,-200,-200,-67,-56,-89,-73,-66,-200,-64,-200,-78,-67,-200,-200,-80,-71,-83,-84,-200,-200,-200,-78,-200,-84,-84,-68,-200,-200,-85,-200,-85,-200,-200,-200,-200,-200,-89,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-80,-88,-85,-81
1526458499572,-24,-32,-39,-47,-81,-51,-51,-54,-62,-51,-63,-50,-63,-200,-55,-64,-58,-62,-70,-68,-80,-43,-200,-200,-200,-200,-200,-200,-68,-59,-77,-72,-71,-200,-70,-200,-78,-67,-200,-200,-80,-71,-83,-84,-200,-200,-200,-200,-200,-84,-200,-73,-200,-200,-83,-200,-85,-200,-200,-200,-200,-75,-200,-200,-200,-200,-79,-200,-200,-200,-200,-84,-200,-200,-200,-200,-80,-200,-200,-81
1526458502619,-24,-32,-38,-47,-47,-48,-68,-57,-59,-50,-56,-51,-58,-200,-55,-63,-61,-73,-68,-63,-200,-43,-72,-200,-200,-200,-200,-200,-68,-59,-77,-73,-66,-200,-70,-200,-78,-67,-200,-200,-47,-71,-200,-47,-200,-200,-200,-200,-200,-84,-200,-72,-200,-200,-83,-200,-200,-200,-200,-80,-200,-75,-200,-200,-200,-200,-79,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526458505684,-79,-27,-37,-47,-82,-49,-73,-58,-59,-49,-56,-50,-58,-200,-54,-63,-65,-64,-68,-63,-200,-62,-76,-67,-200,-200,-200,-200,-68,-58,-200,-73,-66,-200,-64,-82,-77,-67,-77,-80,-47,-71,-200,-47,-200,-200,-200,-200,-200,-200,-200,-65,-200,-74,-200,-74,-86,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458508733,-25,-32,-48,-47,-47,-52,-53,-55,-52,-50,-64,-52,-58,-200,-55,-63,-59,-64,-68,-63,-200,-44,-76,-70,-70,-200,-200,-200,-68,-57,-81,-72,-66,-200,-65,-82,-68,-63,-77,-80,-80,-71,-200,-84,-200,-200,-200,-200,-200,-200,-67,-70,-200,-81,-200,-76,-86,-200,-200,-80,-200,-200,-200,-200,-200,-200,-81,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
