,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DQKJ,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro
1526448382275,-30,-34,-47,-45,-51,-36,-46,-49,-47,-41,-48,-53,-60,-42,-45,-47,-44,-48,-46,-57,-49,-53,-52,-58,-43,-56,-76,-73,-62,-64,-67,-61,-200,-64,-76,-56,-61,-200,-69,-200,-200,-73,-71,-77,-82,-200,-75,-200,-70,-77,-82,-200,-68,-84,-87,-87,-91,-200,-61,-200,-200,-77,-83,-65,-87,-64,-75,-86,-77,-88,-90,-91,-96,-200,-200,-200
1526448385311,-35,-39,-45,-40,-47,-40,-46,-50,-45,-41,-48,-42,-60,-45,-50,-45,-44,-56,-44,-200,-50,-53,-52,-58,-43,-54,-76,-61,-58,-68,-67,-60,-200,-64,-67,-55,-54,-200,-68,-200,-200,-76,-71,-77,-82,-200,-73,-200,-72,-77,-78,-200,-68,-80,-85,-87,-87,-200,-54,-200,-200,-78,-83,-200,-87,-64,-75,-86,-77,-88,-90,-91,-96,-69,-200,-200
1526448388324,-35,-38,-47,-43,-47,-25,-45,-48,-45,-41,-47,-52,-60,-45,-50,-49,-44,-56,-42,-200,-46,-53,-56,-58,-43,-54,-200,-57,-58,-68,-63,-58,-200,-64,-67,-58,-66,-200,-70,-200,-200,-72,-70,-73,-200,-200,-71,-200,-68,-81,-82,-200,-76,-80,-85,-85,-87,-200,-51,-200,-200,-78,-83,-200,-87,-200,-75,-86,-77,-88,-90,-91,-96,-69,-200,-200
1526448391356,-36,-42,-44,-44,-51,-37,-45,-48,-49,-41,-50,-52,-60,-45,-44,-45,-47,-54,-43,-60,-46,-53,-59,-200,-47,-54,-200,-58,-58,-64,-63,-57,-200,-64,-63,-54,-58,-200,-70,-200,-200,-70,-68,-75,-200,-200,-71,-200,-69,-81,-82,-200,-76,-81,-85,-83,-90,-200,-51,-200,-200,-78,-83,-200,-87,-200,-200,-200,-76,-88,-90,-91,-96,-69,-200,-200
1526448394384,-36,-38,-45,-45,-51,-41,-53,-48,-50,-39,-42,-54,-60,-42,-45,-47,-47,-54,-41,-60,-47,-53,-60,-60,-46,-57,-200,-56,-58,-63,-61,-58,-200,-64,-63,-58,-64,-200,-66,-200,-200,-72,-68,-77,-200,-200,-70,-70,-73,-81,-83,-200,-76,-81,-88,-85,-90,-200,-52,-200,-200,-78,-83,-200,-87,-61,-200,-200,-76,-88,-90,-91,-96,-69,-200,-200
1526448397412,-53,-38,-42,-45,-51,-45,-49,-48,-52,-38,-45,-54,-60,-41,-47,-47,-44,-54,-54,-60,-47,-53,-60,-60,-46,-57,-200,-59,-58,-63,-65,-54,-200,-63,-62,-58,-64,-200,-66,-200,-200,-73,-72,-75,-200,-200,-70,-70,-74,-80,-84,-200,-76,-82,-88,-87,-90,-200,-52,-200,-200,-71,-84,-200,-87,-59,-200,-200,-76,-200,-90,-69,-96,-69,-200,-200
1526448400450,-36,-36,-41,-45,-51,-45,-49,-48,-50,-43,-45,-58,-60,-42,-50,-47,-44,-54,-46,-57,-49,-200,-61,-60,-44,-57,-200,-55,-58,-63,-69,-56,-200,-64,-62,-62,-64,-200,-66,-200,-200,-71,-77,-74,-200,-200,-71,-70,-74,-77,-83,-200,-76,-81,-88,-88,-90,-200,-52,-200,-200,-71,-83,-200,-200,-59,-200,-200,-76,-200,-90,-69,-96,-67,-200,-200
1526448403476,-32,-34,-44,-45,-50,-41,-52,-48,-50,-43,-44,-52,-200,-40,-50,-47,-50,-54,-43,-57,-48,-200,-61,-58,-44,-57,-200,-55,-51,-64,-63,-56,-200,-64,-62,-59,-63,-200,-66,-200,-200,-71,-75,-72,-200,-200,-75,-70,-75,-78,-83,-200,-74,-82,-88,-88,-90,-200,-55,-200,-200,-71,-83,-200,-200,-59,-200,-200,-76,-200,-90,-69,-200,-67,-68,-200
1526448406508,-32,-37,-46,-51,-54,-43,-50,-48,-50,-36,-44,-54,-55,-41,-50,-47,-45,-50,-40,-57,-48,-200,-60,-58,-39,-54,-200,-59,-51,-63,-66,-57,-200,-64,-58,-59,-63,-200,-67,-200,-200,-71,-74,-76,-200,-200,-76,-70,-70,-80,-80,-200,-74,-86,-87,-85,-92,-200,-58,-200,-200,-71,-82,-200,-200,-59,-200,-200,-76,-200,-87,-69,-200,-67,-68,-200
1526448409527,-31,-38,-47,-47,-52,-43,-50,-200,-58,-38,-44,-49,-55,-45,-47,-48,-43,-52,-40,-57,-46,-200,-60,-58,-39,-54,-200,-59,-51,-61,-66,-57,-200,-64,-58,-58,-63,-200,-67,-200,-200,-73,-71,-76,-200,-200,-74,-70,-74,-78,-81,-200,-74,-82,-86,-85,-92,-200,-58,-200,-200,-71,-83,-200,-200,-59,-200,-200,-76,-200,-87,-69,-200,-67,-68,-78
1526448412556,-32,-35,-47,-47,-52,-42,-48,-200,-58,-38,-47,-49,-57,-47,-47,-48,-43,-52,-39,-57,-46,-200,-60,-59,-43,-54,-200,-59,-51,-63,-65,-55,-200,-64,-58,-56,-63,-200,-67,-200,-200,-74,-71,-73,-200,-200,-74,-70,-74,-78,-82,-200,-68,-80,-86,-85,-92,-200,-56,-200,-200,-71,-83,-200,-91,-59,-200,-200,-200,-200,-87,-69,-200,-67,-68,-78
1526448415571,-32,-36,-48,-47,-52,-42,-49,-200,-58,-36,-47,-49,-57,-47,-48,-49,-43,-52,-39,-57,-50,-200,-60,-59,-39,-55,-200,-59,-51,-63,-65,-58,-200,-64,-58,-56,-63,-200,-67,-200,-200,-74,-71,-74,-200,-83,-73,-200,-74,-78,-82,-200,-68,-81,-86,-85,-92,-200,-56,-200,-200,-71,-83,-200,-91,-59,-200,-200,-200,-200,-87,-69,-79,-67,-68,-78
