,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526447259160,-30,-37,-38,-36,-45,-41,-39,-45,-48,-49,-53,-51,-48,-42,-42,-44,-50,-50,-49,-50,-52,-47,-56,-50,-57,-36,-60,-53,-50,-57,-62,-63,-67,-63,-61,-61,-73,-67,-72,-68,-73,-200,-67,-66,-75,-75,-77,-79,-76,-81,-87,-86,-89,-61,-200,-50,-59,-200,-56,-60,-88,-75,-67,-66,-73,-74,-77,-200,-200,-200,-200,-200
1526447262191,-30,-33,-36,-39,-45,-41,-39,-45,-47,-46,-53,-47,-48,-45,-38,-43,-50,-50,-49,-50,-52,-47,-54,-200,-49,-37,-60,-47,-50,-55,-63,-63,-63,-63,-61,-61,-68,-67,-71,-68,-75,-200,-72,-66,-75,-77,-76,-75,-77,-85,-88,-86,-89,-61,-200,-50,-59,-200,-56,-60,-89,-75,-67,-66,-73,-74,-77,-89,-200,-200,-200,-200
1526447265221,-33,-35,-35,-39,-44,-37,-39,-44,-44,-46,-53,-44,-48,-44,-46,-43,-47,-43,-49,-48,-52,-51,-48,-200,-48,-35,-60,-47,-50,-55,-63,-65,-63,-63,-65,-60,-61,-63,-70,-63,-75,-200,-76,-66,-71,-81,-76,-79,-80,-83,-88,-86,-89,-57,-92,-50,-200,-200,-56,-200,-89,-75,-67,-66,-73,-70,-77,-89,-200,-200,-200,-200
1526447268252,-34,-35,-35,-38,-38,-40,-36,-40,-44,-46,-50,-44,-48,-38,-47,-43,-49,-44,-41,-45,-52,-51,-48,-200,-50,-39,-60,-47,-43,-58,-63,-65,-63,-63,-62,-60,-60,-63,-66,-63,-69,-200,-69,-66,-71,-81,-76,-77,-80,-89,-88,-86,-88,-57,-92,-50,-61,-200,-56,-200,-89,-200,-67,-66,-73,-70,-77,-89,-56,-200,-200,-200
1526447271280,-34,-31,-35,-37,-37,-39,-36,-40,-44,-46,-53,-44,-48,-38,-48,-43,-49,-44,-41,-45,-52,-51,-51,-200,-50,-39,-58,-47,-43,-58,-63,-61,-63,-63,-62,-60,-59,-61,-69,-63,-68,-200,-67,-66,-75,-81,-76,-79,-79,-87,-88,-86,-88,-57,-92,-50,-61,-200,-59,-200,-89,-200,-67,-66,-73,-70,-77,-89,-56,-200,-200,-200
1526447274311,-33,-35,-36,-37,-38,-35,-40,-48,-43,-42,-55,-46,-48,-42,-48,-48,-44,-44,-42,-44,-53,-51,-48,-55,-53,-35,-58,-48,-44,-59,-63,-61,-63,-62,-59,-58,-71,-61,-69,-63,-74,-65,-63,-200,-72,-83,-75,-75,-78,-86,-86,-87,-87,-60,-92,-50,-61,-200,-59,-200,-89,-200,-200,-66,-73,-70,-77,-89,-56,-200,-200,-200
1526447277340,-33,-53,-33,-38,-40,-36,-40,-49,-39,-54,-51,-45,-48,-42,-48,-48,-48,-44,-41,-40,-52,-51,-49,-50,-51,-35,-58,-52,-44,-58,-61,-61,-63,-62,-59,-58,-67,-61,-68,-63,-74,-65,-63,-200,-72,-84,-75,-75,-79,-81,-87,-87,-87,-62,-92,-50,-65,-200,-59,-200,-89,-200,-200,-200,-200,-70,-77,-89,-56,-200,-200,-200
1526447280371,-36,-39,-33,-35,-40,-36,-40,-42,-40,-47,-47,-46,-48,-42,-48,-48,-47,-48,-41,-44,-53,-51,-51,-50,-52,-35,-58,-53,-44,-56,-60,-61,-63,-61,-60,-59,-67,-61,-67,-63,-74,-65,-63,-200,-73,-80,-73,-75,-76,-86,-87,-88,-89,-62,-92,-200,-65,-200,-59,-62,-89,-200,-200,-200,-200,-70,-200,-89,-56,-200,-200,-200
1526447283398,-34,-54,-33,-37,-39,-34,-42,-42,-42,-41,-52,-48,-48,-44,-48,-48,-45,-45,-41,-44,-53,-51,-53,-51,-57,-35,-58,-51,-44,-55,-61,-62,-200,-61,-60,-65,-61,-69,-67,-63,-74,-65,-63,-200,-70,-87,-77,-75,-79,-85,-87,-86,-87,-62,-92,-200,-65,-200,-59,-62,-200,-200,-200,-200,-200,-70,-200,-200,-56,-72,-77,-200
1526447286422,-37,-38,-34,-33,-36,-34,-38,-42,-43,-44,-49,-47,-48,-41,-42,-42,-47,-45,-41,-44,-53,-200,-49,-51,-53,-35,-58,-53,-44,-53,-58,-62,-200,-60,-61,-65,-61,-69,-67,-200,-73,-65,-63,-200,-70,-83,-78,-75,-83,-81,-87,-86,-88,-62,-200,-200,-65,-200,-59,-62,-200,-200,-200,-200,-200,-200,-200,-200,-56,-72,-75,-200
1526447289449,-36,-33,-38,-36,-38,-33,-38,-50,-39,-44,-49,-47,-62,-45,-42,-46,-47,-45,-42,-44,-51,-49,-53,-51,-51,-33,-58,-49,-39,-53,-58,-64,-200,-60,-61,-60,-61,-69,-69,-200,-73,-65,-63,-200,-71,-82,-77,-76,-84,-81,-87,-87,-88,-62,-200,-50,-65,-200,-59,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-75,-68
1526447292460,-35,-32,-34,-36,-40,-33,-38,-46,-42,-44,-51,-47,-62,-45,-43,-46,-47,-43,-42,-44,-51,-49,-54,-51,-54,-33,-58,-49,-39,-54,-66,-64,-200,-60,-58,-59,-61,-68,-69,-200,-70,-64,-63,-72,-71,-86,-80,-76,-81,-84,-86,-86,-88,-62,-200,-50,-68,-200,-59,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-75,-68
