,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,whu2011309,D-Link_DIR-823Pro,DQKJ,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526449258458,-34,-52,-28,-31,-43,-43,-49,-51,-63,-39,-56,-53,-37,-49,-54,-46,-50,-63,-50,-48,-200,-56,-44,-64,-73,-49,-200,-55,-61,-67,-200,-61,-63,-55,-200,-66,-64,-70,-70,-200,-200,-200,-75,-200,-72,-81,-70,-79,-68,-85,-83,-78,-200,-89,-200,-87,-200,-200,-200,-200,-200,-76,-59,-61,-79,-72,-73,-76,-78,-70,-81,-46,-75,-200,-200,-200,-200,-200,-200
1526449261471,-35,-52,-28,-31,-43,-39,-47,-51,-63,-41,-55,-51,-37,-47,-54,-50,-49,-63,-50,-45,-200,-56,-44,-64,-200,-49,-200,-55,-61,-67,-200,-61,-63,-55,-200,-66,-62,-70,-70,-200,-200,-200,-75,-200,-69,-200,-69,-79,-68,-85,-83,-78,-200,-87,-200,-87,-200,-200,-200,-200,-65,-76,-59,-58,-200,-200,-73,-76,-78,-70,-81,-46,-75,-200,-200,-200,-200,-200,-200
1526449264497,-35,-55,-28,-31,-43,-39,-47,-51,-63,-40,-55,-54,-37,-47,-54,-46,-49,-62,-50,-45,-200,-56,-44,-68,-200,-49,-200,-55,-61,-67,-200,-62,-63,-60,-200,-66,-62,-70,-70,-200,-200,-200,-75,-200,-69,-200,-68,-79,-68,-85,-83,-79,-200,-87,-200,-88,-200,-200,-200,-200,-65,-78,-59,-59,-200,-200,-73,-77,-78,-70,-81,-46,-75,-64,-200,-200,-200,-200,-200
1526449267513,-35,-55,-29,-31,-44,-37,-50,-51,-63,-40,-50,-54,-38,-47,-54,-45,-50,-63,-50,-47,-200,-56,-43,-71,-200,-50,-200,-56,-61,-67,-200,-62,-63,-60,-200,-66,-61,-69,-70,-200,-200,-200,-76,-200,-69,-200,-68,-79,-68,-85,-83,-78,-200,-88,-200,-87,-91,-200,-200,-200,-65,-78,-59,-59,-200,-200,-200,-77,-200,-70,-81,-46,-75,-63,-70,-74,-75,-86,-200
1526449270541,-32,-55,-29,-33,-44,-37,-48,-50,-64,-40,-51,-54,-37,-49,-54,-52,-50,-64,-50,-51,-200,-56,-46,-71,-200,-51,-200,-56,-61,-200,-200,-61,-63,-60,-200,-66,-61,-70,-200,-200,-200,-200,-75,-200,-69,-200,-68,-79,-68,-84,-82,-78,-200,-88,-200,-88,-91,-200,-200,-87,-65,-77,-58,-61,-200,-200,-200,-74,-200,-200,-200,-46,-75,-63,-70,-74,-75,-86,-77
1526449273572,-32,-55,-28,-33,-41,-37,-46,-51,-64,-40,-49,-53,-37,-50,-54,-46,-48,-64,-50,-53,-200,-56,-46,-71,-200,-49,-200,-55,-61,-200,-200,-61,-63,-60,-200,-66,-61,-69,-200,-200,-200,-200,-77,-200,-69,-200,-68,-78,-67,-85,-82,-78,-200,-88,-200,-88,-91,-200,-200,-87,-65,-77,-58,-60,-200,-200,-200,-74,-200,-200,-200,-46,-75,-63,-70,-74,-75,-86,-77
1526449276595,-32,-53,-28,-33,-43,-39,-48,-50,-64,-40,-49,-45,-40,-46,-200,-52,-46,-59,-48,-49,-57,-55,-47,-71,-200,-49,-200,-55,-61,-200,-200,-61,-63,-60,-200,-66,-61,-69,-200,-200,-200,-200,-77,-200,-69,-200,-68,-79,-68,-85,-82,-78,-200,-88,-200,-88,-91,-200,-200,-87,-65,-77,-58,-60,-200,-200,-68,-74,-200,-200,-200,-46,-200,-63,-69,-74,-75,-86,-77
1526449279620,-35,-55,-28,-33,-42,-38,-49,-52,-64,-40,-48,-45,-40,-49,-200,-47,-48,-59,-51,-48,-57,-55,-47,-72,-200,-53,-200,-54,-61,-200,-200,-61,-63,-60,-200,-69,-61,-69,-200,-200,-200,-200,-77,-200,-70,-200,-68,-79,-67,-85,-82,-78,-200,-88,-200,-88,-91,-200,-200,-87,-65,-77,-58,-60,-200,-200,-68,-74,-200,-200,-200,-47,-200,-63,-69,-74,-75,-86,-77
1526449282649,-35,-55,-28,-33,-42,-36,-49,-49,-64,-40,-49,-51,-40,-49,-200,-45,-49,-63,-51,-48,-57,-55,-47,-62,-200,-50,-200,-54,-61,-200,-200,-61,-63,-61,-200,-66,-61,-69,-200,-200,-200,-200,-77,-200,-70,-200,-68,-79,-67,-85,-82,-78,-200,-88,-200,-88,-91,-200,-200,-87,-65,-77,-57,-58,-200,-200,-68,-74,-200,-200,-200,-47,-200,-63,-69,-74,-75,-86,-77
1526449285675,-32,-55,-27,-32,-42,-36,-49,-49,-64,-40,-52,-51,-51,-48,-200,-51,-49,-65,-50,-48,-57,-53,-47,-62,-200,-50,-200,-54,-61,-71,-200,-62,-63,-61,-200,-67,-61,-70,-200,-200,-200,-200,-74,-200,-72,-200,-67,-79,-69,-84,-81,-78,-200,-87,-200,-88,-91,-200,-200,-87,-65,-77,-57,-60,-200,-200,-68,-74,-200,-200,-200,-47,-200,-63,-69,-74,-75,-86,-77
1526449288693,-35,-49,-29,-28,-42,-44,-49,-50,-64,-40,-46,-55,-51,-48,-200,-47,-47,-65,-51,-48,-57,-53,-48,-62,-200,-50,-200,-58,-200,-71,-200,-65,-66,-53,-200,-64,-61,-70,-200,-200,-200,-200,-75,-200,-77,-200,-74,-83,-69,-83,-81,-78,-200,-87,-200,-88,-91,-200,-200,-88,-65,-77,-57,-63,-200,-71,-77,-74,-200,-200,-78,-47,-200,-200,-69,-200,-200,-200,-77
1526449291724,-35,-49,-27,-26,-43,-45,-49,-50,-64,-38,-45,-55,-40,-52,-200,-47,-47,-65,-51,-50,-58,-50,-47,-62,-200,-50,-200,-58,-200,-69,-200,-66,-66,-53,-200,-64,-61,-69,-200,-200,-200,-200,-74,-200,-73,-200,-74,-83,-67,-82,-81,-77,-200,-87,-200,-88,-91,-200,-200,-88,-65,-200,-57,-63,-200,-71,-77,-74,-200,-200,-78,-47,-200,-200,-69,-200,-200,-200,-200
