,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,D-Link_DIR-823Pro
1526447337786,-33,-40,-43,-30,-45,-43,-30,-12,-53,-41,-32,-43,-50,-44,-48,-49,-45,-50,-51,-51,-51,-54,-44,-53,-57,-41,-44,-55,-200,-50,-62,-63,-66,-62,-200,-66,-69,-63,-65,-200,-74,-67,-61,-61,-200,-64,-73,-200,-200,-72,-78,-200,-200,-78,-81,-85,-89,-90,-81,-86,-59,-70,-60,-59,-77,-87,-86,-86,-200,-200,-200
1526447340800,-53,-41,-47,-34,-45,-43,-30,-30,-53,-45,-31,-43,-52,-50,-52,-48,-44,-52,-53,-52,-51,-54,-55,-53,-55,-37,-47,-54,-200,-50,-62,-200,-64,-63,-200,-62,-66,-67,-65,-200,-71,-65,-60,-61,-200,-60,-74,-200,-200,-72,-78,-200,-200,-79,-80,-84,-89,-90,-83,-86,-62,-70,-60,-59,-77,-87,-86,-86,-81,-200,-200
1526447343830,-53,-40,-43,-37,-48,-43,-31,-34,-54,-46,-33,-47,-52,-44,-51,-48,-44,-52,-53,-52,-53,-50,-55,-53,-55,-37,-46,-54,-200,-54,-62,-200,-62,-63,-200,-62,-63,-64,-65,-200,-73,-62,-61,-61,-200,-60,-74,-200,-200,-72,-78,-200,-200,-79,-74,-85,-200,-87,-83,-86,-62,-200,-67,-60,-77,-87,-86,-86,-81,-200,-200
1526447346845,-37,-39,-45,-37,-44,-43,-12,-33,-54,-47,-32,-49,-51,-41,-51,-48,-44,-52,-55,-51,-53,-50,-55,-53,-55,-40,-46,-54,-200,-54,-62,-200,-60,-63,-200,-62,-70,-67,-65,-200,-73,-66,-63,-59,-200,-61,-78,-200,-200,-72,-78,-200,-200,-81,-74,-87,-200,-87,-83,-86,-57,-200,-64,-60,-71,-87,-86,-86,-81,-200,-200
1526447349874,-35,-39,-40,-37,-48,-45,-28,-33,-54,-45,-34,-45,-47,-44,-51,-44,-40,-52,-53,-51,-53,-49,-55,-52,-55,-37,-46,-54,-200,-54,-62,-77,-60,-63,-200,-62,-69,-67,-67,-200,-71,-67,-63,-67,-200,-61,-78,-200,-200,-200,-78,-200,-200,-81,-78,-87,-200,-87,-81,-86,-57,-200,-64,-60,-71,-87,-86,-86,-81,-200,-200
1526447352913,-33,-41,-44,-39,-44,-45,-30,-31,-54,-44,-33,-46,-51,-43,-51,-44,-40,-52,-55,-50,-50,-53,-55,-51,-55,-38,-46,-52,-63,-54,-63,-77,-63,-65,-200,-62,-66,-71,-63,-200,-73,-68,-61,-67,-200,-59,-77,-200,-200,-200,-80,-200,-200,-77,-80,-89,-200,-87,-77,-88,-60,-200,-64,-63,-71,-200,-86,-86,-81,-68,-200
1526447355929,-31,-36,-44,-39,-44,-44,-34,-30,-54,-44,-34,-47,-51,-47,-51,-43,-54,-52,-56,-51,-53,-53,-46,-55,-55,-41,-45,-53,-63,-54,-63,-77,-64,-65,-200,-65,-66,-65,-63,-200,-70,-66,-62,-64,-200,-59,-74,-200,-200,-200,-80,-200,-200,-81,-77,-88,-200,-91,-78,-88,-60,-200,-61,-62,-71,-200,-86,-86,-81,-68,-200
1526447358941,-33,-36,-44,-35,-44,-45,-30,-30,-54,-45,-32,-44,-52,-47,-51,-43,-46,-51,-51,-51,-53,-49,-51,-52,-55,-41,-45,-53,-63,-54,-63,-77,-64,-61,-200,-63,-70,-65,-63,-200,-77,-67,-64,-57,-200,-63,-77,-200,-200,-200,-80,-200,-200,-80,-77,-81,-200,-91,-78,-87,-57,-200,-58,-58,-71,-200,-200,-200,-81,-68,-200
1526447361960,-32,-46,-45,-31,-48,-44,-32,-33,-54,-45,-32,-44,-51,-53,-47,-47,-41,-52,-57,-50,-53,-49,-51,-57,-54,-41,-44,-54,-63,-54,-65,-77,-62,-63,-200,-65,-68,-64,-63,-200,-72,-74,-66,-57,-200,-63,-77,-200,-200,-200,-80,-200,-200,-82,-76,-82,-200,-91,-80,-87,-57,-200,-58,-58,-71,-85,-200,-200,-200,-68,-62
1526447364989,-32,-42,-43,-31,-40,-44,-32,-31,-200,-45,-32,-45,-52,-44,-47,-46,-41,-50,-53,-50,-49,-49,-51,-52,-54,-37,-45,-52,-63,-200,-65,-77,-63,-63,-200,-62,-72,-65,-63,-200,-71,-74,-69,-57,-200,-61,-76,-200,-200,-200,-77,-200,-200,-78,-76,-84,-200,-91,-80,-87,-57,-200,-58,-58,-71,-85,-200,-200,-200,-68,-62
1526447368021,-34,-42,-43,-39,-40,-44,-32,-32,-53,-46,-35,-45,-51,-40,-47,-47,-42,-51,-50,-49,-56,-49,-51,-48,-54,-36,-44,-52,-63,-200,-65,-77,-61,-67,-200,-66,-67,-66,-65,-200,-74,-70,-69,-58,-200,-58,-79,-200,-200,-200,-83,-200,-200,-77,-80,-84,-200,-91,-77,-87,-57,-200,-58,-58,-200,-85,-200,-200,-200,-68,-58
1526447371031,-32,-42,-44,-39,-40,-47,-31,-32,-53,-46,-35,-45,-48,-39,-47,-47,-41,-51,-50,-47,-45,-55,-51,-49,-53,-41,-44,-52,-63,-200,-65,-200,-62,-64,-200,-66,-69,-69,-64,-200,-70,-73,-66,-59,-200,-59,-81,-200,-200,-69,-77,-200,-200,-83,-80,-84,-200,-91,-77,-87,-64,-200,-58,-58,-200,-85,-200,-200,-200,-68,-58
