,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DQKJ,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526449331010,-34,-37,-39,-39,-53,-40,-37,-35,-46,-52,-53,-51,-45,-58,-55,-59,-42,-41,-47,-55,-55,-200,-200,-58,-57,-63,-54,-56,-62,-63,-66,-61,-68,-62,-65,-56,-72,-67,-69,-65,-74,-200,-200,-63,-200,-82,-80,-200,-81,-85,-84,-82,-86,-200,-85,-91,-200,-68,-43,-82,-75,-60,-91,-71,-72,-70,-84,-200,-200,-200
1526449334040,-34,-35,-35,-42,-53,-36,-37,-35,-47,-54,-53,-56,-41,-59,-55,-59,-42,-41,-48,-55,-55,-200,-200,-58,-62,-65,-58,-56,-65,-65,-200,-61,-68,-65,-65,-56,-72,-67,-69,-70,-70,-200,-200,-63,-200,-83,-79,-79,-81,-86,-87,-82,-87,-200,-85,-91,-200,-66,-46,-82,-75,-64,-91,-75,-66,-70,-84,-200,-200,-200
1526449337072,-37,-35,-53,-42,-53,-40,-37,-37,-43,-51,-53,-53,-41,-57,-50,-58,-44,-43,-48,-55,-61,-200,-200,-62,-62,-68,-57,-56,-65,-67,-200,-61,-68,-64,-66,-56,-72,-68,-68,-73,-71,-200,-79,-63,-200,-83,-79,-79,-81,-86,-83,-82,-87,-200,-89,-91,-200,-66,-48,-82,-75,-64,-91,-75,-66,-70,-84,-200,-200,-200
1526449340100,-35,-37,-37,-40,-57,-39,-38,-37,-53,-52,-53,-52,-44,-57,-46,-58,-52,-43,-47,-55,-61,-200,-200,-62,-62,-68,-56,-56,-65,-67,-200,-63,-68,-62,-66,-58,-72,-68,-68,-73,-71,-200,-79,-63,-200,-83,-79,-79,-81,-87,-85,-81,-87,-200,-89,-91,-200,-68,-48,-82,-75,-64,-91,-75,-66,-70,-84,-75,-200,-200
1526449343133,-35,-39,-36,-40,-58,-39,-40,-40,-46,-52,-56,-52,-47,-58,-47,-58,-45,-40,-47,-57,-61,-200,-200,-62,-62,-61,-56,-56,-65,-66,-200,-64,-200,-62,-66,-59,-72,-65,-68,-73,-70,-200,-81,-63,-200,-81,-82,-79,-81,-86,-89,-80,-85,-200,-89,-91,-200,-68,-48,-82,-200,-64,-91,-75,-66,-70,-84,-75,-200,-200
1526449346162,-36,-35,-37,-39,-58,-39,-39,-40,-46,-53,-54,-52,-47,-58,-48,-58,-45,-44,-49,-57,-61,-200,-200,-62,-62,-61,-56,-200,-65,-66,-200,-63,-200,-62,-66,-60,-200,-67,-66,-73,-70,-200,-81,-63,-200,-82,-82,-79,-81,-86,-86,-80,-85,-200,-89,-91,-200,-68,-51,-82,-200,-64,-91,-75,-66,-70,-84,-75,-200,-200
1526449349195,-36,-35,-38,-42,-50,-39,-36,-39,-47,-53,-54,-56,-48,-58,-45,-58,-51,-55,-50,-57,-57,-57,-200,-62,-64,-63,-55,-200,-68,-66,-200,-59,-200,-62,-72,-60,-200,-66,-67,-73,-70,-200,-77,-63,-79,-82,-82,-79,-81,-86,-86,-80,-86,-200,-89,-200,-200,-68,-51,-82,-200,-64,-91,-75,-66,-200,-84,-75,-200,-200
1526449352233,-38,-37,-34,-38,-49,-37,-36,-43,-46,-53,-54,-56,-42,-60,-43,-58,-51,-47,-50,-57,-60,-57,-200,-62,-64,-63,-55,-200,-66,-64,-61,-59,-200,-64,-66,-60,-200,-64,-69,-73,-73,-200,-77,-70,-79,-79,-82,-79,-200,-83,-87,-77,-87,-200,-89,-200,-200,-68,-51,-200,-200,-56,-91,-71,-66,-200,-200,-75,-69,-200
1526449355261,-39,-37,-37,-38,-49,-36,-36,-43,-46,-53,-51,-56,-42,-59,-43,-58,-51,-46,-53,-57,-60,-51,-200,-62,-64,-63,-56,-200,-66,-63,-61,-60,-200,-72,-66,-60,-200,-65,-69,-73,-73,-200,-77,-70,-79,-81,-82,-200,-200,-84,-85,-78,-87,-200,-92,-200,-200,-68,-51,-200,-200,-56,-91,-70,-200,-69,-200,-75,-69,-200
1526449358292,-43,-36,-36,-54,-49,-37,-36,-43,-47,-48,-51,-56,-41,-56,-44,-60,-55,-46,-52,-57,-59,-51,-200,-200,-64,-64,-57,-200,-66,-63,-61,-60,-69,-72,-66,-60,-200,-65,-69,-73,-73,-200,-77,-66,-79,-80,-82,-200,-200,-85,-85,-78,-88,-200,-92,-200,-200,-68,-51,-200,-200,-56,-200,-70,-200,-69,-200,-75,-69,-58
1526449361320,-45,-36,-36,-43,-49,-37,-33,-43,-47,-49,-52,-58,-42,-56,-43,-60,-50,-45,-53,-64,-56,-54,-71,-200,-60,-65,-57,-200,-67,-63,-61,-60,-69,-71,-68,-64,-200,-67,-69,-200,-73,-200,-77,-66,-79,-80,-82,-200,-200,-85,-85,-78,-88,-200,-90,-200,-200,-68,-57,-200,-200,-54,-91,-70,-200,-69,-200,-75,-69,-58
1526449364352,-45,-37,-36,-43,-51,-37,-33,-43,-46,-53,-52,-58,-42,-56,-43,-58,-55,-46,-53,-64,-56,-54,-71,-200,-60,-65,-57,-200,-65,-63,-61,-61,-69,-71,-68,-64,-200,-65,-69,-200,-72,-200,-77,-66,-79,-80,-82,-200,-200,-84,-85,-78,-88,-200,-91,-200,-200,-200,-57,-200,-200,-54,-91,-70,-200,-67,-200,-200,-69,-58
