,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D013A8,WHU-2018,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526452809660,-25,-36,-53,-57,-69,-60,-58,-53,-51,-56,-66,-200,-53,-53,-59,-80,-57,-65,-58,-60,-60,-200,-68,-52,-67,-64,-69,-65,-68,-73,-87,-70,-69,-76,-77,-82,-88,-81,-200,-200,-86,-200,-64,-57,-71,-71,-200,-200,-64,-90,-71,-91,-84,-70,-88,-200,-63,-76,-83,-74,-200,-200,-84,-200,-200,-200,-91,-82,-91,-92,-200,-81,-93,-92,-200,-85,-78,-81,-200,-78,-76,-76,-86,-85,-200,-200,-200,-200,-200,-200,-200
1526452812707,-26,-36,-51,-57,-71,-60,-76,-53,-48,-56,-60,-200,-55,-50,-65,-200,-57,-65,-57,-62,-60,-73,-69,-48,-67,-66,-69,-64,-68,-73,-200,-86,-68,-76,-77,-58,-89,-81,-200,-200,-86,-200,-63,-64,-71,-86,-200,-200,-68,-75,-69,-85,-84,-69,-200,-200,-63,-76,-83,-74,-200,-200,-85,-200,-200,-200,-85,-200,-200,-200,-200,-81,-200,-82,-200,-200,-79,-81,-200,-78,-200,-76,-87,-85,-76,-85,-90,-200,-200,-200,-200
1526452815767,-26,-36,-52,-56,-70,-64,-75,-53,-50,-200,-63,-200,-53,-50,-65,-200,-56,-52,-73,-66,-59,-73,-68,-54,-67,-86,-68,-64,-200,-200,-200,-86,-68,-200,-200,-82,-89,-72,-200,-200,-200,-200,-67,-63,-71,-71,-200,-200,-68,-75,-69,-85,-200,-70,-200,-70,-64,-200,-86,-200,-200,-200,-85,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-82,-200,-200,-79,-200,-200,-78,-200,-200,-87,-200,-76,-80,-90,-88,-200,-200,-200
1526452818827,-26,-36,-52,-57,-71,-61,-76,-54,-52,-63,-62,-200,-55,-53,-64,-78,-50,-67,-72,-65,-60,-73,-68,-51,-67,-86,-68,-78,-84,-200,-92,-83,-67,-200,-200,-81,-89,-58,-200,-200,-200,-200,-67,-64,-86,-71,-200,-200,-68,-77,-69,-85,-200,-69,-200,-70,-77,-200,-86,-200,-200,-200,-85,-200,-200,-200,-80,-83,-200,-90,-84,-200,-200,-82,-200,-200,-79,-200,-200,-79,-200,-200,-87,-200,-87,-80,-90,-90,-90,-200,-200
1526452821893,-26,-36,-52,-56,-71,-55,-76,-53,-52,-65,-71,-200,-55,-50,-59,-78,-58,-67,-59,-61,-60,-200,-200,-52,-67,-200,-80,-65,-71,-74,-92,-74,-67,-200,-200,-81,-200,-81,-200,-200,-200,-200,-65,-64,-74,-71,-80,-75,-69,-77,-200,-200,-200,-73,-200,-200,-77,-200,-84,-75,-200,-200,-200,-200,-200,-68,-200,-81,-200,-90,-68,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-76,-200,-200,-74,-200,-200,-90,-90,-84,-200
1526452824952,-26,-36,-52,-56,-70,-56,-76,-53,-53,-65,-60,-200,-55,-57,-59,-78,-70,-63,-64,-65,-59,-200,-69,-53,-66,-69,-80,-65,-71,-74,-92,-70,-67,-200,-200,-82,-89,-81,-200,-200,-200,-200,-69,-57,-74,-71,-80,-75,-69,-77,-72,-200,-200,-69,-90,-200,-62,-200,-85,-75,-200,-200,-200,-200,-200,-68,-200,-81,-200,-90,-70,-200,-200,-82,-200,-200,-200,-200,-200,-79,-200,-76,-200,-200,-85,-200,-200,-90,-90,-84,-200
1526452827956,-27,-35,-49,-56,-71,-56,-57,-52,-49,-200,-62,-200,-75,-49,-59,-200,-48,-65,-59,-75,-60,-69,-69,-83,-72,-69,-69,-65,-71,-200,-200,-70,-200,-76,-200,-82,-89,-81,-200,-200,-200,-200,-69,-57,-74,-71,-200,-75,-66,-200,-70,-200,-200,-70,-90,-65,-66,-200,-85,-75,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-70,-76,-200,-82,-200,-200,-200,-84,-85,-200,-78,-76,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526452831021,-26,-36,-52,-56,-57,-55,-76,-53,-52,-63,-59,-200,-55,-53,-64,-200,-47,-65,-65,-62,-59,-70,-200,-50,-72,-200,-67,-67,-71,-73,-200,-68,-68,-76,-200,-82,-200,-81,-200,-200,-86,-200,-200,-56,-73,-70,-200,-75,-66,-200,-70,-200,-77,-71,-89,-65,-66,-200,-200,-75,-76,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-84,-85,-78,-78,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452834084,-26,-36,-52,-56,-57,-58,-76,-68,-49,-62,-76,-200,-53,-50,-64,-200,-51,-66,-79,-63,-60,-70,-200,-52,-66,-200,-67,-66,-70,-73,-200,-68,-68,-73,-200,-57,-200,-82,-200,-200,-87,-200,-65,-64,-75,-70,-200,-200,-200,-200,-200,-200,-77,-71,-89,-67,-63,-83,-200,-75,-76,-200,-200,-200,-200,-69,-200,-200,-89,-200,-200,-83,-200,-200,-200,-79,-200,-200,-200,-87,-200,-76,-200,-200,-77,-200,-200,-200,-82,-200,-90
1526452837154,-26,-36,-53,-56,-57,-57,-74,-53,-52,-62,-66,-200,-82,-49,-64,-200,-48,-65,-79,-64,-60,-200,-200,-52,-66,-200,-200,-65,-70,-200,-200,-200,-200,-73,-200,-57,-200,-81,-200,-200,-87,-200,-65,-64,-75,-72,-200,-200,-200,-77,-200,-200,-200,-200,-200,-67,-63,-83,-84,-75,-200,-200,-200,-200,-200,-69,-200,-200,-89,-85,-200,-200,-200,-200,-200,-72,-200,-200,-200,-87,-200,-76,-200,-200,-74,-200,-200,-200,-82,-200,-90
1526452840207,-26,-35,-52,-56,-57,-57,-76,-53,-50,-62,-62,-200,-55,-62,-67,-200,-48,-64,-65,-63,-60,-200,-68,-52,-66,-200,-69,-65,-70,-200,-78,-79,-67,-79,-200,-81,-200,-81,-200,-200,-87,-200,-65,-65,-75,-70,-200,-200,-200,-77,-200,-200,-200,-200,-200,-68,-63,-83,-84,-75,-200,-200,-200,-200,-200,-69,-83,-200,-89,-85,-200,-200,-200,-200,-200,-78,-81,-200,-200,-77,-200,-70,-200,-200,-74,-200,-200,-200,-82,-200,-90
1526452843216,-26,-35,-51,-56,-71,-57,-71,-53,-61,-59,-62,-200,-57,-73,-64,-200,-46,-76,-65,-63,-59,-70,-77,-53,-65,-61,-68,-65,-71,-200,-78,-79,-67,-72,-200,-82,-200,-81,-200,-200,-200,-200,-200,-64,-83,-70,-200,-72,-200,-200,-69,-200,-200,-70,-88,-66,-63,-77,-200,-200,-200,-200,-84,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-78,-78,-200,-200,-77,-200,-70,-200,-200,-75,-200,-200,-200,-200,-200,-200
