,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro
1526452975243,-37,-41,-59,-50,-54,-56,-52,-46,-54,-49,-56,-59,-57,-75,-200,-57,-81,-75,-73,-74,-66,-71,-69,-67,-200,-200,-200,-81,-200,-72,-200,-200,-78,-72,-60,-69,-71,-72,-200,-200,-72,-83,-200,-77,-200,-89,-200,-200,-67,-200,-200,-88,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-74,-82,-82,-85,-80,-81,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452976005,-37,-41,-59,-50,-54,-56,-52,-46,-54,-49,-56,-59,-57,-75,-200,-57,-81,-75,-73,-74,-66,-71,-69,-67,-200,-200,-200,-81,-200,-72,-200,-200,-78,-72,-60,-69,-71,-72,-200,-200,-72,-83,-200,-77,-200,-89,-200,-200,-67,-200,-200,-88,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-74,-82,-82,-85,-80,-81,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452978251,-37,-54,-42,-47,-57,-59,-51,-45,-55,-47,-54,-59,-58,-68,-86,-53,-81,-200,-46,-70,-200,-69,-69,-68,-200,-200,-70,-81,-87,-71,-69,-75,-200,-76,-60,-69,-76,-74,-200,-200,-73,-83,-200,-79,-200,-89,-61,-200,-65,-200,-200,-88,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-80,-81,-91,-77,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452979057,-37,-54,-42,-47,-57,-59,-51,-45,-55,-47,-54,-59,-58,-68,-86,-53,-81,-200,-46,-70,-200,-69,-69,-68,-200,-200,-70,-81,-87,-71,-69,-75,-200,-76,-60,-69,-76,-74,-200,-200,-73,-83,-200,-79,-200,-89,-61,-200,-65,-200,-200,-88,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-80,-81,-91,-77,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452981255,-36,-57,-43,-47,-54,-55,-52,-45,-60,-48,-55,-59,-44,-68,-81,-53,-200,-200,-45,-73,-69,-69,-200,-68,-200,-200,-70,-200,-87,-71,-69,-75,-200,-76,-200,-71,-75,-71,-200,-74,-74,-200,-200,-80,-200,-200,-61,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-84,-200,-80,-200,-77,-84,-88,-79,-82,-85,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452982097,-36,-57,-43,-47,-54,-55,-52,-45,-60,-48,-55,-59,-44,-68,-81,-53,-200,-200,-45,-73,-69,-69,-200,-68,-200,-200,-70,-200,-87,-71,-69,-75,-200,-76,-200,-71,-75,-71,-200,-74,-74,-200,-200,-80,-200,-200,-61,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-84,-200,-80,-200,-77,-84,-88,-79,-82,-85,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452984259,-37,-51,-44,-48,-54,-65,-51,-45,-54,-48,-54,-59,-59,-200,-63,-57,-200,-200,-72,-73,-69,-70,-64,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-75,-70,-71,-76,-73,-200,-74,-74,-74,-200,-80,-200,-200,-82,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-84,-200,-80,-200,-200,-200,-91,-79,-80,-85,-86,-89,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452985147,-37,-51,-44,-48,-54,-65,-51,-45,-54,-48,-54,-59,-59,-200,-63,-57,-200,-200,-72,-73,-69,-70,-64,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-75,-70,-71,-76,-73,-200,-74,-74,-74,-200,-80,-200,-200,-82,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-84,-200,-80,-200,-200,-200,-91,-79,-80,-85,-86,-89,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452987263,-36,-54,-44,-46,-54,-65,-84,-45,-60,-48,-55,-60,-64,-200,-64,-57,-200,-200,-72,-200,-68,-71,-66,-67,-200,-200,-200,-200,-200,-70,-68,-200,-81,-75,-70,-200,-76,-73,-200,-75,-73,-74,-200,-80,-200,-200,-60,-200,-57,-200,-80,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-82,-200,-200,-200,-91,-200,-80,-200,-200,-200,-85,-77,-79,-83,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452988185,-36,-54,-44,-46,-54,-65,-84,-45,-60,-48,-55,-60,-64,-200,-64,-57,-200,-200,-72,-200,-68,-71,-66,-67,-200,-200,-200,-200,-200,-70,-68,-200,-81,-75,-70,-200,-76,-73,-200,-75,-73,-74,-200,-80,-200,-200,-60,-200,-57,-200,-80,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-82,-200,-200,-200,-91,-200,-80,-200,-200,-200,-85,-77,-79,-83,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452990267,-35,-50,-45,-46,-54,-59,-51,-45,-53,-57,-55,-59,-65,-200,-64,-57,-200,-200,-71,-75,-69,-70,-69,-67,-200,-200,-67,-200,-200,-45,-78,-76,-81,-77,-65,-200,-76,-73,-200,-75,-71,-200,-84,-80,-200,-200,-60,-200,-65,-200,-80,-200,-81,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-77,-79,-84,-87,-89,-83,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452991191,-35,-50,-45,-46,-54,-59,-51,-45,-53,-57,-55,-59,-65,-200,-64,-57,-200,-200,-71,-75,-69,-70,-69,-67,-200,-200,-67,-200,-200,-45,-78,-76,-81,-77,-65,-200,-76,-73,-200,-75,-71,-200,-84,-80,-200,-200,-60,-200,-65,-200,-80,-200,-81,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-77,-79,-84,-87,-89,-83,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452993272,-36,-51,-43,-45,-55,-57,-51,-45,-60,-49,-55,-59,-62,-66,-62,-56,-200,-200,-70,-73,-68,-75,-69,-68,-200,-200,-67,-200,-200,-70,-69,-76,-81,-77,-65,-200,-73,-74,-200,-75,-73,-200,-84,-80,-200,-200,-59,-200,-66,-200,-80,-200,-81,-200,-200,-200,-200,-84,-200,-73,-85,-200,-71,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-77,-79,-84,-87,-89,-83,-90,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452994196,-36,-51,-43,-45,-55,-57,-51,-45,-60,-49,-55,-59,-62,-66,-62,-56,-200,-200,-70,-73,-68,-75,-69,-68,-200,-200,-67,-200,-200,-70,-69,-76,-81,-77,-65,-200,-73,-74,-200,-75,-73,-200,-84,-80,-200,-200,-59,-200,-66,-200,-80,-200,-81,-200,-200,-200,-200,-84,-200,-73,-85,-200,-71,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-77,-79,-84,-87,-89,-83,-90,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452996315,-36,-42,-41,-46,-56,-64,-55,-45,-53,-52,-56,-60,-60,-66,-62,-56,-200,-200,-70,-60,-66,-75,-62,-68,-73,-200,-67,-200,-200,-69,-71,-76,-200,-77,-67,-200,-76,-72,-200,-74,-72,-200,-84,-80,-200,-200,-57,-200,-67,-200,-200,-200,-77,-200,-69,-200,-200,-84,-200,-73,-85,-200,-71,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-77,-200,-84,-200,-87,-85,-90,-75,-73,-84,-87,-87,-200,-200,-200,-200,-200
1526452997201,-36,-42,-41,-46,-56,-64,-55,-45,-53,-52,-56,-60,-60,-66,-62,-56,-200,-200,-70,-60,-66,-75,-62,-68,-73,-200,-67,-200,-200,-69,-71,-76,-200,-77,-67,-200,-76,-72,-200,-74,-72,-200,-84,-80,-200,-200,-57,-200,-67,-200,-200,-200,-77,-200,-69,-200,-200,-84,-200,-73,-85,-200,-71,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-77,-200,-84,-200,-87,-85,-90,-75,-73,-84,-87,-87,-200,-200,-200,-200,-200
1526452999328,-40,-37,-43,-65,-56,-51,-55,-51,-58,-53,-58,-65,-66,-65,-63,-70,-63,-200,-71,-68,-70,-65,-64,-75,-73,-200,-200,-200,-200,-69,-71,-66,-82,-81,-60,-62,-80,-70,-200,-74,-74,-200,-200,-200,-200,-200,-63,-200,-68,-200,-200,-200,-74,-200,-80,-200,-200,-200,-200,-76,-200,-87,-200,-82,-200,-200,-76,-200,-200,-200,-200,-200,-73,-82,-200,-200,-200,-200,-200,-200,-200,-200,-87,-85,-200,-75,-80,-84,-87,-87,-86,-88,-90,-200,-200
1526453000245,-40,-37,-43,-65,-56,-51,-55,-51,-58,-53,-58,-65,-66,-65,-63,-70,-63,-200,-71,-68,-70,-65,-64,-75,-73,-200,-200,-200,-200,-69,-71,-66,-82,-81,-60,-62,-80,-70,-200,-74,-74,-200,-200,-200,-200,-200,-63,-200,-68,-200,-200,-200,-74,-200,-80,-200,-200,-200,-200,-76,-200,-87,-200,-82,-200,-200,-76,-200,-200,-200,-200,-200,-73,-82,-200,-200,-200,-200,-200,-200,-200,-200,-87,-85,-200,-75,-80,-84,-87,-87,-86,-88,-90,-200,-200
1526453002332,-48,-39,-49,-63,-57,-57,-56,-54,-54,-61,-56,-76,-65,-79,-69,-70,-74,-80,-72,-68,-70,-65,-64,-73,-200,-200,-200,-85,-79,-76,-75,-66,-76,-68,-54,-62,-56,-81,-200,-84,-78,-200,-200,-200,-200,-200,-66,-200,-78,-200,-200,-85,-78,-200,-80,-89,-200,-200,-200,-76,-200,-87,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-80,-200,-200,-200,-86,-88,-90,-200,-200
1526453003253,-48,-39,-49,-63,-57,-57,-56,-54,-54,-61,-56,-76,-65,-79,-69,-70,-74,-80,-72,-68,-70,-65,-64,-73,-200,-200,-200,-85,-79,-76,-75,-66,-76,-68,-54,-62,-56,-81,-200,-84,-78,-200,-200,-200,-200,-200,-66,-200,-78,-200,-200,-85,-78,-200,-80,-89,-200,-200,-200,-76,-200,-87,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-80,-200,-200,-200,-86,-88,-90,-200,-200
1526453005390,-45,-39,-49,-54,-55,-57,-59,-57,-59,-51,-61,-55,-64,-71,-69,-68,-74,-80,-72,-85,-71,-65,-78,-73,-200,-200,-200,-85,-79,-77,-75,-66,-76,-68,-54,-72,-56,-80,-69,-84,-78,-200,-200,-200,-200,-200,-68,-84,-74,-200,-200,-85,-78,-200,-80,-89,-200,-85,-200,-76,-200,-87,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-73,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-85,-200,-87,-200,-86,-88,-90,-200,-200
1526453006259,-45,-39,-49,-54,-55,-57,-59,-57,-59,-51,-61,-55,-64,-71,-69,-68,-74,-80,-72,-85,-71,-65,-78,-73,-200,-200,-200,-85,-79,-77,-75,-66,-76,-68,-54,-72,-56,-80,-69,-84,-78,-200,-200,-200,-200,-200,-68,-84,-74,-200,-200,-85,-78,-200,-80,-89,-200,-85,-200,-76,-200,-87,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-73,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-85,-200,-87,-200,-86,-88,-90,-200,-200
1526453008397,-45,-40,-54,-54,-53,-77,-54,-55,-59,-51,-64,-74,-62,-83,-200,-68,-200,-200,-69,-85,-70,-200,-68,-88,-200,-200,-89,-200,-200,-76,-200,-72,-76,-200,-200,-72,-85,-80,-72,-75,-75,-200,-200,-84,-200,-200,-69,-84,-74,-200,-200,-79,-200,-200,-83,-200,-200,-85,-200,-200,-200,-200,-200,-90,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-87,-200,-200,-86,-200,-200,-200
1526453009263,-45,-40,-54,-54,-53,-77,-54,-55,-59,-51,-64,-74,-62,-83,-200,-68,-200,-200,-69,-85,-70,-200,-68,-88,-200,-200,-89,-200,-200,-76,-200,-72,-76,-200,-200,-72,-85,-80,-72,-75,-75,-200,-200,-84,-200,-200,-69,-84,-74,-200,-200,-79,-200,-200,-83,-200,-200,-85,-200,-200,-200,-200,-200,-90,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-87,-200,-200,-86,-200,-200,-200
1526453011454,-44,-41,-51,-52,-88,-63,-52,-56,-59,-49,-59,-74,-63,-69,-70,-64,-78,-200,-71,-83,-72,-68,-68,-88,-200,-200,-89,-200,-81,-75,-78,-72,-76,-80,-200,-200,-83,-77,-72,-75,-77,-200,-200,-84,-200,-200,-67,-85,-200,-200,-81,-79,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200
1526453012302,-44,-41,-51,-52,-88,-63,-52,-56,-59,-49,-59,-74,-63,-69,-70,-64,-78,-200,-71,-83,-72,-68,-68,-88,-200,-200,-89,-200,-81,-75,-78,-72,-76,-80,-200,-200,-83,-77,-72,-75,-77,-200,-200,-84,-200,-200,-67,-85,-200,-200,-81,-79,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200
