,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526448400617,-27,-33,-55,-41,-74,-75,-54,-54,-58,-47,-54,-200,-66,-90,-71,-62,-67,-66,-79,-78,-76,-200,-75,-62,-65,-70,-77,-200,-73,-75,-83,-77,-73,-200,-200,-89,-78,-200,-200,-200,-90,-85,-200,-83,-200,-74,-70,-200,-200,-81,-200,-200,-200,-74,-200,-200,-200,-82,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-83,-83,-200,-85,-200,-200,-200,-83,-200,-200,-200,-67,-79,-85,-83,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448403625,-23,-39,-55,-47,-51,-47,-75,-53,-69,-49,-54,-200,-84,-56,-64,-62,-67,-67,-85,-71,-76,-90,-71,-65,-57,-76,-73,-79,-73,-75,-83,-75,-73,-200,-79,-89,-78,-200,-86,-85,-90,-85,-200,-83,-200,-74,-87,-200,-200,-81,-200,-200,-200,-86,-200,-200,-200,-82,-87,-200,-200,-73,-200,-86,-200,-200,-200,-200,-83,-74,-200,-85,-88,-200,-200,-83,-87,-88,-200,-67,-79,-85,-83,-86,-78,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448406669,-25,-32,-56,-42,-51,-56,-58,-54,-52,-49,-54,-62,-64,-62,-64,-70,-200,-65,-86,-69,-200,-90,-72,-69,-58,-76,-76,-79,-74,-200,-200,-77,-200,-200,-79,-80,-200,-200,-86,-85,-200,-85,-200,-86,-200,-78,-75,-200,-200,-200,-200,-200,-200,-86,-200,-73,-84,-85,-87,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-74,-200,-200,-88,-200,-200,-200,-87,-88,-200,-200,-200,-200,-200,-86,-85,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448409736,-24,-41,-55,-47,-56,-49,-61,-52,-52,-42,-56,-71,-64,-62,-69,-70,-71,-68,-83,-69,-200,-90,-72,-69,-68,-76,-79,-79,-70,-200,-80,-78,-77,-200,-79,-82,-200,-200,-86,-85,-200,-85,-200,-86,-200,-78,-68,-200,-77,-200,-200,-200,-200,-86,-200,-73,-84,-81,-87,-200,-200,-75,-200,-86,-200,-200,-200,-200,-200,-74,-200,-84,-88,-80,-200,-83,-87,-88,-200,-200,-200,-200,-200,-86,-85,-84,-85,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448412756,-25,-36,-51,-44,-58,-44,-65,-51,-50,-42,-57,-200,-200,-59,-82,-65,-70,-66,-85,-66,-200,-200,-64,-72,-69,-200,-80,-200,-75,-78,-200,-76,-200,-200,-79,-81,-200,-200,-90,-200,-200,-200,-200,-87,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-75,-74,-74,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526448415816,-26,-36,-51,-45,-57,-44,-65,-53,-74,-43,-57,-71,-200,-63,-82,-62,-70,-68,-87,-66,-79,-200,-62,-72,-72,-200,-79,-200,-75,-78,-200,-76,-200,-76,-79,-84,-200,-200,-88,-200,-200,-200,-200,-87,-200,-71,-69,-200,-200,-200,-200,-200,-200,-200,-75,-74,-77,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-82,-200,-200,-81,-200,-200,-82,-80,-87,-87,-200,-200,-200,-200,-200,-87,-82,-78,-200,-200,-86,-88,-72,-78,-200,-200,-200,-200,-200,-200
1526448418884,-28,-36,-51,-45,-57,-48,-67,-51,-57,-43,-57,-71,-200,-62,-74,-64,-70,-67,-82,-66,-79,-200,-65,-66,-70,-84,-81,-200,-75,-79,-200,-75,-200,-76,-79,-67,-200,-82,-88,-200,-200,-200,-200,-87,-200,-71,-69,-200,-200,-200,-200,-200,-200,-200,-75,-74,-77,-79,-200,-200,-200,-84,-82,-200,-200,-200,-200,-200,-82,-200,-200,-81,-200,-200,-82,-80,-87,-87,-200,-63,-200,-200,-200,-87,-82,-78,-87,-200,-79,-88,-72,-79,-83,-87,-87,-200,-200,-200
1526448421888,-25,-35,-45,-44,-57,-45,-69,-53,-50,-39,-56,-200,-77,-62,-74,-64,-70,-68,-82,-200,-200,-200,-65,-66,-69,-77,-77,-200,-72,-79,-80,-77,-200,-200,-200,-67,-76,-82,-200,-200,-200,-200,-200,-85,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-79,-87,-83,-79,-200,-200,-79,-83,-87,-87,-84,-86,-200
1526448424904,-26,-35,-45,-43,-56,-49,-60,-57,-55,-41,-57,-71,-81,-60,-71,-64,-69,-65,-85,-64,-72,-200,-61,-67,-70,-74,-78,-200,-72,-79,-80,-76,-76,-200,-200,-84,-73,-82,-200,-200,-200,-200,-87,-86,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-78,-200,-200,-84,-200,-200,-200,-200,-200,-200,-83,-87,-200,-200,-200,-200,-200,-81,-200,-200,-200,-63,-200,-200,-200,-200,-200,-79,-87,-83,-79,-200,-200,-79,-83,-87,-87,-84,-86,-200
1526448427937,-30,-35,-55,-43,-53,-45,-64,-62,-53,-42,-61,-71,-77,-58,-71,-66,-70,-66,-88,-66,-72,-81,-65,-70,-63,-72,-74,-200,-200,-200,-200,-76,-76,-69,-200,-75,-82,-84,-90,-62,-90,-200,-87,-89,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-88,-200,-80,-200,-200,-200,-200,-200,-200,-200,-80,-200,-81,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-88
1526448431018,-24,-27,-55,-44,-56,-46,-62,-56,-53,-49,-56,-61,-70,-56,-63,-66,-70,-64,-64,-66,-200,-81,-65,-70,-57,-76,-73,-200,-200,-200,-200,-80,-71,-69,-200,-81,-82,-84,-85,-62,-91,-85,-200,-89,-200,-200,-74,-200,-84,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-88,-200,-80,-200,-200,-200,-200,-200,-200,-200,-80,-200,-81,-200,-200,-200,-83,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-88
1526448434085,-23,-33,-50,-46,-84,-47,-56,-53,-52,-47,-56,-69,-75,-56,-62,-68,-66,-66,-79,-73,-200,-78,-71,-75,-58,-75,-74,-74,-200,-200,-200,-77,-71,-69,-200,-79,-82,-84,-85,-62,-91,-84,-200,-89,-200,-70,-65,-200,-84,-200,-87,-200,-200,-200,-200,-75,-200,-200,-200,-88,-200,-80,-200,-200,-200,-200,-200,-200,-200,-80,-200,-81,-200,-200,-200,-83,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-78,-200,-86,-200,-200,-200,-200,-200,-200,-88
