,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526448330463,-200,-82,-82,-80,-200,-84,-200,-200,-200,-75,-82,-200,-75,-87,-72,-200,-200,-200,-85,-72,-200,-200,-200,-200,-84,-79,-200,-200,-75,-82,-84,-200,-200,-200,-200,-200,-88,-84,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526448331607,-200,-200,-200,-200,-78,-76,-200,-200,-200,-200,-82,-200,-80,-200,-200,-200,-200,-76,-200,-200,-72,-74,-200,-84,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448331711,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448332766,-73,-83,-200,-200,-200,-200,-200,-200,-200,-78,-80,-200,-200,-83,-71,-87,-200,-200,-83,-69,-75,-83,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526448333928,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-76,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448334977,-200,-200,-77,-200,-200,-76,-200,-200,-82,-75,-81,-72,-72,-83,-75,-68,-200,-200,-200,-200,-70,-73,-200,-200,-88,-75,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200
1526448336128,-200,-200,-200,-78,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-95
1526448337173,-200,-200,-81,-81,-73,-76,-200,-200,-200,-80,-200,-65,-200,-200,-74,-66,-200,-200,-74,-200,-72,-77,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-95,-200,-200,-88,-200,-200
1526448339394,-74,-200,-81,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448340477,-200,-200,-79,-200,-200,-75,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-78,-200,-200,-200,-200,-75,-200,-200,-200,-79,-200,-200,-200,-79,-80,-200,-72,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448341662,-74,-200,-200,-82,-200,-200,-200,-200,-86,-200,-80,-200,-75,-200,-200,-200,-200,-80,-79,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-94,-200,-200,-200,-200,-200,-87,-200,-200
1526448342793,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-78,-200,-200,-200,-66,-200,-78,-200,-70,-72,-76,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-71,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448343886,-74,-200,-200,-200,-200,-77,-90,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-80,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526448344990,-70,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95
