,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526447415777,-200,-200,-79,-78,-200,-200,-200,-200,-72,-200,-73,-200,-200,-200,-78,-200,-65,-84,-200,-81,-200,-200,-200,-72,-200,-200,-200,-79,-200,-200,-88,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447416870,-200,-84,-81,-200,-200,-200,-66,-200,-70,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-77,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526447418052,-200,-200,-200,-200,-200,-200,-61,-200,-200,-84,-200,-83,-86,-200,-76,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-86,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200
1526447419112,-200,-200,-86,-200,-200,-200,-200,-200,-70,-200,-75,-85,-83,-200,-78,-200,-64,-200,-89,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447421249,-200,-200,-200,-200,-200,-76,-200,-76,-200,-86,-200,-94,-90,-200,-200,-69,-74,-200,-200,-200,-200,-200,-85,-72,-200,-90,-200,-200,-200,-200,-87,-200,-200,-93,-93,-93,-200,-200,-92,-200,-88,-200,-200,-200,-200,-200,-200
1526447422384,-200,-200,-200,-76,-200,-200,-65,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-92,-200,-200,-71,-200,-200,-90,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447422481,-200,-84,-88,-75,-75,-200,-200,-76,-71,-200,-68,-92,-200,-200,-200,-70,-200,-80,-86,-200,-200,-200,-200,-72,-200,-200,-200,-78,-200,-72,-200,-200,-200,-93,-200,-94,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526447424664,-200,-87,-200,-200,-200,-77,-65,-77,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-83,-200,-200,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447424773,-87,-82,-200,-200,-200,-78,-200,-200,-70,-200,-72,-200,-86,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-90,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447426873,-78,-92,-200,-200,-200,-78,-200,-78,-200,-200,-67,-200,-200,-200,-78,-71,-65,-200,-200,-200,-200,-200,-85,-73,-200,-95,-95,-200,-200,-76,-82,-200,-200,-200,-200,-200,-92,-93,-200,-200,-88,-200,-200,-200,-200,-96,-200
1526447428031,-200,-92,-200,-75,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-87,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447430206,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526447431261,-77,-200,-90,-74,-72,-80,-65,-200,-200,-200,-72,-200,-200,-200,-200,-80,-66,-200,-200,-200,-200,-200,-200,-200,-91,-77,-200,-200,-200,-73,-84,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92
1526447432464,-200,-200,-200,-200,-75,-200,-61,-75,-72,-200,-70,-200,-200,-200,-200,-71,-65,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447433509,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447434573,-81,-200,-73,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-63,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526447434665,-200,-200,-78,-81,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-78,-70,-63,-90,-200,-200,-200,-94,-200,-200,-200,-89,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447436873,-200,-200,-200,-200,-200,-79,-68,-200,-200,-84,-74,-200,-200,-200,-200,-200,-67,-200,-85,-200,-90,-200,-200,-200,-200,-200,-200,-79,-76,-200,-85,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447437972,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-75,-200,-200,-200,-200,-82,-200,-200,-200,-200,-91,-200,-200,-200,-200,-81,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447439064,-83,-200,-84,-82,-77,-200,-73,-200,-200,-92,-200,-94,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447440177,-200,-92,-200,-200,-74,-82,-200,-200,-200,-200,-75,-87,-200,-200,-200,-200,-200,-200,-200,-76,-200,-92,-200,-200,-200,-78,-200,-200,-79,-200,-86,-200,-200,-87,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447441270,-200,-89,-88,-200,-81,-72,-200,-200,-75,-83,-80,-200,-200,-200,-79,-73,-86,-77,-200,-81,-200,-95,-92,-77,-79,-200,-200,-85,-77,-76,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447443454,-87,-200,-88,-80,-200,-73,-72,-200,-200,-90,-200,-200,-200,-200,-200,-200,-72,-84,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447444557,-200,-200,-81,-75,-74,-200,-63,-200,-200,-200,-67,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-75,-200,-200,-200,-200,-88,-94,-89,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97
1526447445779,-82,-200,-200,-200,-200,-84,-200,-200,-200,-200,-71,-200,-200,-200,-200,-72,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
