,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526456912160,-47,-38,-56,-48,-55,-59,-55,-59,-76,-77,-200,-68,-65,-63,-68,-71,-79,-60,-76,-71,-81,-200,-80,-84,-74,-81,-200,-80,-86,-73,-200,-60,-78,-81,-85,-200,-200,-79,-84,-79,-200,-81,-200,-71,-87,-86,-82,-200,-85,-79,-81,-200,-88,-200,-80,-200,-86,-200,-200,-200,-83,-86,-200,-89,-86,-90,-86,-88,-85,-200,-200,-200,-89,-200,-200,-88,-200,-90,-76,-200,-200,-200,-200,-200,-90,-200,-200,-200,-91,-88,-200,-200
1526456915195,-46,-16,-60,-52,-55,-58,-52,-63,-77,-77,-200,-69,-64,-63,-66,-69,-79,-62,-74,-69,-78,-200,-80,-84,-87,-76,-200,-80,-87,-74,-200,-58,-79,-81,-85,-200,-200,-78,-84,-89,-200,-85,-200,-75,-85,-86,-82,-85,-85,-86,-80,-200,-87,-200,-80,-200,-86,-200,-200,-200,-82,-88,-200,-89,-86,-90,-86,-88,-86,-200,-200,-200,-89,-200,-200,-87,-200,-90,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-88,-200,-200
1526456918231,-47,-37,-60,-53,-55,-58,-55,-61,-68,-77,-200,-69,-64,-63,-66,-73,-79,-61,-75,-71,-79,-200,-79,-84,-77,-77,-200,-81,-85,-73,-200,-59,-79,-79,-84,-200,-200,-78,-84,-89,-200,-87,-200,-80,-85,-86,-82,-85,-86,-84,-81,-200,-87,-200,-84,-200,-86,-200,-200,-200,-85,-86,-200,-83,-87,-89,-86,-86,-86,-200,-200,-200,-88,-200,-200,-89,-200,-90,-80,-200,-90,-90,-200,-200,-200,-200,-200,-200,-91,-88,-200,-200
1526456921269,-48,-37,-68,-52,-55,-58,-61,-62,-69,-77,-200,-77,-64,-63,-67,-72,-78,-61,-74,-72,-80,-200,-79,-84,-79,-82,-200,-89,-85,-72,-200,-56,-82,-81,-84,-200,-87,-78,-82,-80,-200,-84,-80,-73,-87,-86,-91,-85,-86,-85,-81,-200,-90,-200,-84,-200,-86,-200,-200,-200,-82,-86,-200,-83,-87,-89,-87,-86,-85,-200,-200,-200,-88,-200,-200,-90,-200,-90,-74,-200,-90,-90,-200,-200,-90,-92,-200,-200,-87,-200,-200,-200
1526456924312,-48,-46,-60,-53,-55,-57,-55,-57,-68,-80,-200,-78,-64,-66,-68,-73,-77,-69,-75,-72,-78,-200,-79,-85,-74,-82,-200,-89,-88,-73,-200,-58,-83,-80,-91,-200,-86,-78,-82,-81,-200,-89,-80,-80,-86,-86,-84,-200,-86,-75,-81,-200,-87,-200,-84,-200,-87,-200,-200,-200,-86,-87,-200,-83,-84,-89,-87,-88,-86,-200,-200,-200,-88,-200,-200,-87,-200,-85,-75,-200,-89,-90,-89,-91,-90,-92,-200,-200,-85,-200,-200,-200
1526456927336,-47,-38,-61,-53,-55,-52,-55,-63,-76,-80,-200,-67,-65,-66,-68,-73,-78,-60,-74,-69,-80,-77,-79,-81,-77,-75,-200,-89,-88,-75,-200,-63,-83,-82,-91,-200,-86,-78,-84,-81,-200,-89,-80,-80,-86,-86,-84,-85,-200,-79,-80,-200,-87,-200,-84,-200,-87,-200,-200,-200,-85,-87,-200,-83,-86,-90,-87,-88,-86,-200,-200,-200,-200,-200,-200,-89,-200,-88,-79,-200,-89,-90,-89,-91,-90,-92,-200,-200,-85,-200,-91,-200
1526456930370,-49,-37,-61,-61,-56,-55,-53,-58,-70,-81,-200,-69,-72,-63,-69,-81,-81,-62,-74,-69,-83,-82,-85,-83,-81,-75,-200,-200,-88,-75,-200,-61,-81,-80,-85,-200,-86,-79,-84,-81,-200,-89,-200,-73,-86,-87,-84,-85,-200,-78,-80,-200,-87,-200,-84,-85,-86,-200,-89,-200,-82,-87,-200,-83,-86,-90,-85,-88,-86,-200,-200,-200,-88,-200,-200,-89,-200,-88,-79,-200,-90,-90,-89,-91,-91,-200,-200,-200,-85,-200,-91,-200
1526456933412,-48,-37,-59,-52,-55,-56,-60,-57,-76,-79,-79,-68,-64,-63,-69,-74,-77,-63,-76,-72,-83,-80,-76,-83,-72,-74,-200,-80,-85,-74,-200,-59,-81,-80,-88,-200,-86,-80,-84,-78,-200,-84,-80,-73,-86,-87,-84,-85,-200,-60,-81,-200,-200,-200,-83,-85,-85,-200,-89,-200,-82,-89,-200,-200,-86,-90,-85,-86,-86,-200,-200,-200,-88,-200,-200,-88,-200,-88,-70,-200,-90,-90,-200,-200,-91,-200,-200,-200,-86,-200,-91,-200
1526456936458,-46,-38,-58,-52,-56,-53,-52,-62,-68,-79,-79,-70,-62,-62,-66,-73,-79,-60,-75,-69,-85,-81,-79,-84,-75,-83,-200,-82,-85,-73,-200,-58,-81,-80,-86,-200,-200,-80,-86,-78,-200,-81,-80,-81,-86,-87,-84,-85,-85,-82,-82,-200,-86,-200,-83,-85,-85,-200,-89,-200,-79,-88,-200,-83,-87,-91,-85,-86,-200,-200,-200,-200,-89,-200,-200,-88,-200,-88,-78,-89,-91,-90,-200,-200,-91,-200,-200,-200,-86,-200,-91,-200
1526456939492,-48,-47,-60,-52,-55,-57,-54,-60,-68,-76,-77,-70,-63,-62,-66,-74,-79,-70,-74,-72,-80,-81,-93,-83,-73,-82,-200,-82,-87,-74,-200,-62,-81,-81,-89,-200,-88,-88,-86,-79,-200,-80,-80,-81,-200,-86,-84,-84,-85,-83,-81,-200,-86,-200,-83,-85,-91,-200,-89,-200,-81,-88,-200,-83,-87,-91,-87,-87,-84,-200,-200,-200,-90,-200,-200,-88,-89,-88,-79,-88,-91,-90,-200,-200,-92,-90,-200,-200,-91,-200,-200,-200
1526456942542,-49,-37,-60,-52,-55,-59,-55,-61,-69,-76,-77,-68,-65,-62,-67,-73,-78,-59,-76,-68,-78,-80,-78,-83,-79,-74,-200,-82,-86,-73,-200,-62,-80,-81,-86,-200,-88,-78,-85,-79,-200,-80,-80,-73,-200,-86,-84,-84,-85,-85,-83,-200,-88,-200,-85,-85,-87,-200,-200,-200,-82,-87,-92,-82,-85,-90,-87,-87,-85,-200,-200,-200,-89,-200,-200,-88,-89,-90,-81,-88,-91,-89,-200,-91,-92,-90,-82,-200,-91,-200,-200,-92
1526456945582,-49,-37,-63,-52,-56,-59,-61,-60,-77,-76,-77,-67,-71,-69,-69,-72,-78,-64,-84,-69,-86,-80,-85,-85,-80,-74,-200,-83,-85,-80,-200,-63,-81,-81,-86,-200,-88,-78,-85,-85,-200,-84,-200,-82,-87,-87,-82,-84,-85,-87,-81,-200,-88,-200,-85,-85,-86,-200,-200,-200,-87,-87,-92,-83,-91,-92,-89,-87,-84,-200,-200,-200,-89,-200,-200,-200,-89,-89,-81,-88,-91,-89,-200,-91,-90,-90,-82,-200,-91,-200,-200,-92
