,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro_5GHz
1526450245716,-26,-35,-32,-42,-45,-45,-48,-42,-45,-45,-48,-42,-52,-46,-47,-49,-52,-40,-43,-51,-59,-200,-54,-63,-56,-60,-63,-58,-57,-57,-64,-200,-66,-56,-200,-71,-63,-55,-67,-68,-71,-63,-72,-81,-78,-64,-78,-84,-81,-86,-87,-200,-200,-89,-200,-63,-200,-86,-61,-64,-67,-81,-59,-77,-200,-200,-200,-200
1526450248738,-30,-37,-36,-39,-45,-44,-48,-46,-41,-50,-49,-47,-52,-45,-47,-49,-56,-40,-43,-57,-58,-63,-54,-63,-54,-61,-59,-58,-61,-57,-59,-200,-62,-61,-200,-71,-62,-55,-71,-67,-71,-63,-74,-78,-75,-64,-82,-83,-80,-84,-86,-200,-200,-89,-200,-63,-200,-86,-61,-64,-67,-81,-56,-77,-80,-200,-200,-200
1526450251771,-33,-37,-36,-39,-43,-41,-48,-46,-41,-50,-49,-46,-52,-45,-47,-49,-56,-38,-40,-57,-58,-63,-54,-61,-57,-62,-59,-58,-62,-52,-59,-200,-61,-65,-200,-68,-62,-57,-73,-66,-71,-63,-74,-77,-76,-66,-81,-83,-77,-85,-87,-200,-200,-89,-200,-200,-200,-200,-61,-64,-67,-81,-56,-77,-80,-200,-200,-200
1526450254804,-33,-37,-36,-40,-43,-41,-50,-46,-43,-50,-49,-46,-50,-43,-45,-49,-53,-38,-40,-51,-58,-64,-54,-61,-57,-63,-59,-58,-61,-56,-59,-200,-64,-65,-61,-68,-62,-57,-74,-66,-71,-63,-74,-76,-76,-66,-81,-83,-78,-85,-87,-64,-200,-89,-200,-200,-200,-200,-61,-64,-67,-81,-56,-77,-80,-200,-200,-200
1526450257816,-30,-37,-35,-40,-47,-44,-52,-45,-43,-49,-52,-47,-58,-41,-49,-49,-49,-45,-40,-47,-58,-64,-54,-61,-58,-67,-58,-58,-58,-53,-59,-200,-62,-59,-61,-68,-62,-54,-71,-69,-67,-70,-74,-75,-79,-66,-76,-82,-78,-82,-88,-64,-200,-89,-200,-200,-200,-200,-200,-64,-67,-81,-56,-77,-80,-200,-200,-200
1526450260841,-32,-36,-35,-41,-47,-49,-48,-45,-48,-49,-52,-46,-56,-44,-50,-53,-49,-45,-44,-46,-58,-64,-55,-61,-61,-67,-59,-58,-58,-58,-61,-200,-62,-63,-61,-65,-62,-56,-70,-68,-67,-64,-74,-74,-78,-66,-77,-85,-79,-82,-89,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-56,-77,-80,-200,-200,-200
1526450263853,-32,-36,-35,-42,-43,-49,-49,-45,-48,-49,-52,-47,-56,-43,-50,-53,-50,-45,-44,-50,-58,-64,-56,-63,-61,-69,-59,-58,-62,-58,-61,-200,-62,-63,-60,-65,-62,-56,-68,-67,-67,-64,-73,-74,-78,-73,-77,-85,-79,-82,-89,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-56,-77,-80,-78,-200,-200
1526450266878,-31,-36,-35,-44,-55,-49,-49,-43,-47,-49,-52,-51,-55,-45,-52,-53,-52,-43,-47,-53,-59,-64,-56,-63,-61,-72,-58,-58,-56,-59,-61,-200,-63,-63,-65,-68,-62,-56,-68,-68,-67,-64,-74,-77,-77,-73,-78,-87,-79,-82,-89,-64,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-57,-200,-80,-78,-72,-200
1526450269902,-30,-36,-35,-42,-51,-49,-49,-43,-44,-49,-52,-50,-52,-45,-52,-53,-52,-43,-47,-52,-63,-64,-56,-63,-57,-68,-62,-58,-56,-59,-61,-200,-62,-59,-65,-68,-62,-53,-64,-66,-67,-64,-77,-75,-77,-73,-77,-84,-75,-82,-89,-64,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-57,-200,-200,-78,-72,-200
1526450272917,-29,-36,-35,-42,-51,-44,-49,-43,-48,-49,-52,-50,-52,-41,-52,-53,-48,-43,-42,-52,-63,-64,-56,-63,-60,-65,-60,-58,-56,-62,-61,-200,-60,-59,-65,-72,-62,-53,-68,-67,-67,-64,-73,-75,-74,-73,-77,-83,-76,-82,-85,-64,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-57,-200,-200,-78,-72,-200
1526450275941,-28,-36,-35,-39,-56,-44,-49,-42,-48,-47,-52,-50,-49,-41,-51,-50,-48,-43,-39,-52,-55,-66,-56,-63,-60,-66,-60,-58,-58,-58,-61,-200,-56,-59,-65,-72,-200,-53,-69,-70,-77,-64,-75,-74,-62,-72,-77,-83,-81,-82,-83,-60,-200,-200,-200,-67,-200,-89,-200,-200,-200,-200,-57,-200,-200,-78,-72,-200
1526450278955,-29,-37,-32,-40,-50,-38,-56,-42,-48,-48,-52,-45,-50,-41,-51,-50,-48,-43,-39,-50,-55,-66,-56,-63,-60,-66,-58,-58,-58,-58,-61,-200,-65,-59,-65,-72,-200,-49,-69,-69,-77,-64,-77,-74,-62,-72,-77,-83,-80,-81,-85,-60,-200,-200,-200,-67,-200,-89,-200,-58,-200,-200,-57,-200,-200,-78,-72,-88
