,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526450537494,-35,-29,-47,-39,-41,-55,-46,-51,-36,-55,-59,-51,-47,-54,-51,-52,-49,-51,-41,-47,-62,-41,-52,-55,-51,-59,-53,-46,-60,-65,-68,-57,-58,-61,-70,-66,-72,-63,-65,-65,-65,-70,-200,-79,-72,-77,-73,-77,-83,-69,-86,-79,-89,-67,-68,-75,-82,-63,-87,-68,-200,-200,-200
1526450540519,-38,-29,-47,-39,-41,-53,-48,-50,-36,-200,-54,-48,-44,-54,-48,-52,-49,-51,-45,-49,-200,-39,-52,-55,-51,-59,-53,-50,-61,-71,-71,-54,-58,-61,-66,-66,-72,-61,-64,-65,-65,-70,-200,-74,-72,-72,-71,-74,-81,-74,-86,-79,-200,-200,-200,-200,-200,-63,-87,-68,-200,-200,-200
1526450543562,-31,-28,-47,-42,-41,-53,-48,-50,-36,-53,-54,-48,-44,-53,-48,-52,-51,-51,-41,-46,-200,-43,-52,-55,-55,-59,-53,-50,-61,-67,-71,-55,-58,-63,-66,-66,-72,-60,-63,-65,-65,-70,-66,-76,-72,-72,-71,-76,-80,-71,-86,-81,-200,-200,-200,-200,-200,-65,-87,-68,-200,-200,-200
1526450546576,-28,-27,-48,-42,-41,-53,-48,-49,-36,-53,-48,-52,-42,-51,-52,-52,-48,-51,-38,-46,-200,-40,-53,-55,-52,-59,-53,-50,-58,-71,-71,-56,-58,-61,-66,-66,-72,-62,-64,-200,-200,-70,-66,-78,-77,-74,-75,-80,-84,-71,-86,-79,-200,-200,-200,-200,-200,-65,-200,-74,-200,-200,-200
1526450549594,-31,-31,-56,-47,-43,-55,-52,-49,-36,-56,-56,-52,-46,-51,-55,-44,-48,-51,-43,-53,-200,-41,-53,-200,-57,-65,-57,-51,-66,-63,-71,-56,-58,-65,-66,-66,-72,-66,-69,-200,-200,-70,-66,-80,-79,-81,-82,-80,-88,-75,-86,-86,-200,-200,-200,-200,-200,-65,-200,-74,-200,-200,-200
1526450552624,-27,-27,-45,-44,-43,-49,-46,-39,-32,-58,-48,-52,-42,-44,-49,-44,-47,-50,-40,-53,-61,-48,-53,-200,-50,-65,-57,-52,-62,-61,-71,-64,-58,-61,-66,-55,-68,-61,-69,-200,-64,-78,-66,-78,-81,-80,-79,-82,-87,-76,-83,-86,-200,-200,-65,-200,-200,-65,-200,-62,-75,-200,-200
1526450555642,-33,-31,-40,-44,-43,-45,-46,-40,-32,-58,-48,-52,-43,-40,-53,-44,-45,-53,-44,-51,-61,-48,-53,-47,-47,-65,-57,-55,-67,-73,-71,-66,-200,-65,-75,-55,-68,-62,-69,-200,-64,-78,-66,-79,-77,-77,-81,-82,-83,-73,-79,-83,-200,-200,-65,-200,-200,-65,-200,-62,-75,-76,-200
1526450558672,-28,-27,-44,-44,-48,-45,-46,-38,-36,-56,-53,-52,-51,-40,-60,-48,-45,-53,-40,-51,-57,-48,-56,-47,-47,-65,-50,-50,-67,-69,-71,-61,-200,-60,-75,-55,-68,-57,-64,-67,-64,-67,-66,-81,-77,-79,-78,-77,-79,-78,-79,-84,-200,-200,-65,-200,-200,-65,-200,-61,-75,-76,-83
1526450561698,-28,-27,-46,-47,-45,-43,-54,-37,-35,-57,-53,-51,-45,-43,-60,-48,-48,-49,-40,-51,-57,-46,-56,-51,-43,-65,-50,-54,-66,-68,-200,-61,-200,-59,-75,-55,-68,-60,-64,-65,-68,-67,-68,-79,-74,-79,-77,-81,-84,-79,-77,-82,-200,-200,-65,-200,-200,-65,-200,-59,-75,-76,-83
1526450564711,-27,-27,-46,-46,-46,-46,-54,-37,-36,-57,-56,-51,-45,-41,-60,-48,-42,-49,-39,-51,-57,-47,-56,-51,-43,-65,-47,-47,-65,-68,-200,-61,-54,-58,-75,-55,-68,-58,-61,-65,-68,-72,-66,-79,-74,-77,-79,-73,-84,-79,-78,-81,-200,-200,-65,-200,-200,-200,-200,-59,-75,-76,-83
1526450567740,-24,-27,-44,-46,-46,-46,-49,-37,-36,-53,-52,-51,-42,-41,-55,-48,-42,-48,-39,-50,-57,-47,-56,-51,-43,-65,-46,-55,-67,-68,-200,-61,-54,-58,-75,-54,-68,-58,-64,-65,-68,-72,-66,-80,-74,-77,-78,-74,-84,-78,-78,-82,-200,-200,-65,-200,-200,-200,-200,-59,-75,-76,-83
1526450570761,-26,-29,-47,-46,-43,-49,-53,-37,-35,-55,-52,-51,-47,-45,-55,-42,-42,-48,-41,-50,-57,-41,-56,-50,-41,-200,-52,-55,-68,-63,-200,-61,-54,-56,-69,-54,-66,-64,-64,-65,-68,-72,-66,-79,-73,-81,-74,-75,-79,-73,-75,-82,-200,-200,-65,-200,-200,-200,-200,-59,-75,-76,-83
