,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0124.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0123.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526454497020,-200,-73,-200,-75,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-79,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-85,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454498073,-85,-64,-200,-93,-200,-200,-92,-200,-200,-200,-200,-80,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-91,-200,-200,-85,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526454500242,-200,-72,-77,-200,-80,-200,-200,-88,-200,-200,-200,-75,-200,-200,-200,-200,-200,-82,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454501408,-200,-63,-200,-200,-76,-200,-200,-79,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454502467,-200,-63,-200,-70,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-74,-200,-200,-87,-73,-200,-200,-200,-93,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454502583,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526454503665,-200,-200,-200,-200,-85,-200,-200,-82,-200,-200,-200,-81,-200,-90,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-86,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526454504767,-200,-75,-200,-200,-85,-200,-200,-200,-91,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-89,-200,-200,-200,-200
1526454505843,-200,-70,-200,-200,-200,-200,-200,-83,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-74,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454506980,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200
1526454508012,-200,-68,-200,-200,-83,-200,-84,-200,-200,-81,-93,-72,-78,-200,-200,-200,-90,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-76,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86
1526454510247,-83,-61,-200,-71,-200,-200,-83,-200,-200,-84,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-91,-91,-95,-200,-200,-92,-200,-200,-200,-90,-78,-200,-93,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526454511350,-80,-86,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454512454,-82,-62,-73,-67,-200,-200,-80,-89,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-95,-89,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200
1526454514728,-200,-65,-200,-72,-200,-200,-87,-200,-85,-83,-85,-79,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-85,-200,-200,-200,-200,-82,-93,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526454516928,-200,-67,-200,-200,-200,-88,-87,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-86,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526454519130,-81,-60,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86
1526454520220,-79,-66,-75,-200,-86,-200,-200,-200,-200,-80,-200,-200,-78,-90,-200,-200,-87,-87,-72,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200
1526454521373,-200,-59,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454522538,-200,-200,-74,-69,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-75,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526454523592,-200,-200,-200,-200,-200,-200,-88,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-85
