,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DQKJ,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18
1526451745827,-14,-28,-39,-52,-48,-60,-45,-49,-47,-57,-48,-51,-38,-59,-55,-62,-61,-54,-60,-67,-70,-62,-71,-62,-68,-58,-61,-58,-53,-75,-66,-60,-69,-82,-61,-77,-78,-74,-77,-67,-72,-68,-75,-75,-74,-76,-77,-68,-79,-80,-77,-71,-76,-83,-77,-200,-72,-200,-76,-79,-72,-84,-82,-82,-76,-70,-83,-87,-79,-82,-86,-75,-77,-77,-82,-86,-90,-80,-70,-85,-200,-86,-200,-83,-85,-89,-80,-200,-77,-81,-83,-200,-65,-200,-200,-89,-82,-200,-86,-200,-200,-68,-200,-82,-200,-80,-87,-91,-92,-82,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451748875,-30,-28,-37,-51,-49,-51,-44,-50,-48,-55,-51,-50,-37,-59,-55,-62,-59,-57,-60,-62,-67,-62,-66,-61,-69,-58,-63,-58,-53,-82,-64,-67,-66,-82,-64,-74,-78,-74,-77,-66,-73,-72,-75,-74,-74,-74,-80,-59,-77,-200,-77,-71,-76,-83,-74,-200,-73,-200,-77,-81,-74,-84,-82,-82,-74,-74,-82,-88,-79,-82,-86,-75,-77,-78,-200,-86,-90,-87,-69,-84,-200,-86,-200,-83,-85,-90,-80,-200,-78,-81,-83,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-62,-200,-82,-200,-200,-200,-200,-92,-82,-86,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451751917,-28,-28,-55,-53,-49,-56,-45,-51,-47,-54,-47,-50,-38,-59,-58,-58,-63,-54,-60,-64,-69,-61,-71,-58,-65,-200,-61,-61,-55,-73,-65,-67,-63,-87,-61,-77,-78,-65,-70,-75,-70,-73,-71,-74,-71,-79,-80,-67,-78,-200,-77,-70,-75,-83,-77,-200,-71,-82,-77,-81,-76,-84,-82,-81,-74,-76,-82,-88,-200,-200,-85,-200,-83,-77,-81,-86,-200,-87,-69,-84,-200,-84,-200,-200,-90,-88,-88,-200,-77,-78,-200,-200,-200,-82,-200,-200,-200,-87,-200,-200,-200,-66,-200,-82,-200,-74,-86,-200,-200,-200,-86,-90,-91,-68,-74,-88,-88,-89,-91,-94,-200,-200
1526451754956,-16,-29,-38,-56,-48,-56,-44,-51,-49,-55,-51,-50,-39,-61,-58,-59,-61,-53,-59,-45,-69,-63,-71,-59,-71,-200,-62,-62,-52,-73,-63,-67,-63,-87,-62,-77,-78,-65,-70,-75,-72,-72,-71,-74,-75,-79,-80,-68,-78,-200,-76,-73,-75,-82,-77,-200,-74,-82,-77,-77,-76,-200,-80,-81,-74,-76,-82,-88,-200,-200,-86,-200,-73,-76,-81,-86,-200,-87,-69,-84,-200,-84,-200,-200,-90,-88,-88,-200,-77,-80,-200,-200,-200,-82,-200,-200,-200,-87,-200,-200,-200,-67,-200,-200,-200,-74,-86,-200,-200,-200,-200,-200,-91,-68,-74,-88,-88,-89,-91,-94,-200,-200
1526451758002,-28,-29,-37,-54,-49,-56,-43,-52,-47,-55,-49,-52,-29,-60,-57,-61,-63,-54,-58,-71,-69,-63,-71,-62,-71,-200,-63,-59,-51,-74,-53,-67,-63,-79,-66,-77,-79,-69,-74,-68,-72,-70,-69,-200,-72,-79,-82,-67,-77,-200,-78,-70,-76,-83,-77,-200,-74,-82,-75,-81,-79,-200,-80,-82,-75,-75,-84,-87,-83,-89,-85,-200,-84,-77,-81,-87,-200,-200,-69,-84,-200,-88,-200,-85,-90,-88,-88,-200,-77,-80,-86,-200,-200,-82,-200,-90,-200,-86,-200,-200,-200,-64,-200,-79,-87,-80,-86,-90,-200,-200,-200,-91,-200,-68,-74,-88,-88,-89,-91,-91,-200,-200
1526451761040,-29,-28,-38,-53,-48,-55,-44,-49,-48,-54,-51,-49,-37,-62,-59,-57,-62,-54,-59,-61,-66,-62,-74,-59,-71,-58,-67,-59,-53,-74,-65,-67,-200,-83,-66,-77,-77,-64,-74,-75,-70,-70,-71,-200,-70,-74,-82,-69,-76,-200,-75,-70,-76,-82,-77,-89,-73,-82,-75,-79,-73,-200,-80,-82,-69,-71,-84,-87,-79,-89,-85,-200,-82,-77,-81,-87,-200,-200,-69,-84,-200,-87,-200,-86,-87,-89,-87,-200,-77,-82,-86,-200,-86,-200,-88,-90,-200,-86,-200,-200,-200,-62,-200,-82,-87,-75,-86,-90,-200,-200,-200,-90,-200,-200,-200,-200,-88,-86,-200,-91,-200,-200
1526451764080,-30,-28,-37,-55,-48,-52,-43,-50,-44,-54,-50,-49,-38,-59,-59,-57,-61,-55,-59,-65,-67,-62,-66,-59,-71,-58,-67,-59,-53,-74,-65,-60,-63,-79,-64,-78,-77,-64,-75,-73,-70,-76,-71,-76,-71,-75,-82,-67,-76,-200,-77,-70,-76,-82,-77,-89,-71,-82,-75,-75,-73,-84,-79,-81,-73,-76,-84,-85,-81,-89,-83,-200,-83,-78,-81,-87,-200,-200,-69,-84,-200,-87,-200,-85,-87,-89,-87,-200,-76,-81,-86,-200,-86,-200,-88,-89,-80,-86,-87,-200,-200,-62,-200,-81,-87,-77,-200,-91,-200,-200,-200,-90,-92,-200,-200,-200,-200,-86,-200,-92,-200,-200
1526451767125,-29,-28,-37,-52,-49,-58,-44,-48,-47,-55,-50,-49,-38,-60,-57,-63,-60,-55,-61,-66,-67,-62,-66,-62,-71,-58,-63,-59,-52,-74,-65,-68,-68,-77,-64,-74,-77,-65,-77,-67,-69,-76,-70,-77,-71,-75,-77,-67,-79,-200,-75,-70,-77,-82,-78,-89,-68,-82,-75,-80,-71,-84,-79,-81,-75,-78,-83,-85,-80,-89,-85,-200,-77,-78,-81,-87,-200,-200,-69,-85,-200,-87,-200,-84,-87,-89,-87,-200,-76,-80,-86,-200,-86,-200,-88,-89,-80,-84,-87,-200,-200,-62,-200,-81,-87,-77,-200,-91,-200,-200,-200,-90,-92,-200,-200,-200,-200,-83,-200,-92,-90,-200
1526451770162,-29,-28,-20,-52,-49,-52,-44,-50,-53,-55,-48,-54,-39,-60,-58,-67,-44,-55,-58,-61,-67,-62,-72,-60,-71,-58,-58,-63,-52,-74,-65,-67,-66,-77,-58,-74,-75,-66,-75,-83,-70,-73,-73,-75,-71,-75,-85,-66,-78,-200,-78,-72,-72,-83,-78,-89,-71,-81,-77,-81,-71,-84,-79,-82,-85,-75,-83,-85,-89,-89,-84,-200,-77,-76,-81,-85,-200,-200,-69,-85,-200,-87,-200,-85,-87,-89,-87,-200,-76,-81,-200,-92,-70,-200,-88,-90,-80,-84,-87,-200,-200,-62,-200,-81,-200,-77,-200,-91,-200,-200,-200,-90,-92,-200,-200,-200,-200,-83,-200,-92,-90,-88
1526451773201,-29,-28,-37,-54,-49,-53,-45,-50,-48,-54,-49,-51,-38,-61,-53,-55,-61,-53,-59,-63,-68,-63,-72,-59,-71,-58,-58,-63,-52,-74,-66,-66,-66,-77,-60,-74,-80,-71,-76,-83,-70,-71,-74,-77,-72,-79,-85,-66,-77,-200,-77,-72,-77,-83,-78,-200,-70,-81,-75,-84,-72,-84,-79,-82,-74,-75,-82,-85,-79,-200,-84,-200,-79,-77,-200,-87,-200,-200,-50,-78,-200,-200,-200,-86,-88,-89,-89,-200,-76,-81,-200,-92,-70,-200,-200,-91,-81,-84,-87,-200,-200,-63,-70,-81,-200,-77,-200,-91,-200,-200,-200,-200,-92,-200,-200,-200,-200,-90,-200,-92,-90,-88
1526451776250,-22,-28,-45,-53,-49,-55,-43,-59,-62,-55,-51,-49,-46,-62,-58,-56,-52,-55,-60,-75,-70,-63,-73,-62,-71,-200,-59,-59,-54,-74,-66,-66,-66,-75,-65,-77,-80,-69,-76,-84,-70,-73,-74,-77,-75,-76,-81,-66,-79,-200,-77,-74,-76,-83,-86,-200,-72,-81,-75,-82,-72,-200,-79,-83,-75,-83,-82,-85,-79,-200,-87,-81,-79,-77,-200,-86,-200,-200,-79,-84,-200,-200,-200,-90,-88,-91,-89,-200,-76,-85,-200,-91,-70,-200,-200,-91,-81,-84,-92,-200,-200,-67,-86,-200,-200,-81,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-91,-90,-88
1526451779302,-30,-28,-38,-53,-49,-57,-45,-51,-49,-56,-51,-53,-38,-60,-65,-58,-61,-54,-61,-66,-69,-63,-68,-59,-200,-55,-59,-60,-51,-71,-64,-67,-67,-80,-64,-77,-77,-65,-74,-84,-70,-72,-72,-77,-73,-76,-78,-64,-78,-200,-79,-71,-77,-83,-78,-200,-73,-82,-75,-81,-76,-200,-77,-83,-75,-75,-85,-85,-78,-90,-87,-81,-76,-77,-200,-86,-200,-200,-70,-83,-200,-200,-200,-85,-88,-89,-89,-200,-76,-80,-200,-91,-70,-200,-200,-91,-81,-200,-92,-200,-200,-65,-86,-200,-200,-80,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-91,-200,-88
