,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whjx-gaofeng-13,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whjx-gaofeng-1,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526462462148,-25,-46,-39,-55,-64,-46,-53,-54,-46,-57,-61,-64,-90,-73,-62,-69,-72,-73,-57,-200,-73,-200,-61,-72,-81,-82,-81,-73,-91,-69,-73,-83,-82,-86,-92,-77,-87,-86,-80,-86,-96,-88,-200,-86,-91,-79,-83,-89,-200,-92,-90,-92,-89,-97,-200,-93,-95,-200,-82,-200,-90,-87,-88,-95,-200,-96,-96,-95,-200,-95,-95,-200,-85,-92,-200,-94,-200,-200,-94,-95,-200,-200,-200,-90,-200,-200,-200,-200,-84,-93,-93,-94,-200,-200,-200,-200
1526462465201,-26,-46,-40,-52,-69,-47,-50,-57,-50,-55,-56,-63,-83,-66,-71,-71,-71,-73,-57,-200,-68,-200,-61,-200,-78,-83,-81,-73,-93,-66,-73,-87,-82,-90,-92,-74,-89,-86,-79,-85,-94,-89,-200,-86,-91,-81,-82,-86,-200,-92,-87,-91,-89,-97,-200,-95,-95,-200,-84,-200,-90,-88,-87,-95,-93,-96,-96,-93,-91,-95,-95,-84,-92,-92,-200,-94,-200,-95,-94,-95,-200,-95,-200,-90,-200,-200,-96,-200,-84,-200,-93,-94,-200,-200,-200,-200
1526462468258,-23,-47,-40,-52,-69,-48,-54,-58,-50,-56,-59,-61,-92,-67,-61,-71,-72,-77,-58,-200,-67,-200,-61,-73,-83,-83,-78,-65,-93,-67,-73,-88,-82,-92,-92,-76,-89,-82,-81,-88,-92,-89,-91,-85,-91,-80,-82,-86,-200,-200,-89,-91,-90,-97,-200,-92,-95,-91,-77,-200,-90,-89,-86,-95,-93,-95,-96,-93,-91,-97,-95,-84,-85,-90,-96,-92,-200,-95,-200,-95,-200,-95,-200,-90,-200,-200,-96,-97,-84,-90,-200,-200,-200,-200,-200,-200
1526462471312,-22,-45,-40,-52,-66,-48,-54,-54,-48,-55,-54,-61,-92,-56,-65,-71,-70,-77,-59,-200,-69,-81,-61,-72,-81,-84,-81,-70,-92,-68,-73,-82,-79,-92,-200,-76,-83,-83,-81,-86,-93,-89,-91,-84,-200,-82,-84,-86,-200,-91,-89,-90,-88,-200,-200,-92,-92,-91,-79,-200,-200,-87,-89,-200,-93,-97,-95,-93,-91,-97,-93,-84,-84,-90,-94,-92,-200,-95,-200,-94,-200,-95,-200,-200,-200,-200,-96,-97,-200,-90,-200,-200,-91,-200,-200,-200
1526462474363,-24,-43,-39,-52,-66,-49,-54,-61,-51,-55,-56,-59,-92,-61,-67,-72,-72,-74,-44,-200,-71,-81,-59,-72,-79,-82,-82,-69,-92,-70,-71,-83,-80,-88,-200,-76,-87,-84,-78,-86,-90,-90,-91,-85,-92,-80,-82,-200,-200,-91,-90,-90,-88,-95,-200,-92,-92,-91,-79,-200,-200,-88,-89,-200,-200,-97,-95,-94,-94,-93,-97,-200,-84,-90,-94,-92,-200,-200,-200,-94,-94,-200,-200,-200,-93,-200,-96,-98,-200,-90,-200,-200,-91,-200,-200,-200
1526462477412,-25,-47,-38,-51,-63,-46,-54,-60,-50,-56,-65,-61,-200,-52,-64,-71,-69,-74,-56,-71,-69,-81,-60,-76,-80,-80,-86,-66,-91,-68,-79,-83,-80,-88,-94,-77,-82,-85,-79,-86,-89,-87,-200,-84,-92,-78,-83,-200,-200,-91,-90,-89,-92,-95,-200,-92,-91,-200,-77,-200,-200,-86,-86,-200,-200,-97,-95,-94,-94,-93,-93,-200,-86,-89,-94,-200,-200,-200,-200,-93,-94,-96,-200,-200,-93,-200,-96,-98,-200,-90,-200,-200,-91,-98,-200,-200
1526462480464,-25,-45,-35,-49,-64,-53,-50,-59,-51,-54,-59,-73,-200,-63,-67,-66,-66,-74,-44,-71,-73,-81,-61,-76,-86,-78,-78,-71,-92,-70,-79,-83,-80,-88,-94,-76,-88,-85,-79,-86,-89,-87,-200,-89,-93,-85,-78,-88,-200,-200,-88,-89,-85,-95,-200,-92,-93,-200,-85,-200,-200,-86,-86,-200,-200,-94,-200,-94,-94,-93,-93,-79,-86,-89,-200,-200,-200,-200,-94,-93,-91,-96,-200,-93,-93,-200,-95,-98,-200,-200,-92,-200,-200,-98,-200,-200
1526462483513,-25,-42,-39,-54,-69,-44,-50,-60,-52,-55,-61,-61,-91,-55,-67,-76,-72,-76,-58,-71,-73,-81,-64,-72,-82,-81,-79,-71,-88,-68,-75,-200,-200,-89,-94,-81,-87,-87,-79,-92,-92,-89,-200,-89,-93,-81,-83,-88,-200,-200,-92,-89,-89,-200,-200,-92,-93,-200,-79,-200,-200,-87,-86,-200,-94,-94,-93,-200,-90,-95,-95,-81,-86,-88,-200,-200,-200,-200,-94,-93,-91,-96,-200,-93,-200,-200,-97,-200,-200,-200,-92,-200,-200,-98,-98,-200
1526462486567,-33,-48,-43,-47,-72,-48,-52,-61,-53,-64,-60,-82,-90,-68,-64,-70,-65,-76,-58,-200,-77,-81,-60,-72,-84,-76,-84,-68,-86,-71,-75,-86,-81,-85,-94,-82,-85,-87,-82,-95,-96,-91,-200,-90,-93,-85,-83,-88,-200,-91,-86,-92,-90,-90,-200,-92,-95,-200,-82,-200,-200,-89,-200,-200,-94,-96,-97,-200,-95,-95,-95,-84,-200,-88,-95,-94,-200,-200,-94,-200,-91,-96,-200,-87,-200,-200,-97,-200,-200,-200,-92,-200,-200,-200,-96,-200
1526462489623,-27,-45,-42,-50,-68,-41,-56,-58,-50,-64,-61,-72,-88,-70,-66,-68,-73,-76,-59,-200,-76,-79,-68,-72,-85,-78,-82,-68,-86,-68,-73,-87,-83,-90,-94,-81,-88,-88,-84,-95,-93,-87,-200,-86,-200,-90,-83,-200,-200,-91,-95,-92,-90,-90,-200,-92,-95,-89,-79,-200,-200,-89,-89,-200,-94,-94,-97,-95,-95,-95,-95,-84,-94,-87,-96,-94,-200,-200,-95,-96,-200,-200,-200,-87,-200,-200,-97,-96,-200,-200,-93,-200,-200,-200,-96,-97
1526462492675,-25,-42,-39,-51,-70,-45,-53,-56,-52,-56,-57,-61,-90,-69,-62,-77,-73,-82,-58,-69,-68,-79,-62,-200,-86,-80,-80,-71,-89,-66,-73,-87,-79,-86,-93,-79,-86,-83,-84,-93,-93,-89,-200,-86,-91,-81,-85,-200,-200,-91,-85,-92,-90,-90,-200,-200,-95,-89,-80,-200,-200,-89,-89,-200,-92,-94,-97,-95,-95,-200,-95,-84,-94,-87,-96,-94,-200,-200,-95,-96,-96,-94,-200,-87,-200,-200,-200,-96,-200,-200,-93,-200,-200,-200,-96,-94
1526462495727,-25,-42,-34,-52,-69,-47,-51,-57,-49,-57,-56,-63,-90,-71,-59,-75,-70,-82,-58,-69,-71,-79,-58,-75,-84,-80,-76,-71,-90,-64,-73,-87,-79,-86,-91,-77,-86,-83,-84,-89,-93,-91,-200,-85,-91,-79,-90,-200,-200,-200,-89,-90,-91,-94,-200,-200,-93,-89,-79,-200,-200,-86,-85,-200,-92,-94,-94,-95,-200,-200,-93,-200,-86,-87,-96,-94,-200,-200,-96,-96,-96,-95,-200,-200,-200,-200,-200,-96,-200,-200,-83,-200,-200,-200,-200,-94
