,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A20,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,whjx-gaofeng-1,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro
1526463072408,-33,-46,-53,-71,-63,-49,-53,-62,-56,-65,-64,-56,-72,-60,-73,-72,-75,-81,-79,-88,-82,-79,-72,-78,-81,-84,-84,-75,-81,-76,-88,-86,-70,-78,-94,-81,-79,-200,-89,-90,-86,-69,-95,-93,-200,-95,-92,-200,-92,-200,-94,-93,-91,-92,-89,-200,-200,-90,-95,-200,-92,-200,-200,-90,-200,-200,-83,-91,-200,-200,-94,-200,-200,-200,-200,-98,-200,-200,-90,-200,-200,-200,-91,-200,-200,-200,-200,-90,-94,-92,-96,-200,-200,-200,-200,-200
1526463075454,-31,-49,-55,-60,-63,-52,-49,-63,-53,-71,-63,-53,-72,-64,-71,-72,-77,-76,-77,-87,-82,-78,-70,-84,-81,-86,-85,-75,-85,-77,-88,-87,-72,-78,-94,-84,-81,-200,-87,-91,-86,-84,-95,-93,-200,-95,-97,-200,-92,-200,-94,-93,-94,-200,-88,-200,-200,-87,-95,-200,-88,-200,-200,-90,-200,-200,-84,-91,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-91,-200,-97,-200,-200,-90,-94,-92,-96,-97,-200,-200,-200,-200
1526463078501,-28,-49,-60,-70,-63,-55,-51,-63,-54,-71,-64,-55,-72,-59,-78,-72,-74,-79,-78,-87,-79,-78,-70,-78,-81,-86,-83,-77,-85,-79,-88,-86,-71,-78,-94,-83,-81,-200,-90,-90,-86,-85,-200,-87,-200,-95,-91,-200,-200,-200,-94,-200,-90,-200,-88,-200,-200,-87,-95,-200,-91,-95,-200,-95,-200,-200,-83,-91,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-95,-91,-95,-97,-200,-200,-92,-94,-200,-96,-97,-200,-200,-200,-200
1526463081545,-37,-49,-51,-57,-56,-42,-59,-69,-53,-54,-69,-60,-87,-59,-68,-72,-69,-66,-78,-87,-76,-85,-68,-78,-77,-86,-85,-77,-85,-78,-200,-86,-73,-77,-90,-83,-81,-200,-90,-90,-86,-83,-200,-89,-200,-90,-94,-97,-91,-200,-96,-200,-88,-200,-88,-200,-200,-87,-200,-200,-90,-95,-200,-91,-200,-200,-88,-88,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-92,-93,-95,-97,-200,-200,-91,-95,-200,-200,-97,-97,-200,-200,-200
1526463084588,-42,-49,-51,-54,-56,-39,-62,-63,-51,-55,-63,-58,-78,-59,-75,-68,-69,-72,-76,-200,-76,-86,-77,-78,-73,-88,-81,-76,-74,-80,-86,-86,-78,-82,-90,-86,-75,-200,-91,-90,-95,-84,-200,-89,-200,-88,-94,-97,-90,-200,-96,-200,-87,-98,-200,-200,-200,-92,-94,-200,-90,-95,-94,-93,-200,-200,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-92,-92,-95,-200,-200,-200,-88,-96,-200,-200,-200,-97,-200,-200,-200
1526463087637,-38,-51,-46,-61,-60,-40,-55,-62,-54,-57,-63,-61,-75,-61,-67,-71,-67,-72,-81,-78,-80,-81,-79,-81,-73,-88,-91,-76,-78,-82,-86,-86,-79,-82,-90,-81,-76,-86,-87,-83,-95,-84,-200,-90,-200,-92,-90,-97,-91,-200,-96,-200,-85,-98,-200,-200,-200,-92,-94,-95,-90,-200,-94,-93,-200,-91,-84,-89,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-95,-92,-95,-200,-200,-200,-88,-96,-200,-200,-95,-96,-200,-200,-200
1526463090685,-33,-49,-49,-61,-56,-41,-48,-68,-55,-50,-68,-56,-75,-61,-77,-72,-68,-66,-77,-78,-79,-78,-73,-83,-72,-88,-86,-78,-79,-76,-95,-86,-74,-80,-92,-84,-75,-86,-85,-83,-95,-86,-89,-90,-200,-88,-89,-200,-92,-200,-94,-200,-90,-98,-200,-200,-200,-93,-94,-95,-90,-200,-94,-90,-200,-91,-86,-90,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-94,-91,-95,-200,-200,-200,-90,-95,-200,-200,-95,-96,-78,-97,-200
1526463093732,-31,-48,-51,-64,-59,-40,-48,-69,-53,-57,-66,-57,-75,-58,-77,-71,-68,-67,-77,-78,-79,-77,-73,-84,-75,-200,-83,-77,-74,-76,-95,-85,-73,-82,-92,-84,-74,-86,-85,-83,-200,-86,-89,-94,-200,-89,-92,-200,-93,-200,-94,-200,-87,-92,-200,-200,-200,-93,-200,-95,-90,-200,-94,-91,-200,-91,-87,-90,-200,-98,-94,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-94,-92,-94,-200,-200,-200,-90,-95,-200,-200,-95,-96,-78,-97,-200
1526463096779,-33,-51,-52,-63,-58,-41,-49,-61,-54,-53,-66,-55,-79,-58,-77,-73,-69,-71,-76,-200,-79,-77,-69,-82,-75,-200,-83,-78,-79,-76,-95,-86,-74,-84,-92,-85,-76,-85,-88,-200,-92,-87,-90,-87,-200,-88,-92,-200,-92,-200,-94,-90,-90,-92,-200,-200,-200,-94,-200,-93,-91,-200,-93,-92,-200,-200,-87,-90,-200,-96,-94,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-95,-92,-95,-200,-200,-200,-89,-94,-200,-200,-200,-200,-78,-98,-200
1526463099828,-32,-47,-50,-62,-61,-41,-48,-61,-53,-53,-66,-56,-81,-57,-76,-71,-68,-74,-77,-79,-79,-78,-73,-79,-74,-87,-84,-78,-75,-78,-90,-85,-69,-82,-200,-85,-75,-85,-87,-91,-92,-86,-89,-91,-200,-89,-92,-200,-91,-98,-94,-90,-88,-92,-200,-200,-200,-93,-200,-93,-87,-200,-94,-92,-200,-200,-87,-91,-200,-96,-94,-200,-200,-200,-200,-100,-200,-200,-89,-200,-200,-95,-92,-95,-98,-200,-200,-89,-94,-200,-200,-200,-200,-79,-98,-98
1526463102879,-31,-47,-50,-64,-59,-43,-49,-62,-53,-60,-65,-55,-81,-59,-77,-68,-68,-68,-77,-79,-79,-81,-73,-79,-74,-87,-84,-77,-74,-72,-90,-85,-74,-82,-200,-84,-75,-88,-90,-91,-93,-86,-89,-91,-200,-88,-92,-200,-90,-98,-94,-90,-87,-92,-200,-200,-200,-93,-200,-93,-91,-200,-94,-92,-200,-92,-87,-90,-200,-96,-200,-200,-97,-200,-200,-100,-200,-200,-91,-200,-200,-95,-92,-95,-98,-200,-200,-90,-94,-200,-200,-200,-200,-77,-98,-98
1526463105926,-33,-54,-46,-58,-61,-44,-63,-76,-53,-54,-68,-58,-81,-59,-74,-71,-68,-68,-76,-79,-79,-77,-73,-79,-73,-87,-84,-76,-73,-75,-90,-85,-73,-83,-200,-85,-76,-88,-90,-91,-89,-85,-92,-97,-200,-88,-91,-200,-92,-98,-200,-200,-88,-200,-200,-200,-200,-92,-200,-200,-91,-200,-94,-92,-200,-84,-89,-92,-200,-200,-200,-200,-97,-200,-200,-100,-200,-200,-89,-200,-200,-93,-92,-200,-98,-200,-200,-91,-96,-200,-200,-200,-95,-77,-200,-98
