,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526463000533,-44,-34,-35,-47,-50,-60,-55,-57,-53,-53,-59,-58,-63,-82,-66,-58,-72,-77,-80,-200,-74,-67,-85,-75,-87,-77,-85,-71,-74,-90,-84,-77,-200,-88,-200,-81,-93,-93,-82,-74,-98,-86,-92,-90,-200,-82,-77,-89,-90,-94,-95,-89,-90,-80,-88,-95,-200,-200,-91,-91,-200,-92,-200,-93,-92,-200,-98,-92,-95,-200,-93,-94,-92,-200,-200,-91,-91,-200,-200,-200,-200,-91,-95,-200,-200,-94,-95,-77,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463003579,-64,-47,-40,-45,-49,-65,-59,-50,-52,-47,-65,-62,-68,-77,-80,-66,-70,-83,-79,-64,-72,-62,-85,-75,-82,-80,-82,-70,-72,-92,-80,-74,-200,-77,-200,-81,-93,-93,-78,-74,-98,-90,-92,-94,-200,-82,-75,-89,-95,-94,-92,-80,-95,-86,-89,-200,-200,-200,-82,-88,-200,-92,-200,-93,-91,-94,-98,-92,-200,-200,-94,-91,-91,-96,-82,-91,-91,-200,-200,-200,-200,-91,-95,-200,-200,-94,-95,-77,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463006630,-49,-37,-40,-45,-47,-63,-64,-52,-57,-51,-63,-54,-69,-83,-69,-63,-75,-76,-66,-64,-72,-62,-81,-75,-80,-86,-84,-66,-70,-88,-84,-75,-200,-78,-200,-93,-93,-93,-81,-78,-94,-90,-200,-94,-200,-82,-78,-92,-90,-95,-94,-77,-90,-87,-94,-98,-92,-200,-84,-88,-200,-92,-200,-93,-91,-94,-98,-92,-200,-200,-94,-91,-91,-97,-82,-91,-96,-200,-200,-200,-200,-91,-95,-200,-98,-200,-95,-77,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463009684,-49,-37,-40,-45,-47,-62,-63,-55,-57,-50,-61,-55,-65,-81,-68,-61,-79,-77,-70,-64,-73,-62,-81,-75,-83,-83,-85,-70,-69,-88,-87,-77,-83,-77,-85,-93,-86,-95,-76,-75,-92,-88,-200,-88,-200,-86,-78,-94,-90,-94,-94,-77,-91,-86,-94,-98,-92,-200,-88,-88,-96,-95,-200,-93,-91,-94,-200,-200,-200,-200,-94,-91,-91,-97,-82,-200,-96,-94,-96,-200,-200,-95,-200,-200,-98,-200,-94,-200,-200,-96,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463012738,-51,-44,-46,-45,-48,-62,-61,-52,-59,-52,-58,-54,-75,-83,-63,-62,-77,-79,-68,-200,-71,-63,-81,-78,-80,-87,-85,-70,-61,-90,-87,-77,-83,-77,-85,-93,-85,-95,-75,-75,-92,-91,-89,-88,-94,-90,-75,-92,-90,-94,-94,-80,-91,-82,-92,-95,-92,-200,-88,-89,-96,-96,-200,-95,-200,-200,-95,-200,-91,-200,-94,-200,-95,-97,-84,-200,-96,-94,-94,-200,-200,-95,-200,-200,-97,-200,-93,-89,-200,-96,-82,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463015785,-52,-48,-48,-45,-46,-58,-61,-53,-57,-51,-60,-54,-75,-81,-71,-63,-76,-79,-72,-200,-72,-63,-87,-78,-85,-89,-85,-68,-75,-89,-80,-77,-83,-76,-85,-200,-86,-95,-79,-75,-92,-88,-91,-89,-94,-90,-75,-92,-93,-94,-96,-80,-91,-88,-92,-95,-95,-200,-83,-92,-96,-96,-200,-94,-93,-200,-95,-91,-92,-200,-90,-200,-95,-200,-84,-200,-94,-94,-94,-200,-200,-94,-200,-200,-97,-200,-94,-89,-200,-200,-82,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463018836,-50,-47,-50,-47,-48,-58,-58,-53,-58,-53,-62,-56,-64,-85,-74,-66,-75,-77,-67,-200,-73,-63,-87,-78,-77,-86,-82,-74,-73,-91,-82,-81,-200,-76,-200,-86,-86,-94,-80,-78,-92,-88,-91,-91,-94,-87,-76,-94,-93,-200,-96,-81,-92,-87,-92,-95,-95,-200,-82,-94,-200,-96,-200,-94,-93,-200,-95,-91,-91,-200,-90,-200,-95,-200,-84,-200,-94,-200,-94,-200,-200,-94,-200,-200,-97,-200,-92,-89,-200,-200,-200,-96,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463021882,-56,-52,-47,-48,-47,-58,-54,-55,-57,-54,-62,-54,-76,-77,-70,-66,-69,-77,-74,-200,-72,-61,-86,-78,-83,-88,-87,-65,-76,-92,-81,-77,-83,-76,-83,-82,-86,-91,-80,-77,-96,-88,-89,-91,-94,-86,-74,-91,-93,-93,-94,-78,-92,-85,-93,-200,-89,-200,-89,-92,-200,-88,-200,-93,-97,-200,-200,-91,-91,-200,-94,-94,-200,-200,-88,-200,-94,-200,-200,-200,-200,-94,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-93,-88,-90,-98,-99,-200,-200,-200,-200,-200
1526463024934,-56,-49,-38,-46,-49,-60,-58,-53,-60,-65,-60,-63,-70,-78,-75,-64,-69,-79,-81,-200,-73,-61,-86,-77,-87,-82,-86,-64,-72,-89,-81,-77,-86,-79,-83,-80,-83,-91,-80,-75,-95,-88,-92,-91,-92,-86,-75,-89,-93,-91,-94,-80,-92,-86,-93,-200,-89,-200,-85,-90,-200,-92,-200,-95,-97,-200,-96,-92,-91,-200,-92,-94,-90,-200,-79,-89,-94,-200,-200,-200,-200,-93,-200,-200,-200,-200,-90,-80,-200,-200,-200,-200,-93,-88,-90,-98,-99,-82,-96,-200,-200,-200
1526463027987,-55,-50,-38,-44,-46,-59,-62,-52,-62,-49,-58,-62,-71,-83,-80,-63,-71,-77,-80,-200,-72,-66,-85,-78,-87,-84,-86,-67,-61,-90,-81,-77,-86,-78,-80,-86,-87,-91,-82,-75,-95,-92,-93,-91,-94,-86,-75,-94,-93,-91,-96,-79,-200,-86,-91,-94,-89,-200,-83,-91,-200,-93,-200,-95,-97,-93,-96,-91,-91,-200,-92,-94,-85,-200,-79,-89,-95,-200,-200,-200,-200,-93,-200,-200,-99,-200,-94,-80,-200,-200,-200,-200,-200,-88,-88,-98,-99,-82,-96,-84,-200,-200
1526463031035,-51,-45,-40,-44,-45,-59,-58,-52,-52,-53,-59,-59,-65,-85,-66,-61,-74,-76,-70,-200,-74,-66,-85,-81,-85,-85,-86,-73,-72,-90,-91,-76,-86,-80,-80,-81,-86,-91,-77,-79,-95,-91,-92,-87,-94,-80,-77,-88,-93,-91,-96,-80,-90,-80,-91,-94,-200,-93,-81,-94,-200,-93,-200,-94,-88,-93,-97,-93,-93,-200,-92,-94,-94,-200,-79,-89,-95,-97,-200,-200,-200,-93,-200,-200,-99,-200,-97,-80,-200,-200,-200,-200,-91,-200,-88,-200,-200,-82,-96,-92,-100,-200
1526463034089,-47,-41,-36,-47,-49,-57,-54,-53,-54,-54,-60,-56,-68,-79,-66,-56,-76,-76,-70,-200,-72,-64,-88,-81,-85,-85,-200,-72,-68,-94,-91,-80,-200,-80,-80,-79,-86,-200,-77,-76,-95,-92,-92,-87,-94,-80,-77,-89,-94,-200,-95,-90,-91,-80,-91,-95,-95,-93,-88,-90,-200,-93,-200,-94,-91,-95,-97,-93,-92,-200,-94,-90,-94,-200,-200,-200,-92,-97,-200,-200,-200,-93,-200,-200,-99,-97,-97,-74,-200,-200,-200,-200,-91,-200,-88,-200,-200,-82,-200,-86,-100,-98
