,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011314,D-Link_DIR-823Pro,whu2011309,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526452384407,-49,-40,-50,-40,-52,-49,-48,-58,-54,-60,-56,-54,-59,-55,-66,-74,-56,-67,-62,-200,-77,-62,-62,-67,-52,-67,-200,-200,-78,-71,-59,-40,-78,-52,-200,-66,-65,-80,-74,-74,-76,-86,-82,-200,-83,-200,-200,-200,-200,-75,-80,-52,-61,-62,-69,-74,-80,-200,-200,-200,-200,-65,-65,-69,-200,-79,-74,-200,-200,-84,-79,-200,-200,-200,-200,-200,-200,-80,-79,-83,-88,-84,-88,-74,-200,-200,-200,-200,-200
1526452387424,-47,-41,-49,-43,-52,-48,-48,-56,-53,-60,-64,-54,-58,-58,-62,-200,-200,-200,-59,-200,-77,-59,-66,-67,-52,-57,-70,-200,-76,-74,-200,-36,-78,-54,-200,-65,-200,-76,-71,-74,-77,-200,-200,-200,-83,-200,-200,-200,-200,-76,-79,-52,-61,-63,-71,-200,-80,-200,-200,-200,-200,-200,-66,-200,-200,-78,-200,-200,-200,-85,-80,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-82,-200,-74,-200,-200,-200,-200,-200
1526452390439,-48,-39,-49,-42,-53,-48,-48,-54,-54,-60,-56,-55,-58,-56,-61,-200,-200,-200,-61,-200,-77,-62,-65,-67,-52,-63,-66,-88,-76,-74,-200,-39,-78,-54,-200,-64,-200,-77,-74,-77,-77,-200,-200,-200,-83,-200,-200,-200,-200,-76,-78,-52,-60,-63,-69,-72,-80,-200,-200,-200,-200,-200,-66,-61,-200,-78,-200,-200,-200,-85,-80,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-82,-200,-74,-200,-200,-200,-200,-200
1526452393447,-49,-39,-53,-64,-53,-48,-49,-53,-53,-70,-56,-55,-58,-56,-66,-71,-68,-69,-62,-62,-77,-60,-63,-200,-53,-63,-79,-88,-75,-74,-72,-22,-200,-67,-200,-56,-70,-77,-74,-77,-67,-82,-82,-200,-200,-91,-200,-200,-200,-76,-79,-48,-62,-63,-69,-86,-80,-200,-200,-200,-200,-83,-65,-67,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526452396501,-49,-41,-52,-43,-52,-45,-48,-52,-52,-65,-55,-56,-57,-59,-58,-71,-55,-69,-62,-61,-57,-59,-63,-200,-53,-62,-79,-200,-73,-74,-79,-36,-200,-67,-200,-66,-70,-77,-200,-200,-77,-82,-82,-200,-200,-91,-200,-200,-200,-76,-77,-47,-62,-62,-68,-86,-200,-200,-200,-200,-91,-83,-65,-67,-85,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-89,-200,-200,-200,-200
1526452399507,-40,-62,-50,-44,-42,-48,-52,-46,-55,-51,-70,-57,-66,-51,-60,-72,-55,-69,-59,-59,-57,-52,-63,-67,-48,-64,-79,-64,-71,-74,-79,-38,-200,-68,-200,-57,-70,-82,-62,-200,-60,-82,-82,-200,-200,-77,-200,-200,-200,-61,-78,-52,-62,-62,-68,-77,-200,-200,-200,-200,-91,-56,-71,-67,-85,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-58,-89,-84,-200,-200,-200
1526452402561,-47,-38,-48,-41,-46,-48,-50,-57,-55,-64,-64,-58,-65,-51,-59,-74,-200,-65,-59,-66,-58,-60,-67,-63,-50,-64,-72,-64,-73,-200,-200,-46,-200,-55,-200,-64,-200,-58,-56,-82,-78,-200,-200,-200,-200,-77,-200,-200,-91,-60,-83,-48,-200,-66,-200,-77,-82,-200,-200,-81,-200,-52,-64,-66,-73,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-81,-58,-200,-59,-88,-200,-200
1526452405621,-46,-39,-45,-43,-47,-49,-55,-56,-200,-64,-66,-56,-66,-62,-55,-74,-200,-65,-65,-61,-66,-56,-67,-63,-50,-67,-70,-64,-74,-70,-200,-40,-200,-56,-200,-66,-66,-75,-56,-82,-77,-200,-200,-82,-200,-200,-200,-200,-91,-76,-86,-47,-62,-66,-63,-63,-81,-200,-200,-82,-200,-53,-70,-66,-73,-75,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-80,-200,-200,-58,-88,-200,-200
1526452408661,-49,-40,-45,-41,-46,-51,-55,-57,-200,-67,-63,-55,-69,-63,-58,-77,-61,-66,-65,-79,-66,-72,-67,-66,-50,-70,-81,-81,-71,-87,-88,-44,-86,-56,-200,-70,-71,-80,-57,-77,-76,-200,-200,-82,-200,-200,-200,-200,-91,-77,-86,-68,-62,-75,-60,-73,-81,-200,-200,-82,-200,-53,-82,-66,-73,-83,-82,-200,-90,-200,-200,-200,-200,-200,-85,-200,-200,-77,-200,-200,-200,-200,-81,-200,-200,-58,-88,-88,-200
1526452411700,-50,-37,-45,-43,-42,-49,-200,-58,-200,-89,-54,-55,-70,-61,-57,-77,-59,-63,-59,-64,-56,-57,-64,-66,-51,-70,-66,-67,-76,-87,-88,-41,-86,-61,-200,-70,-74,-79,-58,-77,-77,-67,-200,-200,-200,-200,-200,-200,-200,-77,-85,-48,-200,-75,-64,-73,-200,-200,-200,-82,-200,-47,-67,-68,-200,-83,-82,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-77,-200,-200,-200,-83,-77,-200,-200,-200,-200,-88,-86
1526452414764,-44,-39,-61,-45,-47,-46,-56,-52,-200,-89,-54,-55,-55,-62,-59,-73,-55,-62,-59,-59,-84,-58,-64,-66,-51,-70,-89,-63,-75,-87,-88,-47,-86,-58,-79,-70,-74,-79,-58,-77,-77,-67,-200,-200,-200,-200,-200,-200,-200,-59,-85,-83,-200,-61,-64,-73,-200,-200,-200,-82,-200,-47,-66,-68,-200,-83,-82,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-77,-71,-200,-200,-83,-81,-200,-200,-200,-200,-88,-86
1526452417801,-39,-42,-56,-47,-40,-46,-56,-46,-59,-56,-63,-55,-61,-60,-53,-73,-55,-71,-65,-72,-78,-63,-72,-69,-55,-64,-89,-61,-65,-68,-200,-40,-200,-62,-79,-65,-74,-81,-58,-200,-78,-67,-200,-200,-82,-200,-200,-77,-200,-79,-84,-50,-68,-61,-65,-67,-200,-200,-88,-200,-200,-52,-70,-70,-73,-200,-200,-200,-200,-200,-74,-200,-200,-86,-200,-200,-200,-200,-71,-200,-200,-83,-86,-81,-200,-200,-200,-200,-86
