,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526447861356,-200,-200,-68,-82,-90,-91,-200,-200,-84,-200,-84,-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-95,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200
1526447863552,-81,-200,-200,-78,-200,-92,-200,-85,-200,-73,-81,-200,-200,-200,-200,-200,-200,-65,-200,-200,-86,-200,-200,-200,-200,-200,-74,-200,-85,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200
1526447863683,-79,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526447864807,-84,-92,-64,-200,-200,-200,-200,-200,-80,-200,-200,-200,-70,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447865869,-200,-200,-200,-72,-72,-200,-86,-84,-200,-200,-200,-200,-75,-85,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-74,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447867012,-200,-82,-62,-77,-200,-98,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-90,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447868071,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-77,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447869162,-200,-81,-64,-81,-70,-200,-200,-200,-78,-67,-79,-77,-200,-200,-200,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447870279,-90,-200,-62,-200,-200,-200,-200,-80,-200,-72,-200,-74,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526447871374,-77,-200,-200,-85,-200,-200,-200,-200,-87,-77,-84,-78,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-81,-200,-200,-77,-200,-80,-200,-200,-92,-200,-88,-200,-200,-200,-200,-200,-200,-97,-92,-200,-200,-200
1526447872501,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-75,-200,-200,-200,-77,-70,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447873571,-200,-200,-200,-74,-82,-81,-200,-79,-200,-200,-200,-200,-70,-200,-200,-71,-73,-66,-200,-200,-200,-96,-200,-200,-72,-78,-79,-200,-200,-83,-200,-200,-92,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526447873691,-200,-200,-70,-200,-200,-200,-200,-200,-83,-200,-200,-76,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-75,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447874760,-81,-200,-67,-200,-71,-200,-200,-200,-200,-200,-80,-83,-200,-86,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-95,-200,-200
1526447875871,-86,-200,-69,-78,-81,-200,-200,-200,-84,-75,-200,-200,-70,-200,-200,-72,-200,-70,-200,-200,-86,-200,-83,-200,-70,-200,-200,-200,-200,-92,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447877000,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447878059,-200,-200,-200,-200,-72,-200,-200,-200,-80,-200,-200,-200,-200,-91,-80,-79,-80,-69,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-83,-82,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447879155,-200,-200,-63,-77,-79,-82,-200,-200,-200,-82,-200,-200,-70,-200,-78,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-77,-200,-78,-200,-81,-200,-200,-90,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526447880255,-200,-200,-200,-200,-200,-88,-200,-82,-200,-200,-87,-80,-200,-200,-200,-200,-200,-70,-86,-200,-200,-200,-78,-200,-200,-200,-200,-81,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447881387,-200,-200,-200,-75,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-77,-200,-73,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447882469,-200,-200,-200,-80,-200,-84,-200,-200,-80,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-80,-200,-74,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447883554,-79,-200,-67,-76,-200,-87,-200,-200,-80,-200,-200,-79,-74,-200,-86,-69,-77,-200,-200,-92,-200,-200,-200,-200,-78,-200,-93,-200,-78,-86,-200,-95,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526447883666,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-87,-79,-75,-82,-66,-86,-200,-92,-200,-77,-200,-200,-200,-81,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447884787,-78,-200,-200,-200,-77,-80,-200,-200,-200,-66,-200,-200,-70,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447885859,-200,-200,-200,-80,-82,-93,-200,-83,-200,-69,-200,-200,-200,-200,-200,-70,-80,-72,-87,-200,-200,-200,-79,-200,-200,-200,-200,-86,-200,-86,-200,-200,-89,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526447887030,-79,-200,-200,-73,-70,-79,-200,-84,-84,-71,-200,-200,-200,-95,-82,-70,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-82,-78,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200
1526447889227,-80,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447890290,-82,-200,-200,-200,-200,-200,-200,-81,-200,-67,-200,-200,-200,-200,-79,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447891369,-200,-86,-68,-200,-85,-200,-92,-83,-87,-200,-200,-200,-72,-200,-200,-200,-77,-66,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200
1526447892472,-80,-200,-200,-200,-72,-200,-92,-200,-80,-74,-200,-90,-200,-86,-200,-77,-200,-67,-86,-94,-85,-90,-81,-200,-73,-77,-75,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200
1526447894770,-78,-200,-64,-82,-200,-87,-89,-200,-200,-200,-83,-78,-72,-200,-86,-200,-82,-200,-200,-200,-87,-200,-79,-200,-73,-200,-79,-200,-77,-200,-200,-200,-91,-200,-200,-200,-200,-200,-96,-200,-200,-92,-200,-93
1526447898074,-79,-200,-62,-200,-69,-85,-91,-200,-77,-200,-200,-200,-200,-200,-200,-73,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447899181,-200,-200,-200,-200,-76,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-72,-78,-200,-200,-200,-200,-200,-200,-88,-71,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200
1526447900259,-200,-200,-200,-200,-200,-200,-200,-86,-86,-200,-82,-200,-200,-200,-200,-200,-200,-70,-200,-91,-83,-200,-200,-200,-72,-78,-200,-86,-200,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447901372,-200,-83,-200,-200,-79,-200,-200,-200,-82,-200,-79,-200,-200,-200,-84,-76,-83,-200,-200,-93,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526447902530,-200,-81,-200,-200,-200,-83,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447903593,-200,-88,-200,-87,-84,-200,-87,-200,-82,-200,-200,-200,-72,-200,-200,-71,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526447903701,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-77,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-87,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447904764,-200,-200,-67,-77,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-83,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447905871,-200,-83,-63,-200,-200,-87,-200,-82,-200,-64,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-92,-200,-200,-200,-200
1526447906972,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-71,-200,-81,-71,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
