,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526448510885,-200,-200,-200,-93,-200,-200,-67,-200,-200,-81,-200,-200,-200,-81,-82,-200,-81,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526448511968,-200,-200,-200,-96,-200,-89,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-90,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526448513063,-200,-94,-200,-94,-200,-75,-64,-200,-200,-85,-62,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-79,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200
1526448514217,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448515277,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-85,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-85,-200,-200,-200,-93,-96,-67,-91,-200,-200,-200,-200,-200,-200
1526448516357,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-67,-80,-200,-78,-200,-73,-84,-200,-88,-200,-83,-200,-200,-79,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-93,-80,-200,-200,-200,-200,-200,-200,-200
1526448517474,-200,-200,-200,-200,-200,-74,-200,-200,-91,-82,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526448518552,-200,-200,-200,-87,-200,-200,-200,-91,-95,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-79,-200,-86,-76,-200,-200,-200,-89,-200,-200,-90,-200,-200,-90,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200
1526448518676,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-83,-200,-73,-84,-74,-200,-200,-200,-200,-78,-200,-200,-78,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200,-92,-200,-200,-200,-200,-200
1526448519789,-66,-200,-200,-97,-72,-73,-200,-200,-200,-200,-200,-82,-200,-78,-200,-200,-82,-82,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-82,-87,-200,-86,-200,-200,-200,-200,-76,-93,-90,-94,-200,-200,-200,-200
1526448521995,-200,-200,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448523060,-200,-200,-200,-93,-200,-75,-72,-89,-200,-200,-68,-200,-200,-200,-200,-74,-200,-200,-200,-83,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526448524179,-200,-200,-77,-90,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-75,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448524277,-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448526363,-200,-200,-88,-200,-72,-73,-68,-200,-200,-200,-200,-200,-200,-82,-200,-75,-83,-200,-200,-200,-200,-200,-200,-75,-200,-94,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-92,-200,-200,-200,-200,-200
1526448527465,-68,-200,-76,-93,-200,-87,-200,-90,-200,-83,-67,-81,-200,-200,-200,-70,-200,-200,-92,-200,-82,-200,-200,-77,-200,-88,-200,-200,-78,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448528660,-200,-200,-91,-200,-74,-200,-68,-200,-200,-200,-77,-200,-88,-76,-200,-74,-200,-200,-92,-200,-200,-200,-87,-200,-200,-200,-83,-200,-200,-200,-87,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200
1526448529752,-74,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-76,-200,-200,-84,-200,-200,-84,-200,-79,-80,-200,-200,-86,-88,-200,-200,-200,-86,-200,-90,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526448530889,-70,-200,-200,-200,-72,-73,-68,-200,-200,-200,-200,-200,-89,-200,-74,-72,-82,-84,-200,-88,-200,-200,-200,-77,-200,-93,-84,-200,-200,-91,-200,-200,-200,-200,-87,-95,-70,-200,-200,-200,-200,-200,-200,-200
1526448533063,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-70,-200,-83,-200,-85,-200,-200,-83,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448534178,-70,-200,-81,-87,-200,-95,-200,-86,-92,-92,-200,-200,-200,-200,-74,-200,-84,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448536375,-74,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-86,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-86,-70,-200,-200,-200,-91,-200,-200,-200
1526448537471,-74,-200,-78,-200,-200,-200,-73,-86,-92,-82,-200,-79,-200,-75,-200,-200,-84,-82,-90,-200,-86,-200,-200,-200,-200,-200,-77,-95,-80,-200,-200,-200,-200,-200,-93,-88,-73,-200,-200,-200,-200,-200,-200,-200
1526448538618,-79,-200,-200,-200,-200,-76,-63,-91,-200,-84,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-87,-79,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200
1526448538748,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-66,-76,-92,-74,-81,-73,-200,-200,-200,-90,-84,-200,-83,-74,-200,-200,-84,-200,-81,-200,-79,-200,-200,-200,-200,-88,-66,-86,-200,-200,-200,-200,-200,-200
1526448541971,-200,-200,-76,-200,-75,-200,-76,-200,-91,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-92,-200,-200
1526448543056,-72,-200,-77,-200,-200,-75,-200,-200,-200,-200,-65,-200,-85,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-78,-200,-200,-200,-200,-78,-200,-200,-91,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448544155,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-91,-73,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-88,-200,-200,-67,-200,-96,-93,-200,-200,-200,-200
1526448545261,-200,-200,-200,-200,-200,-200,-70,-88,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-76,-200,-93,-200,-200,-77,-91,-200,-200,-200,-200,-200,-90,-200,-94,-200,-200,-200,-200,-93,-200
1526448546372,-200,-200,-200,-93,-79,-200,-70,-200,-200,-82,-71,-200,-200,-76,-200,-73,-85,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448548586,-68,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-82,-84,-200,-200,-74,-200,-81,-200,-200,-81,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200
1526448548713,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200
1526448549778,-200,-200,-80,-200,-200,-75,-200,-92,-200,-200,-200,-82,-200,-200,-200,-72,-83,-79,-200,-200,-200,-200,-77,-74,-200,-200,-200,-86,-200,-200,-81,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-99
1526448550893,-75,-200,-84,-98,-200,-200,-67,-86,-96,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-86,-200,-200,-200,-90,-200,-200,-66,-200,-91,-200,-200,-200,-200,-95
1526448553054,-200,-200,-200,-89,-73,-85,-200,-200,-94,-200,-200,-80,-200,-200,-76,-200,-200,-200,-200,-200,-84,-200,-200,-73,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448554165,-200,-90,-200,-200,-83,-200,-68,-200,-200,-90,-69,-73,-200,-200,-77,-75,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-79,-200,-81,-200,-200,-200,-200,-200,-200,-88,-67,-200,-200,-200,-200,-200,-200,-200
1526448555301,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-88,-200,-200,-200,-200,-200
1526448556368,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-73,-80,-88,-200,-200,-71,-200,-78,-91,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-70,-93,-200,-200,-200,-200,-200,-200
1526448557563,-200,-200,-200,-88,-200,-200,-67,-200,-89,-85,-65,-200,-200,-200,-83,-200,-200,-77,-200,-200,-83,-200,-88,-80,-90,-200,-78,-200,-200,-200,-200,-200,-200,-84,-200,-88,-65,-200,-200,-200,-200,-94,-200,-200
1526448558675,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-76,-200,-86,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448559768,-200,-96,-200,-200,-77,-200,-200,-87,-90,-200,-200,-80,-200,-75,-90,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-88,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-96
1526448560872,-200,-200,-200,-200,-73,-82,-67,-200,-200,-87,-200,-200,-85,-200,-200,-72,-84,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526448561993,-73,-200,-200,-200,-200,-200,-75,-200,-200,-92,-200,-78,-93,-77,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448563052,-200,-200,-77,-200,-74,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-77,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
