,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D00EB8,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A68,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,WHU-2018,DLINK_D02A20,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz
1526457441909,-45,-49,-55,-67,-59,-70,-68,-58,-67,-70,-79,-68,-68,-76,-64,-46,-75,-79,-69,-70,-68,-71,-69,-68,-80,-77,-61,-69,-72,-78,-83,-78,-55,-200,-75,-84,-85,-83,-200,-89,-200,-200,-75,-80,-79,-85,-62,-200,-80,-86,-83,-76,-88,-82,-86,-200,-86,-89,-200,-82,-200,-200,-83,-200,-89,-200,-200,-200,-83,-200,-85,-200,-200,-89,-86,-90,-88,-200,-200,-200,-200,-200,-200,-200
1526457444922,-45,-49,-55,-67,-59,-70,-68,-58,-67,-70,-79,-68,-68,-76,-64,-46,-75,-79,-69,-70,-68,-71,-69,-68,-80,-77,-61,-69,-72,-78,-83,-78,-55,-200,-75,-84,-85,-83,-200,-89,-200,-200,-75,-80,-79,-85,-62,-200,-80,-86,-83,-76,-88,-82,-86,-200,-86,-89,-200,-82,-200,-200,-83,-200,-89,-200,-200,-200,-83,-200,-85,-200,-200,-89,-86,-90,-88,-200,-200,-200,-200,-200,-200,-200
1526457447935,-48,-44,-69,-67,-58,-66,-68,-53,-73,-70,-79,-68,-77,-74,-64,-70,-77,-80,-72,-70,-70,-73,-72,-64,-73,-81,-61,-64,-75,-76,-80,-79,-56,-200,-73,-200,-85,-83,-200,-87,-84,-200,-75,-80,-89,-83,-59,-86,-82,-86,-76,-76,-200,-84,-200,-200,-200,-90,-200,-79,-200,-88,-83,-200,-88,-93,-200,-200,-200,-200,-84,-89,-200,-200,-200,-200,-89,-88,-200,-200,-200,-200,-200,-200
1526457450970,-47,-43,-62,-61,-58,-66,-68,-55,-71,-67,-76,-63,-74,-77,-62,-66,-81,-80,-67,-70,-69,-74,-70,-66,-77,-79,-60,-65,-75,-76,-80,-77,-56,-200,-73,-200,-85,-83,-200,-87,-84,-200,-75,-80,-89,-83,-59,-86,-82,-86,-76,-77,-200,-84,-200,-200,-200,-90,-200,-79,-200,-88,-82,-200,-89,-93,-200,-200,-200,-200,-84,-88,-200,-200,-200,-200,-89,-88,-200,-200,-200,-200,-200,-200
1526457454003,-46,-47,-64,-68,-58,-61,-66,-54,-69,-68,-74,-62,-69,-73,-66,-67,-78,-80,-67,-66,-68,-77,-75,-68,-79,-79,-58,-65,-73,-77,-80,-79,-55,-200,-73,-200,-85,-83,-200,-87,-84,-88,-77,-82,-89,-86,-59,-82,-82,-85,-76,-77,-200,-84,-85,-200,-200,-90,-200,-79,-200,-88,-81,-200,-89,-93,-200,-200,-200,-200,-83,-88,-200,-200,-200,-200,-89,-88,-92,-200,-200,-200,-200,-200
1526457457013,-47,-46,-57,-65,-58,-65,-65,-53,-69,-67,-74,-62,-67,-73,-70,-48,-77,-80,-67,-70,-70,-79,-72,-67,-80,-79,-65,-67,-73,-76,-80,-80,-57,-90,-74,-86,-200,-83,-200,-87,-84,-88,-77,-85,-87,-86,-59,-82,-200,-86,-77,-87,-87,-84,-84,-200,-88,-89,-88,-82,-200,-200,-83,-200,-89,-200,-200,-200,-86,-200,-83,-88,-200,-200,-200,-200,-90,-88,-92,-87,-200,-200,-200,-200
1526457460056,-44,-50,-55,-66,-58,-71,-65,-51,-69,-67,-74,-67,-67,-74,-67,-64,-74,-200,-66,-67,-69,-78,-74,-67,-79,-79,-63,-68,-74,-75,-80,-81,-55,-90,-77,-86,-200,-85,-200,-87,-84,-88,-74,-85,-86,-86,-55,-83,-81,-86,-77,-79,-87,-81,-84,-200,-88,-89,-88,-82,-200,-200,-82,-200,-90,-91,-200,-200,-86,-200,-83,-88,-87,-200,-200,-200,-90,-89,-92,-87,-89,-200,-200,-200
1526457463071,-49,-47,-56,-68,-58,-71,-65,-59,-49,-67,-74,-67,-70,-73,-65,-65,-72,-200,-74,-67,-68,-73,-74,-66,-79,-77,-60,-63,-74,-73,-80,-83,-56,-90,-73,-85,-200,-85,-200,-87,-84,-88,-71,-85,-85,-86,-59,-83,-81,-86,-81,-84,-87,-81,-89,-87,-89,-89,-88,-80,-200,-87,-87,-200,-90,-91,-200,-200,-86,-200,-83,-200,-87,-88,-84,-200,-92,-89,-92,-87,-89,-90,-200,-200
1526457466110,-45,-47,-55,-61,-59,-66,-63,-59,-68,-73,-200,-68,-67,-73,-63,-60,-72,-200,-69,-70,-68,-74,-74,-68,-76,-77,-63,-62,-74,-76,-82,-83,-56,-90,-73,-85,-85,-85,-200,-87,-84,-200,-71,-85,-85,-200,-58,-83,-81,-86,-82,-79,-87,-81,-89,-87,-89,-89,-88,-80,-200,-87,-87,-200,-90,-91,-200,-200,-86,-200,-82,-200,-86,-91,-84,-200,-92,-89,-90,-87,-89,-90,-85,-200
1526457469128,-46,-47,-56,-65,-58,-65,-66,-59,-66,-73,-200,-67,-70,-74,-63,-66,-75,-82,-68,-71,-66,-74,-72,-67,-75,-77,-64,-61,-75,-74,-82,-83,-55,-200,-74,-85,-86,-85,-200,-87,-84,-200,-75,-88,-85,-86,-59,-83,-80,-80,-82,-79,-200,-82,-89,-87,-89,-200,-87,-80,-200,-87,-87,-200,-90,-91,-200,-200,-200,-200,-82,-200,-86,-91,-82,-200,-92,-89,-90,-200,-89,-90,-85,-200
1526457472167,-43,-46,-54,-68,-61,-65,-64,-54,-66,-70,-200,-64,-65,-74,-60,-57,-75,-82,-68,-71,-72,-74,-73,-64,-77,-77,-63,-61,-72,-73,-85,-76,-53,-200,-76,-85,-86,-83,-200,-87,-84,-200,-75,-88,-85,-86,-53,-83,-80,-80,-82,-79,-200,-86,-83,-87,-89,-200,-87,-80,-200,-87,-88,-200,-90,-200,-200,-200,-200,-200,-86,-200,-86,-91,-84,-200,-92,-200,-90,-200,-200,-90,-85,-89
1526457475184,-48,-46,-53,-67,-58,-65,-74,-51,-69,-62,-75,-60,-74,-77,-67,-68,-75,-70,-69,-76,-69,-78,-75,-61,-77,-200,-69,-76,-74,-73,-80,-86,-54,-200,-73,-200,-89,-85,-87,-87,-82,-200,-82,-89,-84,-89,-53,-200,-80,-86,-80,-81,-200,-82,-85,-200,-200,-200,-89,-200,-200,-200,-86,-200,-88,-200,-200,-200,-79,-200,-83,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-89
