,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,DLINK_D02A88,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526455445719,-38,-40,-35,-45,-39,-55,-42,-64,-52,-50,-57,-50,-51,-55,-56,-58,-59,-63,-61,-68,-62,-69,-67,-64,-70,-65,-77,-72,-69,-66,-72,-78,-81,-76,-83,-73,-200,-200,-77,-76,-83,-82,-74,-73,-79,-200,-75,-200,-73,-200,-77,-200,-81,-78,-200,-78,-200,-86,-78,-82,-88,-200,-80,-86,-200,-72,-200,-200,-51,-78,-79,-86,-200,-200
1526455448792,-38,-39,-37,-45,-40,-54,-41,-52,-55,-50,-58,-58,-48,-53,-55,-60,-59,-65,-66,-68,-70,-69,-65,-64,-70,-65,-77,-71,-72,-66,-72,-78,-82,-76,-83,-75,-200,-200,-73,-84,-83,-82,-74,-73,-76,-200,-75,-83,-72,-79,-77,-200,-81,-77,-200,-78,-82,-87,-84,-82,-88,-200,-82,-86,-200,-71,-200,-200,-49,-78,-79,-86,-200,-200
1526455451873,-38,-40,-37,-47,-41,-54,-44,-54,-67,-52,-55,-52,-52,-54,-52,-54,-63,-63,-62,-68,-72,-70,-65,-64,-70,-62,-64,-73,-71,-200,-72,-78,-81,-76,-79,-75,-200,-200,-74,-79,-83,-82,-72,-74,-76,-200,-81,-83,-72,-79,-77,-200,-81,-81,-83,-82,-82,-87,-84,-82,-88,-200,-82,-86,-200,-71,-200,-200,-49,-78,-200,-86,-81,-91
1526455454926,-38,-38,-35,-47,-41,-55,-44,-53,-58,-52,-54,-52,-51,-56,-52,-50,-69,-63,-60,-200,-72,-69,-65,-62,-67,-62,-64,-73,-72,-200,-74,-78,-81,-76,-80,-75,-77,-200,-76,-78,-200,-82,-72,-74,-76,-200,-77,-83,-74,-79,-77,-200,-81,-81,-83,-82,-82,-87,-84,-82,-200,-200,-84,-86,-200,-71,-200,-200,-48,-78,-200,-86,-81,-91
1526455457983,-37,-38,-36,-47,-41,-54,-39,-61,-52,-60,-55,-54,-54,-56,-52,-55,-67,-63,-58,-200,-70,-68,-64,-62,-76,-62,-81,-70,-68,-200,-74,-73,-84,-75,-76,-75,-77,-200,-76,-78,-200,-82,-72,-79,-76,-200,-77,-83,-74,-79,-77,-200,-85,-81,-83,-82,-82,-87,-84,-82,-200,-200,-81,-86,-200,-71,-200,-200,-48,-78,-200,-86,-81,-91
1526455461055,-37,-37,-35,-46,-38,-53,-43,-56,-56,-56,-55,-52,-51,-57,-52,-55,-63,-62,-58,-200,-69,-68,-64,-62,-71,-62,-81,-71,-68,-63,-73,-77,-84,-78,-76,-75,-77,-200,-77,-76,-77,-200,-72,-76,-77,-200,-77,-83,-70,-79,-200,-200,-85,-81,-83,-82,-82,-78,-84,-80,-200,-200,-81,-91,-200,-71,-200,-200,-57,-200,-200,-86,-81,-91
1526455464119,-37,-37,-39,-46,-42,-53,-43,-50,-67,-53,-55,-54,-54,-56,-52,-59,-66,-62,-58,-200,-69,-68,-63,-62,-71,-62,-81,-70,-69,-63,-76,-77,-84,-80,-76,-76,-77,-200,-77,-76,-74,-200,-71,-76,-77,-200,-75,-200,-67,-200,-200,-200,-85,-81,-83,-82,-82,-82,-88,-80,-86,-200,-81,-91,-95,-200,-200,-200,-53,-200,-200,-86,-81,-91
1526455467168,-37,-38,-39,-45,-40,-53,-42,-50,-58,-49,-55,-56,-50,-57,-52,-66,-69,-62,-58,-200,-69,-69,-63,-58,-71,-61,-81,-71,-71,-63,-76,-77,-83,-76,-76,-80,-77,-200,-77,-77,-79,-200,-70,-76,-77,-200,-75,-200,-67,-200,-76,-84,-85,-200,-200,-200,-82,-83,-88,-80,-86,-200,-81,-91,-95,-200,-200,-200,-53,-200,-200,-86,-200,-200
1526455470224,-37,-38,-40,-45,-40,-54,-44,-50,-50,-49,-56,-57,-50,-60,-52,-57,-69,-62,-59,-200,-69,-71,-63,-61,-71,-61,-81,-74,-72,-63,-76,-80,-83,-76,-76,-76,-200,-200,-77,-77,-79,-200,-71,-76,-74,-200,-75,-200,-67,-200,-76,-84,-88,-200,-83,-200,-200,-83,-85,-87,-87,-200,-81,-91,-95,-81,-200,-200,-53,-200,-79,-85,-200,-200
1526455473267,-39,-39,-36,-45,-44,-57,-41,-50,-50,-46,-56,-53,-49,-60,-53,-57,-67,-60,-59,-200,-69,-71,-63,-61,-69,-61,-200,-74,-68,-63,-76,-80,-79,-76,-200,-76,-200,-200,-77,-77,-79,-200,-71,-76,-74,-200,-75,-200,-67,-200,-76,-84,-88,-200,-84,-200,-200,-83,-85,-87,-87,-200,-200,-91,-95,-81,-200,-200,-53,-200,-79,-85,-200,-200
1526455476344,-37,-39,-36,-44,-44,-57,-44,-50,-64,-46,-57,-53,-50,-57,-52,-57,-67,-62,-57,-67,-69,-71,-63,-61,-69,-61,-200,-72,-68,-200,-76,-80,-79,-88,-200,-76,-200,-200,-200,-80,-79,-200,-71,-77,-74,-200,-75,-200,-67,-200,-76,-84,-88,-200,-84,-73,-200,-83,-85,-83,-87,-200,-200,-200,-95,-81,-200,-200,-53,-87,-79,-86,-200,-200
1526455479423,-37,-41,-38,-44,-42,-56,-43,-52,-54,-53,-58,-61,-48,-56,-55,-61,-59,-65,-57,-67,-69,-70,-65,-61,-69,-61,-78,-72,-67,-200,-200,-80,-81,-88,-200,-76,-200,-200,-200,-80,-79,-200,-72,-77,-74,-200,-77,-200,-67,-200,-76,-84,-88,-200,-84,-73,-200,-83,-85,-80,-87,-200,-200,-87,-95,-81,-200,-200,-200,-87,-79,-86,-200,-200
