,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,MERCURY_0166,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526457838313,-31,-34,-47,-68,-200,-54,-66,-57,-58,-200,-67,-69,-72,-55,-68,-83,-83,-75,-68,-71,-72,-76,-74,-85,-80,-86,-81,-79,-74,-91,-80,-78,-78,-91,-73,-76,-84,-86,-91,-79,-78,-200,-84,-80,-200,-85,-200,-200,-85,-89,-90,-86,-86,-89,-200,-87,-89,-86,-93,-200,-89,-200,-91,-200,-91,-200,-87,-85,-84,-86,-200,-89,-88,-88,-90,-89,-84,-200,-200,-91,-83,-81,-200,-88,-90,-92,-200
1526457841359,-30,-40,-47,-74,-200,-54,-59,-56,-60,-200,-66,-68,-72,-58,-66,-83,-83,-71,-71,-71,-68,-76,-71,-83,-79,-86,-78,-77,-75,-91,-79,-80,-78,-91,-76,-76,-84,-87,-91,-79,-81,-200,-85,-80,-200,-84,-200,-200,-81,-89,-90,-88,-86,-89,-200,-87,-88,-86,-92,-200,-89,-200,-91,-200,-91,-200,-87,-85,-85,-86,-200,-89,-88,-88,-90,-89,-84,-200,-200,-91,-84,-81,-200,-200,-90,-90,-200
1526457844397,-32,-24,-47,-75,-200,-51,-60,-56,-61,-200,-60,-67,-73,-59,-64,-86,-84,-71,-67,-67,-70,-76,-70,-83,-81,-90,-80,-76,-79,-91,-79,-79,-78,-91,-80,-72,-82,-79,-91,-79,-81,-200,-78,-77,-200,-84,-200,-200,-83,-85,-90,-87,-86,-89,-200,-87,-88,-90,-92,-200,-89,-200,-91,-94,-91,-200,-85,-85,-85,-86,-200,-86,-90,-88,-90,-89,-84,-200,-83,-91,-80,-81,-200,-200,-89,-90,-200
1526457847428,-30,-34,-47,-75,-200,-53,-57,-56,-61,-83,-65,-66,-74,-59,-70,-86,-84,-71,-71,-72,-76,-76,-71,-82,-81,-90,-82,-77,-75,-91,-79,-79,-78,-91,-78,-76,-82,-85,-91,-77,-77,-86,-78,-82,-200,-84,-200,-200,-84,-85,-90,-86,-87,-200,-200,-89,-88,-90,-92,-200,-89,-200,-91,-91,-90,-200,-85,-88,-85,-88,-200,-86,-89,-88,-200,-89,-75,-86,-83,-91,-85,-200,-200,-200,-89,-90,-200
1526457850464,-14,-40,-47,-82,-200,-62,-65,-67,-59,-83,-65,-63,-73,-58,-68,-86,-83,-73,-70,-72,-78,-76,-71,-84,-78,-90,-78,-76,-75,-91,-78,-80,-78,-200,-77,-77,-82,-85,-91,-79,-76,-86,-85,-82,-200,-84,-200,-200,-83,-85,-88,-86,-87,-90,-200,-93,-88,-86,-92,-200,-89,-200,-91,-91,-90,-200,-85,-88,-84,-88,-200,-86,-87,-88,-89,-200,-80,-86,-83,-91,-87,-200,-200,-200,-89,-92,-88
1526457853502,-30,-40,-47,-76,-200,-51,-59,-58,-60,-83,-65,-63,-73,-55,-68,-86,-83,-72,-72,-71,-66,-76,-71,-84,-82,-90,-79,-77,-75,-91,-79,-79,-78,-200,-77,-79,-85,-84,-91,-80,-78,-86,-85,-82,-200,-84,-90,-200,-84,-85,-91,-88,-86,-90,-200,-93,-86,-90,-92,-200,-89,-200,-91,-90,-91,-200,-87,-88,-85,-89,-200,-86,-87,-200,-89,-90,-80,-86,-83,-91,-85,-200,-200,-200,-89,-92,-88
1526457856536,-30,-40,-47,-75,-71,-53,-59,-58,-59,-83,-64,-65,-73,-59,-68,-82,-83,-73,-70,-72,-71,-76,-70,-84,-80,-200,-78,-77,-79,-91,-79,-79,-78,-200,-77,-78,-84,-84,-90,-79,-74,-88,-85,-82,-200,-84,-90,-200,-84,-200,-91,-88,-86,-90,-200,-90,-86,-90,-92,-200,-89,-200,-91,-93,-91,-200,-87,-89,-85,-89,-200,-88,-88,-200,-96,-89,-79,-85,-200,-91,-84,-200,-200,-200,-200,-92,-88
1526457859586,-30,-16,-47,-76,-71,-52,-61,-59,-59,-200,-67,-72,-80,-58,-70,-82,-83,-73,-70,-75,-76,-76,-70,-83,-80,-86,-77,-77,-75,-86,-79,-79,-78,-200,-78,-77,-84,-86,-91,-87,-87,-88,-85,-200,-200,-84,-90,-200,-84,-200,-91,-89,-86,-90,-200,-90,-86,-89,-92,-200,-89,-200,-200,-93,-91,-200,-87,-89,-85,-89,-200,-88,-89,-88,-96,-89,-85,-85,-200,-91,-84,-200,-200,-200,-200,-92,-88
1526457862626,-31,-40,-47,-74,-71,-51,-58,-58,-59,-200,-64,-67,-80,-56,-66,-82,-83,-73,-70,-70,-72,-76,-69,-83,-80,-87,-76,-77,-75,-83,-81,-79,-78,-200,-77,-78,-84,-85,-91,-80,-87,-88,-85,-200,-200,-83,-90,-200,-82,-200,-91,-89,-86,-200,-200,-90,-87,-89,-200,-200,-89,-200,-200,-89,-90,-200,-88,-86,-86,-87,-200,-88,-90,-88,-88,-89,-85,-85,-200,-91,-85,-200,-200,-200,-200,-200,-90
1526457865662,-30,-33,-47,-74,-71,-51,-58,-59,-61,-200,-66,-67,-73,-58,-67,-82,-84,-73,-67,-73,-71,-47,-71,-83,-80,-87,-76,-77,-76,-90,-79,-78,-78,-91,-77,-79,-85,-85,-91,-78,-81,-88,-84,-77,-200,-84,-200,-200,-81,-200,-200,-90,-86,-200,-200,-90,-87,-89,-92,-200,-89,-200,-200,-89,-90,-200,-88,-86,-85,-86,-200,-88,-90,-90,-88,-90,-85,-85,-200,-91,-86,-200,-200,-200,-200,-200,-90
1526457868702,-31,-33,-47,-75,-200,-51,-63,-59,-61,-200,-58,-68,-73,-59,-66,-80,-82,-73,-71,-73,-71,-76,-71,-83,-78,-87,-76,-77,-76,-89,-78,-79,-78,-91,-77,-79,-85,-86,-92,-79,-75,-200,-84,-78,-200,-84,-91,-200,-84,-200,-200,-90,-86,-200,-200,-200,-87,-89,-92,-200,-89,-200,-90,-89,-90,-200,-88,-86,-85,-88,-200,-200,-90,-90,-93,-90,-85,-200,-200,-89,-86,-200,-200,-200,-200,-200,-90
1526457871713,-30,-34,-46,-73,-200,-53,-59,-58,-61,-200,-66,-70,-72,-56,-66,-80,-84,-76,-72,-72,-76,-75,-71,-200,-80,-87,-77,-77,-76,-89,-79,-81,-79,-91,-76,-80,-84,-84,-92,-81,-75,-200,-84,-78,-200,-83,-91,-200,-87,-200,-200,-89,-86,-90,-200,-200,-89,-90,-92,-200,-89,-200,-90,-89,-90,-200,-88,-90,-85,-88,-200,-91,-90,-89,-93,-90,-200,-200,-200,-90,-86,-200,-200,-200,-200,-200,-90
