,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526457604072,-40,-47,-43,-61,-68,-60,-59,-55,-61,-56,-68,-71,-78,-69,-73,-88,-75,-87,-81,-85,-75,-78,-75,-82,-78,-70,-76,-75,-85,-84,-86,-80,-81,-80,-68,-81,-200,-80,-77,-89,-80,-200,-89,-91,-89,-84,-92,-77,-200,-200,-89,-87,-200,-92,-200,-84,-90,-200,-200,-89,-200,-90,-200,-69,-200,-200,-200,-200,-200,-92,-89,-200,-200,-200,-200,-200,-91,-91,-200,-91,-200,-200,-90,-91,-91,-90,-83,-86,-200,-200
1526457607088,-41,-49,-42,-57,-67,-61,-57,-53,-61,-58,-69,-73,-78,-67,-77,-84,-73,-85,-81,-85,-70,-78,-74,-82,-79,-69,-81,-75,-86,-85,-84,-78,-81,-83,-69,-80,-200,-79,-78,-89,-80,-200,-89,-91,-200,-81,-200,-78,-200,-200,-89,-85,-200,-90,-200,-79,-89,-200,-200,-89,-200,-89,-200,-69,-200,-200,-200,-200,-200,-94,-89,-200,-200,-200,-200,-200,-90,-91,-200,-91,-200,-200,-90,-91,-91,-90,-83,-86,-200,-200
1526457610120,-38,-49,-42,-70,-68,-70,-66,-53,-70,-58,-72,-74,-81,-69,-73,-84,-73,-90,-80,-86,-80,-80,-82,-82,-68,-70,-80,-74,-83,-85,-84,-79,-81,-89,-69,-80,-200,-79,-78,-89,-82,-200,-85,-200,-200,-81,-200,-79,-200,-200,-89,-86,-200,-92,-200,-79,-89,-200,-200,-89,-200,-89,-200,-67,-200,-200,-200,-200,-200,-94,-87,-200,-200,-200,-200,-200,-90,-91,-200,-91,-200,-200,-90,-91,-200,-92,-83,-86,-200,-200
1526457613158,-41,-49,-42,-56,-67,-62,-58,-54,-61,-59,-69,-73,-78,-70,-78,-87,-67,-85,-81,-85,-82,-78,-73,-82,-68,-74,-81,-75,-83,-85,-83,-78,-78,-84,-70,-81,-200,-80,-77,-89,-80,-200,-85,-200,-91,-82,-87,-78,-200,-200,-90,-89,-200,-91,-200,-79,-89,-200,-200,-89,-200,-91,-200,-69,-200,-200,-200,-200,-200,-94,-87,-200,-200,-200,-200,-200,-90,-91,-200,-91,-200,-200,-92,-200,-93,-91,-200,-86,-200,-200
1526457616196,-41,-50,-42,-58,-67,-62,-57,-55,-61,-55,-68,-72,-77,-67,-79,-82,-73,-85,-81,-85,-74,-80,-75,-200,-86,-73,-81,-74,-86,-85,-83,-80,-78,-82,-69,-81,-200,-80,-78,-89,-80,-200,-85,-90,-91,-82,-88,-78,-200,-200,-90,-85,-89,-89,-200,-82,-89,-200,-200,-200,-200,-94,-200,-69,-200,-200,-200,-200,-200,-93,-87,-200,-200,-200,-200,-200,-90,-200,-92,-90,-200,-200,-92,-200,-91,-91,-200,-89,-200,-200
1526457619211,-39,-49,-42,-63,-67,-60,-58,-55,-61,-58,-68,-70,-83,-67,-79,-83,-75,-85,-82,-88,-77,-80,-74,-200,-76,-70,-74,-74,-84,-200,-85,-78,-78,-84,-69,-81,-200,-80,-79,-89,-81,-200,-85,-90,-90,-82,-87,-78,-200,-200,-90,-85,-89,-89,-200,-82,-89,-200,-200,-200,-200,-93,-200,-73,-200,-200,-200,-200,-200,-93,-89,-200,-200,-200,-200,-200,-90,-200,-92,-89,-200,-200,-92,-200,-91,-84,-200,-89,-200,-200
1526457622242,-39,-50,-42,-65,-65,-62,-58,-56,-59,-56,-68,-73,-83,-69,-75,-82,-73,-86,-85,-88,-80,-80,-75,-200,-69,-71,-73,-75,-84,-200,-85,-78,-78,-84,-69,-80,-200,-80,-78,-89,-81,-86,-200,-90,-82,-81,-87,-76,-200,-200,-90,-87,-89,-87,-200,-82,-89,-200,-200,-92,-200,-93,-200,-71,-200,-200,-200,-200,-200,-91,-89,-200,-200,-200,-200,-200,-90,-200,-92,-89,-200,-200,-92,-200,-91,-84,-200,-89,-200,-200
1526457625276,-38,-56,-42,-57,-73,-62,-59,-56,-59,-59,-71,-73,-83,-69,-75,-82,-73,-86,-80,-88,-80,-80,-82,-200,-70,-71,-76,-74,-80,-84,-85,-81,-83,-84,-69,-77,-200,-80,-78,-89,-82,-86,-200,-90,-82,-80,-84,-77,-200,-200,-200,-87,-89,-87,-200,-82,-89,-200,-90,-91,-200,-89,-200,-72,-200,-200,-200,-200,-200,-91,-89,-200,-200,-200,-200,-200,-90,-200,-93,-90,-200,-92,-92,-200,-91,-91,-200,-83,-200,-200
1526457628316,-38,-49,-42,-62,-67,-59,-57,-54,-61,-55,-68,-72,-83,-65,-81,-82,-73,-86,-80,-88,-74,-78,-74,-84,-68,-69,-80,-73,-84,-84,-83,-81,-83,-84,-70,-81,-200,-78,-78,-89,-81,-85,-200,-91,-91,-82,-84,-77,-200,-200,-200,-87,-88,-90,-200,-200,-89,-200,-90,-89,-200,-88,-200,-72,-200,-200,-200,-200,-200,-90,-89,-200,-200,-200,-200,-200,-93,-200,-93,-90,-200,-92,-92,-200,-92,-91,-200,-83,-89,-91
1526457631360,-40,-48,-42,-64,-67,-61,-55,-52,-61,-58,-69,-73,-77,-68,-78,-83,-73,-85,-80,-200,-74,-78,-74,-81,-68,-69,-76,-75,-84,-84,-83,-81,-81,-84,-70,-80,-200,-81,-79,-89,-79,-86,-200,-89,-91,-82,-84,-79,-200,-200,-200,-87,-88,-90,-200,-200,-87,-200,-90,-89,-200,-88,-200,-72,-200,-200,-200,-200,-200,-90,-89,-200,-200,-200,-200,-200,-93,-200,-93,-92,-200,-92,-200,-200,-92,-91,-200,-83,-89,-91
1526457634395,-39,-48,-43,-63,-67,-60,-60,-56,-63,-59,-67,-73,-83,-70,-80,-78,-74,-85,-83,-200,-79,-79,-74,-81,-77,-69,-80,-66,-84,-86,-83,-78,-79,-84,-71,-80,-200,-80,-81,-200,-79,-89,-200,-89,-91,-84,-84,-79,-200,-200,-200,-87,-88,-90,-200,-200,-87,-200,-90,-89,-200,-92,-200,-70,-200,-200,-200,-200,-200,-90,-89,-200,-200,-200,-200,-200,-93,-200,-93,-92,-200,-92,-200,-200,-92,-91,-200,-89,-89,-91
1526457637409,-40,-50,-42,-63,-67,-62,-58,-55,-62,-59,-72,-72,-80,-69,-80,-83,-82,-85,-82,-82,-79,-79,-74,-82,-71,-78,-80,-75,-84,-84,-82,-81,-77,-81,-70,-81,-200,-79,-80,-91,-81,-89,-200,-88,-91,-83,-200,-79,-200,-200,-200,-87,-92,-93,-200,-200,-87,-200,-200,-89,-200,-92,-200,-68,-200,-200,-200,-200,-200,-90,-89,-200,-200,-200,-200,-200,-93,-200,-93,-91,-200,-200,-200,-92,-92,-200,-200,-89,-89,-91
