,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526462577904,-200,-78,-200,-87,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462582303,-91,-77,-200,-88,-83,-88,-89,-200,-88,-71,-200,-72,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462582390,-92,-75,-200,-88,-81,-88,-90,-200,-86,-73,-200,-72,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462582491,-200,-76,-200,-88,-200,-88,-91,-200,-87,-73,-200,-72,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462582598,-93,-76,-200,-87,-200,-87,-92,-200,-86,-200,-200,-71,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462582700,-200,-75,-200,-88,-82,-200,-200,-200,-86,-73,-200,-72,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462582802,-91,-77,-200,-88,-200,-200,-200,-200,-200,-200,-200,-71,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462582901,-200,-75,-200,-200,-200,-200,-90,-200,-200,-200,-200,-70,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462587287,-200,-79,-200,-200,-200,-200,-200,-200,-87,-200,-200,-72,-200,-90,-200,-92,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526462587400,-200,-76,-200,-200,-200,-200,-95,-200,-89,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526462587491,-200,-200,-200,-82,-81,-200,-94,-93,-89,-76,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-95,-200,-200
1526462587601,-200,-72,-200,-88,-200,-200,-93,-200,-200,-83,-200,-72,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462587700,-200,-73,-200,-86,-79,-200,-93,-200,-89,-80,-200,-72,-75,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-96,-200
1526462587816,-200,-200,-200,-83,-97,-200,-200,-90,-89,-74,-200,-83,-200,-200,-200,-93,-200,-200,-200,-200,-200,-93,-200,-200,-200
1526462592331,-200,-81,-200,-85,-200,-200,-200,-200,-95,-74,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462592412,-90,-200,-200,-200,-200,-90,-200,-99,-95,-74,-200,-84,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462592522,-88,-81,-95,-85,-200,-89,-95,-200,-93,-200,-200,-200,-73,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462592653,-200,-82,-200,-85,-200,-200,-200,-200,-200,-74,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462592764,-89,-81,-200,-200,-200,-200,-95,-200,-200,-74,-200,-83,-200,-200,-200,-200,-100,-200,-200,-200,-200,-200,-200,-200,-200
1526462592866,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462597285,-200,-76,-200,-88,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462597414,-200,-76,-200,-90,-200,-86,-94,-200,-88,-72,-200,-72,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94
1526462597515,-200,-76,-200,-89,-200,-87,-91,-200,-86,-71,-93,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462597617,-200,-76,-200,-89,-88,-87,-90,-200,-89,-71,-200,-71,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462597708,-94,-76,-200,-88,-89,-87,-91,-200,-86,-71,-93,-71,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97
1526462597841,-200,-200,-200,-200,-200,-87,-91,-200,-86,-71,-93,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
