,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526443428107,-81,-200,-200,-200,-200,-88,-79,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200
1526443432538,-88,-200,-200,-200,-85,-200,-200,-200,-77,-80,-96,-200,-200,-200,-200,-200,-200,-200
1526443432659,-200,-200,-101,-83,-84,-200,-79,-200,-77,-80,-94,-200,-200,-200,-200,-200,-200,-200
1526443432764,-89,-200,-200,-200,-85,-200,-79,-200,-200,-80,-96,-200,-98,-200,-200,-200,-200,-200
1526443432886,-200,-200,-200,-82,-84,-87,-79,-200,-77,-80,-93,-200,-200,-200,-200,-94,-200,-97
1526443433033,-88,-91,-200,-200,-85,-200,-200,-200,-200,-80,-95,-200,-200,-200,-200,-94,-200,-99
1526443433136,-200,-200,-87,-200,-86,-200,-72,-91,-78,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526443437572,-200,-75,-89,-77,-77,-200,-73,-200,-200,-76,-200,-200,-200,-200,-200,-92,-200,-200
1526443437675,-85,-76,-200,-77,-77,-200,-74,-200,-85,-76,-200,-200,-200,-200,-200,-89,-200,-200
1526443437776,-200,-76,-200,-76,-77,-85,-73,-92,-85,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526443437876,-200,-200,-89,-200,-77,-85,-71,-200,-84,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526443437981,-200,-200,-86,-77,-77,-84,-71,-92,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443442489,-81,-200,-87,-200,-200,-83,-78,-200,-78,-73,-200,-200,-200,-200,-200,-200,-94,-200
1526443442581,-81,-200,-200,-200,-79,-200,-77,-200,-78,-73,-200,-200,-200,-95,-200,-200,-200,-200
1526443442719,-81,-73,-86,-71,-200,-200,-78,-200,-77,-73,-200,-200,-200,-200,-200,-88,-200,-200
1526443442821,-81,-72,-200,-72,-79,-200,-77,-200,-77,-73,-200,-200,-200,-200,-200,-89,-95,-200
1526443442931,-81,-72,-87,-72,-79,-200,-77,-200,-78,-73,-200,-200,-200,-200,-200,-88,-96,-200
1526443443037,-81,-72,-86,-73,-200,-200,-79,-200,-78,-200,-200,-200,-200,-94,-200,-88,-200,-200
1526443447525,-89,-89,-200,-81,-86,-200,-79,-200,-200,-80,-94,-200,-97,-200,-200,-93,-200,-200
1526443447668,-89,-200,-200,-80,-86,-200,-79,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526443447777,-200,-91,-200,-81,-200,-200,-79,-200,-200,-80,-200,-200,-200,-200,-200,-93,-200,-99
1526443447882,-89,-200,-200,-81,-200,-200,-200,-200,-200,-81,-94,-200,-99,-200,-200,-200,-200,-98
1526443447987,-88,-91,-200,-81,-87,-200,-200,-200,-200,-80,-95,-200,-200,-200,-200,-200,-200,-96
1526443448099,-200,-76,-88,-76,-77,-200,-73,-92,-87,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526443452603,-200,-200,-88,-76,-200,-86,-71,-92,-85,-77,-93,-200,-200,-200,-200,-200,-200,-200
1526443452735,-85,-76,-87,-77,-77,-200,-70,-92,-86,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526443452844,-200,-200,-200,-76,-76,-200,-200,-90,-85,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526443453005,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-96,-200
1526443457508,-81,-200,-200,-200,-200,-200,-200,-92,-77,-72,-200,-200,-200,-95,-200,-200,-200,-200
1526443457607,-81,-200,-200,-72,-80,-200,-78,-200,-77,-72,-200,-200,-200,-200,-200,-88,-200,-200
1526443457713,-200,-72,-200,-200,-79,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200
1526443457813,-82,-72,-87,-200,-79,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200
1526443457916,-200,-200,-200,-72,-79,-86,-77,-200,-76,-73,-200,-200,-200,-200,-200,-90,-96,-200
1526443458025,-88,-200,-87,-200,-200,-85,-200,-93,-78,-74,-200,-200,-200,-200,-200,-94,-200,-200
1526443462516,-200,-91,-200,-80,-85,-87,-79,-200,-200,-80,-200,-200,-200,-200,-200,-92,-200,-200
1526443462619,-89,-90,-200,-81,-86,-88,-200,-200,-78,-80,-200,-200,-98,-200,-200,-200,-200,-200
1526443462724,-200,-90,-200,-81,-87,-88,-79,-200,-77,-80,-200,-200,-200,-200,-200,-93,-200,-200
1526443462832,-87,-200,-200,-81,-86,-88,-80,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-98
1526443462938,-200,-91,-200,-82,-86,-88,-79,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526443463074,-200,-92,-200,-200,-86,-200,-80,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526443467506,-85,-76,-200,-200,-200,-200,-71,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526443467587,-200,-76,-200,-200,-200,-200,-74,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526443467701,-85,-76,-200,-74,-200,-85,-71,-200,-84,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526443467812,-86,-76,-200,-75,-78,-84,-71,-200,-85,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526443467929,-200,-76,-88,-77,-77,-200,-71,-200,-85,-200,-200,-200,-200,-200,-200,-90,-200,-200
1526443468030,-85,-200,-200,-200,-78,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
