,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526444102662,-72,-82,-81,-93,-200,-79,-200,-71,-200,-200,-76,-200,-200,-200,-200,-200
1526444102752,-72,-83,-81,-200,-200,-200,-200,-71,-200,-200,-76,-200,-200,-200,-200,-200
1526444102860,-73,-200,-81,-94,-84,-79,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200
1526444102975,-72,-82,-80,-94,-200,-200,-72,-71,-200,-94,-75,-200,-200,-200,-200,-200
1526444103082,-71,-75,-200,-86,-89,-69,-200,-200,-200,-200,-76,-200,-95,-200,-200,-200
1526444107593,-71,-75,-200,-200,-200,-69,-77,-200,-200,-94,-79,-95,-95,-96,-200,-200
1526444107699,-73,-200,-200,-86,-200,-65,-76,-75,-200,-200,-79,-200,-96,-99,-200,-200
1526444107807,-71,-200,-77,-86,-200,-69,-77,-74,-91,-200,-79,-200,-200,-200,-200,-200
1526444107910,-200,-75,-200,-87,-200,-200,-77,-200,-200,-200,-79,-200,-200,-200,-97,-200
1526444108020,-72,-200,-76,-85,-200,-200,-77,-200,-91,-200,-79,-95,-200,-200,-200,-200
1526444108145,-85,-200,-86,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200
1526444112531,-87,-200,-85,-200,-200,-200,-71,-95,-200,-200,-84,-200,-200,-200,-200,-200
1526444112641,-200,-80,-200,-200,-83,-76,-71,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526444112798,-200,-80,-200,-200,-200,-76,-71,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526444112902,-200,-80,-200,-200,-200,-200,-71,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526444113013,-85,-80,-85,-200,-200,-78,-71,-95,-200,-200,-200,-200,-200,-200,-200,-99
1526444117513,-200,-81,-200,-95,-200,-80,-70,-200,-200,-200,-76,-200,-200,-200,-200,-200
1526444117606,-200,-80,-200,-200,-85,-80,-200,-71,-200,-93,-200,-200,-200,-200,-200,-200
1526444117707,-72,-81,-81,-200,-84,-200,-200,-71,-200,-94,-76,-200,-200,-200,-200,-200
1526444117822,-72,-81,-80,-200,-200,-81,-72,-71,-200,-96,-77,-200,-200,-200,-200,-200
1526444117929,-73,-200,-80,-200,-200,-80,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444118039,-200,-200,-200,-92,-200,-200,-71,-70,-200,-91,-78,-200,-200,-200,-200,-200
1526444122504,-71,-75,-77,-200,-200,-200,-76,-74,-200,-200,-79,-200,-200,-200,-200,-200
1526444122606,-72,-75,-200,-87,-87,-68,-75,-74,-200,-200,-78,-200,-200,-200,-200,-200
1526444122713,-200,-76,-200,-85,-200,-69,-73,-72,-200,-200,-78,-200,-200,-94,-200,-200
1526444122818,-200,-75,-200,-86,-87,-200,-76,-74,-200,-200,-200,-200,-200,-200,-96,-200
1526444122943,-71,-75,-77,-200,-88,-200,-76,-74,-200,-200,-79,-200,-200,-96,-200,-200
1526444123043,-73,-75,-77,-200,-89,-68,-76,-200,-200,-95,-79,-94,-200,-200,-200,-200
1526444127515,-200,-200,-200,-200,-82,-75,-71,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526444127592,-86,-80,-85,-200,-83,-75,-71,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526444127699,-87,-80,-85,-200,-83,-200,-71,-94,-200,-200,-86,-200,-200,-200,-200,-200
1526444127827,-88,-80,-86,-200,-83,-76,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444127920,-87,-80,-85,-200,-83,-200,-71,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526444128031,-72,-200,-200,-200,-84,-79,-72,-70,-200,-200,-75,-200,-200,-200,-200,-200
1526444132549,-200,-200,-80,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444132678,-200,-82,-80,-200,-84,-80,-72,-200,-200,-200,-76,-200,-200,-200,-200,-200
1526444132781,-72,-82,-81,-200,-84,-79,-70,-71,-200,-200,-76,-200,-200,-200,-200,-200
1526444132884,-73,-81,-80,-200,-200,-200,-71,-70,-200,-200,-76,-200,-200,-200,-200,-200
1526444132992,-72,-81,-81,-91,-200,-80,-70,-70,-200,-93,-200,-200,-200,-200,-200,-200
1526444133087,-200,-200,-81,-86,-200,-69,-76,-200,-200,-200,-78,-200,-200,-200,-200,-200
1526444137593,-71,-200,-77,-86,-88,-69,-200,-200,-200,-96,-79,-200,-200,-200,-200,-200
1526444137690,-200,-200,-77,-86,-200,-200,-75,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526444137794,-73,-200,-77,-86,-200,-69,-76,-74,-200,-95,-79,-200,-96,-94,-200,-200
1526444137936,-73,-200,-77,-87,-200,-69,-77,-74,-91,-96,-200,-200,-97,-200,-200,-200
1526444138038,-72,-200,-200,-85,-200,-68,-71,-73,-200,-200,-78,-200,-200,-200,-200,-200
1526444142501,-87,-80,-85,-200,-200,-76,-71,-96,-200,-200,-85,-200,-200,-200,-200,-200
1526444142614,-84,-81,-86,-200,-82,-76,-200,-94,-200,-200,-86,-200,-200,-200,-200,-98
1526444142758,-200,-81,-86,-200,-83,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-98
1526444142880,-200,-81,-86,-200,-83,-76,-71,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526444142994,-87,-81,-85,-200,-82,-76,-71,-94,-200,-200,-87,-200,-200,-200,-200,-200
1526444147498,-72,-80,-80,-200,-83,-79,-72,-70,-200,-200,-76,-200,-200,-200,-200,-200
1526444147605,-72,-200,-81,-92,-83,-80,-71,-71,-200,-200,-76,-200,-200,-200,-200,-200
1526444147710,-72,-81,-200,-200,-84,-79,-72,-71,-200,-200,-200,-200,-200,-200,-200,-200
1526444147857,-73,-82,-80,-200,-200,-79,-72,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526444147955,-72,-200,-81,-94,-83,-79,-71,-71,-200,-200,-76,-200,-200,-200,-200,-200
1526444148057,-72,-75,-200,-200,-200,-200,-76,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526444152588,-71,-200,-200,-200,-88,-200,-200,-74,-90,-200,-200,-200,-200,-200,-200,-200
1526444152675,-71,-75,-77,-200,-88,-68,-200,-74,-200,-200,-200,-94,-200,-200,-200,-200
1526444152787,-72,-75,-77,-86,-89,-69,-76,-74,-200,-200,-200,-200,-200,-96,-200,-200
1526444152899,-200,-200,-78,-86,-89,-69,-77,-74,-200,-200,-200,-95,-200,-95,-200,-200
1526444153026,-200,-200,-200,-200,-87,-200,-200,-74,-200,-200,-79,-94,-200,-200,-200,-200
