,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526443408987,-42,-45,-47,-64,-61,-78,-55,-70,-73,-78,-70,-81,-80,-74,-200,-82,-70,-74,-86,-72,-200,-200,-73,-76,-90,-67,-200,-65,-84,-82,-200,-200,-77,-86,-85,-200,-200,-82,-200,-89,-200,-200,-200,-86,-200,-82,-75,-200,-200,-82,-90,-200,-90,-200,-200,-200,-200,-200,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443412039,-40,-44,-45,-62,-61,-77,-60,-67,-67,-78,-69,-72,-79,-74,-200,-81,-70,-74,-79,-68,-200,-81,-71,-73,-90,-67,-200,-63,-82,-79,-200,-87,-77,-86,-85,-200,-200,-82,-200,-200,-200,-200,-200,-86,-200,-82,-75,-84,-200,-82,-90,-200,-88,-200,-200,-200,-200,-200,-85,-90,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443415096,-40,-44,-45,-59,-62,-77,-59,-64,-57,-74,-67,-73,-79,-75,-200,-81,-82,-71,-79,-69,-200,-82,-68,-73,-90,-64,-200,-63,-82,-80,-200,-86,-79,-86,-85,-200,-89,-80,-200,-200,-200,-200,-200,-89,-200,-82,-71,-84,-90,-82,-87,-200,-88,-200,-200,-200,-200,-200,-86,-90,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443418143,-39,-43,-45,-59,-64,-78,-57,-62,-58,-72,-68,-74,-65,-75,-70,-77,-82,-73,-200,-68,-69,-82,-69,-200,-79,-65,-200,-64,-200,-79,-200,-85,-77,-86,-200,-200,-90,-80,-88,-200,-200,-200,-200,-87,-200,-81,-75,-82,-90,-82,-88,-200,-87,-200,-89,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443421149,-38,-45,-43,-57,-66,-79,-55,-59,-65,-72,-66,-74,-64,-71,-70,-76,-74,-71,-200,-69,-71,-82,-69,-72,-79,-64,-200,-63,-200,-78,-200,-86,-80,-84,-200,-200,-90,-200,-88,-200,-200,-200,-200,-87,-200,-80,-75,-81,-200,-200,-88,-200,-87,-200,-89,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443424153,-34,-38,-37,-51,-57,-79,-55,-50,-55,-64,-63,-74,-71,-87,-69,-76,-55,-77,-200,-59,-85,-82,-64,-72,-71,-62,-200,-63,-76,-78,-83,-80,-80,-82,-200,-200,-200,-79,-88,-200,-200,-200,-200,-84,-200,-80,-200,-81,-200,-200,-86,-200,-200,-200,-200,-200,-200,-83,-200,-83,-200,-200,-82,-85,-87,-200,-200,-200,-200,-200,-200,-200
1526443427156,-34,-38,-36,-68,-58,-77,-57,-59,-52,-64,-58,-83,-66,-71,-69,-60,-59,-76,-200,-59,-72,-78,-67,-200,-65,-71,-200,-51,-76,-76,-83,-85,-62,-83,-200,-200,-200,-79,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-83,-73,-83,-200,-200,-82,-85,-87,-81,-85,-89,-200,-200,-200,-200
1526443430176,-33,-37,-35,-51,-62,-89,-60,-53,-54,-65,-64,-83,-66,-71,-90,-60,-62,-73,-200,-59,-67,-78,-72,-70,-66,-71,-200,-64,-200,-90,-82,-83,-62,-84,-85,-200,-80,-79,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-83,-200,-200,-82,-200,-200,-81,-85,-89,-200,-200,-200,-200
1526443433245,-32,-37,-35,-52,-61,-89,-62,-52,-54,-80,-63,-71,-63,-68,-71,-60,-61,-69,-77,-60,-66,-78,-74,-62,-66,-59,-200,-59,-200,-90,-82,-83,-73,-83,-85,-200,-80,-79,-200,-200,-200,-200,-200,-61,-200,-66,-73,-200,-200,-75,-82,-200,-200,-200,-82,-200,-200,-200,-73,-83,-200,-200,-82,-88,-200,-81,-85,-89,-200,-200,-200,-200
1526443436286,-33,-38,-35,-53,-60,-200,-73,-51,-54,-63,-62,-78,-63,-68,-67,-67,-58,-70,-75,-59,-66,-200,-71,-68,-68,-62,-200,-59,-200,-200,-82,-83,-73,-82,-200,-84,-79,-200,-200,-81,-200,-200,-200,-61,-200,-73,-73,-84,-200,-77,-82,-200,-83,-200,-84,-200,-200,-200,-200,-200,-87,-200,-200,-88,-200,-200,-200,-85,-88,-200,-200,-200
1526443439292,-33,-36,-34,-53,-57,-80,-73,-53,-55,-61,-60,-77,-81,-74,-71,-67,-53,-70,-83,-57,-67,-75,-57,-67,-81,-58,-200,-58,-200,-200,-83,-80,-73,-80,-200,-89,-79,-200,-91,-81,-200,-200,-200,-86,-200,-73,-200,-85,-200,-90,-200,-200,-83,-200,-88,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-85,-88,-87,-200,-200
1526443442297,-33,-37,-36,-49,-59,-79,-59,-50,-58,-63,-58,-77,-64,-74,-63,-67,-66,-70,-83,-57,-72,-75,-68,-67,-81,-63,-200,-58,-200,-200,-82,-81,-73,-81,-200,-89,-78,-200,-91,-81,-200,-200,-87,-60,-200,-52,-200,-85,-200,-90,-200,-200,-83,-200,-89,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-85,-88,-87,-87,-88
