,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88
1526443319534,-32,-43,-53,-47,-57,-52,-66,-55,-68,-51,-68,-60,-67,-58,-68,-58,-55,-66,-75,-66,-72,-68,-73,-64,-78,-93,-200,-200,-200,-89,-81,-75,-84,-82,-84,-85,-81,-200,-72,-81,-83,-200,-82,-84,-200,-200,-93,-200,-200,-200,-92,-85,-88,-90,-91,-92,-93,-85,-86,-85,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443319946,-32,-43,-53,-47,-57,-52,-66,-55,-68,-51,-68,-60,-67,-58,-68,-58,-55,-66,-75,-66,-72,-68,-73,-64,-78,-93,-200,-200,-200,-89,-81,-75,-84,-82,-84,-85,-81,-200,-72,-81,-83,-200,-82,-84,-200,-200,-93,-200,-200,-200,-92,-85,-88,-90,-91,-92,-93,-85,-86,-85,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443322538,-23,-49,-51,-42,-47,-62,-60,-56,-63,-50,-64,-60,-67,-56,-68,-64,-52,-59,-72,-74,-72,-200,-64,-61,-72,-73,-200,-200,-200,-200,-79,-75,-85,-82,-83,-200,-81,-200,-200,-200,-85,-200,-78,-84,-78,-81,-93,-84,-200,-200,-88,-200,-200,-200,-200,-200,-200,-85,-86,-85,-92,-74,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443322988,-23,-49,-51,-42,-47,-62,-60,-56,-63,-50,-64,-60,-67,-56,-68,-64,-52,-59,-72,-74,-72,-200,-64,-61,-72,-73,-200,-200,-200,-200,-79,-75,-85,-82,-83,-200,-81,-200,-200,-200,-85,-200,-78,-84,-78,-81,-93,-84,-200,-200,-88,-200,-200,-200,-200,-200,-200,-85,-86,-85,-92,-74,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443325542,-22,-38,-51,-46,-49,-56,-62,-64,-59,-47,-60,-48,-200,-58,-200,-62,-51,-57,-74,-77,-200,-200,-68,-67,-75,-73,-75,-200,-200,-200,-81,-200,-82,-200,-83,-200,-200,-200,-200,-200,-82,-200,-83,-200,-78,-81,-200,-84,-200,-200,-88,-74,-200,-200,-200,-200,-200,-84,-86,-200,-85,-74,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443326025,-22,-38,-51,-46,-49,-56,-62,-64,-59,-47,-60,-48,-200,-58,-200,-62,-51,-57,-74,-77,-200,-200,-68,-67,-75,-73,-75,-200,-200,-200,-81,-200,-82,-200,-83,-200,-200,-200,-200,-200,-82,-200,-83,-200,-78,-81,-200,-84,-200,-200,-88,-74,-200,-200,-200,-200,-200,-84,-86,-200,-85,-74,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443328548,-30,-43,-50,-47,-60,-53,-62,-70,-58,-48,-65,-49,-71,-57,-200,-67,-53,-56,-73,-75,-73,-68,-70,-64,-74,-71,-89,-87,-200,-200,-78,-200,-84,-200,-80,-88,-200,-200,-200,-78,-86,-200,-83,-200,-200,-83,-200,-200,-200,-200,-200,-87,-200,-200,-200,-85,-200,-84,-200,-200,-85,-77,-88,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443329062,-30,-43,-50,-47,-60,-53,-62,-70,-58,-48,-65,-49,-71,-57,-200,-67,-53,-56,-73,-75,-73,-68,-70,-64,-74,-71,-89,-87,-200,-200,-78,-200,-84,-200,-80,-88,-200,-200,-200,-78,-86,-200,-83,-200,-200,-83,-200,-200,-200,-200,-200,-87,-200,-200,-200,-85,-200,-84,-200,-200,-85,-77,-88,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443331581,-26,-36,-50,-47,-50,-57,-200,-59,-58,-48,-69,-49,-71,-56,-200,-67,-53,-61,-73,-75,-73,-68,-71,-65,-81,-76,-89,-87,-200,-200,-81,-200,-82,-200,-49,-73,-200,-200,-200,-78,-88,-200,-200,-80,-200,-76,-200,-78,-200,-200,-87,-87,-200,-200,-200,-85,-200,-200,-83,-87,-200,-75,-88,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443332103,-26,-36,-50,-47,-50,-57,-200,-59,-58,-48,-69,-49,-71,-56,-200,-67,-53,-61,-73,-75,-73,-68,-71,-65,-81,-76,-89,-87,-200,-200,-81,-200,-82,-200,-49,-73,-200,-200,-200,-78,-88,-200,-200,-80,-200,-76,-200,-78,-200,-200,-87,-87,-200,-200,-200,-85,-200,-200,-83,-87,-200,-75,-88,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443334634,-23,-40,-48,-46,-55,-53,-62,-58,-61,-47,-57,-52,-70,-58,-200,-65,-68,-59,-68,-74,-73,-69,-75,-63,-75,-76,-82,-87,-92,-200,-80,-76,-82,-75,-49,-73,-200,-200,-78,-81,-87,-200,-200,-80,-200,-76,-84,-79,-200,-200,-87,-87,-200,-200,-200,-78,-200,-91,-85,-87,-200,-75,-88,-87,-90,-81,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443335152,-23,-40,-48,-46,-55,-53,-62,-58,-61,-47,-57,-52,-70,-58,-200,-65,-68,-59,-68,-74,-73,-69,-75,-63,-75,-76,-82,-87,-92,-200,-80,-76,-82,-75,-49,-73,-200,-200,-78,-81,-87,-200,-200,-80,-200,-76,-84,-79,-200,-200,-87,-87,-200,-200,-200,-78,-200,-91,-85,-87,-200,-75,-88,-87,-90,-81,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443337703,-28,-37,-55,-44,-49,-56,-75,-65,-60,-49,-57,-56,-70,-55,-70,-64,-50,-72,-70,-56,-73,-69,-56,-66,-75,-76,-82,-200,-92,-83,-83,-75,-78,-75,-83,-73,-200,-200,-78,-76,-87,-200,-69,-78,-200,-71,-84,-79,-200,-200,-87,-200,-200,-200,-200,-78,-200,-91,-85,-87,-82,-75,-200,-200,-90,-81,-91,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443338195,-28,-37,-55,-44,-49,-56,-75,-65,-60,-49,-57,-56,-70,-55,-70,-64,-50,-72,-70,-56,-73,-69,-56,-66,-75,-76,-82,-200,-92,-83,-83,-75,-78,-75,-83,-73,-200,-200,-78,-76,-87,-200,-69,-78,-200,-71,-84,-79,-200,-200,-87,-200,-200,-200,-200,-78,-200,-91,-85,-87,-82,-75,-200,-200,-90,-81,-91,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443340707,-25,-37,-52,-45,-50,-58,-66,-65,-55,-46,-58,-56,-75,-52,-71,-49,-50,-59,-68,-81,-73,-200,-58,-66,-74,-200,-76,-200,-200,-83,-84,-75,-79,-83,-84,-200,-200,-88,-200,-76,-200,-200,-69,-76,-200,-71,-200,-84,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-90,-200,-200,-86,-89,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443341244,-25,-37,-52,-45,-50,-58,-66,-65,-55,-46,-58,-56,-75,-52,-71,-49,-50,-59,-68,-81,-73,-200,-58,-66,-74,-200,-76,-200,-200,-83,-84,-75,-79,-83,-84,-200,-200,-88,-200,-76,-200,-200,-69,-76,-200,-71,-200,-84,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-90,-200,-200,-86,-89,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443343712,-29,-19,-50,-47,-49,-60,-66,-62,-58,-48,-58,-57,-72,-54,-71,-68,-51,-64,-70,-79,-80,-68,-68,-66,-75,-77,-92,-88,-200,-200,-84,-79,-81,-76,-49,-200,-84,-88,-200,-92,-86,-200,-75,-87,-200,-74,-200,-83,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-86,-200,-200,-200,-200,-89,-200,-85,-82,-85,-89,-91,-200,-200,-200,-200,-200,-200,-200
1526443344285,-29,-19,-50,-47,-49,-60,-66,-62,-58,-48,-58,-57,-72,-54,-71,-68,-51,-64,-70,-79,-80,-68,-68,-66,-75,-77,-92,-88,-200,-200,-84,-79,-81,-76,-49,-200,-84,-88,-200,-92,-86,-200,-75,-87,-200,-74,-200,-83,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-86,-200,-200,-200,-200,-89,-200,-85,-82,-85,-89,-91,-200,-200,-200,-200,-200,-200,-200
1526443346752,-28,-33,-51,-46,-49,-55,-66,-62,-58,-50,-63,-54,-72,-52,-200,-63,-51,-64,-67,-82,-79,-67,-56,-70,-72,-75,-92,-81,-82,-200,-200,-79,-78,-76,-86,-200,-84,-200,-200,-79,-87,-200,-76,-80,-200,-72,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-78,-86,-200,-200,-200,-200,-89,-200,-200,-82,-85,-89,-91,-200,-200,-200,-200,-200,-200,-200
1526443347333,-28,-33,-51,-46,-49,-55,-66,-62,-58,-50,-63,-54,-72,-52,-200,-63,-51,-64,-67,-82,-79,-67,-56,-70,-72,-75,-92,-81,-82,-200,-200,-79,-78,-76,-86,-200,-84,-200,-200,-79,-87,-200,-76,-80,-200,-72,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-78,-86,-200,-200,-200,-200,-89,-200,-200,-82,-85,-89,-91,-200,-200,-200,-200,-200,-200,-200
1526443349770,-28,-33,-50,-47,-49,-59,-66,-58,-57,-47,-65,-54,-72,-54,-200,-77,-50,-61,-79,-67,-79,-67,-67,-70,-72,-75,-92,-81,-84,-200,-80,-79,-80,-80,-86,-200,-82,-200,-85,-91,-87,-200,-76,-77,-200,-70,-89,-83,-200,-200,-90,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-78,-86,-200,-200,-200,-200,-89,-200,-200,-82,-85,-89,-91,-200,-200,-200,-200,-200,-200,-200
1526443350372,-28,-33,-50,-47,-49,-59,-66,-58,-57,-47,-65,-54,-72,-54,-200,-77,-50,-61,-79,-67,-79,-67,-67,-70,-72,-75,-92,-81,-84,-200,-80,-79,-80,-80,-86,-200,-82,-200,-85,-91,-87,-200,-76,-77,-200,-70,-89,-83,-200,-200,-90,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-78,-86,-200,-200,-200,-200,-89,-200,-200,-82,-85,-89,-91,-200,-200,-200,-200,-200,-200,-200
1526443352825,-25,-35,-49,-44,-50,-51,-64,-45,-57,-48,-61,-56,-200,-50,-64,-63,-49,-62,-70,-80,-77,-70,-76,-70,-72,-73,-200,-78,-84,-85,-85,-200,-79,-66,-86,-200,-82,-200,-85,-83,-87,-200,-76,-77,-200,-73,-89,-200,-200,-200,-90,-70,-200,-200,-200,-200,-200,-90,-200,-200,-200,-76,-200,-200,-200,-76,-200,-200,-200,-200,-79,-86,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526443353409,-25,-35,-49,-44,-50,-51,-64,-45,-57,-48,-61,-56,-200,-50,-64,-63,-49,-62,-70,-80,-77,-70,-76,-70,-72,-73,-200,-78,-84,-85,-85,-200,-79,-66,-86,-200,-82,-200,-85,-83,-87,-200,-76,-77,-200,-73,-89,-200,-200,-200,-90,-70,-200,-200,-200,-200,-200,-90,-200,-200,-200,-76,-200,-200,-200,-76,-200,-200,-200,-200,-79,-86,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526443355832,-24,-39,-55,-52,-54,-55,-63,-60,-55,-47,-54,-56,-200,-52,-64,-67,-47,-64,-71,-71,-74,-70,-71,-67,-72,-78,-200,-78,-200,-85,-79,-200,-81,-73,-84,-200,-200,-200,-200,-83,-200,-200,-79,-200,-200,-73,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-77,-200,-200,-200,-200,-79,-86,-200,-89,-83,-83,-86,-200,-200,-200,-200
1526443356447,-24,-39,-55,-52,-54,-55,-63,-60,-55,-47,-54,-56,-200,-52,-64,-67,-47,-64,-71,-71,-74,-70,-71,-67,-72,-78,-200,-78,-200,-85,-79,-200,-81,-73,-84,-200,-200,-200,-200,-83,-200,-200,-79,-200,-200,-73,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-77,-200,-200,-200,-200,-79,-86,-200,-89,-83,-83,-86,-200,-200,-200,-200
1526443358836,-31,-46,-48,-41,-49,-55,-68,-63,-59,-46,-77,-52,-70,-50,-69,-61,-50,-64,-79,-71,-74,-200,-69,-61,-71,-70,-200,-200,-85,-200,-79,-200,-78,-79,-85,-200,-80,-87,-71,-200,-200,-200,-79,-77,-200,-77,-90,-93,-88,-85,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-78,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-83,-83,-86,-90,-200,-200,-200
1526443359493,-31,-46,-48,-41,-49,-55,-68,-63,-59,-46,-77,-52,-70,-50,-69,-61,-50,-64,-79,-71,-74,-200,-69,-61,-71,-70,-200,-200,-85,-200,-79,-200,-78,-79,-85,-200,-80,-87,-71,-200,-200,-200,-79,-77,-200,-77,-90,-93,-88,-85,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-78,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-83,-83,-86,-90,-200,-200,-200
1526443361869,-29,-44,-51,-43,-49,-54,-64,-62,-64,-48,-54,-50,-70,-48,-69,-61,-48,-82,-69,-71,-200,-62,-67,-63,-73,-73,-200,-200,-85,-200,-49,-200,-79,-67,-87,-200,-80,-87,-71,-200,-89,-200,-79,-88,-200,-77,-90,-93,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-90,-200,-200,-200
1526443362534,-29,-44,-51,-43,-49,-54,-64,-62,-64,-48,-54,-50,-70,-48,-69,-61,-48,-82,-69,-71,-200,-62,-67,-63,-73,-73,-200,-200,-85,-200,-49,-200,-79,-67,-87,-200,-80,-87,-71,-200,-89,-200,-79,-88,-200,-77,-90,-93,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-90,-200,-200,-200
1526443364927,-26,-44,-51,-42,-46,-61,-63,-59,-63,-50,-55,-51,-200,-58,-76,-63,-48,-64,-76,-71,-77,-64,-72,-60,-73,-70,-200,-200,-200,-200,-86,-74,-82,-67,-85,-90,-80,-200,-71,-81,-89,-88,-80,-82,-200,-76,-92,-200,-87,-88,-200,-200,-200,-200,-200,-92,-91,-85,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-90,-90,-200
1526443365564,-26,-44,-51,-42,-46,-61,-63,-59,-63,-50,-55,-51,-200,-58,-76,-63,-48,-64,-76,-71,-77,-64,-72,-60,-73,-70,-200,-200,-200,-200,-86,-74,-82,-67,-85,-90,-80,-200,-71,-81,-89,-88,-80,-82,-200,-76,-92,-200,-87,-88,-200,-200,-200,-200,-200,-92,-91,-85,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-90,-90,-200
1526443367978,-32,-43,-51,-44,-45,-54,-64,-59,-60,-48,-59,-55,-200,-58,-76,-62,-47,-62,-88,-72,-77,-63,-68,-63,-73,-72,-200,-81,-200,-200,-83,-74,-85,-67,-83,-90,-80,-200,-71,-77,-54,-88,-80,-90,-200,-74,-79,-200,-200,-200,-200,-200,-200,-200,-200,-92,-91,-85,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-87,-200,-200,-90,-90,-81
1526443368600,-32,-43,-51,-44,-45,-54,-64,-59,-60,-48,-59,-55,-200,-58,-76,-62,-47,-62,-88,-72,-77,-63,-68,-63,-73,-72,-200,-81,-200,-200,-83,-74,-85,-67,-83,-90,-80,-200,-71,-77,-54,-88,-80,-90,-200,-74,-79,-200,-200,-200,-200,-200,-200,-200,-200,-92,-91,-85,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-87,-200,-200,-90,-90,-81
