,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,NETWORK,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526443643142,-35,-33,-49,-62,-55,-59,-51,-200,-71,-56,-52,-52,-68,-68,-83,-67,-66,-200,-47,-71,-200,-64,-28,-64,-76,-74,-200,-73,-200,-76,-85,-61,-55,-200,-71,-87,-200,-77,-200,-200,-200,-200,-67,-68,-200,-200,-77,-73,-200,-81,-200,-52,-81,-53,-83,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443646174,-36,-34,-52,-62,-53,-61,-55,-200,-54,-75,-51,-51,-200,-68,-58,-68,-66,-200,-45,-72,-200,-59,-35,-64,-75,-77,-200,-73,-66,-77,-200,-65,-86,-200,-71,-87,-87,-80,-200,-86,-200,-200,-200,-68,-200,-75,-78,-78,-200,-200,-200,-81,-200,-66,-83,-200,-200,-200,-83,-200,-200,-200,-200,-200,-73,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443649223,-37,-36,-52,-200,-52,-60,-57,-200,-72,-73,-54,-52,-200,-70,-58,-71,-61,-200,-46,-70,-68,-58,-30,-65,-73,-75,-200,-73,-68,-77,-200,-66,-71,-93,-76,-200,-87,-80,-200,-86,-200,-200,-72,-200,-200,-75,-78,-81,-82,-200,-200,-83,-200,-71,-200,-200,-83,-200,-82,-200,-200,-200,-200,-200,-73,-80,-200,-90,-83,-90,-91,-200,-200,-200,-200,-200,-200
1526443652291,-35,-36,-58,-62,-57,-59,-58,-200,-68,-74,-51,-48,-200,-70,-60,-71,-67,-200,-68,-67,-68,-57,-38,-52,-81,-77,-200,-82,-80,-78,-200,-66,-56,-93,-76,-84,-200,-200,-200,-200,-81,-200,-82,-71,-200,-200,-200,-74,-82,-200,-200,-85,-200,-54,-200,-200,-83,-200,-82,-79,-200,-200,-200,-200,-200,-200,-87,-90,-83,-91,-91,-200,-200,-200,-200,-200,-200
1526443655334,-32,-41,-55,-64,-52,-54,-57,-200,-53,-78,-53,-46,-200,-70,-63,-200,-64,-74,-49,-74,-200,-52,-30,-53,-83,-77,-200,-82,-67,-78,-200,-66,-56,-200,-200,-84,-200,-200,-200,-200,-89,-200,-82,-75,-200,-200,-200,-75,-200,-200,-200,-81,-200,-70,-200,-200,-200,-200,-82,-79,-200,-200,-200,-200,-200,-81,-87,-200,-200,-91,-200,-86,-91,-200,-200,-200,-200
1526443658376,-32,-41,-54,-58,-50,-54,-57,-200,-75,-75,-54,-51,-70,-73,-62,-72,-62,-74,-47,-86,-200,-59,-29,-53,-56,-200,-200,-200,-66,-77,-200,-64,-54,-200,-79,-200,-200,-200,-200,-200,-89,-200,-71,-70,-200,-200,-79,-75,-200,-200,-200,-81,-200,-70,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-77,-81,-200,-200,-200,-200,-200,-86,-91,-83,-200,-200,-200
1526443661432,-32,-42,-53,-58,-51,-200,-56,-90,-75,-78,-53,-52,-71,-73,-63,-69,-64,-200,-47,-68,-200,-57,-31,-55,-75,-200,-200,-200,-65,-78,-200,-67,-54,-200,-76,-200,-200,-200,-200,-200,-86,-200,-71,-70,-200,-200,-79,-200,-200,-200,-200,-84,-200,-200,-91,-200,-200,-200,-200,-73,-200,-91,-88,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200
1526443664448,-33,-40,-50,-56,-52,-74,-58,-90,-52,-73,-54,-53,-71,-200,-62,-76,-63,-200,-46,-69,-200,-57,-28,-58,-75,-200,-200,-200,-75,-75,-200,-78,-55,-91,-76,-200,-200,-200,-200,-200,-86,-200,-200,-70,-200,-77,-200,-200,-200,-200,-200,-83,-200,-200,-91,-200,-200,-200,-83,-200,-200,-91,-88,-200,-80,-80,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526443667513,-34,-39,-50,-56,-52,-57,-52,-90,-73,-74,-55,-53,-71,-73,-60,-69,-63,-76,-48,-75,-200,-57,-28,-53,-74,-200,-200,-200,-77,-77,-200,-63,-53,-91,-76,-200,-200,-76,-200,-200,-86,-200,-200,-70,-200,-74,-73,-79,-200,-82,-200,-79,-88,-200,-91,-200,-86,-200,-83,-200,-200,-91,-88,-200,-80,-80,-200,-200,-200,-200,-91,-200,-200,-80,-82,-200,-200
1526443670517,-35,-39,-58,-56,-53,-57,-53,-87,-72,-79,-52,-52,-71,-73,-62,-69,-61,-76,-46,-68,-76,-69,-28,-64,-74,-200,-82,-74,-77,-77,-200,-63,-54,-200,-200,-200,-200,-76,-200,-84,-200,-200,-79,-200,-200,-76,-73,-79,-200,-82,-200,-82,-88,-200,-200,-200,-86,-200,-200,-73,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-82,-200,-200
1526443673566,-34,-38,-65,-57,-52,-61,-65,-87,-69,-72,-54,-53,-85,-83,-60,-69,-61,-88,-47,-68,-76,-56,-27,-59,-73,-200,-82,-73,-65,-80,-200,-63,-52,-200,-200,-200,-200,-200,-200,-84,-83,-200,-79,-83,-200,-76,-79,-79,-200,-81,-200,-81,-89,-84,-200,-91,-200,-200,-200,-73,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526443676610,-35,-37,-85,-56,-52,-63,-60,-200,-69,-73,-53,-51,-85,-84,-59,-87,-67,-88,-46,-200,-200,-57,-27,-58,-73,-200,-200,-73,-66,-80,-200,-63,-51,-200,-200,-200,-200,-200,-200,-86,-83,-200,-71,-83,-200,-73,-79,-90,-200,-86,-200,-81,-89,-70,-200,-78,-87,-200,-83,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-85,-88
