,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D02A28,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,WHU-2018,DLINK_D02A18,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526458408869,-33,-38,-57,-51,-49,-48,-59,-64,-53,-49,-60,-56,-60,-78,-71,-69,-77,-70,-59,-77,-68,-60,-75,-80,-84,-59,-85,-66,-57,-72,-82,-82,-81,-82,-72,-81,-200,-86,-75,-79,-83,-86,-82,-67,-89,-86,-89,-85,-86,-84,-82,-90,-92,-84,-85,-87,-85,-88,-86,-85,-200,-84,-200,-200,-90,-85,-84,-200,-89,-200,-200,-200,-95,-95,-200,-200,-94,-200,-200,-200,-87,-90,-95,-96,-96,-200,-94,-92,-93,-200,-200,-200,-200,-200,-200,-97,-87,-97,-200,-200,-200,-200
1526458411925,-32,-38,-55,-51,-50,-48,-61,-62,-53,-51,-57,-60,-60,-80,-65,-67,-70,-69,-65,-77,-75,-60,-74,-78,-86,-64,-85,-66,-61,-70,-82,-72,-87,-82,-72,-81,-200,-86,-75,-78,-83,-87,-82,-67,-89,-84,-89,-86,-83,-84,-83,-90,-92,-83,-85,-87,-85,-90,-83,-87,-200,-84,-200,-200,-90,-85,-84,-200,-89,-200,-200,-200,-95,-200,-200,-200,-94,-200,-200,-200,-86,-91,-95,-96,-200,-90,-94,-89,-93,-200,-200,-200,-200,-200,-200,-200,-87,-97,-200,-200,-200,-200
1526458414976,-33,-40,-61,-55,-47,-48,-58,-64,-52,-53,-57,-57,-57,-78,-64,-67,-79,-71,-63,-77,-70,-61,-74,-77,-82,-66,-85,-61,-60,-74,-86,-84,-87,-79,-71,-81,-79,-84,-72,-78,-80,-91,-200,-66,-89,-84,-89,-83,-83,-200,-79,-90,-92,-82,-86,-87,-85,-89,-82,-82,-200,-83,-200,-200,-85,-85,-84,-200,-92,-95,-94,-200,-91,-200,-200,-200,-94,-96,-200,-93,-86,-91,-96,-96,-96,-94,-200,-89,-97,-200,-200,-94,-200,-200,-200,-200,-87,-97,-200,-200,-200,-200
1526458418023,-31,-42,-63,-56,-49,-48,-64,-63,-58,-50,-54,-52,-61,-78,-67,-68,-68,-70,-63,-75,-63,-62,-70,-76,-87,-64,-88,-61,-53,-75,-85,-84,-75,-79,-73,-77,-77,-84,-70,-78,-80,-87,-200,-66,-200,-83,-89,-83,-83,-200,-80,-88,-92,-82,-83,-88,-83,-87,-82,-82,-200,-84,-200,-200,-86,-84,-84,-200,-92,-95,-94,-87,-91,-200,-200,-200,-94,-96,-200,-93,-86,-91,-97,-200,-94,-94,-95,-89,-93,-200,-200,-94,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526458421073,-32,-38,-64,-52,-49,-48,-58,-62,-58,-45,-58,-57,-56,-79,-67,-67,-79,-71,-56,-76,-74,-59,-70,-77,-87,-62,-88,-70,-61,-69,-85,-77,-83,-85,-72,-82,-79,-84,-70,-79,-83,-85,-81,-66,-200,-84,-89,-83,-87,-200,-80,-88,-92,-82,-84,-88,-83,-87,-85,-85,-84,-85,-200,-200,-86,-84,-84,-200,-92,-95,-94,-87,-93,-200,-200,-200,-98,-96,-200,-93,-88,-200,-97,-200,-95,-94,-95,-200,-93,-200,-200,-94,-200,-200,-95,-96,-200,-200,-200,-200,-200,-200
1526458424119,-34,-36,-66,-52,-50,-48,-60,-64,-53,-50,-55,-52,-59,-77,-68,-67,-70,-73,-57,-82,-74,-61,-73,-70,-86,-63,-87,-68,-58,-71,-87,-83,-83,-80,-73,-78,-79,-85,-70,-76,-82,-85,-81,-66,-200,-84,-89,-83,-87,-200,-80,-90,-90,-67,-85,-86,-84,-93,-82,-85,-84,-83,-200,-200,-86,-83,-85,-200,-85,-200,-200,-90,-93,-200,-200,-200,-98,-96,-200,-200,-86,-200,-95,-200,-95,-200,-96,-200,-93,-200,-200,-200,-200,-200,-95,-96,-200,-200,-95,-200,-200,-200
1526458427168,-37,-39,-58,-55,-47,-48,-59,-61,-58,-52,-59,-58,-61,-77,-68,-68,-81,-71,-56,-79,-74,-60,-74,-77,-84,-64,-87,-67,-60,-71,-87,-83,-78,-87,-70,-78,-79,-84,-70,-77,-83,-85,-81,-66,-200,-83,-89,-82,-87,-200,-80,-94,-93,-81,-84,-88,-82,-89,-85,-85,-84,-84,-200,-200,-84,-84,-85,-200,-91,-91,-200,-89,-91,-200,-200,-200,-98,-97,-200,-200,-87,-200,-95,-200,-93,-200,-96,-91,-200,-200,-200,-93,-200,-200,-200,-96,-200,-200,-95,-95,-200,-200
1526458430221,-33,-40,-62,-57,-52,-48,-54,-63,-53,-48,-54,-59,-62,-77,-64,-66,-74,-72,-59,-81,-85,-67,-73,-76,-80,-64,-87,-65,-61,-73,-83,-67,-82,-81,-72,-78,-200,-88,-80,-77,-80,-90,-200,-66,-200,-83,-200,-84,-88,-200,-82,-89,-93,-83,-84,-87,-87,-93,-83,-85,-200,-82,-93,-200,-89,-84,-87,-200,-91,-91,-200,-89,-91,-94,-200,-200,-96,-97,-200,-200,-87,-200,-95,-93,-99,-93,-96,-92,-95,-200,-200,-93,-200,-200,-94,-200,-200,-200,-95,-95,-91,-200
1526458433271,-31,-38,-62,-53,-51,-53,-64,-66,-51,-51,-57,-57,-59,-77,-65,-63,-68,-71,-53,-82,-84,-57,-73,-76,-78,-61,-200,-63,-56,-72,-90,-76,-82,-84,-73,-74,-200,-86,-81,-79,-81,-87,-200,-68,-200,-83,-95,-84,-81,-200,-86,-89,-93,-80,-75,-88,-82,-93,-83,-88,-200,-82,-93,-200,-86,-84,-88,-94,-91,-91,-200,-89,-95,-94,-200,-200,-96,-97,-200,-200,-87,-200,-200,-95,-99,-93,-94,-92,-95,-200,-200,-93,-200,-200,-94,-200,-200,-200,-200,-95,-91,-200
1526458436324,-34,-39,-67,-52,-52,-48,-55,-64,-56,-50,-58,-55,-58,-77,-72,-68,-74,-70,-63,-75,-76,-59,-73,-75,-78,-65,-85,-63,-57,-73,-87,-83,-80,-87,-71,-77,-200,-83,-71,-78,-85,-83,-200,-66,-200,-83,-95,-85,-88,-200,-82,-89,-200,-80,-84,-88,-88,-89,-85,-86,-200,-82,-93,-200,-86,-84,-88,-94,-92,-94,-200,-86,-94,-94,-200,-200,-97,-97,-200,-200,-87,-90,-200,-95,-94,-93,-94,-92,-95,-200,-95,-200,-200,-200,-94,-200,-200,-200,-200,-200,-89,-200
1526458439373,-35,-38,-58,-57,-53,-59,-58,-65,-54,-49,-56,-57,-61,-76,-62,-64,-63,-76,-61,-75,-76,-59,-73,-76,-77,-62,-87,-63,-58,-71,-87,-76,-83,-87,-69,-77,-200,-88,-75,-87,-80,-83,-200,-72,-200,-83,-88,-85,-88,-200,-81,-89,-200,-80,-84,-88,-85,-89,-83,-85,-200,-83,-200,-200,-86,-83,-88,-91,-92,-94,-200,-86,-94,-92,-200,-200,-97,-97,-200,-200,-87,-90,-200,-95,-94,-200,-94,-92,-96,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-99
1526458442428,-37,-41,-62,-54,-53,-56,-62,-65,-56,-49,-58,-56,-58,-76,-62,-59,-74,-76,-61,-75,-80,-62,-74,-76,-81,-63,-87,-65,-55,-71,-84,-82,-84,-87,-72,-78,-200,-88,-74,-85,-81,-83,-200,-72,-200,-83,-88,-88,-88,-200,-79,-87,-200,-79,-85,-90,-85,-91,-84,-85,-200,-86,-200,-200,-200,-83,-200,-91,-90,-94,-200,-86,-94,-92,-200,-200,-97,-97,-200,-200,-87,-90,-200,-200,-96,-200,-94,-92,-96,-200,-92,-200,-200,-200,-200,-200,-200,-95,-200,-200,-89,-99
