,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00EB8,WHU-2018,WHU-2018,whjx-gaofeng-13,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526458335014,-39,-38,-32,-62,-62,-49,-65,-61,-52,-72,-54,-59,-68,-59,-66,-65,-58,-67,-68,-72,-64,-84,-72,-76,-67,-78,-70,-74,-68,-78,-200,-72,-200,-63,-77,-200,-69,-200,-73,-85,-71,-83,-66,-85,-79,-200,-91,-75,-81,-84,-86,-84,-200,-76,-92,-86,-93,-88,-89,-83,-78,-84,-200,-95,-76,-79,-87,-69,-84,-89,-95,-88,-93,-94,-92,-200,-95,-200,-97,-95,-200,-83,-200,-200,-200,-87,-98,-200,-97,-93,-200,-98,-200,-200,-95,-93,-200,-200,-200,-89,-200,-200,-200
1526458338062,-39,-38,-33,-61,-59,-48,-62,-63,-48,-72,-54,-58,-72,-57,-68,-64,-56,-71,-68,-73,-63,-84,-72,-77,-62,-78,-70,-74,-70,-74,-200,-72,-200,-74,-78,-79,-69,-200,-73,-85,-72,-83,-63,-85,-79,-200,-92,-76,-81,-83,-86,-83,-200,-77,-92,-85,-87,-88,-200,-83,-84,-85,-200,-95,-91,-79,-84,-83,-84,-90,-95,-200,-93,-200,-92,-200,-200,-200,-97,-95,-200,-83,-200,-200,-200,-200,-200,-200,-97,-94,-200,-98,-200,-200,-95,-93,-200,-200,-200,-89,-93,-200,-200
1526458341115,-40,-37,-34,-63,-62,-47,-67,-62,-50,-68,-54,-63,-64,-57,-66,-65,-59,-70,-68,-76,-68,-84,-74,-77,-67,-77,-70,-73,-70,-78,-200,-71,-200,-72,-78,-79,-66,-200,-77,-84,-72,-82,-67,-84,-79,-200,-92,-74,-81,-83,-85,-83,-200,-84,-94,-85,-87,-88,-88,-83,-84,-84,-200,-95,-78,-78,-88,-84,-84,-89,-94,-200,-92,-200,-93,-200,-200,-200,-97,-97,-200,-82,-200,-200,-200,-87,-200,-200,-97,-94,-200,-96,-94,-200,-200,-93,-200,-200,-200,-200,-93,-200,-200
1526458344165,-39,-36,-33,-59,-55,-46,-67,-61,-49,-67,-54,-65,-71,-57,-68,-64,-54,-69,-65,-76,-64,-200,-74,-77,-61,-76,-72,-72,-70,-79,-200,-71,-200,-75,-79,-79,-68,-200,-73,-86,-71,-84,-67,-86,-79,-90,-91,-75,-83,-83,-84,-83,-200,-76,-92,-85,-87,-89,-88,-84,-82,-82,-200,-200,-78,-78,-89,-82,-85,-82,-92,-87,-92,-91,-93,-200,-200,-78,-200,-97,-200,-84,-200,-200,-200,-87,-96,-200,-200,-94,-92,-97,-94,-200,-200,-200,-200,-200,-200,-200,-93,-92,-200
1526458347221,-37,-41,-33,-61,-60,-46,-59,-64,-51,-73,-54,-62,-70,-56,-70,-60,-60,-74,-68,-75,-63,-200,-74,-73,-61,-77,-70,-72,-70,-79,-200,-74,-200,-72,-79,-79,-71,-200,-80,-87,-72,-84,-67,-83,-79,-90,-92,-74,-83,-81,-84,-83,-200,-76,-92,-86,-200,-89,-88,-83,-82,-83,-200,-200,-78,-78,-83,-82,-85,-82,-92,-91,-93,-94,-94,-200,-200,-78,-200,-94,-200,-84,-200,-200,-200,-86,-96,-200,-200,-200,-92,-97,-94,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200
1526458350275,-39,-41,-31,-61,-58,-47,-62,-65,-51,-72,-54,-62,-70,-59,-71,-64,-58,-68,-68,-73,-62,-200,-73,-73,-45,-78,-71,-73,-71,-75,-200,-71,-200,-74,-79,-79,-76,-200,-73,-86,-71,-83,-67,-81,-79,-90,-95,-76,-80,-84,-84,-84,-200,-76,-92,-87,-90,-91,-200,-85,-83,-84,-200,-200,-76,-200,-85,-83,-84,-82,-92,-91,-93,-94,-92,-200,-200,-78,-200,-94,-200,-84,-200,-200,-200,-86,-96,-200,-200,-95,-92,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-97
1526458353325,-40,-38,-32,-60,-58,-49,-60,-64,-53,-71,-54,-59,-68,-58,-69,-66,-59,-71,-68,-63,-62,-200,-74,-73,-68,-79,-72,-73,-65,-79,-200,-75,-200,-71,-79,-200,-71,-200,-73,-87,-72,-83,-63,-85,-79,-200,-92,-76,-81,-81,-87,-83,-200,-79,-93,-86,-91,-91,-94,-86,-83,-83,-200,-200,-76,-200,-84,-83,-85,-200,-91,-90,-93,-94,-92,-200,-200,-200,-200,-94,-200,-84,-200,-200,-200,-86,-200,-200,-200,-95,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97
1526458356376,-39,-38,-33,-61,-57,-53,-63,-61,-53,-80,-54,-65,-67,-58,-68,-63,-48,-70,-67,-68,-71,-200,-72,-76,-48,-76,-72,-73,-70,-75,-200,-75,-200,-75,-79,-83,-68,-200,-72,-87,-71,-80,-67,-80,-79,-200,-92,-74,-81,-82,-84,-82,-200,-83,-92,-84,-91,-90,-95,-84,-83,-83,-200,-200,-76,-200,-84,-83,-83,-91,-91,-90,-92,-200,-93,-200,-95,-200,-200,-200,-200,-84,-200,-200,-200,-200,-98,-200,-200,-95,-200,-97,-93,-200,-200,-200,-200,-91,-200,-200,-200,-200,-97
1526458359426,-39,-38,-33,-55,-62,-53,-65,-61,-50,-68,-53,-57,-69,-58,-68,-62,-55,-73,-68,-75,-63,-200,-75,-76,-60,-75,-73,-70,-70,-79,-200,-76,-200,-73,-79,-86,-76,-200,-73,-85,-71,-81,-62,-80,-81,-200,-91,-74,-80,-82,-90,-82,-200,-77,-91,-86,-91,-89,-92,-83,-69,-85,-200,-200,-200,-200,-89,-83,-83,-91,-96,-90,-92,-93,-93,-200,-97,-200,-87,-95,-200,-85,-200,-200,-200,-200,-98,-200,-200,-95,-95,-97,-93,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526458362479,-40,-32,-33,-56,-59,-47,-62,-57,-56,-68,-52,-54,-65,-57,-68,-65,-54,-70,-68,-68,-66,-78,-75,-66,-69,-76,-71,-74,-68,-81,-89,-72,-200,-69,-78,-84,-71,-200,-76,-89,-71,-90,-65,-86,-78,-200,-91,-79,-81,-86,-90,-85,-200,-85,-94,-83,-89,-89,-90,-86,-69,-83,-200,-200,-200,-200,-86,-83,-86,-91,-96,-89,-92,-95,-95,-200,-96,-200,-93,-96,-96,-84,-200,-200,-200,-86,-98,-200,-200,-95,-95,-200,-93,-98,-200,-200,-200,-91,-200,-200,-200,-200,-98
1526458365508,-39,-39,-35,-55,-65,-50,-64,-62,-51,-73,-55,-65,-69,-57,-68,-74,-57,-68,-68,-83,-65,-78,-70,-77,-65,-77,-71,-74,-70,-80,-87,-72,-200,-73,-79,-84,-66,-200,-73,-84,-77,-82,-68,-80,-81,-94,-91,-77,-81,-84,-90,-85,-200,-85,-94,-86,-89,-89,-87,-86,-69,-85,-200,-200,-200,-200,-83,-83,-84,-89,-96,-92,-200,-92,-95,-200,-96,-200,-93,-96,-96,-85,-200,-200,-200,-86,-200,-200,-97,-93,-95,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-91,-98
1526458368557,-40,-38,-33,-60,-57,-46,-64,-62,-51,-66,-52,-58,-71,-55,-73,-72,-54,-73,-65,-79,-65,-78,-70,-76,-62,-78,-71,-74,-69,-77,-83,-75,-200,-68,-79,-68,-71,-200,-73,-84,-77,-82,-67,-84,-84,-94,-200,-77,-81,-85,-84,-83,-200,-84,-89,-86,-90,-89,-87,-86,-82,-85,-200,-200,-200,-200,-83,-79,-84,-89,-200,-92,-92,-92,-95,-200,-96,-200,-93,-96,-96,-85,-200,-200,-200,-87,-200,-200,-97,-93,-200,-96,-200,-98,-200,-200,-200,-200,-200,-200,-200,-91,-98
