,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526458836353,-39,-33,-67,-50,-51,-44,-60,-54,-49,-66,-58,-56,-73,-54,-64,-73,-67,-69,-64,-76,-61,-69,-68,-79,-79,-80,-66,-89,-75,-63,-63,-83,-73,-84,-74,-85,-55,-92,-91,-92,-80,-74,-87,-200,-59,-91,-88,-200,-96,-75,-75,-88,-81,-78,-200,-78,-94,-200,-92,-90,-200,-75,-92,-81,-88,-90,-86,-200,-82,-88,-84,-91,-98,-93,-92,-91,-200,-200,-91,-200,-62,-82,-92,-200,-200,-94,-200,-200,-82,-91,-200,-200,-92,-200,-200,-200,-89,-94,-96,-94,-97,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526458839075,-39,-32,-63,-49,-52,-41,-58,-54,-50,-71,-53,-56,-83,-55,-64,-77,-65,-70,-64,-76,-53,-68,-63,-79,-79,-82,-66,-88,-77,-63,-62,-83,-76,-86,-76,-86,-54,-92,-92,-90,-80,-74,-200,-200,-81,-89,-87,-200,-96,-66,-77,-90,-80,-80,-90,-77,-92,-200,-85,-90,-89,-82,-90,-80,-87,-90,-88,-200,-83,-88,-83,-91,-95,-93,-91,-92,-200,-95,-94,-200,-62,-82,-92,-200,-200,-94,-200,-200,-92,-90,-200,-200,-200,-200,-200,-200,-89,-200,-200,-97,-101,-93,-81,-200,-200,-200,-200,-200,-200,-200
1526458839404,-39,-32,-63,-49,-52,-41,-58,-54,-50,-71,-53,-56,-83,-55,-64,-77,-65,-70,-64,-76,-53,-68,-63,-79,-79,-82,-66,-88,-77,-63,-62,-83,-76,-86,-76,-86,-54,-92,-92,-90,-80,-74,-200,-200,-81,-89,-87,-200,-96,-66,-77,-90,-80,-80,-90,-77,-92,-200,-85,-90,-89,-82,-90,-80,-87,-90,-88,-200,-83,-88,-83,-91,-95,-93,-91,-92,-200,-95,-94,-200,-62,-82,-92,-200,-200,-94,-200,-200,-92,-90,-200,-200,-200,-200,-200,-200,-89,-200,-200,-97,-101,-93,-81,-200,-200,-200,-200,-200,-200,-200
1526458842141,-39,-34,-65,-47,-52,-43,-63,-53,-48,-72,-57,-56,-83,-59,-64,-72,-66,-72,-61,-76,-65,-68,-65,-79,-79,-83,-67,-87,-79,-62,-61,-82,-77,-84,-65,-85,-52,-94,-92,-92,-79,-75,-200,-200,-73,-90,-87,-97,-97,-75,-79,-90,-80,-78,-90,-77,-91,-200,-85,-90,-89,-78,-93,-82,-87,-91,-90,-200,-85,-87,-84,-91,-94,-94,-91,-95,-200,-95,-93,-200,-63,-82,-91,-98,-200,-94,-65,-200,-92,-93,-200,-200,-200,-95,-200,-200,-91,-200,-200,-97,-97,-95,-82,-75,-200,-200,-200,-200,-200,-200
1526458842453,-39,-34,-65,-47,-52,-43,-63,-53,-48,-72,-57,-56,-83,-59,-64,-72,-66,-72,-61,-76,-65,-68,-65,-79,-79,-83,-67,-87,-79,-62,-61,-82,-77,-84,-65,-85,-52,-94,-92,-92,-79,-75,-200,-200,-73,-90,-87,-97,-97,-75,-79,-90,-80,-78,-90,-77,-91,-200,-85,-90,-89,-78,-93,-82,-87,-91,-90,-200,-85,-87,-84,-91,-94,-94,-91,-95,-200,-95,-93,-200,-63,-82,-91,-98,-200,-94,-65,-200,-92,-93,-200,-200,-200,-95,-200,-200,-91,-200,-200,-97,-97,-95,-82,-75,-200,-200,-200,-200,-200,-200
1526458845198,-39,-34,-66,-49,-51,-43,-61,-53,-48,-71,-51,-56,-83,-54,-64,-77,-64,-70,-64,-78,-67,-69,-64,-78,-80,-83,-73,-87,-78,-63,-64,-83,-76,-81,-75,-84,-54,-93,-92,-90,-79,-75,-83,-200,-71,-89,-86,-97,-97,-74,-79,-90,-81,-77,-200,-77,-91,-96,-86,-90,-92,-82,-91,-80,-88,-95,-91,-200,-85,-87,-83,-92,-94,-96,-90,-89,-200,-97,-89,-200,-60,-82,-88,-97,-200,-95,-65,-200,-92,-91,-200,-90,-200,-95,-200,-200,-91,-94,-200,-200,-93,-92,-82,-75,-95,-200,-200,-200,-200,-200
1526458845485,-39,-34,-66,-49,-51,-43,-61,-53,-48,-71,-51,-56,-83,-54,-64,-77,-64,-70,-64,-78,-67,-69,-64,-78,-80,-83,-73,-87,-78,-63,-64,-83,-76,-81,-75,-84,-54,-93,-92,-90,-79,-75,-83,-200,-71,-89,-86,-97,-97,-74,-79,-90,-81,-77,-200,-77,-91,-96,-86,-90,-92,-82,-91,-80,-88,-95,-91,-200,-85,-87,-83,-92,-94,-96,-90,-89,-200,-97,-89,-200,-60,-82,-88,-97,-200,-95,-65,-200,-92,-91,-200,-90,-200,-95,-200,-200,-91,-94,-200,-200,-93,-92,-82,-75,-95,-200,-200,-200,-200,-200
1526458848253,-38,-35,-62,-51,-51,-44,-59,-55,-46,-71,-56,-55,-83,-55,-58,-76,-64,-69,-63,-78,-63,-69,-65,-78,-81,-82,-66,-86,-77,-64,-63,-83,-74,-84,-77,-85,-55,-93,-200,-90,-80,-75,-84,-200,-75,-89,-87,-200,-97,-75,-80,-90,-82,-77,-200,-78,-91,-96,-86,-90,-92,-80,-92,-83,-86,-94,-86,-200,-82,-88,-81,-91,-100,-94,-92,-89,-200,-96,-90,-200,-60,-82,-94,-97,-200,-95,-65,-200,-94,-93,-200,-90,-200,-95,-200,-200,-89,-97,-200,-200,-93,-96,-87,-200,-95,-95,-200,-200,-200,-200
1526458848539,-38,-35,-62,-51,-51,-44,-59,-55,-46,-71,-56,-55,-83,-55,-58,-76,-64,-69,-63,-78,-63,-69,-65,-78,-81,-82,-66,-86,-77,-64,-63,-83,-74,-84,-77,-85,-55,-93,-200,-90,-80,-75,-84,-200,-75,-89,-87,-200,-97,-75,-80,-90,-82,-77,-200,-78,-91,-96,-86,-90,-92,-80,-92,-83,-86,-94,-86,-200,-82,-88,-81,-91,-100,-94,-92,-89,-200,-96,-90,-200,-60,-82,-94,-97,-200,-95,-65,-200,-94,-93,-200,-90,-200,-95,-200,-200,-89,-97,-200,-200,-93,-96,-87,-200,-95,-95,-200,-200,-200,-200
1526458851309,-40,-34,-66,-49,-52,-42,-61,-55,-44,-73,-53,-56,-200,-55,-65,-77,-59,-70,-65,-200,-62,-69,-65,-78,-79,-84,-68,-86,-79,-64,-62,-83,-77,-86,-77,-85,-53,-91,-92,-89,-79,-74,-87,-200,-75,-88,-87,-200,-96,-74,-79,-87,-80,-81,-200,-77,-62,-95,-86,-90,-96,-80,-92,-83,-88,-92,-84,-200,-82,-88,-84,-91,-100,-94,-89,-89,-200,-96,-91,-200,-66,-200,-94,-93,-200,-95,-74,-200,-94,-92,-200,-90,-200,-200,-200,-200,-90,-97,-200,-200,-94,-94,-87,-200,-95,-95,-94,-97,-200,-200
1526458851596,-40,-34,-66,-49,-52,-42,-61,-55,-44,-73,-53,-56,-200,-55,-65,-77,-59,-70,-65,-200,-62,-69,-65,-78,-79,-84,-68,-86,-79,-64,-62,-83,-77,-86,-77,-85,-53,-91,-92,-89,-79,-74,-87,-200,-75,-88,-87,-200,-96,-74,-79,-87,-80,-81,-200,-77,-62,-95,-86,-90,-96,-80,-92,-83,-88,-92,-84,-200,-82,-88,-84,-91,-100,-94,-89,-89,-200,-96,-91,-200,-66,-200,-94,-93,-200,-95,-74,-200,-94,-92,-200,-90,-200,-200,-200,-200,-90,-97,-200,-200,-94,-94,-87,-200,-95,-95,-94,-97,-200,-200
1526458854358,-40,-34,-65,-50,-52,-44,-63,-53,-49,-73,-56,-57,-200,-55,-65,-78,-65,-69,-63,-200,-64,-70,-66,-79,-80,-82,-73,-90,-78,-61,-61,-81,-80,-82,-77,-84,-53,-90,-90,-93,-80,-76,-84,-200,-79,-79,-85,-200,-97,-77,-79,-90,-81,-77,-200,-75,-90,-95,-87,-90,-91,-80,-92,-82,-85,-92,-88,-200,-200,-85,-85,-92,-95,-93,-89,-89,-200,-97,-91,-200,-65,-80,-94,-95,-200,-200,-74,-200,-91,-91,-200,-200,-95,-200,-200,-200,-90,-200,-200,-95,-94,-94,-87,-81,-200,-95,-94,-97,-200,-200
1526458854666,-40,-34,-65,-50,-52,-44,-63,-53,-49,-73,-56,-57,-200,-55,-65,-78,-65,-69,-63,-200,-64,-70,-66,-79,-80,-82,-73,-90,-78,-61,-61,-81,-80,-82,-77,-84,-53,-90,-90,-93,-80,-76,-84,-200,-79,-79,-85,-200,-97,-77,-79,-90,-81,-77,-200,-75,-90,-95,-87,-90,-91,-80,-92,-82,-85,-92,-88,-200,-200,-85,-85,-92,-95,-93,-89,-89,-200,-97,-91,-200,-65,-80,-94,-95,-200,-200,-74,-200,-91,-91,-200,-200,-95,-200,-200,-200,-90,-200,-200,-95,-94,-94,-87,-81,-200,-95,-94,-97,-200,-200
1526458857412,-37,-34,-63,-49,-57,-41,-69,-61,-44,-74,-52,-56,-73,-58,-64,-77,-65,-69,-60,-80,-69,-67,-64,-79,-80,-83,-73,-85,-78,-60,-62,-82,-77,-84,-77,-84,-53,-92,-93,-90,-80,-75,-85,-200,-81,-89,-86,-200,-97,-73,-78,-86,-82,-77,-200,-78,-90,-200,-85,-90,-93,-80,-91,-82,-89,-92,-91,-200,-200,-85,-84,-91,-93,-93,-87,-92,-200,-97,-90,-200,-61,-80,-200,-95,-200,-200,-67,-200,-93,-94,-200,-200,-95,-200,-200,-200,-88,-200,-200,-95,-94,-94,-84,-81,-200,-97,-200,-97,-200,-200
1526458857737,-37,-34,-63,-49,-57,-41,-69,-61,-44,-74,-52,-56,-73,-58,-64,-77,-65,-69,-60,-80,-69,-67,-64,-79,-80,-83,-73,-85,-78,-60,-62,-82,-77,-84,-77,-84,-53,-92,-93,-90,-80,-75,-85,-200,-81,-89,-86,-200,-97,-73,-78,-86,-82,-77,-200,-78,-90,-200,-85,-90,-93,-80,-91,-82,-89,-92,-91,-200,-200,-85,-84,-91,-93,-93,-87,-92,-200,-97,-90,-200,-61,-80,-200,-95,-200,-200,-67,-200,-93,-94,-200,-200,-95,-200,-200,-200,-88,-200,-200,-95,-94,-94,-84,-81,-200,-97,-200,-97,-200,-200
1526458860463,-41,-34,-68,-49,-50,-42,-62,-54,-45,-69,-56,-56,-77,-53,-65,-77,-64,-70,-69,-80,-64,-69,-61,-81,-79,-83,-67,-84,-77,-62,-63,-81,-80,-85,-77,-85,-54,-92,-90,-93,-83,-76,-84,-200,-72,-90,-86,-200,-97,-76,-76,-87,-81,-77,-87,-77,-92,-200,-85,-90,-89,-75,-91,-82,-86,-90,-87,-200,-200,-87,-84,-90,-96,-93,-84,-92,-200,-97,-92,-200,-62,-80,-200,-92,-200,-97,-67,-200,-92,-92,-200,-200,-95,-200,-200,-200,-88,-200,-200,-200,-93,-95,-84,-88,-200,-97,-95,-200,-200,-200
1526458860791,-41,-34,-68,-49,-50,-42,-62,-54,-45,-69,-56,-56,-77,-53,-65,-77,-64,-70,-69,-80,-64,-69,-61,-81,-79,-83,-67,-84,-77,-62,-63,-81,-80,-85,-77,-85,-54,-92,-90,-93,-83,-76,-84,-200,-72,-90,-86,-200,-97,-76,-76,-87,-81,-77,-87,-77,-92,-200,-85,-90,-89,-75,-91,-82,-86,-90,-87,-200,-200,-87,-84,-90,-96,-93,-84,-92,-200,-97,-92,-200,-62,-80,-200,-92,-200,-97,-67,-200,-92,-92,-200,-200,-95,-200,-200,-200,-88,-200,-200,-200,-93,-95,-84,-88,-200,-97,-95,-200,-200,-200
1526458863520,-36,-34,-64,-51,-51,-40,-67,-53,-43,-72,-56,-55,-83,-58,-60,-76,-65,-65,-62,-200,-60,-69,-63,-80,-80,-83,-66,-84,-78,-63,-63,-82,-82,-86,-76,-84,-53,-93,-91,-91,-83,-76,-83,-200,-76,-91,-86,-200,-200,-76,-78,-89,-82,-82,-91,-78,-90,-200,-85,-200,-91,-79,-93,-82,-85,-90,-88,-200,-84,-89,-84,-90,-96,-94,-85,-91,-200,-97,-92,-200,-65,-200,-200,-92,-200,-97,-200,-200,-93,-93,-200,-90,-200,-200,-200,-200,-88,-200,-200,-200,-94,-97,-84,-88,-200,-98,-95,-200,-200,-200
