,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526451486771,-63,-57,-37,-82,-52,-49,-49,-78,-66,-49,-61,-62,-73,-65,-68,-72,-71,-56,-70,-73,-76,-72,-73,-200,-83,-87,-77,-79,-74,-67,-61,-200,-85,-77,-81,-200,-83,-89,-200,-200,-84,-200,-88,-84,-200,-88,-90,-90,-89,-91,-200,-200,-92,-200,-72,-81,-84,-200,-93,-79,-83,-200,-200,-86,-90,-200,-200,-200,-200,-200
1526451489783,-62,-59,-36,-82,-52,-52,-49,-81,-66,-48,-61,-69,-72,-58,-69,-71,-72,-57,-75,-73,-74,-72,-79,-200,-83,-86,-77,-79,-76,-72,-62,-200,-84,-77,-80,-90,-83,-86,-85,-200,-84,-200,-88,-84,-200,-88,-89,-90,-88,-91,-91,-200,-92,-200,-72,-81,-84,-200,-93,-79,-81,-200,-200,-85,-90,-90,-200,-200,-200,-200
1526451492808,-59,-55,-36,-83,-53,-46,-54,-81,-66,-48,-60,-65,-74,-56,-68,-48,-70,-56,-67,-73,-74,-72,-79,-200,-83,-86,-200,-79,-75,-74,-60,-200,-84,-79,-79,-90,-80,-86,-85,-200,-84,-200,-88,-85,-200,-84,-89,-89,-86,-91,-91,-200,-200,-200,-72,-81,-85,-200,-93,-79,-81,-200,-200,-85,-90,-90,-200,-200,-200,-200
1526451495841,-57,-55,-34,-83,-54,-47,-48,-81,-65,-48,-57,-65,-72,-63,-71,-75,-78,-56,-67,-73,-74,-72,-79,-200,-85,-86,-78,-77,-74,-72,-58,-200,-82,-77,-78,-90,-80,-83,-85,-200,-87,-200,-88,-85,-200,-84,-89,-89,-86,-90,-91,-200,-200,-200,-72,-200,-84,-200,-93,-80,-81,-200,-200,-83,-88,-90,-84,-200,-200,-200
1526451498872,-62,-57,-35,-83,-54,-46,-49,-70,-63,-49,-57,-66,-72,-61,-73,-68,-73,-58,-68,-79,-80,-70,-68,-85,-82,-83,-78,-82,-83,-72,-63,-200,-82,-75,-79,-90,-80,-83,-85,-200,-87,-200,-200,-89,-200,-84,-88,-89,-86,-90,-91,-200,-200,-200,-200,-200,-84,-200,-200,-87,-81,-200,-200,-84,-88,-90,-84,-200,-200,-200
1526451501881,-62,-59,-36,-81,-62,-46,-52,-68,-65,-50,-61,-56,-72,-66,-73,-74,-73,-54,-73,-76,-79,-79,-68,-85,-82,-79,-78,-76,-74,-69,-62,-200,-82,-77,-85,-200,-80,-83,-85,-89,-87,-200,-90,-86,-200,-84,-91,-89,-86,-90,-91,-200,-200,-200,-71,-200,-83,-200,-200,-80,-200,-200,-200,-84,-88,-200,-84,-90,-95,-200
1526451504915,-60,-54,-35,-83,-62,-49,-56,-68,-68,-50,-59,-57,-72,-66,-76,-72,-73,-58,-69,-76,-79,-72,-68,-80,-83,-79,-78,-79,-74,-70,-60,-200,-82,-77,-78,-200,-83,-83,-85,-89,-87,-200,-90,-84,-200,-84,-86,-89,-87,-90,-91,-200,-200,-200,-71,-200,-83,-200,-200,-80,-80,-200,-200,-84,-89,-200,-85,-90,-95,-200
1526451507951,-60,-53,-37,-83,-52,-50,-55,-77,-68,-49,-65,-60,-75,-67,-72,-72,-69,-56,-73,-71,-74,-73,-71,-80,-83,-79,-200,-79,-74,-70,-60,-200,-200,-79,-79,-200,-83,-200,-200,-89,-200,-82,-93,-84,-200,-200,-85,-89,-87,-200,-200,-200,-200,-91,-69,-200,-85,-90,-92,-80,-80,-200,-200,-200,-89,-200,-85,-90,-95,-200
1526451510985,-63,-48,-35,-81,-55,-51,-48,-76,-70,-47,-65,-60,-79,-63,-68,-72,-77,-56,-69,-71,-78,-73,-68,-80,-84,-79,-200,-82,-74,-72,-61,-200,-79,-81,-79,-200,-83,-84,-200,-200,-82,-82,-93,-84,-200,-85,-85,-89,-87,-200,-200,-200,-200,-91,-69,-83,-85,-90,-92,-77,-81,-200,-200,-78,-89,-200,-85,-90,-95,-200
1526451514014,-61,-52,-35,-82,-54,-49,-55,-76,-69,-51,-59,-60,-78,-65,-74,-74,-68,-57,-68,-71,-77,-73,-68,-80,-84,-200,-76,-82,-200,-70,-62,-200,-79,-81,-74,-200,-79,-84,-200,-200,-82,-82,-92,-85,-200,-85,-85,-89,-87,-200,-200,-200,-91,-91,-69,-83,-85,-90,-92,-79,-77,-200,-200,-78,-89,-200,-85,-200,-200,-78
1526451517041,-65,-52,-35,-82,-53,-51,-52,-76,-68,-59,-65,-57,-78,-59,-68,-72,-75,-57,-68,-71,-78,-71,-68,-83,-83,-90,-76,-82,-200,-70,-60,-200,-77,-79,-78,-200,-79,-84,-200,-84,-83,-82,-92,-84,-200,-85,-84,-89,-200,-200,-200,-200,-91,-91,-69,-76,-85,-90,-92,-80,-77,-200,-200,-83,-89,-200,-200,-200,-200,-78
1526451520070,-61,-53,-35,-82,-54,-49,-55,-76,-67,-50,-65,-59,-76,-62,-74,-77,-78,-58,-68,-200,-74,-74,-70,-83,-83,-90,-76,-77,-77,-70,-59,-90,-79,-79,-79,-200,-80,-84,-200,-85,-83,-200,-92,-86,-200,-87,-84,-88,-200,-200,-200,-200,-91,-200,-200,-76,-85,-200,-200,-79,-77,-200,-200,-84,-89,-200,-85,-200,-200,-78
