,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,whu2011314,whu2011309,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526449672088,-39,-39,-48,-54,-56,-57,-63,-68,-53,-49,-62,-53,-61,-70,-55,-72,-75,-66,-73,-81,-67,-69,-71,-70,-68,-77,-70,-72,-84,-93,-81,-65,-77,-77,-77,-72,-82,-73,-84,-81,-80,-77,-87,-200,-85,-89,-87,-89,-85,-86,-90,-200,-92,-200,-91,-92,-92,-96,-84,-90,-200,-200,-200,-58,-76,-89,-84,-86,-200,-92,-94,-200,-86,-87,-88,-200,-91,-200,-95,-91,-200,-82,-85,-96,-88,-200,-200,-87,-85,-200,-200,-200,-200
1526449675126,-38,-38,-48,-53,-56,-55,-64,-64,-57,-50,-59,-58,-58,-71,-59,-70,-71,-71,-73,-200,-70,-66,-73,-73,-68,-69,-70,-71,-85,-92,-79,-67,-77,-77,-77,-70,-78,-73,-80,-78,-83,-82,-200,-200,-86,-89,-88,-89,-200,-86,-90,-92,-92,-200,-89,-92,-94,-96,-91,-90,-200,-200,-200,-66,-77,-81,-84,-85,-88,-92,-90,-82,-84,-85,-88,-200,-84,-200,-200,-91,-94,-82,-200,-96,-200,-200,-200,-87,-85,-200,-200,-200,-200
1526449678175,-37,-43,-46,-53,-55,-53,-67,-64,-56,-51,-55,-59,-59,-72,-59,-74,-71,-68,-73,-200,-70,-64,-64,-71,-67,-70,-75,-71,-88,-92,-79,-66,-78,-200,-77,-70,-79,-200,-78,-78,-83,-82,-200,-200,-86,-88,-89,-89,-86,-90,-90,-92,-92,-200,-88,-94,-94,-93,-91,-87,-97,-200,-200,-66,-78,-85,-86,-85,-88,-92,-90,-93,-84,-84,-88,-200,-88,-200,-200,-90,-94,-82,-200,-96,-200,-200,-96,-87,-200,-200,-200,-200,-200
1526449681226,-39,-39,-48,-55,-55,-55,-66,-63,-52,-50,-59,-59,-58,-74,-58,-73,-69,-70,-76,-200,-68,-68,-74,-72,-63,-71,-73,-71,-84,-88,-77,-67,-76,-73,-77,-66,-78,-80,-78,-85,-83,-80,-86,-200,-86,-88,-90,-89,-86,-89,-200,-92,-200,-200,-88,-92,-94,-92,-83,-87,-97,-200,-200,-63,-80,-81,-86,-85,-88,-200,-92,-93,-84,-84,-200,-88,-90,-93,-200,-90,-94,-79,-200,-200,-200,-200,-96,-85,-200,-200,-200,-200,-200
1526449684274,-38,-38,-47,-54,-56,-54,-63,-65,-54,-49,-58,-59,-59,-73,-55,-73,-74,-70,-75,-200,-66,-68,-74,-70,-67,-69,-73,-66,-83,-84,-77,-66,-78,-73,-75,-66,-77,-80,-83,-76,-84,-80,-86,-200,-83,-87,-90,-200,-86,-86,-200,-200,-93,-200,-88,-96,-94,-92,-81,-87,-97,-200,-200,-58,-79,-81,-86,-85,-84,-90,-92,-93,-89,-84,-200,-88,-90,-93,-200,-90,-200,-79,-200,-200,-200,-200,-96,-85,-200,-200,-200,-200,-200
1526449687324,-37,-34,-49,-63,-59,-56,-65,-57,-56,-53,-59,-60,-55,-73,-56,-79,-74,-68,-77,-200,-78,-68,-74,-70,-63,-71,-76,-70,-82,-89,-77,-68,-79,-76,-75,-66,-82,-75,-78,-78,-84,-90,-86,-200,-83,-90,-89,-95,-200,-86,-200,-200,-93,-200,-200,-96,-94,-92,-81,-200,-200,-200,-200,-67,-77,-83,-85,-85,-89,-90,-92,-200,-87,-200,-88,-88,-84,-93,-200,-200,-200,-79,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526449690373,-47,-32,-49,-67,-61,-57,-67,-61,-54,-52,-59,-57,-57,-72,-60,-74,-74,-66,-76,-200,-75,-66,-82,-77,-64,-74,-76,-73,-84,-85,-79,-66,-76,-78,-75,-65,-77,-74,-80,-78,-87,-90,-86,-200,-83,-92,-91,-90,-200,-86,-200,-91,-93,-200,-90,-96,-94,-92,-81,-92,-93,-94,-200,-69,-77,-83,-90,-85,-89,-93,-91,-200,-87,-76,-88,-200,-84,-200,-200,-200,-200,-86,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200
1526449693423,-51,-32,-47,-64,-64,-60,-67,-66,-55,-51,-56,-61,-57,-72,-61,-74,-75,-68,-76,-200,-73,-65,-77,-76,-63,-74,-78,-72,-90,-85,-80,-71,-78,-76,-82,-65,-76,-76,-78,-84,-82,-90,-86,-200,-200,-92,-94,-91,-200,-89,-200,-91,-200,-200,-91,-94,-200,-92,-200,-90,-92,-95,-200,-69,-82,-86,-90,-83,-86,-93,-91,-96,-87,-85,-88,-200,-84,-200,-97,-200,-95,-86,-200,-200,-94,-93,-200,-200,-200,-200,-200,-200,-200
1526449696474,-44,-31,-49,-61,-63,-59,-65,-63,-55,-50,-61,-61,-56,-77,-63,-75,-80,-68,-75,-200,-76,-65,-77,-77,-67,-76,-65,-72,-84,-85,-80,-65,-78,-76,-77,-66,-78,-73,-78,-85,-82,-89,-86,-200,-200,-90,-91,-94,-200,-85,-200,-91,-200,-200,-91,-94,-200,-97,-82,-89,-92,-95,-200,-69,-80,-86,-90,-83,-86,-93,-91,-78,-200,-85,-88,-200,-92,-200,-97,-200,-95,-83,-200,-200,-94,-93,-200,-200,-200,-200,-200,-200,-200
1526449699524,-46,-31,-48,-61,-65,-59,-69,-65,-56,-53,-61,-62,-58,-75,-62,-75,-77,-68,-74,-200,-75,-68,-76,-76,-63,-76,-65,-72,-88,-91,-78,-70,-79,-80,-77,-66,-79,-73,-80,-84,-88,-89,-86,-200,-200,-90,-94,-94,-200,-85,-200,-200,-95,-200,-90,-94,-200,-97,-82,-90,-92,-95,-200,-69,-84,-86,-200,-86,-90,-92,-94,-96,-89,-85,-87,-200,-89,-94,-97,-200,-95,-81,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526449702572,-46,-32,-48,-63,-63,-60,-64,-72,-55,-51,-56,-58,-57,-73,-56,-76,-77,-67,-74,-200,-77,-65,-80,-77,-69,-76,-65,-73,-85,-91,-82,-71,-80,-77,-79,-63,-78,-75,-81,-81,-84,-89,-86,-200,-200,-90,-94,-94,-200,-87,-200,-200,-95,-200,-90,-94,-200,-97,-82,-77,-94,-95,-200,-70,-85,-200,-200,-85,-88,-92,-92,-96,-87,-200,-85,-200,-84,-94,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-83,-96,-96,-200
1526449705625,-48,-35,-48,-63,-61,-63,-70,-64,-55,-51,-58,-56,-60,-73,-60,-73,-77,-68,-72,-200,-74,-68,-76,-79,-67,-74,-73,-74,-86,-91,-79,-68,-79,-77,-79,-61,-78,-72,-80,-81,-85,-90,-87,-200,-200,-91,-92,-94,-86,-88,-95,-92,-95,-200,-90,-94,-200,-94,-79,-90,-94,-200,-200,-74,-79,-87,-89,-85,-89,-90,-78,-98,-87,-200,-85,-200,-89,-94,-200,-92,-200,-81,-200,-200,-86,-200,-200,-200,-200,-83,-96,-96,-97
