,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0121.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011e.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011f.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
1526456317423,-200,-72,-200,-200,-66,-200,-200,-200,-200,-200,-77,-200,-67,-200,-86,-200,-200,-86,-73,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456317532,-74,-72,-86,-200,-66,-200,-200,-200,-76,-200,-200,-200,-68,-200,-200,-90,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456322028,-76,-79,-200,-200,-200,-79,-200,-90,-200,-200,-81,-200,-81,-96,-80,-200,-200,-200,-79,-91,-84,-90,-200,-200,-100,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526456322138,-75,-79,-200,-200,-200,-78,-200,-90,-200,-200,-81,-200,-86,-200,-80,-200,-200,-200,-200,-90,-200,-200,-91,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456322243,-75,-200,-89,-200,-200,-78,-92,-91,-84,-200,-82,-200,-200,-200,-80,-200,-200,-200,-80,-200,-200,-200,-91,-94,-97,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526456322360,-75,-200,-200,-96,-200,-79,-200,-91,-200,-200,-81,-200,-82,-200,-81,-200,-200,-200,-200,-90,-85,-90,-91,-95,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456322474,-76,-200,-200,-200,-72,-79,-200,-91,-83,-200,-82,-200,-81,-96,-82,-200,-200,-200,-200,-92,-200,-200,-200,-96,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526456322592,-75,-200,-89,-200,-72,-78,-93,-200,-84,-200,-200,-200,-81,-98,-82,-200,-200,-200,-79,-91,-86,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456322688,-76,-200,-89,-200,-71,-79,-200,-200,-85,-200,-200,-200,-79,-200,-81,-200,-200,-200,-200,-92,-86,-200,-200,-95,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526456322793,-85,-70,-87,-200,-200,-78,-200,-89,-79,-91,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456327132,-200,-71,-200,-200,-200,-75,-200,-93,-79,-200,-77,-200,-200,-200,-200,-200,-200,-200,-75,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456327247,-85,-71,-200,-200,-67,-75,-200,-89,-78,-200,-200,-200,-200,-91,-200,-87,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456327354,-200,-70,-200,-88,-65,-75,-90,-90,-80,-92,-74,-200,-68,-93,-78,-200,-200,-200,-75,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456327444,-83,-70,-200,-88,-200,-74,-200,-88,-200,-200,-200,-200,-68,-200,-77,-87,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456327548,-200,-70,-86,-88,-67,-74,-89,-200,-80,-90,-77,-200,-68,-92,-77,-86,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456327650,-86,-70,-200,-87,-67,-200,-88,-200,-79,-90,-200,-200,-68,-200,-200,-200,-200,-90,-200,-200,-89,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456332048,-75,-72,-85,-200,-200,-72,-200,-80,-76,-92,-200,-200,-67,-94,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456332125,-200,-72,-85,-200,-200,-72,-90,-200,-200,-90,-77,-96,-65,-200,-200,-200,-91,-86,-73,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200
1526456332379,-73,-72,-200,-200,-67,-72,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456332512,-74,-70,-200,-200,-67,-200,-200,-200,-76,-200,-77,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456332621,-74,-200,-200,-200,-67,-200,-200,-200,-200,-91,-82,-200,-200,-200,-200,-93,-200,-200,-74,-87,-200,-91,-92,-200,-200,-200,-200,-99,-200,-200,-200,-200,-200,-200
1526456337060,-75,-80,-89,-97,-200,-78,-93,-200,-200,-200,-82,-200,-200,-95,-81,-200,-95,-95,-200,-92,-85,-200,-200,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456337134,-75,-200,-89,-96,-70,-79,-91,-200,-83,-200,-82,-200,-84,-200,-82,-200,-94,-200,-79,-91,-200,-200,-200,-93,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456337245,-75,-79,-89,-200,-71,-200,-92,-200,-83,-200,-200,-200,-85,-200,-82,-93,-95,-93,-79,-92,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456337353,-75,-81,-200,-101,-200,-200,-200,-200,-84,-200,-200,-200,-84,-200,-200,-90,-200,-92,-200,-90,-85,-200,-200,-96,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526456337487,-75,-80,-89,-200,-71,-200,-92,-200,-84,-200,-82,-200,-83,-200,-82,-94,-200,-200,-200,-91,-200,-90,-200,-95,-200,-200,-200,-200,-101,-200,-200,-200,-200,-200
1526456337590,-75,-80,-200,-200,-200,-200,-200,-91,-84,-200,-81,-200,-83,-200,-200,-200,-95,-200,-200,-91,-200,-200,-200,-95,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526456337705,-76,-81,-200,-200,-200,-200,-93,-200,-85,-200,-83,-200,-200,-200,-83,-95,-94,-200,-200,-91,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456337838,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-97,-95,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456342044,-83,-71,-88,-200,-68,-200,-89,-200,-200,-200,-77,-95,-68,-200,-78,-200,-82,-200,-75,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456342110,-83,-71,-87,-200,-200,-200,-89,-93,-79,-200,-200,-200,-68,-200,-78,-200,-83,-200,-74,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456342221,-83,-70,-200,-200,-67,-75,-200,-90,-200,-200,-76,-200,-68,-200,-200,-200,-84,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456342329,-200,-200,-200,-200,-200,-75,-90,-200,-79,-200,-200,-200,-68,-200,-77,-200,-200,-200,-74,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456342434,-81,-71,-86,-88,-68,-74,-89,-89,-78,-200,-200,-93,-68,-92,-77,-200,-83,-91,-200,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456342626,-83,-71,-200,-89,-200,-74,-88,-90,-78,-200,-77,-200,-68,-200,-200,-86,-82,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456347044,-74,-73,-200,-200,-67,-73,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456347131,-74,-73,-87,-200,-67,-73,-200,-80,-75,-91,-77,-200,-67,-200,-88,-200,-200,-87,-200,-88,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456347240,-74,-73,-86,-88,-200,-73,-200,-200,-75,-200,-77,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456347343,-74,-74,-200,-200,-200,-200,-90,-80,-200,-200,-77,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-92,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526456347452,-74,-72,-200,-200,-67,-72,-90,-200,-200,-200,-77,-200,-200,-200,-200,-90,-200,-200,-72,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200
1526456347567,-74,-73,-200,-86,-67,-72,-200,-200,-75,-200,-77,-200,-200,-200,-200,-90,-200,-200,-73,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-97,-200,-200,-200
1526456347686,-75,-200,-200,-200,-200,-79,-93,-91,-84,-200,-77,-200,-200,-200,-82,-200,-200,-200,-80,-91,-200,-200,-200,-94,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526456352098,-200,-200,-200,-200,-72,-79,-200,-90,-84,-200,-200,-200,-84,-96,-200,-200,-94,-200,-200,-200,-84,-91,-200,-200,-200,-97,-200,-99,-200,-200,-200,-200,-200,-200
1526456352221,-200,-80,-90,-200,-71,-79,-200,-200,-85,-200,-200,-200,-81,-200,-82,-200,-200,-200,-78,-200,-85,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456352361,-75,-81,-90,-98,-71,-79,-200,-200,-85,-200,-82,-200,-200,-200,-200,-93,-200,-200,-79,-200,-85,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456352470,-200,-200,-89,-200,-71,-200,-95,-200,-85,-200,-81,-200,-83,-200,-82,-93,-200,-200,-200,-200,-86,-200,-200,-93,-98,-200,-200,-101,-200,-200,-200,-200,-200,-200
1526456352581,-200,-80,-200,-200,-71,-79,-200,-91,-85,-200,-82,-200,-82,-200,-82,-200,-200,-95,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456352691,-76,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-73,-200,-81,-87,-200,-200,-73,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456357078,-76,-68,-200,-85,-65,-76,-200,-94,-75,-200,-75,-200,-72,-200,-200,-93,-83,-200,-73,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456357179,-76,-70,-200,-85,-200,-76,-97,-94,-200,-200,-75,-200,-67,-200,-200,-90,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456357291,-200,-200,-88,-200,-65,-75,-200,-200,-200,-200,-75,-200,-67,-200,-80,-200,-84,-91,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456357395,-200,-200,-200,-200,-70,-200,-200,-200,-200,-92,-75,-200,-70,-200,-200,-200,-82,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456357503,-200,-200,-200,-86,-200,-77,-200,-200,-77,-200,-76,-200,-200,-200,-77,-86,-200,-200,-72,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456357619,-73,-200,-200,-85,-68,-200,-200,-200,-79,-200,-74,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-93,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456362041,-71,-200,-200,-200,-66,-200,-200,-80,-200,-200,-200,-200,-68,-200,-85,-200,-89,-85,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456362150,-71,-200,-84,-200,-67,-74,-92,-200,-75,-200,-76,-200,-68,-200,-200,-200,-88,-87,-200,-88,-200,-200,-89,-85,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200
1526456362319,-69,-200,-84,-200,-200,-200,-92,-200,-200,-200,-77,-200,-200,-200,-85,-200,-86,-87,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-99,-97,-200
1526456362434,-70,-200,-200,-83,-200,-200,-200,-200,-77,-200,-200,-200,-68,-200,-200,-200,-200,-87,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456362590,-200,-200,-200,-200,-200,-200,-200,-80,-81,-89,-76,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456367007,-76,-200,-200,-95,-200,-200,-200,-200,-84,-200,-200,-200,-81,-93,-84,-200,-200,-200,-78,-200,-84,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456367106,-77,-200,-200,-200,-71,-79,-200,-90,-86,-200,-81,-200,-79,-200,-200,-200,-200,-96,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456367197,-200,-200,-200,-94,-71,-79,-97,-200,-81,-200,-81,-200,-82,-200,-200,-200,-200,-200,-79,-90,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526456367301,-75,-79,-200,-92,-71,-79,-200,-200,-78,-200,-81,-200,-200,-200,-83,-200,-200,-95,-77,-200,-200,-200,-91,-90,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526456367410,-200,-200,-89,-92,-71,-78,-200,-200,-82,-200,-200,-200,-79,-95,-83,-200,-94,-200,-77,-200,-84,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456367520,-75,-79,-88,-200,-71,-77,-200,-200,-200,-200,-80,-200,-200,-95,-200,-200,-95,-93,-76,-200,-84,-200,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456367660,-75,-69,-200,-200,-75,-200,-90,-200,-82,-200,-81,-200,-80,-200,-82,-87,-96,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98
1526456372079,-87,-69,-200,-200,-66,-74,-200,-200,-78,-200,-200,-200,-200,-200,-78,-200,-200,-200,-73,-86,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456372180,-84,-200,-85,-85,-66,-74,-200,-200,-200,-200,-75,-200,-69,-200,-200,-88,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456372292,-84,-200,-84,-200,-66,-200,-89,-200,-78,-91,-76,-200,-200,-200,-200,-200,-82,-89,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456372403,-83,-70,-200,-200,-64,-75,-200,-200,-78,-200,-200,-200,-68,-200,-77,-87,-83,-92,-73,-86,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456372492,-89,-69,-200,-85,-66,-200,-200,-200,-75,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456372599,-87,-200,-85,-200,-67,-200,-200,-200,-76,-91,-200,-200,-200,-200,-77,-200,-200,-90,-200,-200,-200,-90,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456372701,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
